Region,,,China,China,China,China,China,China,China,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,RoW,RoW,RoW,RoW,RoW,RoW,RoW,USA,USA,USA,USA,USA,USA,USA
Level,,,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category
Item,,,Changes in inventories,Changes in valuables,Exports: Total (fob),Final consumption expenditure by government,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Gross fixed capital formation,Changes in inventories,Changes in valuables,Exports: Total (fob),Final consumption expenditure by government,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Gross fixed capital formation,Changes in inventories,Changes in valuables,Exports: Total (fob),Final consumption expenditure by government,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Gross fixed capital formation,Changes in inventories,Changes in valuables,Exports: Total (fob),Final consumption expenditure by government,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Gross fixed capital formation
Region,Level,Item,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Sector,Activities auxiliary to financial intermediation (67),0.0,0.0,0.0,5235527634.772801,3016045238.3823066,14760322350.45221,0.0,0.0,0.0,0.0,0.0023472279175415917,8804008.7718238,0.0,15115.129493304932,0.0,0.0,0.0,4271692.094979514,9440314.872857392,3704237.1963745756,189968.7077490208,0.0,0.0,0.0,0.0,3645.466010189615,0.0,0.0
China,Sector,Activities of membership organisation n.e.c. (91),0.0,0.0,0.0,831863084.9388075,0.0,107561352443.21848,0.0,0.0,0.0,0.0,72426.67111143674,100585.83351269284,16430016.961298969,0.0,0.0,0.0,0.0,1654103.0064786808,6084446.462466009,11163894.054895492,0.0,0.0,0.0,0.0,0.0,2682044.0249798093,0.0,0.0
China,Sector,Air transport (62),178283024.55082166,0.0,0.0,383298848.68089527,11169092165.331541,127401496.27069196,659553123.0684232,25205.366893056795,0.0,0.0,3719786.155544778,1311181659.9743178,25350.582819393054,169334.02348345701,10768385.094599409,0.0,0.0,7647535.071872596,1023076200.9450146,837203.0333696874,185153626.67267123,424294.10643049,0.0,0.0,0.0,511236774.368322,0.0,658552.3603711308
China,Sector,Aluminium production,1146682888.633715,0.0,0.0,0.0,0.0,0.0,0.0,10262770.966028355,0.0,0.0,0.0,216653.026685196,0.0,2205918.226949968,48695477.983081385,0.0,0.0,0.0,12448494.428572798,0.0,68689014.67633264,499019.82061879797,0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,Animal products nec,92887394.12770471,0.0,0.0,125074.07876831121,7414207228.450079,244780.69545064337,20422051321.713554,1015512.0684142576,0.0,0.0,176979.98311059191,65621645.66038928,409067.1219384654,0.0,408194.62374945177,0.0,0.0,733866.391707099,70411645.84572652,1947.0972908107553,47349154.8575923,105989.38392638488,0.0,0.0,0.0,7358549.721183617,0.0,0.0
China,Sector,"Biogasification of food waste, incl. land application",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,"Biogasification of paper, incl. land application",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,"Biogasification of sewage slugde, incl. land application",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,Casting of metals,255103345.2214396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,Cattle farming,213633384.46078324,0.0,0.0,0.0,0.0,1146675764.731262,13322372224.353918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.09941897260669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,Chemicals nec,78479789.72185145,0.0,0.0,0.0,23651255.35653395,0.0,0.0,25001152.868880812,0.0,0.0,193083315.25118622,473751930.1751879,3795446.795472376,263155.95629824797,293818060.46279514,0.0,0.0,553967864.3143061,28107593084.21209,594362252.708974,733876.750004514,1705692.4377932048,0.0,0.0,0.0,5478070651.359787,0.0,59176626.18589188
China,Sector,"Collection, purification and distribution of water (41)",0.0,0.0,0.0,0.0,16763456729.968859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,"Composting of food waste, incl. land application",0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.85767009000384,0.0,0.0,253592.7059497538,484396.9345090305,2675.8997842133567,2032.9528876226402,214379.06659512024,0.0,0.0,401389.97583120206,376689.9723496309,7895.105374788696,0.0,0.0,0.0,0.0,0.0,178256.92325390154,0.0,0.0
China,Sector,"Composting of paper and wood, incl. land application",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.608010577934753,105.94636794246435,28.11840469566998,0.0,0.0,0.0,0.0,0.0,1189.191230034747,0.0,0.0
