Region,,,China,China,China,China,China,China,China,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,RoW,RoW,RoW,RoW,RoW,RoW,RoW,USA,USA,USA,USA,USA,USA,USA
Level,,,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category
Item,,,Changes in inventories,Changes in valuables,Exports: Total (fob),Final consumption expenditure by government,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Gross fixed capital formation,Changes in inventories,Changes in valuables,Exports: Total (fob),Final consumption expenditure by government,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Gross fixed capital formation,Changes in inventories,Changes in valuables,Exports: Total (fob),Final consumption expenditure by government,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Gross fixed capital formation,Changes in inventories,Changes in valuables,Exports: Total (fob),Final consumption expenditure by government,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Gross fixed capital formation
Region,Level,Item,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Sector,Activities auxiliary to financial intermediation (67),0.0,0.0,0.0,14318529785.040743,3382176194.5770903,19230977660.731556,0.0,0.0,0.0,0.0,0.0019462522197599779,7708212.5136919385,0.0,18661.747698614327,0.0,0.0,0.0,7619863.884915131,12411128.35862888,3670361.0775640807,140843.48123140598,0.0,0.0,0.0,0.0,3388808.0720075183,0.0,0.0
China,Sector,Activities of membership organisation n.e.c. (91),0.0,0.0,0.0,2367386954.609707,0.0,145798343109.4652,0.0,0.0,0.0,0.0,152083.29613964004,166346.4221929484,20713470.970537502,0.0,0.0,0.0,0.0,1578216.813576073,9218646.839846523,10777950.963589707,0.0,0.0,0.0,0.0,0.0,3042238.482103019,0.0,0.0
China,Sector,Air transport (62),332838308.94256705,0.0,0.0,884344498.8811649,5456594016.513537,133755302.11110882,1216569667.986034,25902.812328628326,0.0,0.0,8143676.949137103,1529193158.3912082,24419.344671066647,173766.69697705176,8503075.105466312,0.0,0.0,2581378.145823415,1058944269.0014906,925286.7907549972,73356542.4684424,544425.6740145355,0.0,0.0,0.0,506807206.121167,0.0,818352.5027064343
China,Sector,Aluminium production,1500426095.91423,0.0,0.0,0.0,0.0,0.0,0.0,13388062.3472086,0.0,0.0,0.0,281194.47110706137,0.0,3327810.454434726,30118477.26811813,0.0,0.0,0.0,6398019.716632553,0.0,98752848.8957508,1273398.67263387,0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,Animal products nec,125865667.164509,0.0,0.0,206495.87864106597,1416183706.1158984,385606.3927147498,31542460781.84887,1589476.2320446603,0.0,0.0,182806.76106103338,96492545.37814112,496888.24031283875,0.0,781622.2705825978,0.0,0.0,6423.967212345483,66692182.31867291,1327.6448571421179,42836280.70285692,180864.846154711,0.0,0.0,0.0,13297604.155918794,0.0,0.0
China,Sector,"Biogasification of food waste, incl. land application",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,"Biogasification of paper, incl. land application",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,"Biogasification of sewage slugde, incl. land application",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,Casting of metals,330358591.6710099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,Cattle farming,298902030.7210804,0.0,0.0,758322067.9873729,0.0,991246691.4753497,19080987398.855316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4844328947267513,0.008349036745577534,25.219686690593978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,Chemicals nec,84249110.78372726,0.0,0.0,0.0,0.0,0.0,0.0,60735963.204568096,0.0,0.0,874079712.4047414,600245222.602585,353814.70624885114,39013.719683661606,367408865.17478335,0.0,0.0,662536556.1238928,33418538812.86263,700747141.8802487,733071.9450316452,1640433.0990902993,0.0,0.0,0.0,5653664886.692956,0.0,61619345.98775469
China,Sector,"Collection, purification and distribution of water (41)",0.0,0.0,0.0,0.0,12422774072.379837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,"Composting of food waste, incl. land application",0.0,0.0,0.0,2328980026.7706423,139233911.98648602,157316525.04158187,0.0,129.16773368158474,0.0,0.0,211536.68599132713,642600.7762331116,5155.992166054514,3115.3914619502157,198363.14034622774,0.0,0.0,415477.3394093644,363161.3784364314,9056.836438609651,0.0,0.0,0.0,0.0,0.0,101656.64336678848,0.0,0.0
China,Sector,"Composting of paper and wood, incl. land application",0.0,0.0,0.0,64442371.90361272,72999689.79122618,56803159.64468932,0.0,0.0,0.0,0.0,0.0019246708961186973,0.3871008705132924,0.0,0.0010505413937275329,0.0,0.0,0.0,0.09394573662754406,77.52533585396117,0.10834929072145887,0.0,0.0,0.0,0.0,0.0,411666.00773232477,0.0,0.0
