Region,,,China,China,China,China,China,China,China,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,RoW,RoW,RoW,RoW,RoW,RoW,RoW,USA,USA,USA,USA,USA,USA,USA
Level,,,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category
Item,,,Changes in inventories,Changes in valuables,Exports: Total (fob),Final consumption expenditure by government,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Gross fixed capital formation,Changes in inventories,Changes in valuables,Exports: Total (fob),Final consumption expenditure by government,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Gross fixed capital formation,Changes in inventories,Changes in valuables,Exports: Total (fob),Final consumption expenditure by government,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Gross fixed capital formation,Changes in inventories,Changes in valuables,Exports: Total (fob),Final consumption expenditure by government,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Gross fixed capital formation
Region,Level,Item,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Sector,Activities auxiliary to financial intermediation (67),0.0,0.0,0.0,16729366715.655012,3572019598.304462,20602930299.148624,0.0,0.0,0.0,0.0,2.2367222187848535e-05,1592626.205964357,0.0,3684.8822018927985,0.0,0.0,0.0,20682642.807268925,39939939.97093597,3295727.6347119766,14987.794620420178,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,Activities of membership organisation n.e.c. (91),0.0,0.0,0.0,2956165872.39322,0.0,166886394745.98978,0.0,0.0,0.0,0.0,1302.298141711874,16956.11396346621,1567651.9854690244,0.0,0.0,0.0,0.0,1842179.254784598,17995987.208769295,27085094.20918958,0.0,0.0,0.0,0.0,0.0,1304155.91061398,0.0,0.0
China,Sector,Air transport (62),364048140.98694855,0.0,0.0,1003702965.6668627,5610298973.094,129916289.85331807,1337148120.4940248,17421.26375041479,0.0,0.0,259374.1991016518,949573808.0044099,13211.676193605035,152235.59273311673,147349.16070371968,0.0,0.0,74055.9275696566,957661242.7633419,5844.586094558839,242222.03890434,747460.461158103,0.0,0.0,0.0,485478765.0876833,0.0,1069421.8505977823
China,Sector,Aluminium production,1602334090.069509,0.0,0.0,0.0,0.0,0.0,0.0,34733304.002586044,0.0,0.0,0.0,471433.75299933564,0.0,8224888.702804286,184281554.08744994,0.0,0.0,0.0,7816838.37832585,0.0,55212200.88195469,839885.358217088,0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,Animal products nec,111882941.15219694,0.0,0.0,245853.27284199212,1328278788.3333013,457146.7894587937,32825331636.186726,2216047.693470637,0.0,0.0,227306.34078294522,104541357.01075944,447639.273975411,0.0,665655.3741887563,0.0,0.0,6579.579299103547,54361687.52600428,521.2042829150179,48882763.19949962,210857.01682228298,0.0,0.0,0.0,5263.774236312954,0.0,0.0
China,Sector,"Biogasification of food waste, incl. land application",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,"Biogasification of paper, incl. land application",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,"Biogasification of sewage slugde, incl. land application",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,Casting of metals,338975856.7591372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,Cattle farming,283033883.64502597,0.0,0.0,802098784.7286533,0.0,959609269.9199941,20130017894.463577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.850628419458192,0.0,20.531339347307544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,Chemicals nec,81582044.09903945,0.0,0.0,0.0,27766197156.235264,0.0,0.0,50510030.968109205,0.0,0.0,1091590236.921383,1969660352.2061298,516912.0735487065,3962028.504748552,861894536.8361051,0.0,0.0,957602235.080901,51052625926.7821,858341730.1857951,43535.89498409269,1924814.3423496762,0.0,0.0,0.0,8763465036.083199,0.0,103794609.18435931
China,Sector,"Collection, purification and distribution of water (41)",0.0,0.0,0.0,0.0,14094781521.206966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,"Composting of food waste, incl. land application",0.0,0.0,0.0,2745116201.0009527,148553822.96191546,170287064.34618422,0.0,0.01105810884937615,0.0,0.0,666859.748813764,468517.12456087844,395.2573310903648,2331.9617559528383,0.0,0.0,0.0,14209.087313590238,59675.974004303454,648.3921013109248,0.0,0.0,0.0,0.0,0.0,1120.004325015457,0.0,0.0
China,Sector,"Composting of paper and wood, incl. land application",0.0,0.0,0.0,72589608.17281757,73218557.19757731,58284780.12246833,0.0,0.0,0.0,0.0,0.0,51.270061020133575,0.0,1.5387711334658787,0.0,0.0,0.0,65.8916641309522,3878.8043478869595,81.1537711611665,0.0,0.0,0.0,0.0,0.0,13500.105174645576,0.0,0.0
