Region,Level,Item,production
EU27+UK,Commodity,Paddy rice,1435890330.6264648
EU27+UK,Commodity,Wheat,32221402577.550743
EU27+UK,Commodity,Cereal grains nec,32952638305.55999
EU27+UK,Commodity,"Vegetables, fruit, nuts",102179551690.39828
EU27+UK,Commodity,Oil seeds,25046336303.633675
EU27+UK,Commodity,"Sugar cane, sugar beet",4621881330.72362
EU27+UK,Commodity,Plant-based fibers,969749339.2820883
EU27+UK,Commodity,Crops nec,33427768947.253624
EU27+UK,Commodity,Cattle,24596275564.220596
EU27+UK,Commodity,Pigs,34540721349.25476
EU27+UK,Commodity,Poultry,36213947697.48035
EU27+UK,Commodity,Meat animals nec,14120741903.25549
EU27+UK,Commodity,Animal products nec,1522266866.2244034
EU27+UK,Commodity,Raw milk,66822468476.46892
EU27+UK,Commodity,"Wool, silk-worm cocoons",136861717.54820532
EU27+UK,Commodity,Manure (conventional treatment),0.0
EU27+UK,Commodity,Manure (biogas treatment),0.0
EU27+UK,Commodity,"Products of forestry, logging and related services (02)",41365669359.04194
EU27+UK,Commodity,Fish and other fishing products; services incidental of fishing (05),16597911322.930908
EU27+UK,Commodity,Anthracite,1724982905.3260717
EU27+UK,Commodity,Coking Coal,2158671596.1481495
EU27+UK,Commodity,Other Bituminous Coal,13736043630.448242
EU27+UK,Commodity,Sub-Bituminous Coal,102766307.01551208
EU27+UK,Commodity,Patent Fuel,29420619.76363705
EU27+UK,Commodity,Lignite/Brown Coal,5732189231.968644
EU27+UK,Commodity,BKB/Peat Briquettes,1422912610.6317396
EU27+UK,Commodity,Peat,829869484.4482222
EU27+UK,Commodity,"Crude petroleum and services related to crude oil extraction, excluding surveying",62304621686.11847
EU27+UK,Commodity,"Natural gas and services related to natural gas extraction, excluding surveying",30651005292.608925
EU27+UK,Commodity,Natural Gas Liquids,1494393111.1604295
EU27+UK,Commodity,Other Hydrocarbons,314126146.03954464
EU27+UK,Commodity,Uranium and thorium ores (12),464239480.24078447
EU27+UK,Commodity,Iron ores,650420379.069383
EU27+UK,Commodity,Copper ores and concentrates,6510970227.1577425
EU27+UK,Commodity,Nickel ores and concentrates,153455282.9978587
EU27+UK,Commodity,Aluminium ores and concentrates,241367992.23973328
EU27+UK,Commodity,Precious metal ores and concentrates,587498100.1892129
EU27+UK,Commodity,"Lead, zinc and tin ores and concentrates",1208613682.045647
EU27+UK,Commodity,Other non-ferrous metal ores and concentrates,1292811788.5812147
EU27+UK,Commodity,Stone,19939045319.922398
EU27+UK,Commodity,Sand and clay,27004827736.394863
EU27+UK,Commodity,"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",14745303016.607866
EU27+UK,Commodity,Products of meat cattle,33043467101.851097
EU27+UK,Commodity,Products of meat pigs,39429678553.29285
EU27+UK,Commodity,Products of meat poultry,56707661632.356316
EU27+UK,Commodity,Meat products nec,103916271924.34325
EU27+UK,Commodity,products of Vegetable oils and fats,31649752596.85914
EU27+UK,Commodity,Dairy products,138870800094.13724
EU27+UK,Commodity,Processed rice,2491936657.3240185
EU27+UK,Commodity,Sugar,13582541060.85357
EU27+UK,Commodity,Food products nec,441420576869.119
EU27+UK,Commodity,Beverages,119531077783.4794
EU27+UK,Commodity,Fish products,30146723728.250076
EU27+UK,Commodity,Tobacco products (16),22962263386.565506
EU27+UK,Commodity,Textiles (17),121674073127.30988
EU27+UK,Commodity,Wearing apparel; furs (18),107842548237.90073
EU27+UK,Commodity,Leather and leather products (19),53803272915.36697
EU27+UK,Commodity,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20),146769637675.73215
EU27+UK,Commodity,"Wood material for treatment, Re-processing of secondary wood material into new wood material",0.0
EU27+UK,Commodity,Pulp,57632046010.91939
EU27+UK,Commodity,"Secondary paper for treatment, Re-processing of secondary paper into new pulp",0.0
EU27+UK,Commodity,Paper and paper products,117919522301.12692
EU27+UK,Commodity,Printed matter and recorded media (22),267937777032.38788
EU27+UK,Commodity,Coke Oven Coke,4153811250.377472
EU27+UK,Commodity,Gas Coke,0.0
EU27+UK,Commodity,Coal Tar,255893743.9039038
EU27+UK,Commodity,Motor Gasoline,144873808523.99243
EU27+UK,Commodity,Aviation Gasoline,89459489.48098153
EU27+UK,Commodity,Gasoline Type Jet Fuel,21338036.025794756
EU27+UK,Commodity,Kerosene Type Jet Fuel,20421640728.387413
EU27+UK,Commodity,Kerosene,9231779628.278605
EU27+UK,Commodity,Gas/Diesel Oil,140480055277.15
EU27+UK,Commodity,Heavy Fuel Oil,20694103404.965023
EU27+UK,Commodity,Refinery Gas,594823648.4460697
EU27+UK,Commodity,Liquefied Petroleum Gases (LPG),11040843946.225582
EU27+UK,Commodity,Refinery Feedstocks,7143507387.385654
EU27+UK,Commodity,Ethane,56468185.552883506
EU27+UK,Commodity,Naphtha,10332744297.33947
EU27+UK,Commodity,White Spirit & SBP,2455247736.8367333
EU27+UK,Commodity,Lubricants,3623572856.786791
EU27+UK,Commodity,Bitumen,3235175874.3944883
EU27+UK,Commodity,Paraffin Waxes,582942019.9319077
EU27+UK,Commodity,Petroleum Coke,657800038.2666327
EU27+UK,Commodity,Non-specified Petroleum Products,2079769271.295682
