Region,,,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,USA,USA,USA,USA,USA,USA,USA,RoW,RoW,RoW,RoW,RoW,RoW,RoW,China,China,China,China,China,China,China
Level,,,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category
Item,,,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Final consumption expenditure by government,Gross fixed capital formation,Changes in inventories,Changes in valuables,Exports: Total (fob),Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Final consumption expenditure by government,Gross fixed capital formation,Changes in inventories,Changes in valuables,Exports: Total (fob),Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Final consumption expenditure by government,Gross fixed capital formation,Changes in inventories,Changes in valuables,Exports: Total (fob),Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Final consumption expenditure by government,Gross fixed capital formation,Changes in inventories,Changes in valuables,Exports: Total (fob)
Region,Level,Item,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EU27+UK,Commodity,Paddy rice,759157190.8204026,4537815.931174168,9323069.797177102,23420.40223813823,16017193.442867972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76771.28418924245,12.4069552089426,540.3006573560084,0.0,403.5176961250047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EU27+UK,Commodity,Wheat,11850657149.864952,26380921.288325723,215755999.2730312,259034.0602789035,586885910.4363639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,615717956.5351468,5893.684522800742,5397470.550492705,763807.4504229715,13023582.397206748,0.0,0.0,0.0,28.054690376592518,513760.6970222139,0.0,4.623392307866036,0.0,0.0
EU27+UK,Commodity,Cereal grains nec,4243491745.1367044,5262142.335691834,76597477.77874464,280622.9962655973,384047392.27433383,0.0,0.0,1308215.5874367447,0.0,0.0,0.0,218911.10884830126,0.0,0.0,166037367.36080784,493223.59643996786,195239.63293750244,227695.28554133192,2169372.5535790133,0.0,0.0,0.0,65679.17545716568,0.0,0.0,13193.150570130638,0.0,0.0
EU27+UK,Commodity,"Vegetables, fruit, nuts",69882404678.40948,434166692.1960048,337120394.42118055,4675501.874483188,1027782402.881376,0.0,0.0,210034815.52525318,0.0,0.0,0.0,3169.4430722009492,0.0,0.0,3216808977.4967556,3328.2492320447836,12273.281007667676,91172482.68326688,11412775.766556928,0.0,0.0,17478517.52074734,9765.757761430586,4666.192822938566,0.0,1656610.0509783304,0.0,0.0
EU27+UK,Commodity,Oil seeds,4998375938.192583,8214062.502678316,54812103.74015302,37711.855588142025,440385494.11641264,0.0,0.0,0.0,0.0,0.0,0.0,257205.43859455595,0.0,0.0,23521643.68293795,2849.16324636923,4712111.769389328,0.0,420018.7498025968,0.0,0.0,0.0,216103.69684670243,645.1047688141159,0.0,67371.26106666631,0.0,0.0
EU27+UK,Commodity,"Sugar cane, sugar beet",0.0,0.0,1729367.439553158,0.0,325335076.8028818,0.0,0.0,0.0,0.0,0.0,0.0,1017.067329987571,0.0,0.0,75.51749273775913,71.22216091506058,102.59981157621982,0.0,0.8212022125309649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EU27+UK,Commodity,Plant-based fibers,427693492.31408185,136378.99680493554,300505.71712388634,18561.59526041127,3742711.6705864193,0.0,0.0,0.0,0.0,0.0,0.0,252544.93138090236,0.0,0.0,541473.575381393,99.91801870628572,3072.9768639601593,781425.8163150602,701672.7811572975,0.0,0.0,0.0,434736.570093395,31717.148884499587,0.0,19777.779682780496,0.0,0.0
EU27+UK,Commodity,Crops nec,9296401613.012363,21270275.144487515,92873638.86827116,560043682.3131133,418818741.58346456,0.0,0.0,16848858.25853055,0.0,0.0,0.0,8374042.14035494,0.0,0.0,1923872550.1673996,93254.45310137657,214421.9764542866,78157770.87506324,23093754.598116126,0.0,0.0,2376954.987905706,2484578.923694499,1164506.119215427,0.0,1162961.7674960238,0.0,0.0
EU27+UK,Commodity,Cattle,0.0,0.0,1374565.9924385315,4500474129.053917,431617617.77737147,0.0,0.0,9.461295493481346,0.0,0.0,0.0,42.52474947217772,0.0,0.0,1292.207295631043,39.03447745367996,55525945.95033302,0.0,867.5993554123281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EU27+UK,Commodity,Pigs,0.0,0.0,27612733.519316457,4796729635.015512,1332754908.178557,0.0,0.0,0.0,0.0,0.0,0.0,84.54672390665334,0.0,0.0,48332.44347466217,83.3407444973704,62.146696130387106,47900.698973264894,1424143.8640578578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EU27+UK,Commodity,Poultry,21982078906.88784,44769839.92197822,290171642.3529885,760713207.4900734,353170075.2701017,0.0,0.0,75683.15523919756,0.0,0.0,0.0,1634.6827647173077,0.0,0.0,5035519.03132916,54598.44525183791,1667.8598696202287,0.0,15163579.475964587,0.0,0.0,0.0,343843.8873851923,0.0,0.0,0.0,0.0,0.0
EU27+UK,Commodity,Meat animals nec,6304426201.318979,19668594.411723785,29811189.277342148,344802872.76389086,119463917.60074309,0.0,0.0,0.0,0.0,0.0,0.0,972632.5367951052,0.0,0.0,74088973.53663495,23532.507452921087,59120117.4278127,5528135.736234402,22940173.15304277,0.0,0.0,0.0,26142119.335473876,10430855.239863364,0.0,0.0,0.0,0.0
EU27+UK,Commodity,Animal products nec,598418725.0578908,7151982.659812247,7403739.415278875,5142513.745081123,21924103.532116227,0.0,0.0,25381318.5542282,0.0,0.0,0.0,345219.20051823126,0.0,0.0,200008871.0611081,1303.4411145121446,45795.33644213521,55382372.102071,1230911.6738591106,0.0,0.0,1478724.0666416544,2640.546979439478,422.84168202650426,32945960.18504192,336373.2024714311,0.0,0.0
EU27+UK,Commodity,Raw milk,4647413797.897261,15320707.298047587,215601342.00668263,206273.41057693947,785023608.4059862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EU27+UK,Commodity,"Wool, silk-worm cocoons",0.0,0.0,1299032.5664669245,158741.53853710764,33319369.642051917,0.0,0.0,0.0,0.0,0.0,0.0,3060.395340204224,0.0,0.0,860257.3501396321,425578.3104440171,262423.89253890596,0.0025369170046535233,531026.2654853391,0.0,0.0,0.0,40943691.76233533,0.0,0.0,0.0,0.0,0.0
EU27+UK,Commodity,Manure (conventional treatment),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EU27+UK,Commodity,Manure (biogas treatment),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EU27+UK,Commodity,"Products of forestry, logging and related services (02)",7496093614.897528,202781609.56673446,197344271.7871642,1878057639.4864218,3408692993.732423,0.0,0.0,0.0,0.0,0.0,0.0,187927.3689867344,0.0,0.0,78241467.38521299,32785.05580040246,71295.36154282675,1572025.4881376438,11999049.761813045,0.0,0.0,21183739.054519936,124728.697896507,54013.51457552073,0.0,1951382.6530641816,0.0,0.0
EU27+UK,Commodity,Fish and other fishing products; services incidental of fishing (05),10688714107.049837,520555.74004521273,6521229.464102663,811631.160620088,57489443.096126385,0.0,0.0,141612253.41820633,0.0,0.0,0.0,0.0,0.0,0.0,319301748.47813195,4323.700242207017,1427.4164715120928,19.707760646957908,2833835.5588476104,0.0,0.0,3944548.6377248135,66876.37331293893,6328.199738985595,0.0,0.0,0.0,0.0
EU27+UK,Commodity,Anthracite,34619094.99223284,0.0,542986.3868646061,3201533.163159909,22083849.254064474,0.0,0.0,29.00169745790839,0.0,0.0,0.0,29.082339962667863,0.0,0.0,235606.70882316752,0.652117702022319,10908.983273247763,7.836745976742173,12469.217636646086,0.0,0.0,0.0,0.0,0.0,0.0,110.06700082573906,0.0,0.0
