Region,Level,Item,production
China,Activity,Activities auxiliary to financial intermediation (67),64716700056.576355
China,Activity,Activities of membership organisation n.e.c. (91),71935867330.29828
China,Activity,Air transport (62),57399408352.18878
China,Activity,Aluminium production,129805870105.34718
China,Activity,Animal products nec,27059920855.421726
China,Activity,"Biogasification of food waste, incl. land application",0.0
China,Activity,"Biogasification of paper, incl. land application",0.0
China,Activity,"Biogasification of sewage slugde, incl. land application",0.0
China,Activity,Casting of metals,50795043707.99094
China,Activity,Cattle farming,16108071506.065514
China,Activity,Chemicals nec,592532563165.1443
China,Activity,"Collection, purification and distribution of water (41)",16022442587.87941
China,Activity,"Composting of food waste, incl. land application",511606243.4523026
China,Activity,"Composting of paper and wood, incl. land application",134920677.52076203
China,Activity,Computer and related activities (72),225157603516.8934
China,Activity,Construction (45),1495743593854.8604
China,Activity,Copper production,84542240755.19499
China,Activity,Cultivation of cereal grains nec,40115610490.653824
China,Activity,Cultivation of crops nec,52126953976.06418
China,Activity,Cultivation of oil seeds,20671809816.063675
China,Activity,Cultivation of paddy rice,29704259252.35179
China,Activity,Cultivation of plant-based fibers,22664027787.599266
China,Activity,"Cultivation of sugar cane, sugar beet",13084183824.620735
China,Activity,"Cultivation of vegetables, fruit, nuts",193074954584.84088
China,Activity,Cultivation of wheat,17504125659.519928
China,Activity,Distribution and trade of electricity,170195090802.53357
China,Activity,Education (80),294366997974.01666
China,Activity,Extra-territorial organizations and bodies,0.0
China,Activity,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",126909983499.59961
China,Activity,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",7901050669.207148
China,Activity,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",0.0
China,Activity,"Financial intermediation, except insurance and pension funding (65)",255520136438.64142
China,Activity,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",141894534897.40942
China,Activity,"Forestry, logging and related service activities (02)",39195804587.671234
China,Activity,Health and social work (85),314547110642.3295
China,Activity,Hotels and restaurants (55),391540973079.3964
China,Activity,Incineration of waste: Food,2263715828.0557947
China,Activity,Incineration of waste: Metals and Inert materials,331055768.9119032
China,Activity,Incineration of waste: Oil/Hazardous waste,585674699.6241982
China,Activity,Incineration of waste: Paper,2253647792.308778
China,Activity,Incineration of waste: Plastic,533303344.028679
China,Activity,Incineration of waste: Textiles,529940960.0407058
China,Activity,Incineration of waste: Wood,608290188.6261017
China,Activity,Inland water transport,3109909593.13461
China,Activity,"Insurance and pension funding, except compulsory social security (66)",123041619253.285
China,Activity,Landfill of waste: Food,6739476818.41958
China,Activity,Landfill of waste: Inert/metal/hazardous,2429603700.620732
China,Activity,Landfill of waste: Paper,2964634112.265613
China,Activity,Landfill of waste: Plastic,2331561137.092016
China,Activity,Landfill of waste: Textiles,1022510278.9860808
China,Activity,Landfill of waste: Wood,1212460163.91349
China,Activity,"Lead, zinc and tin production",34249394949.84555
China,Activity,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,716258994448.8467
China,Activity,Manufacture of beverages,31982973234.49331
China,Activity,"Manufacture of bricks, tiles and construction products, in baked clay",5200425974.739094
China,Activity,"Manufacture of cement, lime and plaster",63426767164.20903
China,Activity,Manufacture of ceramic goods,155607974236.96765
China,Activity,Manufacture of coke oven products,46267011102.04207
China,Activity,Manufacture of electrical machinery and apparatus n.e.c. (31),535770832809.8854
China,Activity,"Manufacture of fabricated metal products, except machinery and equipment (28)",340926912153.07117
China,Activity,Manufacture of fish products,211714915550.38095
China,Activity,Manufacture of furniture; manufacturing n.e.c. (36),324629983043.67664
China,Activity,Manufacture of gas; distribution of gaseous fuels through mains,22435456517.087536
China,Activity,Manufacture of glass and glass products,155756090634.84277
China,Activity,Manufacture of machinery and equipment n.e.c. (29),774688201234.6854
China,Activity,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",87803644245.8114
China,Activity,"Manufacture of motor vehicles, trailers and semi-trailers (34)",349322517587.8089
China,Activity,Manufacture of office machinery and computers (30),334347207548.64185
China,Activity,Manufacture of other non-metallic mineral products n.e.c.,107650158649.8565
China,Activity,Manufacture of other transport equipment (35),267999208326.80774
China,Activity,"Manufacture of radio, television and communication equipment and apparatus (32)",355398280790.5588
China,Activity,Manufacture of rubber and plastic products (25),429361776936.46936
China,Activity,Manufacture of textiles (17),455179532222.43756
China,Activity,Manufacture of tobacco products (16),10767777289.7633
China,Activity,Manufacture of wearing apparel; dressing and dyeing of fur (18),228963910090.5043
China,Activity,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",11320215503.150532
China,Activity,"Manure treatment (biogas), storage and land application",0.0
China,Activity,"Manure treatment (conventional), storage and land application",0.0
China,Activity,Meat animals nec,19849094028.441902
China,Activity,Mining of aluminium ores and concentrates,3232686825.068424
China,Activity,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",5470116811.7999325
China,Activity,Mining of coal and lignite; extraction of peat (10),215496924147.78558
China,Activity,Mining of copper ores and concentrates,29939295910.208214
China,Activity,Mining of iron ores,8128636439.74471
China,Activity,"Mining of lead, zinc and tin ores and concentrates",4275763482.8064322
China,Activity,Mining of nickel ores and concentrates,5235824678.482479
China,Activity,Mining of other non-ferrous metal ores and concentrates,47473029586.33635
China,Activity,Mining of precious metal ores and concentrates,25593824733.26989
China,Activity,Mining of uranium and thorium ores (12),913587356.2650836
China,Activity,N-fertiliser,221532295.6615513
China,Activity,Other business activities (74),381691908586.00574
China,Activity,Other land transport,125771593038.7902
China,Activity,Other non-ferrous metal production,66487183419.86866
China,Activity,Other service activities (93),147442003061.50888
China,Activity,P- and other fertiliser,39177929426.6527
China,Activity,Paper,133231130554.75298
China,Activity,Petroleum Refinery,360551529256.552
China,Activity,Pigs farming,57000364745.904465
China,Activity,"Plastics, basic",75455455802.76772
China,Activity,Post and telecommunications (64),12258123924.634514
China,Activity,Poultry farming,43841475632.38643
China,Activity,Precious metals production,43979400212.34263
China,Activity,Private households with employed persons (95),26011876027.250633
China,Activity,Processed rice,21194052002.645836
China,Activity,Processing of Food products nec,393086564272.95416
