Region,Level,Item,production
China,Activity,Activities auxiliary to financial intermediation (67),202332522834.11737
China,Activity,Activities of membership organisation n.e.c. (91),207353219425.34265
China,Activity,Air transport (62),125789858853.59444
China,Activity,Aluminium production,252069626154.39716
China,Activity,Animal products nec,52392698395.98762
China,Activity,"Biogasification of food waste, incl. land application",0.0
China,Activity,"Biogasification of paper, incl. land application",0.0
China,Activity,"Biogasification of sewage slugde, incl. land application",0.0
China,Activity,Casting of metals,106338520996.64291
China,Activity,Cattle farming,32155156681.93355
China,Activity,Chemicals nec,1284047830648.9094
China,Activity,"Collection, purification and distribution of water (41)",19208028677.31234
China,Activity,"Composting of food waste, incl. land application",1564187230.6869237
China,Activity,"Composting of paper and wood, incl. land application",392336685.2168064
China,Activity,Computer and related activities (72),646817923887.314
China,Activity,Construction (45),3197108301044.128
China,Activity,Copper production,169743671540.82892
China,Activity,Cultivation of cereal grains nec,67487853421.178375
China,Activity,Cultivation of crops nec,100551670355.42221
China,Activity,Cultivation of oil seeds,42715044731.190216
China,Activity,Cultivation of paddy rice,56034307961.80798
China,Activity,Cultivation of plant-based fibers,58399912821.879456
China,Activity,"Cultivation of sugar cane, sugar beet",24675812781.063614
China,Activity,"Cultivation of vegetables, fruit, nuts",312851273327.9895
China,Activity,Cultivation of wheat,35926448484.77538
China,Activity,Distribution and trade of electricity,126524148472.3966
China,Activity,Education (80),1127556495776.9446
China,Activity,Extra-territorial organizations and bodies,0.0
China,Activity,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",147583852172.81848
China,Activity,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",6728208982.303849
China,Activity,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",0.0
China,Activity,"Financial intermediation, except insurance and pension funding (65)",701053693545.1022
China,Activity,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",306035926692.28973
China,Activity,"Forestry, logging and related service activities (02)",74566754216.89478
China,Activity,Health and social work (85),938359079954.0802
China,Activity,Hotels and restaurants (55),945713960095.3782
