Region,Level,Item,production
China,Activity,Activities auxiliary to financial intermediation (67),64716666239.46599
China,Activity,Activities of membership organisation n.e.c. (91),71935867347.70198
China,Activity,Air transport (62),57399428150.20243
China,Activity,Aluminium production,129805868226.22444
China,Activity,Animal products nec,27059920667.95734
China,Activity,"Biogasification of food waste, incl. land application",0.0
China,Activity,"Biogasification of paper, incl. land application",0.0
China,Activity,"Biogasification of sewage slugde, incl. land application",0.0
China,Activity,Casting of metals,50795047679.47901
China,Activity,Cattle farming,16108071606.88907
China,Activity,Chemicals nec,592529246146.636
China,Activity,"Collection, purification and distribution of water (41)",16022442079.09494
China,Activity,"Composting of food waste, incl. land application",511606239.86074364
China,Activity,"Composting of paper and wood, incl. land application",134920675.57649004
China,Activity,Computer and related activities (72),225157596118.5998
China,Activity,Construction (45),1495743592765.0532
China,Activity,Copper production,84542239260.80003
China,Activity,Cultivation of cereal grains nec,40115611326.5419
China,Activity,Cultivation of crops nec,52126927921.22182
China,Activity,Cultivation of oil seeds,20671794463.110477
China,Activity,Cultivation of paddy rice,29704242783.122307
China,Activity,Cultivation of plant-based fibers,22664025849.099697
China,Activity,"Cultivation of sugar cane, sugar beet",13084184285.790712
China,Activity,"Cultivation of vegetables, fruit, nuts",193074956054.3864
China,Activity,Cultivation of wheat,17504119572.269497
China,Activity,Distribution and trade of electricity,170195105076.70966
China,Activity,Education (80),294367002631.61786
China,Activity,Extra-territorial organizations and bodies,0.0
China,Activity,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",126909887330.04245
China,Activity,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",7901050579.251373
China,Activity,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",0.0
China,Activity,"Financial intermediation, except insurance and pension funding (65)",255520116019.49042
China,Activity,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",141894536379.62988
China,Activity,"Forestry, logging and related service activities (02)",39195769073.5959
China,Activity,Health and social work (85),314547117226.84094
China,Activity,Hotels and restaurants (55),391541020778.553
China,Activity,Incineration of waste: Food,2263715521.79742
China,Activity,Incineration of waste: Metals and Inert materials,331055721.6751101
China,Activity,Incineration of waste: Oil/Hazardous waste,585674608.1127384
China,Activity,Incineration of waste: Paper,2253647443.2267413
China,Activity,Incineration of waste: Plastic,533303283.94604385
China,Activity,Incineration of waste: Textiles,529940873.7966111
China,Activity,Incineration of waste: Wood,608290087.8605438
China,Activity,Inland water transport,3109910660.104874
China,Activity,"Insurance and pension funding, except compulsory social security (66)",123041615931.09964
China,Activity,Landfill of waste: Food,6739475525.882072
China,Activity,Landfill of waste: Inert/metal/hazardous,2429603408.5605564
China,Activity,Landfill of waste: Paper,2964633746.455945
China,Activity,Landfill of waste: Plastic,2331560673.8189535
China,Activity,Landfill of waste: Textiles,1022510144.0047127
China,Activity,Landfill of waste: Wood,1212460001.9702272
China,Activity,"Lead, zinc and tin production",34249390384.968372
China,Activity,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,716259055867.0194
China,Activity,Manufacture of beverages,31982973764.346184
China,Activity,"Manufacture of bricks, tiles and construction products, in baked clay",5200425942.848571
China,Activity,"Manufacture of cement, lime and plaster",63426766960.03333
China,Activity,Manufacture of ceramic goods,155607974177.75464
China,Activity,Manufacture of coke oven products,46267006385.5406
China,Activity,Manufacture of electrical machinery and apparatus n.e.c. (31),535770882241.8287
China,Activity,"Manufacture of fabricated metal products, except machinery and equipment (28)",340926932318.09595
