Region,Level,Item,production
China,Activity,Activities auxiliary to financial intermediation (67),64718828119.09131
China,Activity,Activities of membership organisation n.e.c. (91),71935881493.9915
China,Activity,Air transport (62),57401161819.45635
China,Activity,Aluminium production,129819973082.22238
China,Activity,Animal products nec,27059971057.413284
China,Activity,"Biogasification of food waste, incl. land application",0.0
China,Activity,"Biogasification of paper, incl. land application",0.0
China,Activity,"Biogasification of sewage slugde, incl. land application",0.0
China,Activity,Casting of metals,50800618789.14654
China,Activity,Cattle farming,16108109690.445387
China,Activity,Chemicals nec,592558871578.8365
China,Activity,"Collection, purification and distribution of water (41)",16022706357.35493
China,Activity,"Composting of food waste, incl. land application",511622820.3021253
China,Activity,"Composting of paper and wood, incl. land application",134924975.61599386
China,Activity,Computer and related activities (72),225161216141.63898
China,Activity,Construction (45),1495744430400.9224
China,Activity,Copper production,84553679483.62576
China,Activity,Cultivation of cereal grains nec,40115925545.573494
China,Activity,Cultivation of crops nec,52127884466.77568
China,Activity,Cultivation of oil seeds,20672605408.724937
China,Activity,Cultivation of paddy rice,29704769741.251564
China,Activity,Cultivation of plant-based fibers,22664522415.315384
China,Activity,"Cultivation of sugar cane, sugar beet",13084368217.280243
China,Activity,"Cultivation of vegetables, fruit, nuts",193076303733.79272
China,Activity,Cultivation of wheat,17504347694.478416
China,Activity,Distribution and trade of electricity,170202679967.94376
China,Activity,Education (80),294367153931.01294
China,Activity,Extra-territorial organizations and bodies,0.0
China,Activity,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",126915165567.23459
China,Activity,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",7901191657.652624
China,Activity,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",0.0
China,Activity,"Financial intermediation, except insurance and pension funding (65)",255533081494.483
China,Activity,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",141895966770.8116
China,Activity,"Forestry, logging and related service activities (02)",39197140867.75292
China,Activity,Health and social work (85),314548093932.0486
China,Activity,Hotels and restaurants (55),391550903828.7827
China,Activity,Incineration of waste: Food,2263792977.4381514
China,Activity,Incineration of waste: Metals and Inert materials,331068646.9131462
China,Activity,Incineration of waste: Oil/Hazardous waste,585693933.9781609
China,Activity,Incineration of waste: Paper,2253721310.553077
China,Activity,Incineration of waste: Plastic,533321847.8820047
China,Activity,Incineration of waste: Textiles,529958672.2401934
China,Activity,Incineration of waste: Wood,608310284.9787894
China,Activity,Inland water transport,3109992505.686692
