Region,,,China,China,China,China,China,China,China,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,RoW,RoW,RoW,RoW,RoW,RoW,RoW,USA,USA,USA,USA,USA,USA,USA
Level,,,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category
Item,,,Changes in inventories,Changes in valuables,Exports: Total (fob),Final consumption expenditure by government,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Gross fixed capital formation,Changes in inventories,Changes in valuables,Exports: Total (fob),Final consumption expenditure by government,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Gross fixed capital formation,Changes in inventories,Changes in valuables,Exports: Total (fob),Final consumption expenditure by government,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Gross fixed capital formation,Changes in inventories,Changes in valuables,Exports: Total (fob),Final consumption expenditure by government,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Gross fixed capital formation
Region,Level,Item,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Sector,Activities auxiliary to financial intermediation (67),0.0,0.0,0.0,4616252176.109101,1412527389.8147578,6341250029.977243,0.0,0.0,0.0,0.0,0.0025472536336148184,6303632.963501395,0.0,14195.36820241848,0.0,0.0,0.0,10590378.9774332,11378291.97777042,4988623.594015754,176065.37160630434,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,Activities of membership organisation n.e.c. (91),0.0,0.0,0.0,1119124150.2888277,0.0,70491438917.96681,0.0,0.0,0.0,0.0,69004.52749895188,160038.9151884576,16348250.957791738,0.0,0.0,0.0,0.0,1211010.7623472686,5492535.4893755475,10780230.497205699,0.0,0.0,0.0,0.0,0.0,1634701.114842114,0.0,0.0
China,Sector,Air transport (62),202536439.86115885,0.0,0.0,381883120.62366664,6510228719.838801,61610440.509899706,659708640.8896657,25866.710506847685,0.0,0.0,3919389.5353080397,1259208399.6128888,26013.08435647401,78768.03246091711,9582348.164735626,0.0,0.0,4328443.994735699,981388727.2103618,701177.2893987248,67283372.20558573,239637.0248090775,0.0,0.0,0.0,513455638.37938213,0.0,632136.172094779
China,Sector,Aluminium production,1096315702.0484436,0.0,0.0,0.0,0.0,0.0,0.0,16140831.510749942,0.0,0.0,0.0,318098.66460998455,0.0,3383246.3208714887,36068976.52822854,0.0,0.0,0.0,6418819.675669294,0.0,55060939.62121807,1663054.4819700855,0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,Animal products nec,82825451.50960684,0.0,0.0,98906.7753766116,4350177361.142671,195830.87050271852,18709748094.595997,1040665.2081559232,0.0,0.0,140271.23317014222,58497036.793254055,328738.3146871858,0.0,314590.6247116343,0.0,0.0,8662.094614587277,61514691.312396705,1732.206997138855,33725578.611822106,33437.00825012094,0.0,0.0,0.0,7672994.229207316,0.0,0.0
China,Sector,"Biogasification of food waste, incl. land application",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,"Biogasification of paper, incl. land application",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,"Biogasification of sewage slugde, incl. land application",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,Casting of metals,211997773.0130183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,Cattle farming,197339155.5814482,0.0,0.0,398404428.39349395,0.0,533314483.5799535,12521895622.469465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.712883377145548,0.001256405824248168,34.19676307828317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,Chemicals nec,82774602.5411186,0.0,0.0,0.0,7278002.309272873,0.0,0.0,16445185.435234858,0.0,0.0,334740775.35647047,527446643.6541199,1065453.0887354976,20455.767427631265,274360603.4149956,0.0,0.0,452784028.62026006,23043718957.128475,492209115.3037642,677746.9011414305,140935.59467081062,0.0,0.0,0.0,5168087817.937199,0.0,61410699.70606871
China,Sector,"Collection, purification and distribution of water (41)",0.0,0.0,0.0,0.0,10962324084.621887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,"Composting of food waste, incl. land application",0.0,0.0,0.0,94257.74949148337,55190.02010159366,60432.72379792597,0.0,108.50138729173176,0.0,0.0,149688.18637952008,456162.54681641894,2819.524732945376,1816.1511878744905,191364.44257286264,0.0,0.0,363296.1448837306,342361.8086199611,7548.408710149599,0.0,0.0,0.0,0.0,0.0,9095.644093456178,0.0,0.0
