Region,,,China,China,China,China,China,China,China,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,RoW,RoW,RoW,RoW,RoW,RoW,RoW,USA,USA,USA,USA,USA,USA,USA
Level,,,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category
Item,,,Changes in inventories,Changes in valuables,Exports: Total (fob),Final consumption expenditure by government,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Gross fixed capital formation,Changes in inventories,Changes in valuables,Exports: Total (fob),Final consumption expenditure by government,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Gross fixed capital formation,Changes in inventories,Changes in valuables,Exports: Total (fob),Final consumption expenditure by government,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Gross fixed capital formation,Changes in inventories,Changes in valuables,Exports: Total (fob),Final consumption expenditure by government,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Gross fixed capital formation
Region,Level,Item,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Sector,Activities auxiliary to financial intermediation (67),0.0,0.0,0.0,9422122813.93992,1893804961.5339158,9767892264.648329,0.0,0.0,0.0,0.0,0.0023896651814643488,10020656.018654248,0.0,15892.349830026684,0.0,0.0,0.0,4674766.644139358,10009413.253245596,4314153.911103931,162713.2816130533,0.0,0.0,0.0,0.0,603.9428633739658,0.0,0.0
China,Sector,Activities of membership organisation n.e.c. (91),0.0,0.0,0.0,1948217367.080091,0.0,92625578068.23273,0.0,0.0,0.0,0.0,74052.30528360988,87345.8783857312,16413292.28867511,0.0,0.0,0.0,0.0,1533653.6455487516,5859810.975040276,11468789.162996504,0.0,0.0,0.0,0.0,0.0,2419265.6101820627,0.0,0.0
China,Sector,Air transport (62),324347955.20561785,0.0,0.0,628768701.2294445,5646442135.630787,85369072.55996959,1106585574.9981444,25228.97398669717,0.0,0.0,2720768.0979847196,1328853941.013454,25838.746527553947,170200.7868989721,14287680.955648793,0.0,0.0,4102066.1084922515,941707060.7340487,836614.4063876715,194861147.50190336,420684.2183752589,0.0,0.0,0.0,494070983.06101054,0.0,659961.7186879461
China,Sector,Aluminium production,1668112217.0508692,0.0,0.0,0.0,0.0,0.0,0.0,10067215.923930945,0.0,0.0,0.0,198299.68034445564,0.0,2022181.7301909379,29967960.538676452,0.0,0.0,0.0,8914433.690809853,0.0,71295535.04429914,704258.901525466,0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,Animal products nec,131481037.8242849,0.0,0.0,138249.07494255214,2740917789.8191338,266868.8003760404,29384721894.33364,1437415.2756607186,0.0,0.0,252537.2018666991,76978550.27711076,401318.8520783368,0.0,332900.68113988574,0.0,0.0,4394.226939213329,224853713.85992476,1348.3439834661353,53195235.35870692,134989.41542434224,0.0,0.0,0.0,10280240.770051109,0.0,0.0
China,Sector,"Biogasification of food waste, incl. land application",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,"Biogasification of paper, incl. land application",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,"Biogasification of sewage slugde, incl. land application",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,Casting of metals,333963873.08901125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,Cattle farming,296583520.2769562,0.0,0.0,561269681.2735736,0.0,0.0,18775135725.06539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,571.6102453769734,0.0,1270.793717275134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,Chemicals nec,105270738.46795379,0.0,0.0,0.0,0.0,0.0,0.0,18301984.279236812,0.0,0.0,183487497.55527472,153005788.05529186,330217.8051925505,197602.1731711134,306216207.70655143,0.0,0.0,538682436.4304909,30322772249.826733,580836623.9267915,379463.93040713057,1516921.9796915785,0.0,0.0,0.0,5156824225.400377,0.0,59020273.890738554
China,Sector,"Collection, purification and distribution of water (41)",0.0,0.0,0.0,0.0,13203665592.646284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,"Composting of food waste, incl. land application",0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.76315047743243,0.0,0.0,242048.55532788846,492571.9272120454,2767.371607883849,2193.1723748368704,221097.11717022822,0.0,0.0,358252.60528566426,407494.29125652194,8219.151660752572,0.0,0.0,0.0,0.0,0.0,188499.53623315366,0.0,0.0
China,Sector,"Composting of paper and wood, incl. land application",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013310291579700886,0.0,0.0,0.07981499018888738,0.0,0.0,0.7763847228380246,22.471164738799203,0.7763721176928773,0.0,0.0,0.0,0.0,0.0,126.35038788312272,0.0,0.0
