Region,Level,Item,production
China,Sector,Additives/Blending Components,0.0
China,Sector,Air transport services (62),-122781001906532.58
China,Sector,Aluminium and aluminium products,305071647721776.8
China,Sector,Aluminium ores and concentrates,2410613537818.601
China,Sector,Animal products nec,-1582892311243.8726
China,Sector,Anthracite,0.0
China,Sector,"Ash for treatment, Re-processing of ash into clinker",0.0
China,Sector,Aviation Gasoline,871340117208.6108
China,Sector,BKB/Peat Briquettes,0.0
China,Sector,Basic iron and steel and of ferro-alloys and first products thereof,995807660477124.5
China,Sector,Beverages,-22250108812765.062
China,Sector,Biodiesels,-3236732241074.0366
China,Sector,Biogas,1450937739.6204753
China,Sector,Biogasoline,-5775189045736.854
China,Sector,Bitumen,66897690326802.03
China,Sector,Blast Furnace Gas,-952091876980.0078
China,Sector,"Bottles for treatment, Recycling of bottles by direct reuse",0.0
China,Sector,"Bricks, tiles and construction products, in baked clay",511636412940.2702
China,Sector,Cattle,2790207970509.983
China,Sector,"Cement, lime and plaster",-13896950969527.549
China,Sector,Ceramic goods,17924832985271.312
China,Sector,Cereal grains nec,-94610894730.41429
China,Sector,Charcoal,0.0
China,Sector,"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",18485428064129.82
China,Sector,Chemicals nec,-3584970868594506.0
China,Sector,Coal Tar,-119232960616918.22
China,Sector,Coke Oven Coke,-130840725460674.84
China,Sector,Coke oven gas,15630485690227.7
China,Sector,Coking Coal,142062939635424.6
China,Sector,"Collected and purified water, distribution services of water (41)",-26518522467762.023
China,Sector,Computer and related services (72),128281523308203.9
China,Sector,Construction work (45),72595117009229.34
China,Sector,Copper ores and concentrates,-7605028296.353308
China,Sector,Copper products,42684383158218.91
China,Sector,Crops nec,596780076119935.8
China,Sector,"Crude petroleum and services related to crude oil extraction, excluding surveying",2278441771002810.0
China,Sector,Dairy products,-1810713734157.65
China,Sector,Disassembler of PV panels,0.0
China,Sector,Disassembler of Wind Turbines,0.0
China,Sector,Distribution and trade services of electricity,95166356868972.7
China,Sector,Distribution services of gaseous fuels through mains,-67891038037296.26
China,Sector,Dysprosium,667473541.1608013
China,Sector,Education services (80),108624798730943.66
China,Sector,Electrical machinery and apparatus n.e.c. (31),-230860772268258.72
China,Sector,Electricity by Geothermal,-60877376128.8651
China,Sector,Electricity by biomass and waste,1079209796564.3296
China,Sector,Electricity by coal,14043505095231.562
China,Sector,Electricity by gas,-3031242698156.578
China,Sector,Electricity by hydro,-227529124547230.66
China,Sector,Electricity by nuclear,-28130465743979.87
China,Sector,Electricity by petroleum and other oil derivatives,-726342661501.3395
China,Sector,Electricity by solar photovoltaic,-4170173689563.7876
China,Sector,Electricity by solar thermal,1741971134.9656076
China,Sector,"Electricity by tide, wave, ocean",-6340613513.558402
China,Sector,Electricity by wind,-5603759889621.434
China,Sector,Electricity nec,-3850665113593.957
China,Sector,Ethane,0.0
China,Sector,Extra-territorial organizations and bodies,0.0
China,Sector,"Fabricated metal products, except machinery and equipment (28)",-9450793765952.688
China,Sector,"Financial intermediation services, except insurance and pension funding services (65)",-48309681634818.34
China,Sector,Fish and other fishing products; services incidental of fishing (05),911712536589.1592
China,Sector,Fish products,-93943284682151.0
China,Sector,Food products nec,-69858262505947.31
China,Sector,Food waste for treatment: biogasification and land application,0.0
China,Sector,Food waste for treatment: composting and land application,-20423424649486.758
China,Sector,Food waste for treatment: incineration,-49623792207879.87
China,Sector,Food waste for treatment: landfill,-57155894939089.97
China,Sector,Food waste for treatment: waste water treatment,-60044993503183.2
China,Sector,Foundry work services,87576824070299.53
China,Sector,Furniture; other manufactured goods n.e.c. (36),202438339476912.66
China,Sector,Gas Coke,383563889.8149857
China,Sector,Gas Works Gas,-118459042760.3003
China,Sector,Gas/Diesel Oil,-67770166609903.19
China,Sector,Gasoline Type Jet Fuel,0.0
China,Sector,Glass and glass products,-100943073939937.19
China,Sector,Health and social work services (85),-41524393923692.21
China,Sector,Heavy Fuel Oil,-30937636599571.684
China,Sector,Hotel and restaurant services (55),1034816522976858.2
China,Sector,Inert/metal/hazardous waste for treatment: landfill,-19740894388831.81
China,Sector,Inland water transportation services,-1197385933482.564
China,Sector,"Insurance and pension funding services, except compulsory social security services (66)",186543394662183.8
China,Sector,Intert/metal waste for treatment: incineration,-12726046108684.385
