Activity to,Scenario,Year,Performance,Value
Production of photovoltaic plants,Constant,2011,Average,1.6506778835861595
Production of photovoltaic plants,Constant,2011,Best,2.105986113174815
Production of photovoltaic plants,Constant,2011,Worst,1.2366391314700442
Production of photovoltaic plants,Constant,2012,Average,1.8794341149740346
Production of photovoltaic plants,Constant,2012,Best,2.397893760101296
Production of photovoltaic plants,Constant,2012,Worst,1.4079567491665093
Production of photovoltaic plants,Constant,2013,Average,1.5381564675024377
Production of photovoltaic plants,Constant,2013,Best,1.9622739868316184
Production of photovoltaic plants,Constant,2013,Worst,1.1524992539557906
Production of photovoltaic plants,Constant,2014,Average,1.3916885511959816
Production of photovoltaic plants,Constant,2014,Best,1.77539207602916
Production of photovoltaic plants,Constant,2014,Worst,1.042790548325825
Production of photovoltaic plants,Constant,2015,Average,1.108594522363164
Production of photovoltaic plants,Constant,2015,Best,1.4141967388932462
Production of photovoltaic plants,Constant,2015,Worst,0.830725973293847
Production of photovoltaic plants,Constant,2016,Average,1.1745647141942441
Production of photovoltaic plants,Constant,2016,Best,1.4983259077528617
Production of photovoltaic plants,Constant,2016,Worst,0.8801888970802471
Production of photovoltaic plants,Constant,2017,Average,1.2712567639394674
Production of photovoltaic plants,Constant,2017,Best,1.6216655353516902
Production of photovoltaic plants,Constant,2017,Worst,0.9526497748180227
Production of photovoltaic plants,Constant,2018,Average,1.072834421542744
Production of photovoltaic plants,Constant,2018,Best,1.3686395256847719
Production of photovoltaic plants,Constant,2018,Worst,0.8038741709945398
Production of photovoltaic plants,Constant,2019,Average,1.083639453643266
Production of photovoltaic plants,Constant,2019,Best,1.3822715412580555
Production of photovoltaic plants,Constant,2019,Worst,0.8121166096830394
