Region,,,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK
Level,,,Activity,Activity,Activity,Activity,Activity
Item,,,Production of photovoltaic plants,Production of onshore wind plants,Production of offshore wind plants,Production of electricity by wind,Production of electricity by solar photovoltaic
Region,Level,Item,,,,,
China,Activity,Activities auxiliary to financial intermediation (67),2.144828574565182e-08,9.75495735251797e-09,5.105060170038298e-09,3.905089972797972e-10,2.4169253828600284e-10
China,Activity,Activities of membership organisation n.e.c. (91),1.1546884715679995e-09,2.2437302197019769e-10,1.227202799133874e-10,1.1395313496059195e-11,7.078000627041188e-12
China,Activity,Air transport (62),1.3423269983237128e-08,6.217647656361081e-09,3.4916269509394114e-09,4.207626392957114e-10,2.687258561542535e-10
China,Activity,Aluminium production,2.889704572605237e-07,2.0373744009199008e-07,9.813611858326226e-08,4.301582777972814e-09,2.6030722534379906e-09
China,Activity,Animal products nec,6.80072780783762e-10,2.405004475119943e-10,1.6807562540448776e-10,2.750804213411025e-11,1.8234253968114958e-11
China,Activity,"Biogasification of food waste, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Biogasification of paper, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Biogasification of sewage slugde, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,Casting of metals,1.9941018456080637e-07,7.250362182071755e-07,3.2507853966389266e-07,8.98872714655578e-09,5.515965478214198e-09
China,Activity,Cattle farming,1.3982725420150371e-09,4.975508342521646e-10,3.043073046959154e-10,3.592487393409388e-11,2.3337689326542194e-11
China,Activity,Chemicals nec,2.4384574722751637e-06,5.535462392877647e-07,3.2033059842870535e-07,3.611263264357353e-08,2.0289072991249737e-08
China,Activity,"Collection, purification and distribution of water (41)",5.136535353470027e-09,1.3895249387874831e-09,7.505104677111062e-10,4.579617859769576e-11,2.8524484754994815e-11
China,Activity,"Composting of food waste, incl. land application",1.922603057311737e-09,3.909064120988525e-10,2.2068081216486652e-10,1.845007467449968e-11,1.2028309251908205e-11
China,Activity,"Composting of paper and wood, incl. land application",1.2746555836530082e-09,2.507099376190935e-10,1.3768774718781641e-10,9.573303015853872e-12,6.4391279205056004e-12
China,Activity,Computer and related activities (72),5.2465820187574795e-08,2.5643418063403004e-08,1.4656568447730315e-08,1.4268245797330347e-09,1.0027465084530033e-09
China,Activity,Construction (45),1.311629892128387e-09,3.691765091981533e-10,2.469840427769387e-10,6.579948865311379e-11,7.131965492172221e-11
China,Activity,Copper production,5.291910299928395e-08,2.6511759343790495e-07,1.199245727180213e-07,3.6296916095262183e-09,2.2769081453005578e-09
China,Activity,Cultivation of cereal grains nec,7.0559761245641625e-09,1.6501633807740744e-09,9.541464249380787e-10,8.381687916885177e-11,5.859712434290752e-11
China,Activity,Cultivation of crops nec,4.34135013733278e-08,1.2976573810669327e-08,7.378846460309929e-09,6.87028190969451e-10,4.3639731909569303e-10
China,Activity,Cultivation of oil seeds,1.3792618973608386e-08,1.0329403789692321e-08,5.3786679886492496e-09,4.1259434456898983e-10,2.64976894753015e-10
China,Activity,Cultivation of paddy rice,9.658262284925808e-09,3.0654129618153384e-09,1.6427314713059318e-09,1.4313701345630786e-10,8.644365838573291e-11
China,Activity,Cultivation of plant-based fibers,1.8743623106597847e-08,9.305419680182835e-09,5.517149775704727e-09,5.651571954158105e-10,3.724907353937892e-10
China,Activity,"Cultivation of sugar cane, sugar beet",1.0078374886478508e-08,4.155040016934868e-09,2.2446454159880065e-09,1.8368270828768783e-10,1.2203363667517097e-10
China,Activity,"Cultivation of vegetables, fruit, nuts",9.820844762879612e-09,3.2904274074101492e-09,1.8803898414950575e-09,1.8040848373169004e-10,1.265961643176708e-10
China,Activity,Cultivation of wheat,6.605093100231065e-09,2.504672760173704e-09,1.3989428401197815e-09,1.3080047790653612e-10,8.597483309613302e-11
China,Activity,Distribution and trade of electricity,5.770964043386417e-10,2.2279200949150837e-10,1.208085311145522e-10,6.943427106750425e-12,4.3057429925457455e-12
China,Activity,Education (80),3.4204125964198475e-09,1.3980341675940467e-09,7.26917880437058e-10,5.669336137151363e-11,3.638203831154945e-11
China,Activity,Extra-territorial organizations and bodies,0.0,0.0,0.0,0.0,0.0
China,Activity,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",6.134682584416989e-07,2.3150558693433723e-07,1.26474498295409e-07,9.882865268080743e-09,6.191306347362363e-09
China,Activity,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",8.620248135396023e-09,5.389989556102706e-09,2.890347716912748e-09,2.5655948781961694e-10,1.4639955889392033e-10
China,Activity,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",0.0,0.0,0.0,0.0,0.0
China,Activity,"Financial intermediation, except insurance and pension funding (65)",2.7444424226335255e-07,8.348231667968826e-08,4.291667755219648e-08,2.9541998705432497e-09,1.8246859179019274e-09
China,Activity,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",7.305856912530874e-14,4.654830875052144e-14,2.464987436919868e-14,1.9832263957821788e-15,1.2993975769236961e-15
China,Activity,"Forestry, logging and related service activities (02)",1.4946562884206674e-07,6.879257959616202e-08,3.743037173541052e-08,3.3723756489311935e-09,2.0784955315735187e-09
China,Activity,Health and social work (85),3.963551352396877e-08,1.4726739072618091e-08,7.175309891473338e-09,3.200953979179637e-10,1.9373333258108975e-10
China,Activity,Hotels and restaurants (55),8.655146222063459e-08,4.4698786435510957e-08,2.4901990328298506e-08,2.2887289944822966e-09,1.6580502873568076e-09
China,Activity,Incineration of waste: Food,2.7927021484474254e-09,5.814043046244356e-10,3.208975119978824e-10,2.4994338872701673e-11,1.5719889549780973e-11
China,Activity,Incineration of waste: Metals and Inert materials,8.49565672931473e-08,1.889179978551113e-08,1.13712318581328e-08,1.2231152099829516e-09,8.012073969466085e-10
China,Activity,Incineration of waste: Oil/Hazardous waste,1.1352701362268444e-07,2.4145534746524263e-08,1.3594457529158645e-08,1.1588533954946409e-09,7.615147563117842e-10
China,Activity,Incineration of waste: Paper,2.7699572333604002e-09,5.22649373631953e-10,2.912365783784499e-10,2.445930754840729e-11,1.5445669719112703e-11
China,Activity,Incineration of waste: Plastic,8.900368220987226e-08,2.0276049268171066e-08,1.1316169919768975e-08,1.0911124364943088e-09,6.841180983318364e-10
China,Activity,Incineration of waste: Textiles,8.131715976859135e-08,1.6542222495577155e-08,9.326239635914242e-09,7.979554723711061e-10,5.06671892983344e-10
China,Activity,Incineration of waste: Wood,1.7579733007137724e-09,3.5989107481497347e-10,2.0172978635422563e-10,1.7811104016746464e-11,1.1273219214419499e-11
China,Activity,Inland water transport,1.9098020183403837e-07,9.441225015310645e-08,4.99282159925243e-08,3.466092425939978e-09,2.4629659918502653e-09
China,Activity,"Insurance and pension funding, except compulsory social security (66)",1.818455361720541e-08,7.608875405919351e-09,3.9748139350085685e-09,3.7204080902045135e-10,2.569615910823977e-10
China,Activity,Landfill of waste: Food,9.002575509474904e-09,1.8861481520257736e-09,1.0313834063603694e-09,7.643169847348317e-11,4.851792582780214e-11
China,Activity,Landfill of waste: Inert/metal/hazardous,3.1044513275831117e-09,6.022058668587009e-10,3.343320839460159e-10,2.809527957472037e-11,1.7722764530420392e-11
China,Activity,Landfill of waste: Paper,4.362473060102389e-09,8.769328668019231e-10,4.797218741934737e-10,3.6008687135052724e-11,2.2850020724432398e-11
China,Activity,Landfill of waste: Plastic,2.7539138488773385e-09,5.836481349827486e-10,3.1979135118054866e-10,2.379718612350825e-11,1.507828975645603e-11
China,Activity,Landfill of waste: Textiles,1.2249586433523414e-09,2.568157715873452e-10,1.4100315501634447e-10,1.0638048767872348e-11,6.727778438468012e-12
China,Activity,Landfill of waste: Wood,2.697867641790891e-09,5.693451731492496e-10,3.12167647011686e-10,2.3713576456545535e-11,1.4978146976631123e-11
China,Activity,"Lead, zinc and tin production",8.513227056745724e-09,1.3085043348342438e-08,6.2601810852040096e-09,3.0857246889815447e-10,2.1044045460639627e-10
China,Activity,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,2.8691109695031842e-06,7.063770074484531e-06,3.373908502452732e-06,1.4060262248704912e-07,8.533125868516362e-08
China,Activity,Manufacture of beverages,7.26057740785572e-10,4.784627480236556e-10,2.516595071037019e-10,2.0036403945316183e-11,1.3839257468072128e-11
China,Activity,"Manufacture of bricks, tiles and construction products, in baked clay",2.6929262564761415e-09,1.6294405178670374e-09,1.1388466761377042e-09,1.9588303095484516e-10,1.4449415359918208e-10
China,Activity,"Manufacture of cement, lime and plaster",7.546810475688338e-09,2.249966062211954e-09,2.2525296656699215e-09,6.318817755310138e-10,5.725407939897478e-10
China,Activity,Manufacture of ceramic goods,2.8714744475792075e-08,3.484826964847585e-08,1.8501306330151287e-08,2.0326527591508142e-09,1.5696965899891037e-09
China,Activity,Manufacture of coke oven products,3.591332766930244e-07,3.1364996474723937e-07,1.5625787746158428e-07,6.97345187550481e-09,4.249343929418941e-09
China,Activity,Manufacture of electrical machinery and apparatus n.e.c. (31),5.5104426658370214e-08,5.193807172703275e-07,2.24760961588804e-07,3.8632249180025266e-09,2.3871508543043065e-09
China,Activity,"Manufacture of fabricated metal products, except machinery and equipment (28)",3.1020352932430626e-07,3.509440628758866e-07,1.8616127320854558e-07,1.2357567897320775e-08,7.211679826834633e-09
China,Activity,Manufacture of fish products,2.629266395223813e-09,1.792685715273455e-09,9.367244049226842e-10,7.147164415049876e-11,4.671682739080401e-11
China,Activity,Manufacture of furniture; manufacturing n.e.c. (36),4.1423031197773014e-08,3.481389928803286e-08,1.7689500411091292e-08,1.4048556729210446e-09,6.860608703183083e-10
China,Activity,Manufacture of gas; distribution of gaseous fuels through mains,1.6684104272607256e-06,7.222883764080151e-07,3.87871721723577e-07,2.200101606837376e-08,1.358830867363965e-08
China,Activity,Manufacture of glass and glass products,5.168421421564666e-06,1.6588268157293783e-07,9.012543193156327e-08,4.733173374258555e-09,3.1149176854706146e-09
China,Activity,Manufacture of machinery and equipment n.e.c. (29),8.880062024038677e-08,7.69078462626187e-08,4.1540570823718375e-08,3.065751884767687e-09,1.7234354191953446e-09
China,Activity,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",3.76257073085609e-10,6.484519633971345e-10,3.57651598255365e-10,7.523104259753692e-11,4.546880272952195e-11
China,Activity,"Manufacture of motor vehicles, trailers and semi-trailers (34)",7.508896598757014e-08,1.256845467309463e-08,7.464362415468651e-09,5.967894021877337e-10,4.389005452431279e-10
China,Activity,Manufacture of office machinery and computers (30),1.6978565793510043e-08,1.510278910325077e-08,9.714164983991176e-09,1.9194142424839592e-09,1.2960249386637508e-09
China,Activity,Manufacture of other non-metallic mineral products n.e.c.,2.103507433250087e-06,7.782036389386479e-08,4.1833700025571785e-08,2.5134450584490973e-09,1.7406146663579514e-09
China,Activity,Manufacture of other transport equipment (35),3.3448497347376224e-08,1.24320890368236e-08,7.295887774785208e-09,7.370193335759058e-10,4.999366225170218e-10
China,Activity,"Manufacture of radio, television and communication equipment and apparatus (32)",1.6276523206478288e-08,3.997363587008271e-08,2.175716136213297e-08,3.3677010414061805e-09,1.9317375024674515e-09
China,Activity,Manufacture of rubber and plastic products (25),8.585812762289928e-08,7.606150624288987e-08,3.8863892304850965e-08,2.6206344130712003e-09,1.6725117256213142e-09
China,Activity,Manufacture of textiles (17),1.8401208996045502e-08,9.867024224033997e-09,5.5267682396849025e-09,5.170312723155931e-10,3.26715737196461e-10
China,Activity,Manufacture of tobacco products (16),3.1358455552631874e-08,9.847436679616915e-09,5.291461227165415e-09,2.5213424843994413e-10,1.5407751346963676e-10
China,Activity,Manufacture of wearing apparel; dressing and dyeing of fur (18),9.99581655416889e-09,3.527222112006173e-09,1.9617514028805057e-09,1.7642793234408943e-10,1.152601533619406e-10
China,Activity,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",9.622167480696249e-09,6.0995462425602955e-09,6.053164402766696e-09,9.619985787824278e-10,7.410907408087694e-10
China,Activity,"Manure treatment (biogas), storage and land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Manure treatment (conventional), storage and land application",0.0,0.0,0.0,0.0,0.0
China,Activity,Meat animals nec,3.738398793287469e-08,1.971151288074465e-09,1.4913119368356734e-09,1.2208111379098288e-10,1.0000885345197102e-10
China,Activity,Mining of aluminium ores and concentrates,7.295495914261281e-08,5.0997059628849614e-08,2.96000483808499e-08,1.8047179602525541e-09,1.1097061876717584e-09
China,Activity,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",1.9113846290274785e-08,7.805053660715833e-09,5.845654816116382e-09,5.626920039178479e-10,3.493935676190978e-10
China,Activity,Mining of coal and lignite; extraction of peat (10),1.2752045504851546e-07,6.750700318307059e-08,3.362748207459005e-08,1.7366349002044387e-09,1.0680909314527397e-09
China,Activity,Mining of copper ores and concentrates,2.274508504517266e-08,4.184198414609969e-08,2.1028009058671455e-08,6.191385784833731e-10,3.885249984842001e-10
China,Activity,Mining of iron ores,6.30446833109756e-09,1.1219831038861607e-08,5.674495899476695e-09,2.517234525451891e-10,1.519757690855944e-10
China,Activity,"Mining of lead, zinc and tin ores and concentrates",8.528876402885486e-08,4.0735603075286205e-08,2.614432225992767e-08,9.93350564768868e-10,6.5252753002098e-10
China,Activity,Mining of nickel ores and concentrates,2.6456924602106613e-08,3.6328734306392287e-08,3.8280710896060495e-08,8.296276089437155e-10,5.182130591451698e-10
China,Activity,Mining of other non-ferrous metal ores and concentrates,7.432120478723813e-08,7.585861993883476e-08,1.0848020037675627e-07,2.000334695075064e-09,1.265756459635216e-09
China,Activity,Mining of precious metal ores and concentrates,7.61285730046338e-07,5.189345281627252e-08,2.5173897086028016e-08,1.504365801891045e-09,9.401717739195878e-10
China,Activity,Mining of uranium and thorium ores (12),6.658247760938566e-09,8.216155411288041e-09,4.218463399910232e-09,4.0399682363575213e-10,2.3164754149946796e-10
China,Activity,N-fertiliser,1.8439094118077602e-10,6.547296432152161e-11,3.8411185004993384e-11,7.736785144081483e-12,2.8773989382983057e-12
China,Activity,Other business activities (74),1.8749134977750866e-07,1.1228210817869e-07,5.896669885752499e-08,7.080538845823627e-09,4.053980332230256e-09
China,Activity,Other land transport,1.3120848907725902e-08,5.552523708116648e-09,2.9965843507616664e-09,2.5813567584650936e-10,1.8212258096908337e-10
China,Activity,Other non-ferrous metal production,1.1335016929485771e-07,1.764300985622953e-07,2.821465846050791e-07,4.467843154779976e-09,2.844956937602155e-09
China,Activity,Other service activities (93),4.9545991651202615e-08,7.390157748062886e-09,4.325378527656923e-09,3.3224374785395237e-10,2.3358788358318773e-10
