Region,,,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK
Level,,,Activity,Activity,Activity,Activity,Activity
Item,,,Production of photovoltaic plants,Production of onshore wind plants,Production of offshore wind plants,Production of electricity by wind,Production of electricity by solar photovoltaic
Region,Level,Item,,,,,
China,Activity,Activities auxiliary to financial intermediation (67),2.4980889904922042e-08,1.2067811100862563e-08,6.2709296411902e-09,2.7335461810411535e-09,1.0513585891180858e-08
China,Activity,Activities of membership organisation n.e.c. (91),1.9245764148593043e-09,3.4916960437737044e-10,1.9046351383226184e-10,8.412328625697393e-11,7.983959269363333e-10
China,Activity,Air transport (62),1.623471742958341e-08,7.676715017258819e-09,4.242753521832627e-09,1.9570350692326687e-09,6.941096509025731e-09
China,Activity,Aluminium production,3.4393944302404926e-07,2.6135658627277866e-07,1.2613789212596682e-07,5.2628897945152335e-08,1.440777112813963e-07
China,Activity,Animal products nec,1.3237414701992394e-09,5.542168921230762e-10,3.497665467034558e-10,1.6329346920340458e-10,5.708878145001858e-10
China,Activity,"Biogasification of food waste, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Biogasification of paper, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Biogasification of sewage slugde, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,Casting of metals,1.8574301999965408e-07,7.229995978157459e-07,3.250971422943383e-07,1.3516969531041448e-07,8.149149872930388e-08
China,Activity,Cattle farming,2.1943612583575176e-09,8.524781732433885e-10,5.019728231902498e-10,2.2317576635503933e-10,9.314919369291606e-10
China,Activity,Chemicals nec,2.500663217689967e-06,5.354192693990638e-07,3.134557814120954e-07,1.4414904493565745e-07,1.0444522747512306e-06
China,Activity,"Collection, purification and distribution of water (41)",4.818312323377569e-09,1.1533920381783604e-09,6.340918513993656e-10,2.655262803906351e-10,1.9995249631124287e-09
China,Activity,"Composting of food waste, incl. land application",1.2781864556288894e-09,3.5184022538548273e-10,1.9495171022347724e-10,8.94926941849924e-11,5.356261493382529e-10
China,Activity,"Composting of paper and wood, incl. land application",2.5580736617271393e-10,3.7378685536801936e-11,2.1631035760456493e-11,9.035048437238217e-12,1.0593815689060827e-10
China,Activity,Computer and related activities (72),3.4796736402168774e-08,1.950513151129172e-08,1.1031438791000375e-08,4.8485817166841775e-09,1.493012750549914e-08
China,Activity,Construction (45),8.748250331220815e-10,2.439966416604861e-10,1.8431091665828878e-10,1.2285732923143602e-10,4.2042710161196126e-10
China,Activity,Copper production,5.808106375207566e-08,3.081205169039275e-07,1.3914152131863429e-07,5.808250314821277e-08,2.63676140273372e-08
China,Activity,Cultivation of cereal grains nec,2.432575404796633e-08,5.38500884236994e-09,3.056662774454745e-09,1.2937981974189805e-09,1.0116680129952448e-08
China,Activity,Cultivation of crops nec,5.0232674887902776e-08,1.4272146867644178e-08,8.06209882901019e-09,3.499043970661616e-09,2.0999296407666975e-08
China,Activity,Cultivation of oil seeds,2.024022690881004e-08,1.4116897517785786e-08,7.462476682245166e-09,3.230910308659833e-09,8.633198727538327e-09
China,Activity,Cultivation of paddy rice,1.337798148423063e-08,4.700659007066265e-09,2.5037693717725312e-09,1.1032209390454463e-09,5.601346278998358e-09
China,Activity,Cultivation of plant-based fibers,1.4297563461117656e-08,8.95597778695379e-09,5.34559044668563e-09,2.3602673775137946e-09,6.199886417997582e-09
China,Activity,"Cultivation of sugar cane, sugar beet",2.1215706996195772e-08,8.06170608235807e-09,4.345851959120489e-09,1.8725470187317697e-09,8.898324300464272e-09
China,Activity,"Cultivation of vegetables, fruit, nuts",2.946277146423287e-08,8.897280348455415e-09,5.008373575848183e-09,2.163755745808798e-09,1.2340815464124853e-08
China,Activity,Cultivation of wheat,1.0210088976392774e-08,4.1647684308222445e-09,2.312148945890009e-09,1.017792632165874e-09,4.319204194733284e-09
China,Activity,Distribution and trade of electricity,8.110402425878468e-10,3.3107102523521867e-10,1.806194677279203e-10,7.312712408551286e-11,3.3791348288179036e-10
China,Activity,Education (80),2.171017313564794e-09,8.318151624360228e-10,4.323834666836636e-10,1.9004954537103e-10,9.094658427188659e-10
China,Activity,Extra-territorial organizations and bodies,0.0,0.0,0.0,0.0,0.0
China,Activity,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",7.240792805418692e-07,2.3387077742009518e-07,1.3105774901314815e-07,5.547749171417139e-08,3.025656948801557e-07
China,Activity,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",7.69691880197129e-09,5.7090758191537734e-09,3.0580567666875933e-09,1.3572154982447087e-09,3.2983387716280433e-09
China,Activity,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",0.0,0.0,0.0,0.0,0.0
China,Activity,"Financial intermediation, except insurance and pension funding (65)",3.10659486817513e-07,1.0263186457197242e-07,5.2528259361778583e-08,2.2587000196998065e-08,1.293272625758249e-07
China,Activity,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",1.338419706142457e-13,8.687300644934294e-14,4.514948147197081e-14,1.9541039951751153e-14,5.6807832888712216e-14
China,Activity,"Forestry, logging and related service activities (02)",2.4847756572883344e-07,1.0669867135056337e-07,5.906125524090586e-08,2.626466433557927e-08,1.0506817563021358e-07
China,Activity,Health and social work (85),3.100311903397678e-08,1.2454143086192383e-08,5.979050817777219e-09,2.4919526257478526e-09,1.2846357555881552e-08
China,Activity,Hotels and restaurants (55),1.209954219395491e-07,6.287147922039654e-08,3.496526109835793e-08,1.5241134463244162e-08,5.158937674727023e-08
China,Activity,Incineration of waste: Food,4.346038119475946e-09,6.776263628864689e-10,3.9028452080707024e-10,1.678474491295038e-10,1.800630030299016e-09
China,Activity,Incineration of waste: Metals and Inert materials,6.750216568548692e-08,2.6455158789977617e-08,1.4705049060342257e-08,7.060862867456429e-09,2.8727150260318806e-08
China,Activity,Incineration of waste: Oil/Hazardous waste,1.319236068214389e-07,3.103885656022755e-08,1.741800634031997e-08,7.831176470698145e-09,5.508785933007183e-08
China,Activity,Incineration of waste: Paper,4.47826342409284e-09,6.914793197110636e-10,3.964935763259961e-10,1.7131177706562638e-10,1.8555099501420134e-09
China,Activity,Incineration of waste: Plastic,1.0293911794374906e-07,2.4673684953387448e-08,1.3845144620069704e-08,6.2850112536494935e-09,4.299784520403527e-08
China,Activity,Incineration of waste: Textiles,1.0635521338001218e-07,1.8866437104523732e-08,1.0991315496198693e-08,4.816773236592747e-09,4.4170758611540676e-08
China,Activity,Incineration of waste: Wood,1.0285260570087186e-09,1.9162945019660203e-10,1.1034134070181545e-10,4.84296127426402e-11,4.2755045704615036e-10
China,Activity,Inland water transport,2.0118938257965937e-07,1.023185444813404e-07,5.4448862751517835e-08,2.322069356587223e-08,8.503116825684432e-08
China,Activity,"Insurance and pension funding, except compulsory social security (66)",2.4008029459778012e-08,1.1275963009090655e-08,5.82852537000402e-09,2.6161526766928205e-09,1.015696811870453e-08
China,Activity,Landfill of waste: Food,1.273892690880012e-08,1.928769391201963e-09,1.0983820922868118e-09,4.666201080447258e-10,5.271997542833183e-09
China,Activity,Landfill of waste: Inert/metal/hazardous,4.585170769281357e-09,8.26229482260949e-10,4.6553731015539114e-10,2.0078140564517535e-10,1.9023391021936615e-09
China,Activity,Landfill of waste: Paper,5.576882976417086e-09,9.032083085584816e-10,5.123429681697276e-10,2.1939961341653136e-10,2.309967534222583e-09
China,Activity,Landfill of waste: Plastic,3.814790383555899e-09,5.452657778173259e-10,3.1462929756879775e-10,1.3359887315471325e-10,1.5790588185834154e-09
China,Activity,Landfill of waste: Textiles,1.5996057441119254e-09,2.408248099011375e-10,1.3931753330126624e-10,5.948088504962627e-11,6.627499106876463e-10
China,Activity,Landfill of waste: Wood,2.106473567565679e-09,3.1113408412975796e-10,1.7910001295600206e-10,7.645790484060953e-11,8.723785624675124e-10
China,Activity,"Lead, zinc and tin production",9.400930281950135e-09,1.5693821805682503e-08,7.714229886177826e-09,3.257096356603258e-09,4.1079041649758464e-09
China,Activity,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,2.6587996659206408e-06,8.508610230779172e-06,4.068472549447285e-06,1.6874985175080258e-06,1.1835625364615017e-06
China,Activity,Manufacture of beverages,2.3180260758392435e-09,1.6088987129395777e-09,8.391015462886937e-10,3.645586348653608e-10,9.895445072729883e-10
China,Activity,"Manufacture of bricks, tiles and construction products, in baked clay",2.5617150963688858e-09,1.2791950821192813e-09,1.063444132391634e-09,5.349700558096706e-10,1.1974296194800976e-09
China,Activity,"Manufacture of cement, lime and plaster",6.62134002918716e-09,1.9636927470220504e-09,2.376557078160606e-09,1.3341684945458867e-09,3.2883409960664705e-09
China,Activity,Manufacture of ceramic goods,2.543877267521268e-08,3.55294632846006e-08,1.8885861158533545e-08,8.771400709586146e-09,1.1867223513137982e-08
China,Activity,Manufacture of coke oven products,2.587908230939897e-07,2.9404595139778117e-07,1.4631804312689136e-07,6.026636078093762e-08,1.0977334493289967e-07
China,Activity,Manufacture of electrical machinery and apparatus n.e.c. (31),5.6699321627773324e-08,5.587296759037804e-07,2.4224408767785874e-07,1.0016821850701453e-07,2.587622820057367e-08
China,Activity,"Manufacture of fabricated metal products, except machinery and equipment (28)",3.2369178787074064e-07,3.8727933141603047e-07,2.065501874765252e-07,8.690248862729055e-08,1.400859457551767e-07
China,Activity,Manufacture of fish products,5.345595831699353e-09,3.5865678510772874e-09,1.8524545610746216e-09,7.991493957042649e-10,2.2688114035662343e-09
China,Activity,Manufacture of furniture; manufacturing n.e.c. (36),9.907235794246878e-08,8.664848612185495e-08,4.3981065290848475e-08,1.9373549993495668e-08,4.213557639196546e-08
China,Activity,Manufacture of gas; distribution of gaseous fuels through mains,2.499299058350915e-06,9.826877076651279e-07,5.407102388214113e-07,2.1623478170190354e-07,1.0399439885250688e-06
China,Activity,Manufacture of glass and glass products,5.771956820706364e-06,1.876152859902688e-07,1.0201465270359277e-07,4.105033329458568e-08,2.3675840686865225e-06
China,Activity,Manufacture of machinery and equipment n.e.c. (29),8.858134189385085e-08,8.317731691589965e-08,4.471192175555808e-08,1.8928299883762127e-08,3.794715389161915e-08
China,Activity,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",4.076058825642908e-10,8.241713632755775e-10,4.44417685307298e-10,2.377285835327579e-10,2.2127469027099862e-10
China,Activity,"Manufacture of motor vehicles, trailers and semi-trailers (34)",7.83546823626417e-08,1.3580463009255731e-08,8.063242934858634e-09,3.3972768512974468e-09,3.254793634677547e-08
China,Activity,Manufacture of office machinery and computers (30),1.8837548917513657e-08,1.788735724918729e-08,1.1124988495515814e-08,5.714179884799128e-09,9.07846220596858e-09
China,Activity,Manufacture of other non-metallic mineral products n.e.c.,2.043062202745451e-06,1.1570997825808908e-07,6.073582968153445e-08,2.5046291056903754e-08,8.390210100954721e-07
China,Activity,Manufacture of other transport equipment (35),2.0898271880909596e-08,1.3769383936248215e-08,7.745137036519534e-09,3.4649859385743966e-09,9.050648064775794e-09
China,Activity,"Manufacture of radio, television and communication equipment and apparatus (32)",1.747424650122512e-08,4.7018045884020714e-08,2.5028452216747783e-08,1.2560380470545013e-08,9.141638278851017e-09
China,Activity,Manufacture of rubber and plastic products (25),8.876238914470588e-08,7.578276050239151e-08,3.9444060799338506e-08,1.7035496759582463e-08,3.809439869036533e-08
China,Activity,Manufacture of textiles (17),1.4806236471930215e-08,9.892968678815175e-09,5.583244404838899e-09,2.4689609224117936e-09,6.384131181776952e-09
China,Activity,Manufacture of tobacco products (16),4.043144402346497e-08,1.3420049978399346e-08,7.108661581605746e-09,2.8470703614604206e-09,1.6744838003152597e-08
China,Activity,Manufacture of wearing apparel; dressing and dyeing of fur (18),4.82095152640875e-09,1.960799511833819e-09,1.1061201160938338e-09,4.908070303699222e-10,2.040349724443184e-09
China,Activity,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",1.342249889002478e-08,7.422829903040498e-09,7.228332475168103e-09,3.1177758535879206e-09,6.280821897605827e-09
China,Activity,"Manure treatment (biogas), storage and land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Manure treatment (conventional), storage and land application",0.0,0.0,0.0,0.0,0.0
China,Activity,Meat animals nec,3.940470332715614e-08,2.1072045521737464e-09,1.611623521193499e-09,6.180327952778308e-10,1.623854534228886e-08
China,Activity,Mining of aluminium ores and concentrates,6.949099344580404e-08,4.42447991582674e-08,2.881995355007239e-08,1.1339474791504063e-08,2.9626747488967937e-08
China,Activity,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",1.8799236403039142e-08,7.218098339701443e-09,6.0299838473823264e-09,2.3635909203774823e-09,8.04467319663417e-09
China,Activity,Mining of coal and lignite; extraction of peat (10),1.5104693957849992e-07,4.656467530704308e-08,2.424462443390098e-08,1.0189336035459394e-08,6.274197213230804e-08
China,Activity,Mining of copper ores and concentrates,1.7160091749145623e-08,3.5025095328123734e-08,1.74045639616852e-08,6.919494752145757e-09,7.33944344480242e-09
China,Activity,Mining of iron ores,4.550118589140295e-09,1.0799972917567477e-08,5.356773303579213e-09,2.1793181889127917e-09,1.985257448653939e-09
China,Activity,"Mining of lead, zinc and tin ores and concentrates",2.0218180279051968e-08,3.133998213020714e-08,1.6388345414483928e-08,6.8313122950959294e-09,8.87121011707564e-09
China,Activity,Mining of nickel ores and concentrates,2.4070327802322232e-08,4.2240735895975675e-08,6.575859810492462e-08,1.6881038735829783e-08,1.0495339911521287e-08
China,Activity,Mining of other non-ferrous metal ores and concentrates,7.092026509322897e-08,8.659129881673836e-08,1.3154910014311768e-07,3.403710044395746e-08,3.036657199317896e-08
China,Activity,Mining of precious metal ores and concentrates,7.197047572222414e-07,4.082413816021947e-08,2.2062635414890905e-08,8.965353549036406e-09,2.954897612079686e-07
China,Activity,Mining of uranium and thorium ores (12),5.215023422373628e-09,6.680655153691394e-09,3.383393880508974e-09,1.5482519879033303e-09,2.31012194573218e-09
China,Activity,N-fertiliser,2.073866331631213e-10,1.0638433277685447e-10,6.379735988859278e-11,3.209318808326314e-11,8.94093285753924e-11
China,Activity,Other business activities (74),1.9972794346282045e-07,1.25410911290835e-07,6.508198954743696e-08,3.065940424583398e-08,8.583338981770633e-08
China,Activity,Other land transport,1.4284311221451902e-08,5.936762051495525e-09,3.2093655026556574e-09,1.3990794316474911e-09,6.026399167639474e-09
China,Activity,Other non-ferrous metal production,1.214920465361953e-07,2.13365337997666e-07,3.3326210183537556e-07,8.545841258601344e-08,5.297042659321995e-08
China,Activity,Other service activities (93),5.655814058199861e-08,7.457821139205832e-09,4.393758609553276e-09,1.8385109278640752e-09,2.3399148710498652e-08
