Region,,,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK
Level,,,Activity,Activity,Activity,Activity,Activity
Item,,,Production of photovoltaic plants,Production of onshore wind plants,Production of offshore wind plants,Production of electricity by wind,Production of electricity by solar photovoltaic
Region,Level,Item,,,,,
China,Activity,Activities auxiliary to financial intermediation (67),2.366673196420786e-08,1.1346638884561181e-08,6.006387015585747e-09,3.7267450376095705e-09,1.3244313402722557e-08
China,Activity,Activities of membership organisation n.e.c. (91),1.605535230303162e-09,2.631964649716809e-10,1.4402984953222246e-10,8.78289743396973e-11,8.870779798699571e-10
China,Activity,Air transport (62),1.5724838635397035e-08,6.875143378979877e-09,3.702169144626275e-09,2.3313878033322134e-09,8.824812118394397e-09
China,Activity,Aluminium production,3.0273366466591196e-07,2.410224985330481e-07,1.1826187112085809e-07,7.32359200249481e-08,1.6929976392436356e-07
China,Activity,Animal products nec,2.0415371263674734e-09,6.796592551936159e-10,4.138610411630949e-10,2.6097862560500997e-10,1.1565449630257268e-09
China,Activity,"Biogasification of food waste, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Biogasification of paper, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Biogasification of sewage slugde, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,Casting of metals,1.4584179016790652e-07,6.39413192768384e-07,2.8713480507781985e-07,1.8048109190457706e-07,8.497486732495125e-08
China,Activity,Cattle farming,1.6709815961572781e-09,5.88321862288881e-10,3.446021428444816e-10,2.1093581089573915e-10,9.373753267183483e-10
China,Activity,Chemicals nec,1.7263960556879238e-06,3.8503785311900956e-07,2.358396279153536e-07,1.5649787757482158e-07,9.651246498886797e-07
China,Activity,"Collection, purification and distribution of water (41)",2.1343997344641273e-09,5.005765963240277e-10,2.726232038450288e-10,1.6792078542107746e-10,1.1824044539671958e-09
China,Activity,"Composting of food waste, incl. land application",1.5580371431524902e-09,2.415050461538988e-10,1.4017075697865355e-10,8.573233796213851e-11,8.636895880466511e-10
China,Activity,"Composting of paper and wood, incl. land application",2.1959134489515262e-10,2.884119758939056e-11,1.6876038365369924e-11,1.0108054859786698e-11,1.2161312648070727e-10
China,Activity,Computer and related activities (72),2.6189156930664355e-08,1.5447360503106507e-08,9.747352148963745e-09,5.422716742191935e-09,1.4676989828356183e-08
China,Activity,Construction (45),1.6329317764909873e-09,2.7410748204659403e-10,1.6044371733521555e-10,1.0890337511757703e-10,9.197886398978616e-10
China,Activity,Copper production,4.698079788797377e-08,2.7671925320183535e-07,1.25443752435039e-07,7.886128280355151e-08,2.8206244889934183e-08
China,Activity,Cultivation of cereal grains nec,2.2896992856277416e-08,5.359364640608191e-09,3.061571524736311e-09,1.8354363784993778e-09,1.2744384188039124e-08
China,Activity,Cultivation of crops nec,2.1853742361968296e-08,6.161151827406197e-09,3.595450020455663e-09,2.192255458376108e-09,1.218900854908583e-08
China,Activity,Cultivation of oil seeds,2.1469368847367433e-08,1.0915653201297322e-08,5.99319984174746e-09,3.809866372994531e-09,1.2141841151050318e-08
China,Activity,Cultivation of paddy rice,8.782976654941062e-09,3.377829487620644e-09,1.8214163824545868e-09,1.1558133327290805e-09,4.913617527814976e-09
China,Activity,Cultivation of plant-based fibers,1.1525826569255349e-08,7.82011961820759e-09,4.616188669500251e-09,2.880130201874753e-09,6.647710946315681e-09
China,Activity,"Cultivation of sugar cane, sugar beet",1.7556202202403205e-08,5.8752285107981494e-09,3.1676611625309224e-09,1.930159652363384e-09,9.779659706009619e-09
China,Activity,"Cultivation of vegetables, fruit, nuts",3.064991221992546e-08,9.078663369257887e-09,5.139845465045283e-09,3.1077865076524416e-09,1.7092899291713773e-08
China,Activity,Cultivation of wheat,6.838191745750302e-09,2.8343486491730463e-09,1.577138081892436e-09,9.84686770984084e-10,3.84151262422321e-09
China,Activity,Distribution and trade of electricity,5.730887199038597e-10,1.582769620670594e-10,9.040056659817284e-11,5.256732756128585e-11,3.171621498922701e-10
China,Activity,Education (80),1.0014012905647642e-09,3.221000009054915e-10,1.6945762319379943e-10,1.0440260579244357e-10,5.562470987742928e-10
China,Activity,Extra-territorial organizations and bodies,0.0,0.0,0.0,0.0,0.0
China,Activity,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",3.278648860042608e-07,1.4337660724694542e-07,8.057929698780773e-08,5.008143285147936e-08,1.8395071576897336e-07
China,Activity,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",5.558413123258572e-09,4.267526238458129e-09,2.3100514970726318e-09,1.4636068721899005e-09,3.17203642807779e-09
China,Activity,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",0.0,0.0,0.0,0.0,0.0
China,Activity,"Financial intermediation, except insurance and pension funding (65)",3.070470098400316e-07,1.0323787259953746e-07,5.298996403690879e-08,3.282871767852477e-08,1.7060741237807514e-07
China,Activity,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",6.499393999300263e-14,4.4642661849486803e-14,2.3060312080128975e-14,1.4284694231538773e-14,3.657700845848025e-14
China,Activity,"Forestry, logging and related service activities (02)",2.1633554582643814e-07,8.871837443003308e-08,5.029892049126116e-08,3.198417183344825e-08,1.2177335949905158e-07
China,Activity,Health and social work (85),2.7884536456701827e-08,1.2393743258377e-08,5.892656917271561e-09,3.665481542275849e-09,1.5427497617202418e-08
China,Activity,Hotels and restaurants (55),9.661251302987803e-08,4.802491179394906e-08,2.66360001561886e-08,1.5843155271869318e-08,5.3945194719645386e-08
China,Activity,Incineration of waste: Food,8.515259675302642e-09,7.847131722834135e-10,4.553070326689078e-10,2.696642787350852e-10,4.691196291914142e-09
China,Activity,Incineration of waste: Metals and Inert materials,7.47896444060643e-08,1.2467988667715451e-08,8.274920826243985e-09,5.293202452590514e-09,4.186923702774566e-08
China,Activity,Incineration of waste: Oil/Hazardous waste,1.0805983557764279e-07,1.6354951226551986e-08,9.73155006674879e-09,6.139868642035092e-09,5.997738528806823e-08
China,Activity,Incineration of waste: Paper,8.683328907650509e-09,8.052537864723794e-10,4.67610417994981e-10,2.767191374082114e-10,4.783784170595078e-09
China,Activity,Incineration of waste: Plastic,7.516202467038587e-08,1.3070612454205604e-08,7.477588109040333e-09,4.5724677558630964e-09,4.1649432256066e-08
China,Activity,Incineration of waste: Textiles,8.398838947610944e-08,1.4086739050970434e-08,7.968744761666692e-09,4.842224542241335e-09,4.653995318114698e-08
China,Activity,Incineration of waste: Wood,1.1102336301210126e-09,1.640423958928313e-10,9.582633719697731e-11,5.821233082487507e-11,6.151005079516546e-10
China,Activity,Inland water transport,1.5582071921495908e-07,6.347219839742987e-08,3.3778636489171656e-08,2.078610539505742e-08,8.7058402597482e-08
China,Activity,"Insurance and pension funding, except compulsory social security (66)",2.00066542843409e-08,8.682879414975604e-09,4.4517925308707824e-09,2.780948342317769e-09,1.1186664558903087e-08
China,Activity,Landfill of waste: Food,1.3235226386864536e-08,1.9554460532942723e-09,1.1105998932058534e-09,6.735759612162942e-10,7.325681456997171e-09
China,Activity,Landfill of waste: Inert/metal/hazardous,9.987796315586785e-09,8.968080323309873e-10,5.242818683745428e-10,3.115455579967128e-10,5.502607262808505e-09
China,Activity,Landfill of waste: Paper,5.619058934002322e-09,8.771654002781093e-10,4.965426691941346e-10,3.008767776866839e-10,3.1106897643713405e-09
China,Activity,Landfill of waste: Plastic,8.390928022195245e-09,8.165177837372545e-10,4.677148027614757e-10,2.776857438899074e-10,4.622849605169738e-09
China,Activity,Landfill of waste: Textiles,1.5612535096443604e-09,2.2941726387506457e-10,1.328336441131864e-10,7.987418827791315e-11,8.644876945587183e-10
China,Activity,Landfill of waste: Wood,1.6442599781683864e-09,2.2643544107004058e-10,1.3266968826946152e-10,7.955654796085239e-11,9.102709223341109e-10
China,Activity,"Lead, zinc and tin production",8.02766998342313e-09,1.2740270739124272e-08,6.1515457374981695e-09,3.85570861600638e-09,4.591929951771809e-09
China,Activity,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,2.1300835002378414e-06,6.157819392128699e-06,2.9492613676733086e-06,1.8325361031121455e-06,1.2421911193509613e-06
China,Activity,Manufacture of beverages,2.3298423247007126e-09,1.5748037650338618e-09,8.196815859112541e-10,5.036797473702061e-10,1.3084509155690122e-09
China,Activity,"Manufacture of bricks, tiles and construction products, in baked clay",2.3377717137319948e-09,1.1571315758448095e-09,8.458506644674302e-10,5.678313405967695e-10,1.3848277703058418e-09
China,Activity,"Manufacture of cement, lime and plaster",7.861351403677937e-09,1.952838975568085e-09,2.542395737614097e-09,1.6816604945151353e-09,4.858982324326395e-09
China,Activity,Manufacture of ceramic goods,1.2261686591475257e-08,2.0295918528902277e-08,1.0897306666305508e-08,7.1225165604304845e-09,7.599387724668761e-09
China,Activity,Manufacture of coke oven products,1.4429139627299352e-07,1.7640080579852117e-07,9.089477535885183e-08,5.507456646399976e-08,8.17032788247715e-08
China,Activity,Manufacture of electrical machinery and apparatus n.e.c. (31),3.754973301722388e-08,4.3290648298494095e-07,1.8805326226189694e-07,1.1867806071848579e-07,2.2911573545420317e-08
China,Activity,"Manufacture of fabricated metal products, except machinery and equipment (28)",2.8087641826845427e-07,3.5525548227123333e-07,1.912727351981311e-07,1.1661920832989067e-07,1.6106999764316693e-07
China,Activity,Manufacture of fish products,5.693279710233116e-09,3.922789931240434e-09,2.017739778127658e-09,1.2482657913751918e-09,3.2017765216858858e-09
China,Activity,Manufacture of furniture; manufacturing n.e.c. (36),8.099673893911792e-08,7.483106942338673e-08,3.8722751899929465e-08,2.445267054956581e-08,4.584405126966018e-08
China,Activity,Manufacture of gas; distribution of gaseous fuels through mains,1.7189817574912261e-06,6.325308101699459e-07,3.1069428951721037e-07,1.9303937810118235e-07,9.520118034005018e-07
China,Activity,Manufacture of glass and glass products,4.1367931816773905e-06,1.4139428943585382e-07,7.723062909276414e-08,4.574484166322577e-08,2.269727757141325e-06
China,Activity,Manufacture of machinery and equipment n.e.c. (29),7.149131655856932e-08,7.114893253736051e-08,3.815350147587138e-08,2.337660680945848e-08,4.0667788922928994e-08
China,Activity,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",3.1594950761376304e-10,6.635153385078115e-10,3.518284768043121e-10,2.539318590807046e-10,2.1096932912080845e-10
China,Activity,"Manufacture of motor vehicles, trailers and semi-trailers (34)",2.54628542290788e-08,6.95471257607149e-09,4.253254230317198e-09,2.621562448149915e-09,1.4277589630588501e-08
China,Activity,Manufacture of office machinery and computers (30),1.4344365642549133e-08,1.5553902224319193e-08,9.367039892390625e-09,6.4033696760772335e-09,8.901470208670826e-09
China,Activity,Manufacture of other non-metallic mineral products n.e.c.,1.5152916669895775e-06,8.928594558474428e-08,4.696862840805032e-08,2.8483910781671127e-08,8.321340386264129e-07
China,Activity,Manufacture of other transport equipment (35),2.42671891936082e-08,8.886603291230036e-09,5.193891000397705e-09,3.22943635552544e-09,1.370230736428967e-08
China,Activity,"Manufacture of radio, television and communication equipment and apparatus (32)",1.2610998407660194e-08,1.4056152941040822e-08,1.0068850976729124e-08,7.575612776377383e-09,8.503960475647892e-09
China,Activity,Manufacture of rubber and plastic products (25),7.071513787296849e-08,5.6319282337644545e-08,2.9792799900861672e-08,1.8833852746562767e-08,4.0323392751765017e-08
China,Activity,Manufacture of textiles (17),1.436342982292485e-08,1.006504143757675e-08,5.634629093895722e-09,3.546330743725541e-09,8.242716216388203e-09
China,Activity,Manufacture of tobacco products (16),4.458816667899129e-08,1.3398352364915024e-08,7.803375344880234e-09,4.398801404034527e-09,2.4616381459134486e-08
China,Activity,Manufacture of wearing apparel; dressing and dyeing of fur (18),4.0264873615442515e-09,1.5060392341160995e-09,8.320522700163965e-10,5.214671540009261e-10,2.265204670021318e-09
China,Activity,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",1.0666802681502705e-08,6.683746526028787e-09,5.927431209801936e-09,3.4443071685830215e-09,6.471768683615012e-09
China,Activity,"Manure treatment (biogas), storage and land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Manure treatment (conventional), storage and land application",0.0,0.0,0.0,0.0,0.0
China,Activity,Meat animals nec,3.347126064765112e-08,1.4473941617358634e-09,1.1563925846784234e-09,6.123537908666443e-10,1.8561354125245895e-08
China,Activity,Mining of aluminium ores and concentrates,5.249708531320193e-08,3.042246660110526e-08,1.9745576175939517e-08,1.1396718439264635e-08,2.9690640485620614e-08
China,Activity,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",9.410157541312181e-09,7.241338506636491e-09,6.4154102401128565e-09,3.395003802042895e-09,5.535626066985758e-09
China,Activity,Mining of coal and lignite; extraction of peat (10),2.1632954153719924e-07,2.7114354067449036e-08,1.4661367080694218e-08,8.741045043990168e-09,1.1904434459006774e-07
China,Activity,Mining of copper ores and concentrates,9.341308922740707e-09,2.4049989223872373e-08,1.0972744204380427e-08,6.880597588405202e-09,5.337279799134088e-09
China,Activity,Mining of iron ores,3.2836120717429803e-09,7.54687854413861e-09,3.7059815815006463e-09,2.288131407579084e-09,1.9016759412536825e-09
China,Activity,"Mining of lead, zinc and tin ores and concentrates",4.511472616420186e-08,2.995251715875572e-08,1.5597494398036977e-08,9.486994925088572e-09,2.524979361785828e-08
China,Activity,Mining of nickel ores and concentrates,2.7470861965322955e-08,3.795894488985326e-08,7.081526236760027e-08,2.6116505833025126e-08,1.570821304026183e-08
China,Activity,Mining of other non-ferrous metal ores and concentrates,3.542795736868178e-08,3.710572294344412e-08,1.7982133417093007e-08,1.1195714154639203e-08,1.9915006841521584e-08
China,Activity,Mining of precious metal ores and concentrates,5.480303940837545e-07,3.709409392711702e-08,1.7010541005758254e-08,1.0740901854078089e-08,3.0073757130423487e-07
China,Activity,Mining of uranium and thorium ores (12),3.74738129528829e-09,4.283472103201183e-09,2.1518516729415427e-09,1.3920316916318157e-09,2.161928251472943e-09
China,Activity,N-fertiliser,4.1182633347736157e-10,1.206282471756128e-10,7.002489827933149e-11,6.208636968098548e-11,2.3063567006127264e-10
China,Activity,Other business activities (74),1.8311566827487841e-07,1.2247752004872745e-07,6.012102805718434e-08,3.7607242461084044e-08,1.024135744771057e-07
China,Activity,Other land transport,1.5804690220976942e-08,5.9211678232905716e-09,3.2211012717931915e-09,1.9739548854401564e-09,8.857291482919797e-09
China,Activity,Other non-ferrous metal production,9.630587892307842e-08,1.649599407127343e-07,3.1587665631358736e-07,1.1578131769612062e-07,5.564441971323375e-08
China,Activity,Other service activities (93),5.803568426112329e-08,7.37953751859075e-09,4.330822898801064e-09,2.5217510744896695e-09,3.21666221444251e-08
