Region,,,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK
Level,,,Activity,Activity,Activity,Activity,Activity
Item,,,Production of photovoltaic plants,Production of onshore wind plants,Production of offshore wind plants,Production of electricity by wind,Production of electricity by solar photovoltaic
Region,Level,Item,,,,,
China,Activity,Activities auxiliary to financial intermediation (67),1.593633169138496e-05,7.613756216643116e-06,4.0358398368516735e-06,3.3977742762635416e-07,2.238486394590869e-07
China,Activity,Activities of membership organisation n.e.c. (91),1.2634392632424884e-05,2.1898819888743445e-06,1.2000891845760543e-06,1.0604309732292363e-07,6.956263391223543e-08
China,Activity,Air transport (62),0.001961001321256273,0.0008918239675528181,0.0004940458596103824,5.918814820498972e-05,4.045230070681486e-05
China,Activity,Aluminium production,0.001121548321454803,0.0008397269415072492,0.0004049841536774322,1.922963789633708e-05,1.244538625922664e-05
China,Activity,Animal products nec,7.23726642388956e-06,2.5102401318144964e-06,1.5823908307123798e-06,2.5148566224875306e-07,1.7170579184488466e-07
China,Activity,"Biogasification of food waste, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Biogasification of paper, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Biogasification of sewage slugde, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,Casting of metals,0.0008686095824655722,0.0035775947191542053,0.001606155679424917,4.875573957750225e-05,3.141260894996508e-05
China,Activity,Cattle farming,3.6975529615671054e-06,1.311681079154697e-06,8.052379009865677e-07,1.0557312013572286e-07,7.204008055656824e-08
China,Activity,Chemicals nec,0.02157520202435046,0.004491069536836863,0.0027028525805435164,0.00045149160403293596,0.0002755141827336734
China,Activity,"Collection, purification and distribution of water (41)",1.2264264735405232e-05,2.923105872174523e-06,1.5767461287774313e-06,1.2689533612282248e-07,8.435241042106093e-08
China,Activity,"Composting of food waste, incl. land application",1.3754064089446875e-06,2.5385802845746234e-07,1.4355218334993455e-07,1.502933881176254e-08,1.0114829315297792e-08
China,Activity,"Composting of paper and wood, incl. land application",2.0921492236666425e-07,3.3260167491426445e-08,1.8345249725377003e-08,1.4986518050375288e-09,1.0724336555650378e-09
China,Activity,Computer and related activities (72),1.5104861885446373e-05,9.33792069975567e-06,6.003744531893224e-06,4.90545320377498e-07,3.559422148410133e-07
China,Activity,Construction (45),3.1071752749203195e-05,5.910635919817645e-06,4.377682415550996e-06,1.4076763085060587e-06,1.695221985127605e-06
China,Activity,Copper production,0.0002549693417240294,0.0016517743393964228,0.0007407751589557184,2.383106320205676e-05,1.5529213304674562e-05
China,Activity,Cultivation of cereal grains nec,0.00010627374473256094,2.6041181530534826e-05,1.5147284809308903e-05,1.417726775298245e-06,1.0596198360411166e-06
China,Activity,Cultivation of crops nec,6.927628590430474e-05,1.980687578329017e-05,1.161727880947087e-05,1.1529826174939949e-06,7.803869389952571e-07
China,Activity,Cultivation of oil seeds,0.0001086705720898361,5.632606330638116e-05,3.067667677879136e-05,3.292677487663226e-06,2.164016192528709e-06
China,Activity,Cultivation of paddy rice,3.714477279472373e-05,1.570767935984904e-05,8.482558144059265e-06,9.005596404914663e-07,5.764885810347011e-07
China,Activity,Cultivation of plant-based fibers,0.00018361063309282863,0.00012342563361067218,7.229737372301833e-05,8.046799260740437e-06,5.611399069167727e-06
China,Activity,"Cultivation of sugar cane, sugar beet",7.743444500492208e-05,3.265942045353222e-05,1.765084696337593e-05,1.516778630803586e-06,1.0546658350877313e-06
China,Activity,"Cultivation of vegetables, fruit, nuts",0.00024864722108626676,8.261838089909615e-05,4.803540838976022e-05,5.003398509667099e-06,3.547021893265635e-06
China,Activity,Cultivation of wheat,2.0302998624688848e-05,8.84158093201447e-06,4.941274293949275e-06,5.225528430127967e-07,3.630180382916122e-07
China,Activity,Distribution and trade of electricity,1.2017741351769211e-05,3.731628591167571e-06,2.0680062219225505e-06,1.1289797923902727e-07,7.645224700802763e-08
China,Activity,Education (80),2.4459978771712775e-06,8.628107481316832e-07,4.514394070180753e-07,3.9243164179094504e-08,2.4617634715462795e-08
China,Activity,Extra-territorial organizations and bodies,0.0,0.0,0.0,0.0,0.0
China,Activity,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",0.0012079183767833544,0.00045245573817482486,0.00025483662182181825,2.2447645068303983e-05,1.5432532327107735e-05
China,Activity,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",1.1946008076305987e-05,1.0341232400533715e-05,5.484271653787743e-06,4.858590200979324e-07,3.052491316998538e-07
China,Activity,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",0.0,0.0,0.0,0.0,0.0
China,Activity,"Financial intermediation, except insurance and pension funding (65)",0.0006567101472946162,0.00022508584548283075,0.00011540295756779049,8.328245869143291e-06,5.61407065779607e-06
China,Activity,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",1.7514847559010852e-06,1.3108882705117428e-06,6.739106779198814e-07,5.112879500174623e-08,3.4332438947441086e-08
China,Activity,"Forestry, logging and related service activities (02)",0.00012482660510953266,5.255620389212962e-05,2.9559260028543527e-05,3.3904248980953756e-06,2.210128544110961e-06
China,Activity,Health and social work (85),0.00017788815121086817,7.299883453489534e-05,3.5024613434762454e-05,1.5591967465945272e-06,1.0094103767826269e-06
China,Activity,Hotels and restaurants (55),9.884340058713565e-05,4.945528202143177e-05,2.863208100016163e-05,2.7082656074543085e-06,1.9286785943497606e-06
China,Activity,Incineration of waste: Food,6.298326222700751e-06,8.081551690309521e-07,4.483344651561753e-07,3.4099304968676015e-08,2.30067937271112e-08
China,Activity,Incineration of waste: Metals and Inert materials,0.0002056909870867559,3.288447525596628e-05,2.028318581180067e-05,2.6432052547535186e-06,1.7091278372594269e-06
China,Activity,Incineration of waste: Oil/Hazardous waste,0.00037877015235127044,5.6386507630416135e-05,3.1960215635494865e-05,2.8642955639727283e-06,1.959068529833299e-06
China,Activity,Incineration of waste: Paper,6.086126164036731e-06,7.97092293339893e-07,4.3983486161366176e-07,3.429288906328138e-08,2.3271038387550504e-08
China,Activity,Incineration of waste: Plastic,0.0003394337874876158,5.139259813307492e-05,2.8563475060755424e-05,2.5478052847923075e-06,1.7046046402559482e-06
China,Activity,Incineration of waste: Textiles,0.0003492322167951085,4.8497825076544175e-05,2.7298377163104156e-05,2.109506736672329e-06,1.4317171517851752e-06
China,Activity,Incineration of waste: Wood,1.013712157949564e-06,1.4358144025586618e-07,7.96262001036522e-08,6.5404365643740585e-09,4.480674359578725e-09
China,Activity,Inland water transport,0.0013040001277519584,0.0006390907638964166,0.000336129362134656,2.5789825182442986e-05,1.9340974486372656e-05
China,Activity,"Insurance and pension funding, except compulsory social security (66)",1.8597272022239977e-05,8.405540050544869e-06,4.35896495778245e-06,3.9541739132982186e-07,2.988123160486311e-07
China,Activity,Landfill of waste: Food,4.0385703199974494e-05,4.980488102997524e-06,2.7383269465463856e-06,1.9662066869393644e-07,1.3530139764481504e-07
China,Activity,Landfill of waste: Inert/metal/hazardous,9.465538626238778e-06,1.1589976763110223e-06,6.432213089635133e-07,4.733932310763757e-08,3.298246292945539e-08
China,Activity,Landfill of waste: Paper,1.2943973548894609e-05,1.5260965986217936e-06,8.441585052484273e-07,6.1905902282589e-08,4.257961736850833e-08
China,Activity,Landfill of waste: Plastic,8.408137972846059e-06,9.657598037188187e-07,5.376844030352978e-07,3.867388711670231e-08,2.76138630037292e-08
China,Activity,Landfill of waste: Textiles,2.573716808499754e-06,3.229772939514086e-07,1.7726465291096467e-07,1.2860964234536101e-08,8.864439675045956e-09
China,Activity,Landfill of waste: Wood,3.1871979440966917e-06,3.814829751189264e-07,2.0988388460441815e-07,1.4765078128254902e-08,1.0286023429733764e-08
China,Activity,"Lead, zinc and tin production",4.198178983608026e-05,6.203275545261854e-05,3.023361071160938e-05,1.7416272033065072e-06,1.2629813071179577e-06
China,Activity,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,0.013809167321023353,0.04907565737427353,0.023073753167555888,0.0009449702101213452,0.0006144510711623458
China,Activity,Manufacture of beverages,7.965554985688737e-06,5.3251996793265715e-06,2.8451775160650742e-06,2.360865190850388e-07,1.6652811864991726e-07
China,Activity,"Manufacture of bricks, tiles and construction products, in baked clay",3.1578709312999885e-05,1.2863660538406778e-05,1.0381022483971102e-05,2.631676361827566e-06,2.143603720754675e-06
China,Activity,"Manufacture of cement, lime and plaster",0.00041665666678416543,0.00011631264868127396,0.00013694508033399585,4.1995445193334895e-05,3.786120111346522e-05
China,Activity,Manufacture of ceramic goods,5.361409508577883e-05,0.00010558269797135986,5.5802570898726194e-05,6.381195924364159e-06,5.300785704189008e-06
China,Activity,Manufacture of coke oven products,0.0023443834535227816,0.0028713956506262626,0.0014674312648849282,6.870371964336306e-05,4.5225057398823936e-05
China,Activity,Manufacture of electrical machinery and apparatus n.e.c. (31),0.00012124139734044466,0.0013914947531687232,0.0006033933280695384,1.2305225015478899e-05,7.6067748116437365e-06
China,Activity,"Manufacture of fabricated metal products, except machinery and equipment (28)",0.0035309929550680526,0.004129708915616977,0.002203994673321298,0.00015128267592246834,9.57207731029989e-05
China,Activity,Manufacture of fish products,2.1754431668090757e-05,1.7963368383402773e-05,9.040385103458274e-06,6.167518198573256e-07,4.143763091868135e-07
China,Activity,Manufacture of furniture; manufacturing n.e.c. (36),0.0005491966387777772,0.0006065848434239488,0.00030727865937414683,2.200588723184447e-05,1.2373770476981801e-05
China,Activity,Manufacture of gas; distribution of gaseous fuels through mains,0.009761633942599744,0.003927047237091605,0.0019102710286766733,9.710487034349623e-05,6.605456085876e-05
China,Activity,Manufacture of glass and glass products,0.013896601913212587,0.0004457623583374006,0.0002420543672056721,1.394319594921753e-05,9.757556867603114e-06
China,Activity,Manufacture of machinery and equipment n.e.c. (29),0.0005001496786056796,0.00047370611600966916,0.0002560974810762005,1.7796297069906896e-05,1.1494585563592363e-05
China,Activity,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",5.45003382954293e-06,1.1680945721666313e-05,6.350305899506705e-06,1.344500026368332e-06,9.510847732084191e-07
China,Activity,"Manufacture of motor vehicles, trailers and semi-trailers (34)",0.00017375692661146405,2.7261277939760917e-05,1.706800505251245e-05,1.7081553371011282e-06,1.3897207460780129e-06
China,Activity,Manufacture of office machinery and computers (30),4.615440157287635e-05,5.1784531367642525e-05,3.144029801683539e-05,5.616899149916233e-06,3.9302410929116045e-06
China,Activity,Manufacture of other non-metallic mineral products n.e.c.,0.05910964631489687,0.0030439765949674207,0.0015976577117593573,9.501688372900156e-05,6.931949022774863e-05
China,Activity,Manufacture of other transport equipment (35),5.00581399541161e-05,3.109738574296719e-05,1.7600742646515496e-05,2.032901292478103e-06,1.4956355058247215e-06
China,Activity,"Manufacture of radio, television and communication equipment and apparatus (32)",7.834238141854408e-05,0.0002807443115671298,0.00014432298856846583,1.7914685447638487e-05,1.1020657002890988e-05
China,Activity,Manufacture of rubber and plastic products (25),0.001559446898880412,0.0011819671202999544,0.0006251522432498624,5.520060791938902e-05,3.7805480092791336e-05
China,Activity,Manufacture of textiles (17),0.00019041231998512262,0.00013615950472466474,7.590512222333924e-05,7.932924734747192e-06,5.408029241199521e-06
China,Activity,Manufacture of tobacco products (16),0.003197015424290689,0.0009280734176922154,0.000548794405410372,2.2565361415056328e-05,1.4692326147994236e-05
China,Activity,Manufacture of wearing apparel; dressing and dyeing of fur (18),9.224678218007585e-05,3.591416623331304e-05,1.9818002896419638e-05,2.0118780013328724e-06,1.4209883538741565e-06
China,Activity,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",0.0002559241289699238,0.00015461713590640146,0.00014193832592648533,2.12825642894079e-05,1.691388274097728e-05
China,Activity,"Manure treatment (biogas), storage and land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Manure treatment (conventional), storage and land application",0.0,0.0,0.0,0.0,0.0
China,Activity,Meat animals nec,6.049539808810271e-05,2.6663344627591677e-06,2.175350885286655e-06,1.9684931353284713e-07,2.2612357433928107e-07
China,Activity,Mining of aluminium ores and concentrates,0.0004224040591772217,0.00020452445658512223,0.00013214283646782108,1.2220503116851942e-05,8.029492411425557e-06
China,Activity,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",0.0001284422330592102,8.381718160474332e-05,7.21548751305043e-05,6.302039615420109e-06,4.378610232230123e-06
China,Activity,Mining of coal and lignite; extraction of peat (10),0.005849834254642567,0.002187966319908317,0.0010909028966300648,5.16879797523978e-05,3.456584570533731e-05
China,Activity,Mining of copper ores and concentrates,0.0001077649253668199,0.00030931282756271184,0.0001395712762175657,4.557949029451958e-06,2.9713846969780414e-06
China,Activity,Mining of iron ores,2.1831275167100438e-05,7.435560356881983e-05,3.5191029525701697e-05,1.4524817384444588e-06,9.450630661645071e-07
China,Activity,"Mining of lead, zinc and tin ores and concentrates",0.0002345396411748941,0.00013576318280202597,6.845799394013413e-05,3.823759468583114e-06,2.693345038796052e-06
China,Activity,Mining of nickel ores and concentrates,0.00021914815878667625,0.0002981888249636567,0.0005862787346929278,8.511424140676733e-06,5.8587340768859624e-06
China,Activity,Mining of other non-ferrous metal ores and concentrates,0.0003178455376781095,0.0003086078630344894,0.0001476129094126999,7.139791248072165e-06,4.585247550191179e-06
China,Activity,Mining of precious metal ores and concentrates,0.004766548020317823,0.0003187770293668069,0.00014742092869607975,6.319100237219955e-06,4.199905832368618e-06
China,Activity,Mining of uranium and thorium ores (12),3.060071580934956e-05,4.036094206381271e-05,2.052919701025942e-05,1.877218411613751e-06,1.167157444145221e-06
China,Activity,N-fertiliser,3.792346239183209e-06,1.510021539108533e-06,8.664280186688434e-07,2.175576095008196e-07,5.374259150494507e-08
China,Activity,Other business activities (74),0.00033997945934393335,0.00022459937779093782,0.0001146989586021125,1.2648654209982512e-05,7.562921724143215e-06
China,Activity,Other land transport,0.00017337626515970999,6.706554204095412e-05,3.6751694475521253e-05,3.294228496853614e-06,2.896894275541882e-06
China,Activity,Other non-ferrous metal production,0.0011405301104360748,0.0019766761286519807,0.003992437797121449,5.671664614453619e-05,3.905099009512344e-05
China,Activity,Other service activities (93),7.642128560664397e-05,1.0087219706422841e-05,5.971652880671157e-06,4.852719211851684e-07,4.04231438786611e-07
China,Activity,P- and other fertiliser,0.00016988214793478044,6.37808710674482e-05,3.806228349702744e-05,5.6051474394920115e-06,3.4643735784766156e-06
China,Activity,Paper,0.0008279390404403871,0.0003143685767490529,0.00017537123120247352,2.1522254354987364e-05,1.3795316018798634e-05
China,Activity,Petroleum Refinery,0.003502503796466746,0.0013102262618892076,0.0007406587306549838,6.681195283127565e-05,4.642171686991723e-05
