Region,,,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK
Level,,,Activity,Activity,Activity,Activity,Activity
Item,,,Production of photovoltaic plants,Production of onshore wind plants,Production of offshore wind plants,Production of electricity by wind,Production of electricity by solar photovoltaic
Region,Level,Item,,,,,
China,Activity,Activities auxiliary to financial intermediation (67),1.6427729877071986e-05,7.4532758839609455e-06,3.901329403633627e-06,1.6892958284497076e-06,6.888600700584224e-06
China,Activity,Activities of membership organisation n.e.c. (91),7.991590914456376e-06,1.5503467407926714e-06,8.481735029830168e-07,3.7466085251359574e-07,3.3100480896083995e-06
China,Activity,Air transport (62),0.0014857635119556148,0.0006864750103910299,0.00038557225548120004,0.0001792785963855837,0.0006359888293648776
China,Activity,Aluminium production,0.0013550373943916874,0.000952396850181235,0.000458848506501858,0.0001907141750942735,0.0005651601350187851
China,Activity,Animal products nec,2.235667488098145e-06,7.888139884969324e-07,5.513357357047722e-07,2.6230351457290397e-07,9.721365112519137e-07
China,Activity,"Biogasification of food waste, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Biogasification of paper, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Biogasification of sewage slugde, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,Casting of metals,0.0011154667222775265,0.004012001485813883,0.0017991927607060485,0.000744374966579171,0.0004859235872820453
China,Activity,Cattle farming,3.999146904718629e-06,1.4198680093663363e-06,8.685499556413703e-07,3.900161259827285e-07,1.6985739038196926e-06
China,Activity,Chemicals nec,0.024830454482352278,0.0056267396021225,0.003256823959300396,0.0014731426480983506,0.01033888770249532
China,Activity,"Collection, purification and distribution of water (41)",2.808329985861345e-05,7.582679734105263e-06,4.096494320038357e-06,1.687938318384932e-06,1.1615796827933746e-05
China,Activity,"Composting of food waste, incl. land application",1.8534809200755968e-06,3.7622180252977383e-07,2.124406291537408e-07,9.075766718639142e-08,7.679307887556803e-07
China,Activity,"Composting of paper and wood, incl. land application",4.9796519292102e-07,9.778300572356314e-08,5.3715039098896706e-08,2.2437942000778516e-08,2.0571711932155268e-07
China,Activity,Computer and related activities (72),2.9388188260180608e-05,1.4326499418398353e-05,8.189782398415828e-06,3.594858908831295e-06,1.2553189899011226e-05
China,Activity,Construction (45),2.5484648884985818e-05,7.158622652577588e-06,4.789907558306221e-06,2.799055818134706e-06,1.1782366918406e-05
China,Activity,Copper production,0.0004143352184610949,0.0020458542185843283,0.0009256148369400224,0.00038369101593365687,0.0001867580102175779
China,Activity,Cultivation of cereal grains nec,5.200019104948841e-05,1.21394186423988e-05,7.02066155211528e-06,3.001878943497157e-06,2.165099553372309e-05
China,Activity,Cultivation of crops nec,0.00012156641847720361,3.626429383842392e-05,2.0625051458433912e-05,8.98292035655276e-06,5.0828107243150675e-05
China,Activity,Cultivation of oil seeds,7.152419901686499e-05,5.338817012339895e-05,2.7805230578565334e-05,1.2070479009629423e-05,3.055878979679158e-05
China,Activity,Cultivation of paddy rice,4.763709998329014e-05,1.5088630415775789e-05,8.087659576079615e-06,3.554499022398109e-06,1.986518006237261e-05
China,Activity,Cultivation of plant-based fibers,0.00023617680050860528,0.00011694073432789824,6.934501048334994e-05,3.0387259453520103e-05,0.00010106225904781353
China,Activity,"Cultivation of sugar cane, sugar beet",5.688316357556962e-05,2.3396641811637515e-05,1.2641931438265621e-05,5.471611527073225e-06,2.39002739631197e-05
China,Activity,"Cultivation of vegetables, fruit, nuts",0.00013198409296626517,4.412691185990834e-05,2.5222185913501696e-05,1.1036177011729683e-05,5.555774743432599e-05
China,Activity,Cultivation of wheat,2.0016752000391112e-05,7.573345983868709e-06,4.2307853888914015e-06,1.8567469360872308e-06,8.428440107518386e-06
China,Activity,Distribution and trade of electricity,9.250159908286654e-06,3.563032218507411e-06,1.932440228811782e-06,7.88104323635745e-07,3.843697944757366e-06
China,Activity,Education (80),8.753008078390137e-06,3.56939826266136e-06,1.8563333757294342e-06,8.087068035962022e-07,3.664849254548026e-06
China,Activity,Extra-territorial organizations and bodies,0.0,0.0,0.0,0.0,0.0
China,Activity,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",0.0015564351128774512,0.000586043378024229,0.00032022775859121667,0.00013680684355588433,0.0006508267974643608
China,Activity,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",1.7691381052685987e-05,1.1029076480803408e-05,5.915370959591044e-06,2.608768590709317e-06,7.51935319832614e-06
China,Activity,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",0.0,0.0,0.0,0.0,0.0
China,Activity,"Financial intermediation, except insurance and pension funding (65)",0.000627124368553147,0.00019038521642373926,9.78968405917037e-05,4.1951538763696645e-05,0.00026007696466230737
China,Activity,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",1.9742128671897607e-06,1.2540803601802117e-06,6.642296214955466e-07,2.8886570083537035e-07,8.406774762725607e-07
China,Activity,"Forestry, logging and related service activities (02)",9.530934902942467e-05,4.3757798208037225e-05,2.381343151000051e-05,1.0474473686877556e-05,4.0216586570120596e-05
China,Activity,Health and social work (85),0.00021272493322636952,7.886787786679277e-05,3.843621867841565e-05,1.5921323025854572e-05,8.78467460906212e-05
China,Activity,Hotels and restaurants (55),8.82666904729987e-05,4.5462857007237446e-05,2.5332238571432277e-05,1.10879457739403e-05,3.770711545592144e-05
China,Activity,Incineration of waste: Food,3.823798186095622e-06,7.94723416542372e-07,4.3874217584860104e-07,1.8657080123490913e-07,1.5818752934900589e-06
China,Activity,Incineration of waste: Metals and Inert materials,0.00031106698147704436,6.905039290709188e-05,4.157065080659972e-05,1.8332193267099e-05,0.00012986654195449337
China,Activity,Incineration of waste: Oil/Hazardous waste,0.0004137779932455777,8.785438701614418e-05,4.9475368244438404e-05,2.1239449403547332e-05,0.00017162235888279126
China,Activity,Incineration of waste: Paper,3.7252561876694298e-06,7.017630824371157e-07,3.911413380403892e-07,1.6808908326707642e-07,1.5409098362480678e-06
China,Activity,Incineration of waste: Plastic,0.0003246611802073803,7.38315856916696e-05,4.121523971662342e-05,1.8213455802836345e-05,0.00013497672278814176
China,Activity,Incineration of waste: Textiles,0.00029449272792436644,5.980794397719073e-05,3.372668561185713e-05,1.4481792811166092e-05,0.00012200620181218926
China,Activity,Incineration of waste: Wood,9.393677855166272e-07,1.919842837222908e-07,1.0763848549943065e-07,4.661489210839932e-08,3.893437424869089e-07
China,Activity,Inland water transport,0.0015940682631676638,0.0007860129604159804,0.00041575174266880955,0.00017631897586540938,0.0006710264073384731
China,Activity,"Insurance and pension funding, except compulsory social security (66)",1.600874468773905e-05,6.6828202798826085e-06,3.491790875956534e-06,1.5727725330925422e-06,6.758594230758825e-06
China,Activity,Landfill of waste: Food,2.215520907533042e-05,4.63394871683298e-06,2.5345588840402296e-06,1.072185438681076e-06,9.160138940153918e-06
China,Activity,Landfill of waste: Inert/metal/hazardous,5.921784744228282e-06,1.1468369632819113e-06,6.368570453007411e-07,2.741052714325593e-07,2.450264437752352e-06
China,Activity,Landfill of waste: Paper,7.909247393297952e-06,1.5872600753352954e-06,8.685200265914398e-07,3.681759419574281e-07,3.2689036663864187e-06
China,Activity,Landfill of waste: Plastic,4.7223594385403565e-06,9.99130554102447e-07,5.475752249145346e-07,2.316222044627789e-07,1.952879299937121e-06
China,Activity,Landfill of waste: Textiles,1.6171051994188039e-06,3.3845758557130536e-07,1.858734627269594e-07,7.875091666943714e-08,6.687632229926032e-07
China,Activity,Landfill of waste: Wood,2.4030517329666447e-06,5.06269622942093e-07,2.776515506337639e-07,1.1784353689331621e-07,9.939390335847803e-07
China,Activity,"Lead, zinc and tin production",4.325648368837165e-05,6.612812549245558e-05,3.1643393847187965e-05,1.336616334684835e-05,1.8718480094167396e-05
China,Activity,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,0.016559815515196554,0.040448373334664715,0.01932325092834685,0.008021144131280742,0.007248318429183466
China,Activity,Manufacture of beverages,2.326125325448964e-06,1.528211240903795e-06,8.039537595146624e-07,3.499115333988658e-07,9.934889971637244e-07
China,Activity,"Manufacture of bricks, tiles and construction products, in baked clay",3.63121950197427e-05,2.1902545536864995e-05,1.5309764004051906e-05,7.411222828044975e-06,1.676097704318165e-05
China,Activity,"Manufacture of cement, lime and plaster",0.0003809494432898417,0.00011331443376646501,0.00011344457927947068,6.269231639460557e-05,0.00018428642173116448
China,Activity,Manufacture of ceramic goods,0.00012734437896143904,0.00015382380272367584,8.168065973805388e-05,3.788693536391598e-05,5.890130582364185e-05
China,Activity,Manufacture of coke oven products,0.00422494989697712,0.0036765481924698955,0.0018319881722306344,0.000751239141621584,0.0017740580454458624
China,Activity,Manufacture of electrical machinery and apparatus n.e.c. (31),0.00023253148508233464,0.0021362920913647787,0.0009246671033663962,0.00037977011943762665,0.00010482316636332459
China,Activity,"Manufacture of fabricated metal products, except machinery and equipment (28)",0.0037467493802675104,0.004220049195212212,0.0022389487591119787,0.0009415259526605604,0.0016158659196518752
China,Activity,Manufacture of fish products,9.78357943370154e-06,6.649886022175835e-06,3.475399402684637e-06,1.5051355666104419e-06,4.165965146591008e-06
China,Activity,Manufacture of furniture; manufacturing n.e.c. (36),0.0005287385837126009,0.0004428044631074431,0.0002250393939126842,9.929157828948632e-05,0.00022450885197804708
China,Activity,Manufacture of gas; distribution of gaseous fuels through mains,0.008520632845076597,0.0036799229315966444,0.001976529929507413,0.0008078906043559764,0.0035463824345009784
China,Activity,Manufacture of glass and glass products,0.016159145780584132,0.0005183748955986182,0.00028186470155981577,0.00011346781686714115,0.006603679021635053
China,Activity,Manufacture of machinery and equipment n.e.c. (29),0.0007610684910709993,0.0006567131161687143,0.0003547750398244592,0.00015071414730920166,0.00032531681229396297
China,Activity,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",7.011073779379864e-06,1.2007810381817687e-05,6.623904029149869e-06,3.694640721952962e-06,3.703525934548014e-06
China,Activity,"Manufacture of motor vehicles, trailers and semi-trailers (34)",0.0003619383803641707,6.048773033804648e-05,3.59317264915345e-05,1.4928399354227323e-05,0.00014980858751980229
China,Activity,Manufacture of office machinery and computers (30),7.093201524264416e-05,6.28438508254722e-05,4.042642956371458e-05,2.1067284735616683e-05,3.4340635190766934e-05
China,Activity,Manufacture of other non-metallic mineral products n.e.c.,0.07845384141599762,0.0029006420785883673,0.0015604383245304344,0.0006427856718111564,0.032078980191706616
China,Activity,Manufacture of other transport equipment (35),0.00014452898572874182,5.3597448126266586e-05,3.145975532396217e-05,1.3791654991852921e-05,6.113497916199262e-05
China,Activity,"Manufacture of radio, television and communication equipment and apparatus (32)",0.00010980272374954732,0.000267422461290777,0.00014557748696650627,7.343914459308624e-05,5.774391444458408e-05
China,Activity,Manufacture of rubber and plastic products (25),0.0013729248685069566,0.0012118009324643421,0.0006192912709770924,0.0002651967077827406,0.0005869517519518477
China,Activity,Manufacture of textiles (17),0.0005102936973936819,0.0002728793408103558,0.0001528737334073174,6.702699919016959e-05,0.0002172819688895295
China,Activity,Manufacture of tobacco products (16),0.002223411664693842,0.0006967982933680552,0.00037450258688185396,0.000149637880832036,0.0009182310897869766
China,Activity,Manufacture of wearing apparel; dressing and dyeing of fur (18),0.00027643175795022195,9.733331626140838e-05,5.4145113340409355e-05,2.3607463790889848e-05,0.00011598706606832111
China,Activity,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",0.00030017756199949295,0.00018957655547743884,0.00018813718559891574,8.125325162586807e-05,0.00014553483315980485
China,Activity,"Manure treatment (biogas), storage and land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Manure treatment (conventional), storage and land application",0.0,0.0,0.0,0.0,0.0
China,Activity,Meat animals nec,7.85084723368368e-05,4.135934504467666e-06,3.1298269706177664e-06,1.20157726422526e-06,3.224627876468413e-05
China,Activity,Mining of aluminium ores and concentrates,0.0005675059498364762,0.0003954040659454172,0.00022953943273838748,9.183965902701247e-05,0.00024020495730162054
China,Activity,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",0.00040189278516429696,0.00016369668562593603,0.0001226136421880834,4.898743899401661e-05,0.00017133505948330324
China,Activity,Mining of coal and lignite; extraction of peat (10),0.0069517151859967465,0.0036704210852793427,0.0018287542785766463,0.0007627777793204619,0.002895005559977165
China,Activity,Mining of copper ores and concentrates,0.00025187439098287685,0.00046041651402413197,0.0002314274450351322,9.101481667666003e-05,0.00010708217149143695
China,Activity,Mining of iron ores,7.281231431553495e-05,0.00012878086342717885,6.51433140768971e-05,2.6514886086390162e-05,3.146367803269253e-05
China,Activity,"Mining of lead, zinc and tin ores and concentrates",0.0003952899932052543,0.00018829787775501104,0.000120867380080177,4.3741929539194315e-05,0.00016433090938561864
China,Activity,Mining of nickel ores and concentrates,0.00021444099042344477,0.0002923897740645319,0.0003080990270098005,8.911477788582169e-05,9.170171894182328e-05
China,Activity,Mining of other non-ferrous metal ores and concentrates,0.0005814525301374899,0.0005896292607394879,0.0008431142382925887,0.0002216624443177387,0.00024717080485888153
China,Activity,Mining of precious metal ores and concentrates,0.006862159330067643,0.00046728512581141186,0.00022681202766903819,9.757251344405776e-05,0.0028086706475906067
China,Activity,Mining of uranium and thorium ores (12),5.0819830706253245e-05,6.24177930153304e-05,3.205327677824626e-05,1.4606004191697156e-05,2.2500878049674677e-05
China,Activity,N-fertiliser,1.1120700960801398e-06,3.9400309594316686e-07,2.3119239658360102e-07,1.2456648100384447e-07,4.7112971100402496e-07
China,Activity,Other business activities (74),0.0005533236899042471,0.00033041450880335184,0.0001735559666939807,8.260450201679043e-05,0.00023773747741524941
China,Activity,Other land transport,0.0001401932985188014,5.918703289627991e-05,3.194843520180096e-05,1.3970944087281293e-05,5.9152027737219706e-05
China,Activity,Other non-ferrous metal production,0.0016289951392037105,0.002510116867710594,0.004013698171175589,0.001017317715370751,0.0007055035065117692
China,Activity,Other service activities (93),0.00010311788844761152,1.5358165291577617e-05,8.991216047720334e-06,3.7279194513535946e-06,4.256468835631467e-05
China,Activity,P- and other fertiliser,0.00013467047547491867,5.497195402573613e-05,3.39075722578243e-05,1.562766176169799e-05,5.751903917817099e-05
China,Activity,Paper,0.001673043259120859,0.0007892849168377468,0.00040521367154070393,0.0001808343151588628,0.0007039949570912343
China,Activity,Petroleum Refinery,0.0038663260187540567,0.0014121529715091837,0.0007741687073847327,0.0003299097786222845,0.0016168207800810119
China,Activity,Pigs farming,0.00013914829878641707,7.029820645617487e-06,5.43962629540432e-06,2.081883755394107e-06,5.715112971698157e-05
