Region,,,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK
Level,,,Activity,Activity,Activity,Activity,Activity
Item,,,Production of photovoltaic plants,Production of onshore wind plants,Production of offshore wind plants,Production of electricity by wind,Production of electricity by solar photovoltaic
Region,Level,Item,,,,,
China,Activity,Activities auxiliary to financial intermediation (67),1.600304703013394e-05,7.6161476520293525e-06,4.038281837032135e-06,2.670527619769973e-06,9.438483840798327e-06
China,Activity,Activities of membership organisation n.e.c. (91),1.2669343753064798e-05,2.190833123935211e-06,1.2010487745311895e-06,7.879683709662149e-07,7.364121329708343e-06
China,Activity,Air transport (62),0.001969093646854877,0.0008921120699304867,0.0004943399775510296,0.00033837941564787694,0.0011742630030501632
China,Activity,Aluminium production,0.0011274958106248002,0.0008399611898919242,0.0004052241686200693,0.00026463970452327836,0.0006616989922432808
China,Activity,Animal products nec,7.2642253371994896e-06,2.51115033554733e-06,1.5833181106472257e-06,1.0929823453329635e-06,4.3543878465086775e-06
China,Activity,"Biogasification of food waste, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Biogasification of paper, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Biogasification of sewage slugde, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,Casting of metals,0.000885846817536349,0.0035784413094433736,0.0016070290064028395,0.001059650261878875,0.0005418768337563963
China,Activity,Cattle farming,3.7113804929239534e-06,1.3121489553227877e-06,8.057145968483763e-07,5.390132136099605e-07,2.209024427062354e-06
China,Activity,Chemicals nec,0.02163956478620386,0.004492940112865216,0.0027047458431612367,0.0019200026236609082,0.012734941983384951
China,Activity,"Collection, purification and distribution of water (41)",1.2301899205698286e-05,2.924224373064022e-06,1.5778793733686846e-06,1.0297596004497161e-06,7.167455795419289e-06
China,Activity,"Composting of food waste, incl. land application",1.3793051167842341e-06,2.53966513597023e-07,1.436617543900966e-07,9.536437586786218e-08,8.042724748235958e-07
China,Activity,"Composting of paper and wood, incl. land application",2.0977982880858048e-07,3.3275187876785974e-08,1.836038568849376e-08,1.1890409494697053e-08,1.218558202896077e-07
China,Activity,Computer and related activities (72),1.5182791591942597e-05,9.340961235342518e-06,6.0068589041503475e-06,3.65465936693356e-06,9.098690666922386e-06
China,Activity,Construction (45),3.11653038615733e-05,5.9133750545244865e-06,4.380455736101386e-06,3.57835154325084e-06,1.963931602398606e-05
China,Activity,Copper production,0.0002626414586633832,0.0016521604153461485,0.0007411736891160614,0.0004903298615985469,0.00016694846892206423
China,Activity,Cultivation of cereal grains nec,0.00010660815114612657,2.6051310353923925e-05,1.5157556011340707e-05,9.780174861580562e-06,6.24419694642607e-05
China,Activity,Cultivation of crops nec,6.95086923000323e-05,1.9814237701546296e-05,1.1624758961038133e-05,7.541142413177393e-06,4.080219421012633e-05
China,Activity,Cultivation of oil seeds,0.00010914992492179521,5.63436564971835e-05,3.069465782600271e-05,2.0772968906159867e-05,6.501379219045387e-05
China,Activity,Cultivation of paddy rice,3.7291370084623584e-05,1.571278445508185e-05,8.487765397012933e-06,5.754474707134994e-06,2.204879279993897e-05
China,Activity,Cultivation of plant-based fibers,0.00018457813029231138,0.00012346365755160508,7.233633082679924e-05,4.782192044811659e-05,0.00011189810675147686
China,Activity,"Cultivation of sugar cane, sugar beet",7.773970529429173e-05,3.267004464600805e-05,1.7661683510353445e-05,1.1613079203491361e-05,4.581703924220884e-05
China,Activity,"Cultivation of vegetables, fruit, nuts",0.0002495366894229369,8.264771723016467e-05,4.806526661054979e-05,3.152635486665139e-05,0.00014722717267009504
China,Activity,Cultivation of wheat,2.0385087465430832e-05,8.84447455201313e-06,4.944227208384636e-06,3.3030352230571493e-06,1.2100771049579859e-05
China,Activity,Distribution and trade of electricity,1.2058986437484461e-05,3.7329545875295775e-06,2.0693543655475212e-06,1.281410541218938e-06,7.019818073622837e-06
China,Activity,Education (80),2.454771046344805e-06,8.631005616582184e-07,4.517343955216195e-07,3.0166769140423373e-07,1.4380452198002929e-06
China,Activity,Extra-territorial organizations and bodies,0.0,0.0,0.0,0.0,0.0
China,Activity,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",0.001212455051553319,0.00045260961056924184,0.0002549934098024232,0.00016531063483388528,0.0007135553848846518
China,Activity,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",1.201785626088109e-05,1.0344175052989385e-05,5.4872907136866986e-06,3.652141136317259e-06,7.225816224914193e-06
China,Activity,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",0.0,0.0,0.0,0.0,0.0
China,Activity,"Financial intermediation, except insurance and pension funding (65)",0.0006590243201190161,0.00022516148184658955,0.00011547991054665469,7.610241437148177e-05,0.00038507115022562845
China,Activity,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",1.7609566276478555e-06,1.3112637715976919e-06,6.742955086505959e-07,4.4632671175189154e-07,1.0483613648835483e-06
China,Activity,"Forestry, logging and related service activities (02)",0.0001253234121164036,5.257357888312425e-05,2.957698566062158e-05,1.9972586556954403e-05,7.437124423832172e-05
China,Activity,Health and social work (85),0.00017856000956575173,7.302169253561949e-05,3.504790742045451e-05,2.284207061987058e-05,0.00010382308022044239
China,Activity,Hotels and restaurants (55),9.927849374311327e-05,4.947123624968769e-05,2.8648386403704834e-05,1.854857242327821e-05,5.909434546878153e-05
China,Activity,Incineration of waste: Food,6.314415843770079e-06,8.085590793025968e-07,4.487402386473873e-07,2.8737034396461434e-07,3.658585220643353e-06
China,Activity,Incineration of waste: Metals and Inert materials,0.0002062568378893876,3.289979345321476e-05,2.0298636081750613e-05,1.3539635149817656e-05,0.00012046440765884279
China,Activity,Incineration of waste: Oil/Hazardous waste,0.0003797783117570612,5.641293393235443e-05,3.198682549888507e-05,2.0731243183674023e-05,0.00022062081192287218
China,Activity,Incineration of waste: Paper,6.101741079334546e-06,7.974861434816154e-07,4.4023063099826827e-07,2.834093938216166e-07,3.53640209858751e-06
China,Activity,Incineration of waste: Plastic,0.0003403389215172805,5.141636818884412e-05,2.8587412567656747e-05,1.8668060508202573e-05,0.00019765871220036988
China,Activity,Incineration of waste: Textiles,0.00035014388885674377,4.8521249638591406e-05,2.7321939468891456e-05,1.7422017164496797e-05,0.0002030305877462442
China,Activity,Incineration of waste: Wood,1.016366769124731e-06,1.4364987215428544e-07,7.969504648396028e-08,5.1528009353986976e-08,5.896643165355567e-07
China,Activity,Inland water transport,0.001309523180578233,0.000639289816444729,0.0003363326650724406,0.00022066583946164615,0.0007733728593135182
China,Activity,"Insurance and pension funding, except compulsory social security (66)",1.8672437553180727e-05,8.408189159328234e-06,4.361668332326778e-06,2.940564158410144e-06,1.1050419091970479e-05
China,Activity,Landfill of waste: Food,4.048779060409297e-05,4.983021082083514e-06,2.7408699661916065e-06,1.7503545426875714e-06,2.3446458917508723e-05
China,Activity,Landfill of waste: Inert/metal/hazardous,9.489452524191859e-06,1.1595906574314802e-06,6.438166201188089e-07,4.106439197674036e-07,5.496607520333092e-06
China,Activity,Landfill of waste: Paper,1.297637939334545e-05,1.526891901442316e-06,8.449564724036333e-07,5.394815728291623e-07,7.513821073722694e-06
China,Activity,Landfill of waste: Plastic,8.429080623632006e-06,9.662707540160025e-07,5.381968944596163e-07,3.419101975667435e-07,4.880713074923856e-06
China,Activity,Landfill of waste: Textiles,2.5802480527188414e-06,3.23140053023604e-07,1.7742809659392468e-07,1.1352701373059791e-07,1.4944628718322848e-06
China,Activity,Landfill of waste: Wood,3.195199678884275e-06,3.816799842176339e-07,2.100815893001648e-07,1.3381662249233008e-07,1.8499452937529032e-06
China,Activity,"Lead, zinc and tin production",4.2343430186938946e-05,6.204884452592819e-05,3.0250160743208485e-05,1.9961653310359178e-05,2.5649860785148155e-05
China,Activity,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,0.01405393285511604,0.04908757495584675,0.023086044197547853,0.015113923831905476,0.008712125794606366
China,Activity,Manufacture of beverages,8.00615909498632e-06,5.32677718947133e-06,2.8467930962612478e-06,1.872700734198811e-06,4.776722562573253e-06
China,Activity,"Manufacture of bricks, tiles and construction products, in baked clay",3.1716333730256455e-05,1.286868495193233e-05,1.0386156658394517e-05,7.602686111047809e-06,2.040618386882671e-05
China,Activity,"Manufacture of cement, lime and plaster",0.000418347169853999,0.00011637234108731,0.00013700599994679647,9.943853434685151e-05,0.000278746073069097
China,Activity,Manufacture of ceramic goods,5.4214465188671004e-05,0.00010561054002091751,5.583124587386709e-05,3.865178386706976e-05,3.652850436251754e-05
China,Activity,Manufacture of coke oven products,0.0023622030875177585,0.0028721690183993774,0.0014682261856692957,0.0009317965947500415,0.0014056225603650578
China,Activity,Manufacture of electrical machinery and apparatus n.e.c. (31),0.00012743128644032272,0.001391812186996231,0.0006037211654671405,0.0003993039504791401,8.114493907561959e-05
China,Activity,"Manufacture of fabricated metal products, except machinery and equipment (28)",0.0035573471243351114,0.004130848189372524,0.002205165554235492,0.0014197205428606353,0.0021443903010555593
China,Activity,Manufacture of fish products,2.1879009915796583e-05,1.7968397381823432e-05,9.045542204028836e-06,5.9758260034234555e-06,1.3013379282206684e-05
China,Activity,Manufacture of furniture; manufacturing n.e.c. (36),0.0005530533651652345,0.0006067492818357922,0.00030744758662932696,0.00020354801329277602,0.0003308692545951665
China,Activity,Manufacture of gas; distribution of gaseous fuels through mains,0.009798265307591909,0.003928289094828814,0.0019115363933707875,0.0012496073335966974,0.005707823990445284
China,Activity,Manufacture of glass and glass products,0.013925632291165904,0.0004463128401278275,0.00024259755285342173,0.000152325390676707,0.008027372929779453
China,Activity,Manufacture of machinery and equipment n.e.c. (29),0.000503371500368037,0.0004738405722107163,0.0002562355130849424,0.0001642490706440522,0.0003013707099995392
China,Activity,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",5.516310981176867e-06,1.1684052303009167e-05,6.353506402844376e-06,4.965926345626435e-06,4.128648006532406e-06
China,Activity,"Manufacture of motor vehicles, trailers and semi-trailers (34)",0.00017423341830680942,2.7274138465054096e-05,1.708097448473387e-05,1.081480419601699e-05,0.00010170702240283525
China,Activity,Manufacture of office machinery and computers (30),4.650547677422903e-05,5.1799770317587925e-05,3.1455961737246735e-05,2.262544307342069e-05,3.071284588322819e-05
China,Activity,Manufacture of other non-metallic mineral products n.e.c.,0.059238354387166764,0.003046593318361746,0.0016002526158126376,0.0010232694599883493,0.03417566509055866
China,Activity,Manufacture of other transport equipment (35),5.0306511242845654e-05,3.11069413291684e-05,1.7610525491053828e-05,1.1876139226264553e-05,3.0463488877188273e-05
China,Activity,"Manufacture of radio, television and communication equipment and apparatus (32)",7.97963346758047e-05,0.00028081536377715316,0.0001443962746469662,0.00010254470599162143,5.7000006434223214e-05
China,Activity,Manufacture of rubber and plastic products (25),0.0015680271131299172,0.0011823091845455812,0.0006255028731598268,0.0004166119797750737,0.0009407421086032249
China,Activity,Manufacture of textiles (17),0.00019143894155512154,0.00013620016341591064,7.594678969969532e-05,5.069461319357779e-05,0.00011564610363500937
China,Activity,Manufacture of tobacco products (16),0.0032078300877776754,0.0009284178687967487,0.0005491444704532879,0.0003231803642407961,0.0018617035591382625
China,Activity,Manufacture of wearing apparel; dressing and dyeing of fur (18),9.259802247157562e-05,3.5926169034251475e-05,1.9830236786980087e-05,1.323283656578314e-05,5.473839708066728e-05
China,Activity,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",0.0002574155317136048,0.00015467765874265337,0.00014200040133831922,8.600687491830446e-05,0.00016514706196778478
China,Activity,"Manure treatment (biogas), storage and land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Manure treatment (conventional), storage and land application",0.0,0.0,0.0,0.0,0.0
China,Activity,Meat animals nec,6.0628481573031936e-05,2.669084047000638e-06,2.178080533060084e-06,1.2351142182607643e-06,3.513287062275384e-05
China,Activity,Mining of aluminium ores and concentrates,0.0004242910854613307,0.00020459409359645237,0.00013221402300178545,8.171166598754074e-05,0.0002523418355740321
China,Activity,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",0.00012920941561289228,8.384854045164587e-05,7.218704611935144e-05,3.999974776124203e-05,7.878460942403607e-05
China,Activity,Mining of coal and lignite; extraction of peat (10),0.005871158131412506,0.0021886774473644363,0.0010916270035625168,0.0007015269306943711,0.00341511773402696
China,Activity,Mining of copper ores and concentrates,0.00010932162222016357,0.0003093872190998741,0.00013964795895732513,9.216348596530847e-05,6.595095906868515e-05
China,Activity,Mining of iron ores,2.220491708481365e-05,7.437374323276562e-05,3.520973610868103e-05,2.298731861282646e-05,1.3738842210689433e-05
China,Activity,"Mining of lead, zinc and tin ores and concentrates",0.00023561753578226643,0.0001358034351048186,6.84991597285381e-05,4.436631790625191e-05,0.00013836585817597732
China,Activity,Mining of nickel ores and concentrates,0.0002228878175433546,0.00029837033339278566,0.0005864659145086362,0.0002239652250474987,0.0001342794151448002
China,Activity,Mining of other non-ferrous metal ores and concentrates,0.0003198432018013051,0.0003086906871865159,0.0001476979181768015,9.697398365495056e-05,0.00018877166246265855
China,Activity,Mining of precious metal ores and concentrates,0.004777181760354921,0.0003190014597364823,0.00014764404889597594,9.773324068455209e-05,0.002754658567435844
China,Activity,Mining of uranium and thorium ores (12),3.08462035087431e-05,4.0371715572814114e-05,2.054027457660711e-05,1.3980764466171882e-05,1.8931915628692558e-05
China,Activity,N-fertiliser,3.807095392762029e-06,1.510531275995703e-06,8.669478013001342e-07,6.989646495550973e-07,2.245855075586947e-06
China,Activity,Other business activities (74),0.0003416761308374447,0.00022466479301008136,0.00011476593458692151,8.013841253791337e-05,0.00020430958381800846
China,Activity,Other land transport,0.00017403318359073724,6.708793091319076e-05,3.677451197868294e-05,2.4173814529794992e-05,0.00010310410786582975
China,Activity,Other non-ferrous metal production,0.0011651888126638257,0.001977894401947362,0.003993694748043182,0.0015156890441216594,0.0007105415214187692
China,Activity,Other service activities (93),7.661954307735497e-05,1.0092280291293147e-05,5.976741420161052e-06,3.755435881993141e-06,4.451866951108819e-05
China,Activity,P- and other fertiliser,0.00017053044844944043,6.38030520882315e-05,3.808489265832658e-05,2.6364249029973164e-05,0.00010165486656111425
China,Activity,Paper,0.0008310616677081439,0.00031447473327624655,0.00017547940919549154,0.00012029372735503239,0.000492314989813757
China,Activity,Petroleum Refinery,0.00351566210470399,0.001310672626944894,0.0007411135562849732,0.000481299238921869,0.002070714643557584
China,Activity,Pigs farming,0.0001407019957419989,7.400625840324776e-06,5.763344284901272e-06,3.3310424304884152e-06,8.158144727282486e-05
