Region,,,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK
Level,,,Activity,Activity,Activity,Activity,Activity
Item,,,Production of photovoltaic plants,Production of onshore wind plants,Production of offshore wind plants,Production of electricity by wind,Production of electricity by solar photovoltaic
Region,Level,Item,,,,,
China,Activity,Activities auxiliary to financial intermediation (67),1.3471999395324625e-05,7.140038646717348e-06,3.6891939397036395e-06,1.1751042849878745e-06,4.506334513239092e-06
China,Activity,Activities of membership organisation n.e.c. (91),1.2139513679420907e-05,1.7886039411484587e-06,9.981594946603406e-07,3.123602939911428e-07,3.9896019938651305e-06
China,Activity,Air transport (62),0.0019368457608385055,0.000922119577428126,0.0004838749529676896,0.0001625747696728419,0.000652775028592748
China,Activity,Aluminium production,0.0011913540694324187,0.000995472740839462,0.0004797324153744669,0.00014848825819036775,0.0003984015854622567
China,Activity,Animal products nec,1.1188000572352597e-05,3.809092570976059e-06,2.226280462969334e-06,7.465385768464019e-07,3.7738370479277624e-06
China,Activity,"Biogasification of food waste, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Biogasification of paper, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Biogasification of sewage slugde, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,Casting of metals,0.0009954701046817017,0.004179455847901516,0.0018915600907951475,0.0005767411868771699,0.0003542408491643297
China,Activity,Cattle farming,4.498579115022054e-06,1.5487418351628191e-06,8.960523791122614e-07,2.8822498464099033e-07,1.5074868484484376e-06
China,Activity,Chemicals nec,0.022702597348842685,0.0046574248509688426,0.002815995980601442,0.0010019243199291552,0.007532259065113709
China,Activity,"Collection, purification and distribution of water (41)",7.429719852072886e-06,1.5928195413370658e-06,8.615900119253322e-07,2.6502383667051474e-07,2.4425892893252087e-06
China,Activity,"Composting of food waste, incl. land application",3.1341167423531926e-06,4.281076372001539e-07,2.536847977255644e-07,8.22006853146896e-08,1.0347944740942793e-06
China,Activity,"Composting of paper and wood, incl. land application",1.692784215651024e-07,2.497568308094043e-08,1.4469253156748833e-08,4.481575042000588e-09,5.586198269233743e-08
China,Activity,Computer and related activities (72),1.217483673794316e-05,8.447760416438629e-06,4.675811825416701e-06,1.401403970684493e-06,4.097230953016716e-06
China,Activity,Construction (45),2.390775900704247e-05,4.628875902935153e-06,2.750908622612221e-06,1.1509913512631362e-06,8.23792163676616e-06
China,Activity,Copper production,0.00034453482789662644,0.0019011570187561634,0.0008603332810293203,0.00026388881247997175,0.00012698909965151505
China,Activity,Cultivation of cereal grains nec,0.0001613459030014711,3.5069416996710896e-05,1.99491568326873e-05,6.214382084525656e-06,5.35375085695341e-05
China,Activity,Cultivation of crops nec,7.147329015888181e-05,2.086241090820217e-05,1.1805324517486574e-05,3.829639479655578e-06,2.379996635574749e-05
China,Activity,Cultivation of oil seeds,0.00010022338849667188,5.1146835990510285e-05,2.7643952461819873e-05,9.256819769759276e-06,3.38894227597509e-05
China,Activity,Cultivation of paddy rice,3.278855718248556e-05,1.1235325058979117e-05,6.045917703901115e-06,2.007854545019425e-06,1.0923272508446833e-05
China,Activity,Cultivation of plant-based fibers,0.0002434071454546286,0.00015423370447870742,8.749873928238127e-05,2.917454258853963e-05,8.391767658818033e-05
China,Activity,"Cultivation of sugar cane, sugar beet",9.08106723466587e-05,3.458599862217423e-05,1.833490685043288e-05,5.722353389439406e-06,3.025456499272312e-05
China,Activity,"Cultivation of vegetables, fruit, nuts",0.0002773084263184981,7.928169521528065e-05,4.453856871988513e-05,1.404936348356925e-05,9.233355767332027e-05
China,Activity,Cultivation of wheat,2.3337318181558328e-05,9.622290358519026e-06,5.247695679052555e-06,1.7109387403547022e-06,7.832301562202446e-06
China,Activity,Distribution and trade of electricity,1.1645498714307518e-05,3.1099428781663716e-06,1.8218138988219511e-06,5.228228504473181e-07,3.833290213404456e-06
China,Activity,Education (80),3.2979374877662365e-06,1.4479705783243337e-06,7.387400094263847e-07,2.3189592675764458e-07,1.0964255598839499e-06
China,Activity,Extra-territorial organizations and bodies,0.0,0.0,0.0,0.0,0.0
China,Activity,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",0.0012700545279775346,0.000436997572848428,0.00024642976568840466,8.012153209425131e-05,0.00042460691170864777
China,Activity,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",1.8513396296583488e-05,1.3354319831640946e-05,7.0596710586315674e-06,2.347879870899974e-06,6.318743736322262e-06
China,Activity,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",0.0,0.0,0.0,0.0,0.0
China,Activity,"Financial intermediation, except insurance and pension funding (65)",0.0006144647247816634,0.0002593767585330545,0.00012997511541074162,4.10455426758725e-05,0.00020371101027741298
China,Activity,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",1.3322754746578898e-06,9.174737239064476e-07,4.754633292993861e-07,1.5179972468170024e-07,4.5055255102891475e-07
China,Activity,"Forestry, logging and related service activities (02)",0.00011263900178580634,4.669020770906084e-05,2.6223173170426318e-05,8.927214040455364e-06,3.7956441953138305e-05
China,Activity,Health and social work (85),0.000199152211667534,8.753920238687355e-05,4.159447536336657e-05,1.2767699827948765e-05,6.558332654683402e-05
China,Activity,Hotels and restaurants (55),8.81669570865015e-05,4.706206500129418e-05,2.544916836138014e-05,7.77532577164367e-06,2.946129209445866e-05
China,Activity,Incineration of waste: Food,6.886002707351654e-06,1.171998963239841e-06,6.635999677197798e-07,2.070547148943513e-07,2.2718414523268616e-06
China,Activity,Incineration of waste: Metals and Inert materials,0.00027743437776783347,4.0737056032267076e-05,2.8419369684089625e-05,1.1117159964681741e-05,9.320072438993565e-05
China,Activity,Incineration of waste: Oil/Hazardous waste,0.0004320336818836108,7.613381145719454e-05,4.52972692081503e-05,1.4995878614428453e-05,0.00014320281343858734
China,Activity,Incineration of waste: Paper,7.075138963187312e-06,1.21572454083794e-06,6.864610253924807e-07,2.1397901932741672e-07,2.33422269254652e-06
China,Activity,Incineration of waste: Plastic,0.00033639902673647905,4.677712271464991e-05,2.7537220657603657e-05,8.790247432081337e-06,0.00011102798014449213
China,Activity,Incineration of waste: Textiles,0.00034552037129580713,6.0096618076274754e-05,3.405567270952671e-05,1.0642778072395656e-05,0.00011406379794877746
China,Activity,Incineration of waste: Wood,1.029012695368724e-06,1.881348820872835e-07,1.0597042688484294e-07,3.382495349381623e-08,3.399807028259816e-07
China,Activity,Inland water transport,0.0014899376835151585,0.0007405085050622984,0.0003871224891154193,0.00012234173518660283,0.0004987255068429667
China,Activity,"Insurance and pension funding, except compulsory social security (66)",1.3800709062003223e-05,5.600738195574823e-06,2.8813213659052467e-06,9.212028975681176e-07,4.611549149654443e-06
China,Activity,Landfill of waste: Food,3.768781442199935e-05,5.941515750293946e-06,3.3799998114009965e-06,1.0525739155569297e-06,1.2425487834604217e-05
China,Activity,Landfill of waste: Inert/metal/hazardous,1.051849578522661e-05,1.910023479797468e-06,1.0735724417848633e-06,3.357993428186969e-07,3.4719194848010836e-06
China,Activity,Landfill of waste: Paper,1.3118335045409132e-05,2.1836038985230476e-06,1.237867416502456e-06,3.858210410715239e-07,4.326806611086035e-06
China,Activity,Landfill of waste: Plastic,6.73191499368345e-06,1.0921086223937158e-06,6.218624077575495e-07,1.9305173831608152e-07,2.2201777189400382e-06
China,Activity,Landfill of waste: Textiles,2.232024480674808e-06,3.632909674798177e-07,2.071591253625916e-07,6.442254346592571e-08,7.362473970716888e-07
China,Activity,Landfill of waste: Wood,2.862748359658663e-06,4.782667578010355e-07,2.717757748568198e-07,8.451094603024134e-08,9.444459731864078e-07
China,Activity,"Lead, zinc and tin production",3.942639325412454e-05,4.909231544546683e-05,2.3999606761230244e-05,7.601602590937943e-06,1.3553257829967568e-05
China,Activity,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,0.012347863211941002,0.038712014350134424,0.018846766502737953,0.005800108121983635,0.004455558943486671
China,Activity,Manufacture of beverages,7.4216255330776725e-06,5.547313727535471e-06,2.8194251006757587e-06,8.830997622038396e-07,2.5002967236018056e-06
China,Activity,"Manufacture of bricks, tiles and construction products, in baked clay",1.6760286428871556e-05,8.157974795605507e-06,8.01950519171075e-06,3.380555715368448e-06,6.477342621876532e-06
China,Activity,"Manufacture of cement, lime and plaster",0.000396337566582654,0.00010198130369518417,0.00012603337759957222,5.634568805020563e-05,0.00015330198598249522
China,Activity,Manufacture of ceramic goods,3.515022503065936e-05,1.2214533432983363e-05,1.25441195829659e-05,5.772202204222677e-06,1.4001754934207657e-05
China,Activity,Manufacture of coke oven products,0.002444560599145364,0.003937255521397017,0.001973230787385818,0.0006031560826704473,0.0008429426573528186
China,Activity,Manufacture of electrical machinery and apparatus n.e.c. (31),0.0001480877553494625,0.0014982606951342214,0.0006497941014000809,0.00019595064304253469,5.5137931389080916e-05
China,Activity,"Manufacture of fabricated metal products, except machinery and equipment (28)",0.003557790566660321,0.004567397367199709,0.002442907737493201,0.0007660313704486378,0.0012346406420123096
China,Activity,Manufacture of fish products,1.949567296003819e-05,1.4424157424815945e-05,7.388857414556275e-06,2.3522920665372515e-06,6.602608739797112e-06
China,Activity,Manufacture of furniture; manufacturing n.e.c. (36),0.0005731187383008483,0.0005243958656916252,0.00026693599384166304,8.867982884624104e-05,0.0001948836601772526
China,Activity,Manufacture of gas; distribution of gaseous fuels through mains,0.010464435459723816,0.0040472374479381045,0.0022513061150000978,0.0006491448417952662,0.0034534446918654976
China,Activity,Manufacture of glass and glass products,0.01603251483304636,0.00015769589279020056,0.00011582551129359952,3.314375735273702e-05,0.005212852442880357
China,Activity,Manufacture of machinery and equipment n.e.c. (29),0.0005237315265068208,0.0005767378533360173,0.00030759622639321737,9.688625901581427e-05,0.0001804008564020571
China,Activity,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",5.3437977115826e-06,1.2138511066570988e-05,6.486211748895296e-06,2.8582644430425313e-06,2.480987301910576e-06
China,Activity,"Manufacture of motor vehicles, trailers and semi-trailers (34)",0.00012127684981729329,3.0935765255088675e-05,1.8234495406691407e-05,6.038241089575135e-06,4.04729780094952e-05
China,Activity,Manufacture of office machinery and computers (30),4.868298820102825e-05,5.242213432899888e-05,2.987011660580633e-05,1.114212062244732e-05,1.818539063670404e-05
China,Activity,Manufacture of other non-metallic mineral products n.e.c.,0.06327734557240157,0.002051105898145917,0.0011633441222718766,0.00035976148400662644,0.0206004294236457
China,Activity,Manufacture of other transport equipment (35),8.964402811415019e-05,3.734237141408727e-05,2.096318058846036e-05,6.938545522737332e-06,3.039963990555513e-05
China,Activity,"Manufacture of radio, television and communication equipment and apparatus (32)",9.462854845451588e-05,0.00030081351011906237,0.00015414501533361885,5.918911137940121e-05,4.095212121195052e-05
China,Activity,Manufacture of rubber and plastic products (25),0.0016138852782193404,0.0013088963164836456,0.0006907391937778547,0.00022691008624794814,0.0005543816044542857
China,Activity,Manufacture of textiles (17),0.0002829753590950546,0.0001874418817573006,0.0001016583997492798,3.350718662403932e-05,9.695733038501824e-05
China,Activity,Manufacture of tobacco products (16),0.0024987271134707745,0.0009955893706614244,0.0005237415650685777,0.00015469242273852762,0.0008233554911661856
China,Activity,Manufacture of wearing apparel; dressing and dyeing of fur (18),0.0001950032636689561,8.044785557038419e-05,4.301168044552168e-05,1.382288328798793e-05,6.545417941152124e-05
China,Activity,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",0.00014406278126686883,9.370541874266908e-05,0.00011251176738616295,4.090736123937948e-05,6.0413456074710156e-05
China,Activity,"Manure treatment (biogas), storage and land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Manure treatment (conventional), storage and land application",0.0,0.0,0.0,0.0,0.0
China,Activity,Meat animals nec,6.85309264538126e-05,3.2630356144797927e-06,2.491501690640881e-06,6.963411918646334e-07,2.2618626385597382e-05
China,Activity,Mining of aluminium ores and concentrates,0.00043202803665546403,0.00023181331563158327,0.00015180096157604,4.607581892570995e-05,0.00014628317781109875
China,Activity,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",0.0001528704951390623,6.779428120872407e-05,6.859072744341191e-05,1.9310808683672493e-05,5.311101694060615e-05
China,Activity,Mining of coal and lignite; extraction of peat (10),0.001004927466131684,0.0010649296010155503,0.0005508403738764197,0.00017101974199764425,0.00034382027783985377
China,Activity,Mining of copper ores and concentrates,0.0001245754911706034,0.00031766184212425147,0.00015419221307132048,4.5589564330556806e-05,4.30666973084617e-05
China,Activity,Mining of iron ores,3.1980006304761714e-05,9.754057443072345e-05,4.8854843245961186e-05,1.491939967546922e-05,1.1582234914742554e-05
China,Activity,"Mining of lead, zinc and tin ores and concentrates",0.0002462829395567674,0.0001149505192727556,8.022262033206542e-05,2.100967686852648e-05,8.175320218770882e-05
China,Activity,Mining of nickel ores and concentrates,0.0002446425874054753,0.00015589126051798993,0.0004336927925080536,7.254999721070544e-05,8.289731818673221e-05
China,Activity,Mining of other non-ferrous metal ores and concentrates,0.000378294273188947,0.00028855489680574826,0.0007464401430645963,0.00012644815901823955,0.00012891581074651415
China,Activity,Mining of precious metal ores and concentrates,0.005099828543049439,0.00037666137285952665,0.00018412541688227527,5.492686466123548e-05,0.0016600897319927544
China,Activity,Mining of uranium and thorium ores (12),3.3678181638953266e-05,4.5312994436474785e-05,2.218312133572067e-05,7.416407875895847e-06,1.179598662655134e-05
China,Activity,N-fertiliser,1.3000639502559477e-06,5.042463879273276e-07,3.047082718330383e-07,4.692467292871979e-07,4.42660400277461e-07
China,Activity,Other business activities (74),0.0003594479953071449,0.0002458539858652115,0.00012169691779212383,3.80265436338467e-05,0.00012037486736885443
China,Activity,Other land transport,0.00018537801444659405,7.177616929767687e-05,3.9041999610012096e-05,1.229052374299783e-05,6.236056119892291e-05
China,Activity,Other non-ferrous metal production,0.0013964214993808777,0.0012345819548966273,0.0036445231773884782,0.0006035700949794253,0.00048178210542906884
China,Activity,Other service activities (93),5.6750389366157226e-05,6.2632368210128665e-06,3.7299669120938395e-06,1.1079677411414426e-06,1.871939358230966e-05
China,Activity,P- and other fertiliser,0.00022553896851805228,7.69771587659129e-05,4.608860406300959e-05,1.6183116265981415e-05,7.602843576944909e-05
China,Activity,Paper,0.0008866566726404164,0.00032805981470474595,0.00018038304284635306,6.278510499620811e-05,0.0002981177333412837
China,Activity,Petroleum Refinery,0.00393716161344504,0.0011952547732047099,0.0006797737645787128,0.00021951148750292437,0.00131400228213233
China,Activity,Pigs farming,0.0001704995522438831,7.898455321226992e-06,6.120124714235596e-06,1.7016573835046271e-06,5.6266734874267836e-05
