Region,,,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK
Level,,,Activity,Activity,Activity,Activity,Activity
Item,,,Production of photovoltaic plants,Production of onshore wind plants,Production of offshore wind plants,Production of electricity by wind,Production of electricity by solar photovoltaic
Region,Level,Item,,,,,
China,Activity,Activities auxiliary to financial intermediation (67),2.4673933169187265e-12,1.1523155817624864e-12,6.01612395547851e-13,4.209604855760336e-14,2.5179620918128672e-14
China,Activity,Activities of membership organisation n.e.c. (91),1.0469157622542584e-14,2.0431095353817166e-15,1.1120366556165575e-15,9.28453468300311e-17,5.302728221683668e-17
China,Activity,Air transport (62),7.090815207739881e-13,3.3630144636965254e-13,1.8750776597479276e-13,2.045867425627745e-14,1.3014031371326449e-14
China,Activity,Aluminium production,1.2564642896750272e-13,8.885326304116247e-14,4.309017480685411e-14,1.822714939808444e-15,1.0644026397052088e-15
China,Activity,Animal products nec,6.949884741702282e-15,2.6555971482182394e-15,1.6691909348102924e-15,1.9616349022979763e-16,1.3803032506037558e-16
China,Activity,"Biogasification of food waste, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Biogasification of paper, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Biogasification of sewage slugde, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,Casting of metals,1.6190284841814378e-14,5.74387265750232e-14,2.5731169613178195e-14,6.586000903455773e-16,3.8884522546047775e-16
China,Activity,Cattle farming,4.6585205293499925e-15,1.7481323670412257e-15,1.035546656417466e-15,9.948098507972981e-17,6.793757997353954e-17
China,Activity,Chemicals nec,1.896278862347849e-12,4.4624088248386563e-13,2.5758103327287926e-13,2.4036441017302087e-14,1.3118384723927152e-14
China,Activity,"Collection, purification and distribution of water (41)",8.835081465826426e-14,2.674738201566572e-14,1.4198690041980126e-14,7.807956761493193e-16,4.682734932618602e-16
China,Activity,"Composting of food waste, incl. land application",4.893786480989773e-15,7.057685398135498e-16,4.1431007920769395e-16,3.4380482134654605e-17,2.143300797440216e-17
China,Activity,"Composting of paper and wood, incl. land application",1.663865298977637e-15,2.1009926859691564e-16,1.23378237032229e-16,8.459995808327173e-18,5.6612414402546265e-18
China,Activity,Computer and related activities (72),7.308155491436625e-13,3.622301934583094e-13,2.0915258307271704e-13,2.1214314578327824e-14,1.4366866978333587e-14
China,Activity,Construction (45),1.097331775756241e-12,3.015883951400857e-13,2.011977536478822e-13,5.653892501995117e-14,5.541021633686487e-14
China,Activity,Copper production,1.4086905454831811e-14,7.307099761814916e-14,3.302065249123044e-14,9.245275033373726e-16,5.58042267125098e-16
China,Activity,Cultivation of cereal grains nec,7.030212807124866e-14,1.8360654156683593e-14,1.0406831049467463e-14,7.943403494692773e-16,5.703502489565933e-16
China,Activity,Cultivation of crops nec,3.399001351247767e-13,1.0424630528036951e-13,5.865405454979698e-14,4.699440310945458e-15,2.940956430438581e-15
China,Activity,Cultivation of oil seeds,1.3769156302149465e-13,8.579344475846053e-14,4.508948519800158e-14,3.0324052860912912e-15,1.8883487993425663e-15
China,Activity,Cultivation of paddy rice,6.515251819023764e-14,2.2013216974334777e-14,1.163206321141714e-14,8.497327977962295e-16,5.088196127286612e-16
China,Activity,Cultivation of plant-based fibers,6.169410112278901e-14,3.292974735605923e-14,1.9702380318265044e-14,1.922489277185259e-15,1.2154382830148802e-15
China,Activity,"Cultivation of sugar cane, sugar beet",4.929153872926009e-14,1.828430239748792e-14,9.827815752441926e-15,7.124727418060779e-16,4.734523220129094e-16
China,Activity,"Cultivation of vegetables, fruit, nuts",4.1579367429319223e-13,1.4196943133864472e-13,7.968286734303098e-14,6.565113749728185e-15,4.712755802594571e-15
China,Activity,Cultivation of wheat,4.807640456246291e-14,1.888425476257748e-14,1.0562757500475669e-14,8.890917626344295e-16,5.65321375663657e-16
China,Activity,Distribution and trade of electricity,1.906257003252808e-15,7.333677095609758e-16,3.967060836101972e-16,2.0895005851383513e-17,1.2427907537253577e-17
China,Activity,Education (80),3.808116517301702e-12,1.4173665155315924e-12,7.478681450923527e-13,5.863169893635764e-14,3.5265142047432365e-14
China,Activity,Extra-territorial organizations and bodies,0.0,0.0,0.0,0.0,0.0
China,Activity,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",1.7743454957696714e-12,6.750987754685167e-13,3.6903888033307056e-13,2.6126434518130314e-14,1.556254536398722e-14
China,Activity,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",5.699437826528612e-14,4.311329759262006e-14,2.290622814067378e-14,1.799307469464659e-15,9.88647799069331e-16
China,Activity,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",0.0,0.0,0.0,0.0,0.0
China,Activity,"Financial intermediation, except insurance and pension funding (65)",1.049985508880498e-11,3.387476280872293e-12,1.7372649488009856e-12,1.1019675210971289e-13,6.642176211045897e-14
China,Activity,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",1.337251535649171e-12,8.665917024245869e-13,4.5166132456566916e-13,3.150595708329672e-14,2.1559521078490113e-14
China,Activity,"Forestry, logging and related service activities (02)",4.025555400879319e-13,1.8612251594739506e-13,9.960587793557532e-14,7.680894037433929e-15,4.5495075347684485e-15
China,Activity,Health and social work (85),7.995244449830967e-12,2.894430884433433e-12,1.4283133523944768e-12,5.933935078134497e-14,3.486911256942195e-14
China,Activity,Hotels and restaurants (55),8.63326559415458e-12,4.4682971153012954e-12,2.454374467265674e-12,1.9953206530768287e-13,1.5963824434565823e-13
China,Activity,Incineration of waste: Food,2.6774162814440557e-14,4.94131500113006e-15,2.769036589243648e-15,2.202102240461373e-16,1.3119937847012066e-16
China,Activity,Incineration of waste: Metals and Inert materials,2.946805338020665e-15,6.178531529651059e-16,3.995762276934234e-16,1.4530510730606693e-16,3.13374785317864e-17
China,Activity,Incineration of waste: Oil/Hazardous waste,5.482850669995522e-15,1.067325016044479e-15,6.139367814580472e-16,5.2634862290903275e-17,3.1608400903237357e-17
China,Activity,Incineration of waste: Paper,2.599636518968229e-14,4.477443715811887e-15,2.5203134576784513e-15,1.8528164142707881e-16,1.1308284265670264e-16
China,Activity,Incineration of waste: Plastic,6.326144324415731e-15,1.0134708696597776e-15,5.911754743738283e-16,4.931256242638805e-17,3.041707949659097e-17
China,Activity,Incineration of waste: Textiles,5.082303413046989e-15,1.0053514974759636e-15,5.668718326436896e-16,4.549944783460625e-17,2.722366549200727e-17
China,Activity,Incineration of waste: Wood,5.9974870542130924e-15,1.1149295495500969e-15,6.335037958286643e-16,4.81898134410649e-17,2.9817218698864525e-17
China,Activity,Inland water transport,2.694087357015992e-14,1.421630448067786e-14,7.461518148378527e-15,4.680065243149e-16,3.122910762654536e-16
China,Activity,"Insurance and pension funding, except compulsory social security (66)",3.2097682325552724e-12,1.3382092444721242e-12,6.955069305204084e-13,5.862261114907754e-14,3.863679857596385e-14
China,Activity,Landfill of waste: Food,1.0351125238953767e-13,2.0080163530435636e-14,1.108902301394468e-14,7.358074255306188e-16,4.517743654399989e-16
China,Activity,Landfill of waste: Inert/metal/hazardous,3.771254115641631e-14,6.615133624069675e-15,3.690059576690122e-15,2.9083285132036917e-16,1.5790129731098474e-16
China,Activity,Landfill of waste: Paper,4.7050045011881315e-14,7.444066406195091e-15,4.250856189771993e-15,3.1814655838793196e-16,1.954966656266383e-16
China,Activity,Landfill of waste: Plastic,3.430778500615317e-14,6.87319399435117e-15,3.7946435270942236e-15,2.564572365899157e-16,1.5661203829342577e-16
China,Activity,Landfill of waste: Textiles,1.577877167591536e-14,2.8296225223515415e-15,1.5715067505161317e-15,1.1120426431971116e-16,6.72660936288684e-17
China,Activity,Landfill of waste: Wood,1.9052806343022168e-14,3.4103837260916965e-15,1.8922364314164846e-15,1.341408641245033e-16,8.102521577565003e-17
China,Activity,"Lead, zinc and tin production",2.9002639110979516e-15,4.183398323396572e-15,2.0821017054938657e-15,1.1057361428786624e-16,7.212665572870974e-17
China,Activity,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,3.0961569917960227e-13,7.305137370616994e-13,3.524259287729045e-13,1.4077038969920031e-14,8.25823491460473e-15
China,Activity,Manufacture of beverages,2.1491122149776926e-14,1.4058019496703075e-14,7.334381714698513e-15,5.200922292212557e-16,3.8176078624897677e-16
China,Activity,"Manufacture of bricks, tiles and construction products, in baked clay",8.437911381926841e-16,4.852257686628574e-16,2.9891301563914305e-16,4.2309805302275995e-17,2.9643829700596164e-17
China,Activity,"Manufacture of cement, lime and plaster",4.139993623098304e-15,1.1516029365120098e-15,1.2056596596928612e-15,3.463958166448159e-16,2.9437011583013733e-16
China,Activity,Manufacture of ceramic goods,3.7681989200672405e-14,5.1850748723894056e-14,2.702794477938724e-14,2.675713392844717e-15,1.970835831852874e-15
China,Activity,Manufacture of coke oven products,2.208733697122514e-14,1.89974951645703e-14,9.648767053397005e-15,4.2220966799737396e-16,2.495742531115611e-16
China,Activity,Manufacture of electrical machinery and apparatus n.e.c. (31),1.0005939273698282e-12,1.0813996258718722e-11,4.672238392227697e-12,7.218880977013264e-14,4.310588558386356e-14
China,Activity,"Manufacture of fabricated metal products, except machinery and equipment (28)",4.180811305363943e-13,4.622952234679728e-13,2.4420021463796667e-13,1.531962914185121e-14,8.571433846713224e-15
China,Activity,Manufacture of fish products,8.937008736687748e-14,6.181481707084121e-14,3.184133459026294e-14,2.128301713235012e-15,1.4431113012449886e-15
China,Activity,Manufacture of furniture; manufacturing n.e.c. (36),6.016084469504978e-13,5.964327308702925e-13,3.002472496370585e-13,2.0393429090780958e-14,9.823662648232654e-15
China,Activity,Manufacture of gas; distribution of gaseous fuels through mains,1.3901526535982958e-13,6.295903806620551e-14,3.327549674033231e-14,1.6575338375976062e-15,9.790189900279273e-16
China,Activity,Manufacture of glass and glass products,5.0672339834599504e-12,1.636775878517866e-13,8.870397997427752e-14,4.304219401038105e-15,2.7305329464570597e-15
China,Activity,Manufacture of machinery and equipment n.e.c. (29),1.3766197088141354e-12,1.1041040097342429e-12,5.914173627603628e-13,4.369497557351683e-14,2.3027005042945014e-14
China,Activity,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",1.4612166246036502e-13,2.408344597556448e-13,1.3022643336132018e-13,2.6905162994477045e-14,1.619467313700233e-14
China,Activity,"Manufacture of motor vehicles, trailers and semi-trailers (34)",2.5052248072024115e-13,4.625172633691746e-14,2.735308161231308e-14,2.069098766394845e-15,1.4121541535728498e-15
China,Activity,Manufacture of office machinery and computers (30),9.409473732745728e-13,9.003910165814471e-13,6.021614254649647e-13,1.0853722842260752e-13,7.221840924266294e-14
China,Activity,Manufacture of other non-metallic mineral products n.e.c.,1.8859843214792165e-12,1.0152292111729123e-13,5.279811981012868e-14,2.768915942627055e-15,1.7661535221580484e-15
China,Activity,Manufacture of other transport equipment (35),3.783897780855243e-14,1.5470628462781637e-14,9.320411437097637e-15,9.936675478881187e-16,6.662144283943665e-16
China,Activity,"Manufacture of radio, television and communication equipment and apparatus (32)",6.810961115578692e-13,2.207899256813281e-12,1.1383282653884647e-12,1.345440678400459e-13,7.490799356054321e-14
China,Activity,Manufacture of rubber and plastic products (25),2.1168414097234626e-12,1.9669713117011164e-12,9.90585055278753e-13,5.744495613695463e-14,3.5066944642804644e-14
China,Activity,Manufacture of textiles (17),1.3449838687503746e-12,7.885216359930066e-13,4.497946490010142e-13,4.016680298568502e-14,2.4749218655011374e-14
China,Activity,Manufacture of tobacco products (16),1.1687379598008562e-14,3.6143829637846805e-15,1.9567283020912332e-15,8.145068579424723e-17,4.7848082131563196e-17
China,Activity,Manufacture of wearing apparel; dressing and dyeing of fur (18),4.69613324107855e-13,1.8218071673194252e-13,1.0487318054694698e-13,1.0361028923828707e-14,6.579105754838649e-15
China,Activity,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",8.985124598653123e-15,5.835960189918074e-15,5.674630731628526e-15,9.045931105548897e-16,6.392741147533934e-16
China,Activity,"Manure treatment (biogas), storage and land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Manure treatment (conventional), storage and land application",0.0,0.0,0.0,0.0,0.0
China,Activity,Meat animals nec,2.3709208307127843e-13,1.2556545374680688e-14,9.768993577725523e-15,7.359445435127919e-16,5.39744239124221e-16
China,Activity,Mining of aluminium ores and concentrates,5.840639191171482e-14,4.0460859422134764e-14,2.3847125539770092e-14,1.434268478306416e-15,8.422401163948397e-16
China,Activity,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",2.993723228095915e-14,1.4378200135739116e-14,1.1853616365054347e-14,8.140092421194256e-16,5.048462352730442e-16
China,Activity,Mining of coal and lignite; extraction of peat (10),2.3736141980656862e-17,4.5867989995315775e-18,2.4340192520384787e-18,1.3098936506752276e-19,7.766510325212048e-20
China,Activity,Mining of copper ores and concentrates,3.59108834222945e-13,6.210641405492902e-13,3.118830270800456e-13,8.53529205755612e-15,5.143141783896192e-15
China,Activity,Mining of iron ores,4.16181735515484e-14,7.159111349162301e-14,3.609983730890053e-14,1.3904486164656667e-15,8.165061072180826e-16
China,Activity,"Mining of lead, zinc and tin ores and concentrates",4.2273649167635664e-15,6.065942335235689e-15,3.1472496344550065e-15,1.7739431754604102e-16,1.1487087875153694e-16
China,Activity,Mining of nickel ores and concentrates,5.854138598733579e-14,7.599984478200234e-14,8.213859574519749e-14,1.723076311900427e-15,1.0262843997202121e-15
China,Activity,Mining of other non-ferrous metal ores and concentrates,3.360348539870683e-13,3.7892911394513853e-13,4.805962422851458e-13,9.480053039861688e-15,5.658637686526281e-15
China,Activity,Mining of precious metal ores and concentrates,4.298710988626597e-12,3.175925227867997e-13,1.648423604166581e-13,6.1920297835428546e-15,3.6947855386947786e-15
China,Activity,Mining of uranium and thorium ores (12),3.65388419316761e-15,5.508190729786123e-15,2.823632429986207e-15,2.475791046459916e-16,1.363235976408467e-16
China,Activity,N-fertiliser,4.38269731398755e-16,2.0934795863578506e-16,1.270306904864371e-16,1.793173797156066e-17,8.067259710642191e-18
China,Activity,Other business activities (74),5.2758080171453574e-12,3.197991544000437e-12,1.6757426168270466e-12,1.9946317207418625e-13,1.0390551062681195e-13
China,Activity,Other land transport,1.6526221862011252e-12,7.187171293814277e-13,3.8665523375519657e-13,3.2601813710196254e-14,2.1227014918445205e-14
China,Activity,Other non-ferrous metal production,7.810105546450711e-15,1.2005969562337353e-14,1.961563303235197e-14,3.091132752979704e-16,1.8579917691034877e-16
China,Activity,Other service activities (93),1.991450854132331e-12,3.726627507652912e-13,2.1264904329708076e-13,1.4270226120905662e-14,8.923019876538602e-15
