Region,,,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK
Level,,,Activity,Activity,Activity,Activity,Activity
Item,,,Production of photovoltaic plants,Production of onshore wind plants,Production of offshore wind plants,Production of electricity by wind,Production of electricity by solar photovoltaic
Region,Level,Item,,,,,
China,Activity,Activities auxiliary to financial intermediation (67),2.4724552739578217e-12,1.1525022294110927e-12,6.018014656559575e-13,1.960842075073088e-13,8.291087267454009e-13
China,Activity,Activities of membership organisation n.e.c. (91),1.0484854690782007e-14,2.0435775395562267e-15,1.1125074385532657e-15,3.7180741374978675e-16,3.4621003012244446e-15
China,Activity,Air transport (62),7.105707715285013e-13,3.3635702093114814e-13,1.8756408151682476e-13,6.694907773803715e-14,2.4405979357801464e-13
China,Activity,Aluminium production,1.2595983216437065e-13,8.886588525850716e-14,4.3102992559660933e-14,1.326752141930436e-14,4.202193043554486e-14
China,Activity,Animal products nec,6.9634922542621345e-15,2.6560864271266018e-15,1.6696861931710706e-15,5.877720914157956e-16,2.402225145593048e-15
China,Activity,"Biogasification of food waste, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Biogasification of paper, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Biogasification of sewage slugde, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,Casting of metals,1.6317862561454988e-14,5.744523913416883e-14,2.5737820488875184e-14,7.780662404482115e-15,5.696641988706309e-15
China,Activity,Cattle farming,4.667442158507735e-15,1.7484491514983279e-15,1.0358671900769287e-15,3.4905508071735943e-16,1.5855624842687928e-15
China,Activity,Chemicals nec,1.8993120863254697e-12,4.4633629994510354e-13,2.5767720056473577e-13,8.68715541284608e-14,6.306696546252231e-13
China,Activity,"Collection, purification and distribution of water (41)",8.850259648079405e-14,2.675241376010337e-14,1.4203770291006549e-14,4.385781438452852e-15,2.9244643311684573e-14
China,Activity,"Composting of food waste, incl. land application",4.9006591767186325e-15,7.059612575095685e-16,4.145034927369659e-16,1.34672449119959e-16,1.614836383475607e-15
China,Activity,"Composting of paper and wood, incl. land application",1.6661365814615612e-15,2.1016112673210141e-16,1.2344024689720143e-16,3.832281942242261e-17,5.473885563289835e-16
China,Activity,Computer and related activities (72),7.323981991920469e-13,3.6229014734673014e-13,2.092133626047545e-13,7.222249402712364e-14,2.5251093008657484e-13
China,Activity,Construction (45),1.0992356508425151e-12,3.0165193924116434e-13,2.0126192446989627e-13,1.0252587302365444e-13,4.128239823460094e-13
China,Activity,Copper production,1.424269600288974e-14,7.30791738479421e-14,3.302900717258024e-14,1.0022077481855413e-14,5.1917711349349775e-15
China,Activity,Cultivation of cereal grains nec,7.041814630100377e-14,1.8364391428053066e-14,1.0410600745292151e-14,3.3547884117833646e-15,2.346651241566502e-14
China,Activity,Cultivation of crops nec,3.404935115616446e-13,1.0426619260161206e-13,5.867414073191141e-14,1.918025807614388e-14,1.13651659980625e-13
China,Activity,Cultivation of oil seeds,1.3801897257549116e-13,8.580637827409496e-14,4.5102612187144926e-14,1.4535621112159584e-14,4.67667320517085e-14
China,Activity,Cultivation of paddy rice,6.526910157596812e-14,2.2017188383648076e-14,1.1636076428547198e-14,3.8096465102982325e-15,2.1730981548807716e-14
China,Activity,Cultivation of plant-based fibers,6.183419744590274e-14,3.293517234290479e-14,1.970788342669715e-14,6.648971635573834e-15,2.132136779816605e-14
China,Activity,"Cultivation of sugar cane, sugar beet",4.9383457393100164e-14,1.828751527041501e-14,9.831065077288827e-15,3.1925407114612795e-15,1.653049594030008e-14
China,Activity,"Cultivation of vegetables, fruit, nuts",4.1655012724901195e-13,1.41995473113882e-13,7.97091920622166e-14,2.6260235807656787e-14,1.4015373846434777e-13
China,Activity,Cultivation of wheat,4.816908451583437e-14,1.8887558071782774e-14,1.0566100290402555e-14,3.5040897379436405e-15,1.6227574749383922e-14
China,Activity,Distribution and trade of electricity,1.9098718195268547e-15,7.334953255921758e-16,3.968351872377348e-16,1.2069531652316234e-16,6.334244684132417e-16
China,Activity,Education (80),3.815199870050758e-12,1.4176137233607613e-12,7.48118145725387e-13,2.4906800341203897e-13,1.2757779642521883e-12
China,Activity,Extra-territorial organizations and bodies,0.0,0.0,0.0,0.0,0.0
China,Activity,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",1.7777020963644158e-12,6.752171081689579e-13,3.6915858721560553e-13,1.1849776017150207e-13,5.935838313474614e-13
China,Activity,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",5.714613294968214e-14,4.3119560662783364e-14,2.2912592351809078e-14,7.612034172062968e-15,1.957067968458344e-14
China,Activity,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",0.0,0.0,0.0,0.0,0.0
China,Activity,"Financial intermediation, except insurance and pension funding (65)",1.0518205329160239e-11,3.388091754803476e-12,1.7378865920130977e-12,5.588351602829812e-13,3.4863931182522037e-12
China,Activity,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",1.3404928074345845e-12,8.667207577053253e-13,4.5179233862425813e-13,1.472070909012787e-13,4.57436752269283e-13
China,Activity,"Forestry, logging and related service activities (02)",4.033824043012886e-13,1.8615302386787863e-13,9.963678238481804e-14,3.286919070279217e-14,1.3571099347052418e-13
China,Activity,Health and social work (85),8.00974898922513e-12,2.8949293297450635e-12,1.4288171849495636e-12,4.353859825738382e-13,2.639232533823187e-12
China,Activity,Hotels and restaurants (55),8.65212112382778e-12,4.4690142933236466e-12,2.455101605544678e-12,8.124240981944212e-13,2.9729353349305648e-12
China,Activity,Incineration of waste: Food,2.6813868403296138e-14,4.942487312083177e-15,2.7702154376745855e-15,9.052296873404655e-16,8.849521344364046e-15
China,Activity,Incineration of waste: Metals and Inert materials,2.951440723456025e-15,6.179970475519278e-16,3.9972118602682015e-16,2.3788400843896166e-16,9.909811660486622e-16
China,Activity,Incineration of waste: Oil/Hazardous waste,5.491131993723476e-15,1.0675735091599983e-15,6.141868083931865e-16,2.026523921774621e-16,1.8170106572711844e-15
China,Activity,Incineration of waste: Paper,2.6034254382249388e-14,4.478544821562704e-15,2.5214200509326886e-15,8.074643015043752e-16,8.577905448455174e-15
China,Activity,Incineration of waste: Plastic,6.33524284042616e-15,1.0137320001293007e-15,5.914377823053674e-16,1.9283581001726997e-16,2.0902663699113595e-15
China,Activity,Incineration of waste: Textiles,5.089991564379436e-15,1.0055824991776332e-15,5.671042714420145e-16,1.8532281144288113e-16,1.682198230612276e-15
China,Activity,Incineration of waste: Wood,6.006415942520786e-15,1.1151940964104097e-15,6.337698521536103e-16,2.0388518561567078e-16,1.982757643753697e-15
China,Activity,Inland water transport,2.699959466968305e-14,1.4218535815573976e-14,7.463780410421917e-15,2.3728665571423242e-15,9.091393731009594e-15
China,Activity,"Insurance and pension funding, except compulsory social security (66)",3.216015112435437e-12,1.338433103954825e-12,6.957335026991751e-13,2.3704462176170767e-13,1.0843303959462519e-12
China,Activity,Landfill of waste: Food,1.0366651938669876e-13,2.0084794509198796e-14,1.1093681552732016e-14,3.498254898182035e-15,3.4158178426095155e-14
China,Activity,Landfill of waste: Inert/metal/hazardous,3.7767696079541714e-14,6.61674160841309e-15,3.691675767694039e-15,1.2057061151102332e-15,1.2437759452273323e-14
China,Activity,Landfill of waste: Paper,4.7117326577059585e-14,7.44598681097358e-15,4.252784848811144e-15,1.3604750050440901e-15,1.5515278826468263e-14
China,Activity,Landfill of waste: Plastic,3.435970727607551e-14,6.8747546948154845e-15,3.796213959554014e-15,1.2018721287380696e-15,1.1328427046745007e-14
China,Activity,Landfill of waste: Textiles,1.5801966490193394e-14,2.830301921210453e-15,1.5721897363827446e-15,5.016404067877826e-16,5.205149013770139e-15
China,Activity,Landfill of waste: Wood,1.908079678267998e-14,3.411203133224295e-15,1.893060147520178e-15,6.044763796004394e-16,6.284993200101846e-15
China,Activity,"Lead, zinc and tin production",2.9118455512760734e-15,4.183933297463838e-15,2.0826468331854683e-15,6.563237752251552e-16,1.0190432619118617e-15
China,Activity,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,3.1140157093511877e-13,7.306016393408796e-13,3.5251562786339363e-13,1.0792679500145504e-13,1.0953584484150538e-13
China,Activity,Manufacture of beverages,2.154349779556729e-14,1.4060109518109864e-14,7.336503585327907e-15,2.397983947200328e-15,7.386892114399889e-15
China,Activity,"Manufacture of bricks, tiles and construction products, in baked clay",8.458016874627737e-16,4.85305259002328e-16,2.9899369698279585e-16,1.1307125355275815e-16,3.046656150797383e-16
China,Activity,"Manufacture of cement, lime and plaster",4.1480861057620055e-15,1.1518936448221166e-15,1.2059539125208422e-15,5.788055993827325e-16,1.6431291547411486e-15
China,Activity,Manufacture of ceramic goods,3.782987414438855e-14,5.185755425266959e-14,2.7034878869105873e-14,9.59863391523929e-15,1.4272854515049313e-14
China,Activity,Manufacture of coke oven products,2.2150021339091385e-14,1.9000139417806018e-14,9.651455528335663e-15,2.925760202548171e-15,7.452109482661359e-15
China,Activity,Manufacture of electrical machinery and apparatus n.e.c. (31),1.022039861261263e-12,1.0815158691171782e-11,4.6734269667194795e-12,1.3906831812442385e-12,3.7583248484944477e-13
China,Activity,"Manufacture of fabricated metal products, except machinery and equipment (28)",4.194954612315391e-13,4.623580410220709e-13,2.4426416478895824e-13,7.746268459767702e-14,1.4498378173422316e-13
China,Activity,Manufacture of fish products,8.959398891005603e-14,6.182385013729225e-14,3.18505080134224e-14,1.0332481700987641e-14,3.057581829742187e-14
China,Activity,Manufacture of furniture; manufacturing n.e.c. (36),6.034711534263573e-13,5.965134584326741e-13,3.003293832114384e-13,9.864461557216594e-14,2.0605797609173043e-13
China,Activity,Manufacture of gas; distribution of gaseous fuels through mains,1.3929722260337722e-13,6.296937251126364e-14,3.328596346799097e-14,1.0123642449774507e-14,4.627202191732406e-14
China,Activity,Manufacture of glass and glass products,5.073091641060932e-12,1.6380660605065414e-13,8.883208579843953e-14,2.663287587929011e-14,1.652172334746597e-12
China,Activity,Manufacture of machinery and equipment n.e.c. (29),1.3804254058241506e-12,1.1042631460549713e-12,5.915791239845356e-13,1.9317850010992827e-13,4.718986143274225e-13
China,Activity,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",1.4678650693386327e-13,2.4086597077716847e-13,1.3025856146571997e-13,5.966918712659457e-14,6.393056032884237e-14
China,Activity,"Manufacture of motor vehicles, trailers and semi-trailers (34)",2.508969125599951e-13,4.626285866327009e-14,2.736427888641631e-14,8.667318903227022e-15,8.298940614860346e-14
China,Activity,Manufacture of office machinery and computers (30),9.440935959382743e-13,9.005303271225423e-13,6.023032371719824e-13,2.4600742510743554e-13,3.792198242536672e-13
China,Activity,Manufacture of other non-metallic mineral products n.e.c.,1.888245423383241e-12,1.0157547566759449e-13,5.285043977368223e-14,1.6320983112201138e-14,6.157033260503065e-13
China,Activity,Manufacture of other transport equipment (35),3.7914559000550454e-14,1.547337610966194e-14,9.323193578201258e-15,3.2225905791737637e-15,1.29942479652821e-14
China,Activity,"Manufacture of radio, television and communication equipment and apparatus (32)",6.863633174369766e-13,2.2081676382183956e-12,1.1386023360997999e-12,4.276952581829713e-13,2.9816291380500215e-13
China,Activity,Manufacture of rubber and plastic products (25),2.123129717935777e-12,1.9672404635115004e-12,9.908588093974323e-13,3.1556212702343644e-13,7.254521335136337e-13
China,Activity,Manufacture of textiles (17),1.3481504875732018e-12,7.886462039071939e-13,4.4992106585375767e-13,1.5048799797115757e-13,4.631144809604737e-13
China,Activity,Manufacture of tobacco products (16),1.170769259853109e-14,3.6150617354565214e-15,1.9574137946562737e-15,5.735345462950752e-16,3.854576251509237e-15
China,Activity,Manufacture of wearing apparel; dressing and dyeing of fur (18),4.70519709370686e-13,1.8221304427752313e-13,1.0490589514600565e-13,3.597455073282596e-14,1.5956934982426802e-13
China,Activity,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",9.012210482823977e-15,5.837124740969639e-15,5.67581532951579e-15,2.0257515022446906e-15,3.56981298410568e-15
China,Activity,"Manure treatment (biogas), storage and land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Manure treatment (conventional), storage and land application",0.0,0.0,0.0,0.0,0.0
China,Activity,Meat animals nec,2.3738240281497273e-13,1.2563492328625525e-14,9.775918916866933e-15,2.8327908972441924e-15,7.77215128922043e-14
China,Activity,Mining of aluminium ores and concentrates,5.85588748307848e-14,4.046710778424174e-14,2.3853473615764028e-14,7.194665072472453e-15,1.988358548509125e-14
China,Activity,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",3.000818601180833e-14,1.438099914633546e-14,1.1856457139566232e-14,3.300011305074354e-15,1.026233229565042e-14
China,Activity,Mining of coal and lignite; extraction of peat (10),2.3771509965016747e-17,4.587847689083645e-18,2.4350739548678584e-18,7.491438681953084e-19,7.806791262920703e-18
China,Activity,Mining of copper ores and concentrates,3.607560470276064e-13,6.211423268201934e-13,3.1196274713649397e-13,8.991696806730478e-14,1.224635350005939e-13
China,Activity,Mining of iron ores,4.1808591202584304e-14,7.160014768031506e-14,3.610904862630915e-14,1.0790748434109438e-14,1.441294271090742e-14
China,Activity,"Mining of lead, zinc and tin ores and concentrates",4.244439324662412e-15,6.0667329315055175e-15,3.148055281147815e-15,9.853846907214093e-16,1.4951438945946643e-15
China,Activity,Mining of nickel ores and concentrates,5.884702273848171e-14,7.601467016909704e-14,8.215371931299946e-14,1.7393356195922754e-14,2.016452348832374e-14
China,Activity,Mining of other non-ferrous metal ores and concentrates,3.3774927793321697e-13,3.7901197375298625e-13,4.806807618336459e-13,9.684071268228469e-14,1.155006829685252e-13
China,Activity,Mining of precious metal ores and concentrates,4.304041517838455e-12,3.177222182681335e-13,1.6497175059676348e-13,4.8533054047700086e-14,1.4030987212581998e-12
China,Activity,Mining of uranium and thorium ores (12),3.669118935016298e-15,5.508900783715019e-15,2.8243561109694007e-15,9.76828572105981e-16,1.3295149119782313e-15
China,Activity,N-fertiliser,4.392140507146989e-16,2.093836442460995e-16,1.2706686501385502e-16,4.8210748320062393e-17,1.508804796161279e-16
China,Activity,Other business activities (74),5.28815826629249e-12,3.1984761891842627e-12,1.6762344224203788e-12,6.276039983385068e-13,1.8234041134839213e-12
China,Activity,Other land transport,1.655925990334383e-12,7.188372893254532e-13,3.8677690385313757e-13,1.3013074907484887e-13,5.596564175944097e-13
China,Activity,Other non-ferrous metal production,7.870139233581402e-15,1.2009026618885175e-14,1.961875485421183e-14,3.6470159965421235e-15,2.7457292363165283e-15
China,Activity,Other service activities (93),1.994422765792897e-12,3.7275099055389975e-13,2.1273779350596627e-13,6.642809664935723e-14,6.573945500303793e-13
