Region,,,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK
Level,,,Activity,Activity,Activity,Activity,Activity
Item,,,Production of photovoltaic plants,Production of onshore wind plants,Production of offshore wind plants,Production of electricity by wind,Production of electricity by solar photovoltaic
Region,Level,Item,,,,,
China,Activity,Activities auxiliary to financial intermediation (67),2.154644086336853e-12,1.1779256833365968e-12,6.142469063190707e-13,2.6918408331728627e-13,9.258357351244092e-13
China,Activity,Activities of membership organisation n.e.c. (91),6.6007864715491536e-15,1.3036733926233085e-15,7.144948740730042e-16,3.1491274772615357e-16,2.7888742230123426e-15
China,Activity,Air transport (62),6.138303100862722e-13,3.155668155142336e-13,1.737344894478621e-13,8.035048202253937e-14,2.6814920479261375e-13
China,Activity,Aluminium production,8.111299115778512e-14,6.409372309450142e-14,3.122946992313595e-14,1.3268772637777843e-14,3.4704475631797496e-14
China,Activity,Animal products nec,1.3591786982508498e-15,5.014901690250293e-16,3.1603525889077757e-16,1.4926422669408297e-16,5.953667134392113e-16
China,Activity,"Biogasification of food waste, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Biogasification of paper, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Biogasification of sewage slugde, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,Casting of metals,1.2627495724693598e-14,5.235630533642436e-14,2.38024864462991e-14,1.0076778206574035e-14,5.718016039204236e-15
China,Activity,Cattle farming,9.288505212784976e-15,3.831614883699316e-15,2.2655470983875904e-15,1.0228436674892798e-15,4.0330743332842e-15
China,Activity,Chemicals nec,1.1937662455171083e-12,2.634240776770618e-13,1.5752374099357054e-13,7.558303718381914e-14,5.097697988727175e-13
China,Activity,"Collection, purification and distribution of water (41)",3.1945754890924726e-14,8.981555868617322e-15,4.896005459624975e-15,2.085774196481456e-15,1.3527478122103628e-14
China,Activity,"Composting of food waste, incl. land application",1.3325573082399062e-14,4.1211649664221545e-15,2.1923221215556236e-15,9.958047905068816e-16,5.683171541852861e-15
China,Activity,"Composting of paper and wood, incl. land application",1.1992617346063955e-15,3.6095330634497183e-16,1.9120605130425487e-16,8.543959123344582e-17,5.10431508622584e-16
China,Activity,Computer and related activities (72),8.127050411028196e-13,6.422274724426524e-13,3.61753772695209e-13,1.5542693245078882e-13,3.5765492478017994e-13
China,Activity,Construction (45),6.879715311619193e-13,2.098959677219407e-13,1.626809745250007e-13,1.0573219009001774e-13,3.5150980674827774e-13
China,Activity,Copper production,9.410313542250768e-15,5.4313059611142984e-14,2.4726805256997513e-14,1.0503124117845135e-14,4.4270025316531676e-15
China,Activity,Cultivation of cereal grains nec,1.8670315846101627e-13,4.8170349499889864e-14,2.7508320047777437e-14,1.1903855250416954e-14,7.945733817499925e-14
China,Activity,Cultivation of crops nec,1.8248054691682814e-13,5.945778627131917e-14,3.348324089472954e-14,1.4703870443401644e-14,7.794806269135132e-14
China,Activity,Cultivation of oil seeds,2.3572843513301373e-15,1.6200975485465373e-15,8.59390572322995e-16,3.817014495899602e-16,1.0273748004694978e-15
China,Activity,Cultivation of paddy rice,1.3284079892257723e-13,4.923784180838613e-14,2.641004384194474e-14,1.1874822971839414e-14,5.6803519375009005e-14
China,Activity,Cultivation of plant-based fibers,8.53518356903368e-14,5.649593343325075e-14,3.324120349580676e-14,1.489723799513939e-14,3.7831329633067473e-14
China,Activity,"Cultivation of sugar cane, sugar beet",4.6167947063517494e-14,1.9492039998712332e-14,1.0445013992732083e-14,4.5204551657521846e-15,1.9750284210150968e-14
China,Activity,"Cultivation of vegetables, fruit, nuts",1.1602082639372016e-12,3.871390424941576e-13,2.1980738318182375e-13,9.639360333719286e-14,4.970357715022523e-13
China,Activity,Cultivation of wheat,5.6267067456094524e-14,2.418062799532328e-14,1.3457567977037371e-14,6.0281918854946216e-15,2.4266907061340725e-14
China,Activity,Distribution and trade of electricity,8.505054859060922e-16,2.975131234808488e-16,1.6474680620397938e-16,6.714590222338928e-17,3.600637667936623e-16
China,Activity,Education (80),1.7256660830447424e-12,7.033279285202538e-13,3.6722600395969083e-13,1.6408414504776715e-13,7.372918989367474e-13
China,Activity,Extra-territorial organizations and bodies,0.0,0.0,0.0,0.0,0.0
China,Activity,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",1.9859017036486849e-13,8.851371987875181e-14,4.851369025682445e-14,2.1143111056245672e-14,8.50463617192328e-14
China,Activity,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",4.743617780403979e-15,3.71224289674819e-15,1.9868504865338286e-15,8.91751430078191e-16,2.077606863890441e-15
China,Activity,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",0.0,0.0,0.0,0.0,0.0
China,Activity,"Financial intermediation, except insurance and pension funding (65)",1.0311922788933795e-11,4.10610455757095e-12,2.095697596706266e-12,9.07582013025031e-13,4.382473845236047e-12
China,Activity,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",2.2363091328716653e-13,1.6136936372589894e-13,8.38196662790241e-14,3.665179709324368e-14,9.710282200545092e-14
China,Activity,"Forestry, logging and related service activities (02)",7.48911901800363e-14,3.1514089757881124e-14,1.7754336666741465e-14,8.065530849795424e-15,3.233290923260129e-14
China,Activity,Health and social work (85),7.628204008259159e-12,3.4535853452549816e-12,1.6565280932221684e-12,7.036096392352096e-13,3.2239840449161525e-12
China,Activity,Hotels and restaurants (55),1.0344798794646369e-11,5.936906401514889e-12,3.3090418903978436e-12,1.4438792452446742e-12,4.5098385811983895e-12
China,Activity,Incineration of waste: Food,5.997853973051844e-14,1.3061552358542535e-14,7.152188647119542e-15,3.137265943165529e-15,2.536569237914938e-14
China,Activity,Incineration of waste: Metals and Inert materials,5.509105205981462e-15,3.144150967093703e-15,1.7170135439828047e-15,8.115736452250735e-16,2.4188742397942783e-15
China,Activity,Incineration of waste: Oil/Hazardous waste,1.2514501927569064e-14,3.877608868317184e-15,2.115346558842996e-15,9.625708525354994e-16,5.346398349088421e-15
China,Activity,Incineration of waste: Paper,6.263105118006312e-14,1.3938094575701245e-14,7.636847737189124e-15,3.321217463121208e-15,2.649239856718529e-14
China,Activity,Incineration of waste: Plastic,1.0148184408746412e-14,2.9059053792202492e-15,1.5768106559301928e-15,7.094701915316233e-16,4.322204197358863e-15
China,Activity,Incineration of waste: Textiles,1.0950681206577496e-14,2.6508497483586172e-15,1.4567668018536719e-15,6.382929556815067e-16,4.641314608765703e-15
China,Activity,Incineration of waste: Wood,1.3625296028401964e-14,3.296901315943637e-15,1.8058213057572773e-15,7.9380855376911335e-16,5.775473655391246e-15
China,Activity,Inland water transport,2.2973745300233017e-14,1.4125366560426419e-14,7.34974460470566e-15,3.1641013125705865e-15,9.895373976661803e-15
China,Activity,"Insurance and pension funding, except compulsory social security (66)",2.5392397137036736e-12,1.3108339982747758e-12,6.77928291350292e-13,3.0225291426929906e-13,1.096621317363465e-12
China,Activity,Landfill of waste: Food,1.787632393018401e-13,3.491476512337276e-14,1.9247615681210488e-14,8.337902386566541e-15,7.550162102094798e-14
China,Activity,Landfill of waste: Inert/metal/hazardous,7.376017458907236e-14,1.6871932966366162e-14,9.166651874280043e-15,3.992807686839262e-15,3.1208063268328376e-14
China,Activity,Landfill of waste: Paper,7.835352825659443e-14,1.668092746743475e-14,9.165753193611515e-15,3.986356664871054e-15,3.3133440420264517e-14
China,Activity,Landfill of waste: Plastic,6.537512234430654e-14,1.3367797269563723e-14,7.327136137262798e-15,3.1643102782935766e-15,2.7610916518323283e-14
China,Activity,Landfill of waste: Textiles,2.624826161675755e-14,5.470137365664908e-15,3.005248774672957e-15,1.3004804378545436e-15,1.1091615432726041e-14
China,Activity,Landfill of waste: Wood,3.202134710332678e-14,6.898908002745235e-15,3.778521260291731e-15,1.6395475975329255e-15,1.3536530135705993e-14
China,Activity,"Lead, zinc and tin production",1.7443978092575605e-15,2.0900422247687465e-15,1.0366217790121461e-15,4.565136722421581e-16,7.759517565661951e-16
China,Activity,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,1.90851365549523e-13,6.459409886547366e-13,3.1282382594879713e-13,1.3178595107593168e-13,8.751004357747114e-14
China,Activity,Manufacture of beverages,2.1414307468862677e-14,1.6210858313141152e-14,8.478178929032573e-15,3.715390151654357e-15,9.355349345749588e-15
China,Activity,"Manufacture of bricks, tiles and construction products, in baked clay",6.357706770312533e-16,3.3200753989171843e-16,2.8018421209455866e-16,1.4855900666561945e-16,3.123074655390749e-16
China,Activity,"Manufacture of cement, lime and plaster",3.2901092510564743e-15,1.2364728385467467e-15,1.57002625369535e-15,8.806461033973658e-16,1.7640061944217497e-15
China,Activity,Manufacture of ceramic goods,1.832907317642327e-14,3.909536886279548e-14,2.1842121486990388e-14,1.0547829465802041e-14,9.807029912796035e-15
China,Activity,Manufacture of coke oven products,1.8022290590575317e-14,2.913360853993487e-14,1.453946849405007e-14,6.0760866163207065e-15,7.904912818156901e-15
China,Activity,Manufacture of electrical machinery and apparatus n.e.c. (31),9.513780302386005e-13,1.1106839136293228e-11,4.824090664556246e-12,2.036425512596051e-12,4.556996229686365e-13
China,Activity,"Manufacture of fabricated metal products, except machinery and equipment (28)",3.421878426229276e-13,4.65837335445724e-13,2.5206064618541315e-13,1.0701853825979202e-13,1.5236263508245788e-13
China,Activity,Manufacture of fish products,8.190635998733424e-14,6.142846630310993e-14,3.163663725544904e-14,1.3757921039376685e-14,3.554512495421552e-14
China,Activity,Manufacture of furniture; manufacturing n.e.c. (36),6.464104927095078e-13,5.883629703986346e-13,3.0319041430862534e-13,1.353049134718789e-13,2.814071386227553e-13
China,Activity,Manufacture of gas; distribution of gaseous fuels through mains,1.0430732986150497e-13,5.178793070435217e-14,2.7512051385417632e-14,1.1323777144495184e-14,4.433959226695983e-14
China,Activity,Manufacture of glass and glass products,4.027001496025986e-12,1.3124593393259865e-13,7.211098843843658e-14,2.95765254444256e-14,1.6817241066994087e-12
China,Activity,Manufacture of machinery and equipment n.e.c. (29),1.2083308845250723e-12,1.2794960884473255e-12,6.848609997376291e-13,2.9168323094322815e-13,5.298839374397809e-13
China,Activity,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",1.5060442439467122e-13,3.190399036827983e-13,1.7143787290928652e-13,8.999641366477826e-14,8.117504272117472e-14
China,Activity,"Manufacture of motor vehicles, trailers and semi-trailers (34)",2.58883099659073e-13,4.833214190656014e-14,2.927494940699543e-14,1.2598912867144872e-14,1.0992286901010355e-13
China,Activity,Manufacture of office machinery and computers (30),7.444787962610261e-13,9.27149434395053e-13,5.573059302306109e-13,2.7952827701713625e-13,3.689988889876338e-13
China,Activity,Manufacture of other non-metallic mineral products n.e.c.,1.6426406567194324e-12,1.0114309194414132e-13,5.299445887271283e-14,2.230499638364869e-14,6.869381193504249e-13
China,Activity,Manufacture of other transport equipment (35),4.337532436094133e-14,1.9791927062678562e-14,1.1257179090342529e-14,5.020483219643172e-15,1.881927740028936e-14
China,Activity,"Manufacture of radio, television and communication equipment and apparatus (32)",6.751853100865634e-13,2.050350009938275e-12,1.0890400715872687e-12,5.428051124393639e-13,3.6655923882922e-13
China,Activity,Manufacture of rubber and plastic products (25),1.3625760048985851e-12,1.1623950031224904e-12,6.130406121638613e-13,2.7028518596578595e-13,5.984169543192549e-13
China,Activity,Manufacture of textiles (17),1.2024178410864415e-12,8.701413491053179e-13,4.876969355000798e-13,2.1882082546193068e-13,5.310492300950856e-13
China,Activity,Manufacture of tobacco products (16),1.427479494657267e-14,6.329004545793679e-15,3.3394904442242844e-15,1.3577575909208849e-15,6.039393186972071e-15
China,Activity,Manufacture of wearing apparel; dressing and dyeing of fur (18),6.135941327045761e-13,2.789965955861394e-13,1.5384656972451121e-13,6.834078300233763e-14,2.6487794803376943e-13
China,Activity,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",1.2946703845465794e-14,7.326319994081912e-15,6.9687857809124756e-15,3.027456232516639e-15,6.1841469391753255e-15
China,Activity,"Manure treatment (biogas), storage and land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Manure treatment (conventional), storage and land application",0.0,0.0,0.0,0.0,0.0
China,Activity,Meat animals nec,3.0789721083623574e-13,1.5850541894255897e-14,1.2012370730640793e-14,4.713404792970813e-15,1.2926678034793147e-13
China,Activity,Mining of aluminium ores and concentrates,8.002857276390585e-15,5.621904417171785e-15,3.731423770387877e-15,1.4853567940252406e-15,3.4979478074540895e-15
China,Activity,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",4.250859061415878e-14,2.1706669340184928e-14,1.7718468398381353e-14,6.894198915606158e-15,1.8688161007435024e-14
China,Activity,Mining of coal and lignite; extraction of peat (10),1.4623588906655865e-12,3.1479111204772714e-13,1.6668902776121356e-13,6.900646259713693e-14,6.150165806139074e-13
China,Activity,Mining of copper ores and concentrates,2.8868310689565215e-13,7.211086671711312e-13,3.5142111856503044e-13,1.4413321147787575e-13,1.2730780006898394e-13
China,Activity,Mining of iron ores,8.875770886593532e-14,2.5708180322852403e-13,1.2634877723010315e-13,5.2812516803978805e-14,4.017975623150562e-14
China,Activity,"Mining of lead, zinc and tin ores and concentrates",2.407533749878959e-14,1.2605621231747859e-14,8.1862026185016e-15,3.088846084748176e-15,1.0294252267038043e-14
China,Activity,Mining of nickel ores and concentrates,7.669944187521811e-14,1.0132855957215559e-13,1.575762416574308e-13,4.126493370661526e-14,3.362839993553648e-14
China,Activity,Mining of other non-ferrous metal ores and concentrates,3.346452228691035e-14,5.616202924389388e-14,6.622066652157763e-14,1.8896239904034726e-14,1.4805818256922837e-14
China,Activity,Mining of precious metal ores and concentrates,1.3495107564686055e-11,9.576262687689584e-13,4.70242241014801e-13,1.9518832574679457e-13,5.638004594548684e-12
China,Activity,Mining of uranium and thorium ores (12),8.426606344090889e-14,1.1624006914668294e-13,5.915458810306612e-14,2.691434110986908e-14,3.803930651103452e-14
China,Activity,N-fertiliser,1.8629104317441045e-16,7.230531873679063e-17,3.990524132435454e-17,2.5879572022360216e-17,8.005988784885803e-17
China,Activity,Other business activities (74),5.817652921610031e-12,4.310404637080245e-12,2.2116348883156937e-12,1.0108181006455866e-12,2.5499928842693275e-12
China,Activity,Other land transport,1.1010292997640584e-12,4.887086239297187e-13,2.66109633230062e-13,1.175124252977349e-13,4.771234597976306e-13
China,Activity,Other non-ferrous metal production,5.527318908347033e-15,1.0435603789476365e-14,1.6779400170944113e-14,4.35268517957826e-15,2.475272288007271e-15
China,Activity,Other service activities (93),2.2051762675628886e-12,3.260957325934699e-13,1.8932543519140818e-13,7.978014589042966e-14,9.296891143904281e-13
