Region,,,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK
Level,,,Activity,Activity,Activity,Activity,Activity
Item,,,Production of photovoltaic plants,Production of onshore wind plants,Production of offshore wind plants,Production of electricity by wind,Production of electricity by solar photovoltaic
Region,Level,Item,,,,,
China,Activity,Activities auxiliary to financial intermediation (67),2.001038403050082e-12,1.0585425992648557e-12,5.470250089665203e-13,3.403978104816567e-13,1.1243719715118158e-12
China,Activity,Activities of membership organisation n.e.c. (91),5.20947504627338e-15,7.668597282807797e-16,4.2804305729804953e-16,2.590332781215731e-16,2.896658118178592e-15
China,Activity,Air transport (62),6.284562944424306e-13,2.986796358229424e-13,1.5675415478285606e-13,9.990563514464512e-14,3.5471402197530076e-13
China,Activity,Aluminium production,8.31614174859799e-14,6.93107059568303e-14,3.3407243908952764e-14,2.086242790745925e-14,4.672168059659686e-14
China,Activity,Animal products nec,1.8112706405687575e-15,6.15773547046863e-16,3.5994767981211664e-16,2.2354380131476423e-16,1.0228212809970723e-15
China,Activity,"Biogasification of food waste, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Biogasification of paper, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Biogasification of sewage slugde, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,Casting of metals,1.3114454355115048e-14,5.4511407586445904e-14,2.4675005754713933e-14,1.5561772866879673e-14,7.647836694942448e-15
China,Activity,Cattle farming,8.12716533128316e-15,2.793885865746379e-15,1.616679865967214e-15,9.842039719635408e-16,4.571478876233015e-15
China,Activity,Chemicals nec,1.2184397374035642e-12,2.4969039551522594e-13,1.5099157330185477e-13,9.616993412310125e-14,6.813144705181962e-13
China,Activity,"Collection, purification and distribution of water (41)",1.3036471084255266e-14,2.7917722081716744e-15,1.5104030959209212e-15,9.128623347794794e-16,7.250272949049666e-15
China,Activity,"Composting of food waste, incl. land application",1.642849956688177e-14,2.24211038814652e-15,1.328853686994223e-15,8.077619326100672e-16,9.15986567525173e-15
China,Activity,"Composting of paper and wood, incl. land application",1.4877854744424101e-15,2.1931226343746331e-16,1.2707830046110778e-16,7.582390371279153e-17,8.292763754723494e-16
China,Activity,Computer and related activities (72),6.756427277307783e-13,4.677180853433253e-13,2.589153497707388e-13,1.5357000690452302e-13,3.810169350467965e-13
China,Activity,Construction (45),1.017540827902293e-12,1.9680323930303256e-13,1.1697719653691542e-13,8.209629843523266e-14,5.819766293512828e-13
China,Activity,Copper production,1.1184178890118384e-14,6.092026576372934e-14,2.7572715711889544e-14,1.7440193452757373e-14,6.6624968260631205e-15
China,Activity,Cultivation of cereal grains nec,1.4638774469677925e-13,3.1782866798524356e-14,1.8082590036458877e-14,1.0867742111425254e-14,8.186125731427693e-14
China,Activity,Cultivation of crops nec,1.4843700827099374e-13,4.327057304174793e-14,2.4489071157094365e-14,1.505181865776255e-14,8.318155674245639e-14
China,Activity,Cultivation of oil seeds,2.3295033582115177e-15,1.1866090205313711e-15,6.41434821874776e-16,4.052308301264962e-16,1.3174020299877457e-15
China,Activity,Cultivation of paddy rice,8.924324202826426e-14,3.0536404406974394e-14,1.6434783520602045e-14,1.0348191880482808e-14,5.002406726199544e-14
China,Activity,Cultivation of plant-based fibers,8.845699581851181e-14,5.5927367570041494e-14,3.173243133907272e-14,1.9778810109996794e-14,5.0609903972592634e-14
China,Activity,"Cultivation of sugar cane, sugar beet",3.303554979721615e-14,1.2562742356329178e-14,6.660891896790029e-15,4.0758612424435666e-15,1.851826558852313e-14
China,Activity,"Cultivation of vegetables, fruit, nuts",8.606162516315068e-13,2.4572935408279546e-13,1.3806635432070755e-13,8.376672917965706e-14,4.822505841938897e-13
China,Activity,Cultivation of wheat,4.7016822417233634e-14,1.935443896956153e-14,1.0556888570704782e-14,6.562216655273692e-15,2.647069280212765e-14
China,Activity,Distribution and trade of electricity,7.017197157086923e-16,1.8715980129234455e-16,1.0965482685041674e-16,6.276602476665526e-17,3.9055015007176714e-16
China,Activity,Education (80),2.4056148084699185e-12,1.054452618835915e-12,5.380600517300839e-13,3.3340032804115023e-13,1.3467980565449803e-12
China,Activity,Extra-territorial organizations and bodies,0.0,0.0,0.0,0.0,0.0
China,Activity,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",1.7516985479883997e-13,6.018473123452821e-14,3.3944109538028586e-14,2.0904648216173482e-14,9.839529842416496e-14
China,Activity,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",6.2477185864457445e-15,4.496061069835524e-15,2.377154289983001e-15,1.5042714739440699e-15,3.553045156923558e-15
China,Activity,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",0.0,0.0,0.0,0.0,0.0
China,Activity,"Financial intermediation, except insurance and pension funding (65)",9.851797452361558e-12,4.151973404582768e-12,2.080933360662559e-12,1.2992827876566028e-12,5.506414500797303e-12
China,Activity,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",1.3641627029993331e-13,9.373072665310789e-14,4.858142741525454e-14,3.024437919878193e-14,7.715399661675958e-14
China,Activity,"Forestry, logging and related service activities (02)",6.03608575957018e-14,2.4979516910315978e-14,1.4031539068395003e-14,8.864145445863887e-15,3.406549834848598e-14
China,Activity,Health and social work (85),9.422618096597732e-12,4.135094324480093e-12,1.965162705822419e-12,1.2268369178225055e-12,5.2457192033755305e-12
China,Activity,Hotels and restaurants (55),9.427877845610105e-12,5.022826104522484e-12,2.7165251940062408e-12,1.6363129223386861e-12,5.2942497874276e-12
China,Activity,Incineration of waste: Food,7.733187560880659e-14,1.3149104855425548e-14,7.446532079834358e-15,4.484068861500753e-15,4.309797793372054e-14
China,Activity,Incineration of waste: Metals and Inert materials,1.045462493000002e-14,1.5336801380624023e-15,1.070068553442354e-15,7.00452536246199e-16,5.8893077367251495e-15
China,Activity,Incineration of waste: Oil/Hazardous waste,1.7325834577068557e-14,3.05014464786658e-15,1.815036661051259e-15,1.1150565262028108e-15,9.682561530821897e-15
China,Activity,Incineration of waste: Paper,8.131327376336184e-14,1.3958453790036184e-14,7.883097301014139e-15,4.747648214834002e-15,4.5316647325703484e-14
China,Activity,Incineration of waste: Plastic,1.2761341711851785e-14,1.7729363968285291e-15,1.0439000584790453e-15,6.3045927940332585e-16,7.113646232261209e-15
China,Activity,Incineration of waste: Textiles,1.5009513664020565e-14,2.608048608409814e-15,1.478199628472109e-15,8.906814586503434e-16,8.367984102201067e-15
China,Activity,Incineration of waste: Wood,1.7336268742370184e-14,3.1664006513708697e-15,1.7838512746813603e-15,1.0882960652313907e-15,9.66991703260699e-15
China,Activity,Inland water transport,2.3940060200111357e-14,1.1876923233616994e-14,6.20997312397288e-15,3.837539932120836e-15,1.3457316804131593e-14
China,Activity,"Insurance and pension funding, except compulsory social security (66)",1.913321279796222e-12,7.752636204211115e-13,3.989035122241414e-13,2.489698006692372e-13,1.0744196645252869e-12
China,Activity,Landfill of waste: Food,2.5390219074336247e-13,3.999049050314177e-14,2.275393837885679e-14,1.367282274299445e-14,1.4144511092891267e-13
China,Activity,Landfill of waste: Inert/metal/hazardous,9.362810039016691e-14,1.6984574155632873e-14,9.548281952240439e-15,5.766994985056501e-15,5.2194688407928864e-14
China,Activity,Landfill of waste: Paper,1.1351938168004631e-13,1.8877636194648175e-14,1.0703532404974272e-14,6.439923953478425e-15,6.325517384967262e-14
China,Activity,Landfill of waste: Plastic,8.507458186547091e-14,1.3788430112807831e-14,7.852766060084192e-15,4.710054144927282e-15,4.740261128971472e-14
China,Activity,Landfill of waste: Textiles,3.594714668941904e-14,5.845303378726459e-15,3.3337695389078874e-15,2.000706911674016e-15,2.0031415989319412e-14
China,Activity,Landfill of waste: Wood,4.3369858169915763e-14,7.238632337898329e-15,4.114109408323055e-15,2.4709387363541236e-15,2.4169978136083602e-14
China,Activity,"Lead, zinc and tin production",2.064505836820264e-15,2.561602322177277e-15,1.2524740611260375e-15,7.882218611157077e-16,1.1791433327203459e-15
China,Activity,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,1.4662914093241731e-13,4.560852112199696e-13,2.220754184509226e-13,1.3791533608926787e-13,8.623506259783295e-14
China,Activity,Manufacture of beverages,2.1003070002093806e-14,1.5661296441873106e-14,7.961074717626187e-15,4.932269339123652e-15,1.1851887331848903e-14
China,Activity,"Manufacture of bricks, tiles and construction products, in baked clay",3.578774501569614e-16,1.7380717280203455e-16,1.7085908377675468e-16,1.1131850479561529e-16,2.1964628007808343e-16
China,Activity,"Manufacture of cement, lime and plaster",3.562040070456061e-15,9.151461772689298e-16,1.1309317809724485e-15,7.467873645196431e-16,2.187437177278206e-15
China,Activity,Manufacture of ceramic goods,1.2727627837711929e-14,4.414984980484646e-15,4.534124899381588e-15,3.1132480471127275e-15,7.96253569636273e-15
China,Activity,Manufacture of coke oven products,1.5380144746202106e-14,2.466234359390429e-14,1.2361792534223012e-14,7.593023385896002e-15,8.80073340448802e-15
China,Activity,Manufacture of electrical machinery and apparatus n.e.c. (31),1.1448080156517115e-12,1.1322646473402866e-11,4.911436723535887e-12,3.1190265931542895e-12,6.859661604629434e-13
China,Activity,"Manufacture of fabricated metal products, except machinery and equipment (28)",3.685719520232493e-13,4.713955240229546e-13,2.521630746865204e-13,1.5433425483596498e-13,2.1170870905358762e-13
China,Activity,Manufacture of fish products,5.187564926343223e-14,3.82897212220759e-14,1.9617085381817148e-14,1.2230233068102601e-14,2.9365016478335314e-14
China,Activity,Manufacture of furniture; manufacturing n.e.c. (36),6.808462397234522e-13,6.212273026458992e-13,3.1627352165571014e-13,2.0187526640876495e-13,3.8633689286532273e-13
China,Activity,Manufacture of gas; distribution of gaseous fuels through mains,9.074026290572878e-14,3.5040267013720636e-14,1.949427546826315e-14,1.1326947583993198e-14,5.058026879017472e-14
China,Activity,Manufacture of glass and glass products,4.564278788522921e-12,4.4933272539543955e-14,3.3024160393539074e-14,1.7962138376742386e-14,2.521894610984681e-12
China,Activity,Manufacture of machinery and equipment n.e.c. (29),1.2349785640144365e-12,1.3554967495980045e-12,7.230358242816064e-13,4.4385285669003535e-13,7.062082917364076e-13
China,Activity,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",1.493648981190596e-13,3.3720914653890254e-13,1.8021084845288908e-13,1.3321995246449495e-13,1.0320017431556671e-13
China,Activity,"Manufacture of motor vehicles, trailers and semi-trailers (34)",1.8139588571978341e-13,4.6214536841258274e-14,2.7244267491765678e-14,1.6774353752327283e-14,1.0178364269925312e-13
China,Activity,Manufacture of office machinery and computers (30),8.457514203261156e-13,9.076926737416057e-13,5.172658255411389e-13,3.425657090931688e-13,5.08154682391248e-13
China,Activity,Manufacture of other non-metallic mineral products n.e.c.,1.6801176556015922e-12,5.444626283880072e-14,3.08954472047951e-14,1.8511086228288913e-14,9.29012287396426e-13
China,Activity,Manufacture of other transport equipment (35),4.653973405639432e-14,1.9355030029851775e-14,1.0867032304720397e-14,6.763154775462077e-15,2.6364809536822307e-14
China,Activity,"Manufacture of radio, television and communication equipment and apparatus (32)",7.321624441379961e-13,2.30851491899054e-12,1.1831059862476127e-12,8.151667575632056e-13,4.82824155922707e-13
China,Activity,Manufacture of rubber and plastic products (25),1.382656258422009e-12,1.1184783983358467e-12,5.903345315785211e-13,3.7131785053637356e-13,7.893468199258139e-13
China,Activity,Manufacture of textiles (17),1.6976819877735343e-12,1.1220282901240633e-12,6.086127619280578e-13,3.809886019528676e-13,9.677114168632434e-13
China,Activity,Manufacture of tobacco products (16),1.0990922899236017e-14,4.372373298344523e-15,2.300508078847744e-15,1.3718930974387096e-15,6.120973844552231e-15
China,Activity,Manufacture of wearing apparel; dressing and dyeing of fur (18),1.2473085840583406e-12,5.137476151728372e-13,2.7471928292534856e-13,1.7029765041625446e-13,7.022953428996623e-13
China,Activity,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",6.59150197637449e-15,4.2742015237398275e-15,5.131857849590381e-15,2.9701348238988996e-15,4.261349936966652e-15
China,Activity,"Manure treatment (biogas), storage and land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Manure treatment (conventional), storage and land application",0.0,0.0,0.0,0.0,0.0
China,Activity,Meat animals nec,2.818573318888784e-13,1.3414487221796626e-14,1.0244322314931872e-14,5.460305396030514e-15,1.5711695314097977e-13
China,Activity,Mining of aluminium ores and concentrates,7.398822494984237e-15,3.9618782861312154e-15,2.5946620583690343e-15,1.4905934777599636e-15,4.187645993769685e-15
China,Activity,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",2.6934122903245362e-14,1.1919542282861583e-14,1.2059640370366449e-14,6.14112448242741e-15,1.5481661567802322e-14
China,Activity,Mining of coal and lignite; extraction of peat (10),1.4439451301171964e-13,1.5253372953725135e-13,7.891011399808488e-14,4.8454694696152594e-14,8.22365525186853e-14
China,Activity,Mining of copper ores and concentrates,2.7332518498185664e-13,6.924272805053841e-13,3.361520525067717e-13,2.048648298971442e-13,1.5664347591093418e-13
China,Activity,Mining of iron ores,5.385336165935552e-14,1.6298050845753376e-13,8.164299245559137e-14,5.0132314730814466e-14,3.174343528773597e-14
China,Activity,"Mining of lead, zinc and tin ores and concentrates",2.1546714532970715e-14,1.0037739884324848e-14,7.0058368164018185e-15,3.6801299677487e-15,1.2052200004837839e-14
China,Activity,Mining of nickel ores and concentrates,7.118338470800496e-14,4.5128091269478144e-14,1.2551404581030968e-13,4.323582002899244e-14,4.030965836271459e-14
China,Activity,Mining of other non-ferrous metal ores and concentrates,2.9569667069581063e-14,2.2425906049779576e-14,5.799809784528206e-14,2.0227759285981527e-14,1.6801634003820924e-14
China,Activity,Mining of precious metal ores and concentrates,1.2666078204580087e-11,9.349125190512706e-13,4.571817553822377e-13,2.7929841144900743e-13,7.003176434903746e-12
China,Activity,Mining of uranium and thorium ores (12),7.848694188586942e-14,1.052054752718841e-13,5.151148913745708e-14,3.3311685924829064e-14,4.533575548428817e-14
China,Activity,N-fertiliser,1.3650152620097167e-16,5.2859507168394035e-17,3.1946199998174354e-17,5.81686562932919e-17,7.751573102653728e-17
China,Activity,Other business activities (74),6.847499686991129e-12,4.673138771194006e-12,2.3135597080196383e-12,1.441414001492882e-12,3.850282721823616e-12
China,Activity,Other land transport,1.4934953821782073e-12,5.773696847069482e-13,3.1410300927618813e-13,1.9184205338976383e-13,8.420124757582786e-13
China,Activity,Other non-ferrous metal production,5.6881910033342875e-15,4.992474133488063e-15,1.4733763523045658e-14,5.026161989947206e-15,3.2560185343404404e-15
China,Activity,Other service activities (93),1.7616135815702264e-12,1.942683988229882e-13,1.157161986312014e-13,6.71408460299699e-14,9.816457411288835e-13
