Region,,,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK
Level,,,Activity,Activity,Activity,Activity,Activity
Item,,,Production of photovoltaic plants,Production of onshore wind plants,Production of offshore wind plants,Production of electricity by wind,Production of electricity by solar photovoltaic
Region,Level,Item,,,,,
China,Activity,Activities auxiliary to financial intermediation (67),2.083347774594999e-12,1.150336650690774e-12,5.878315109301356e-13,4.338345564546547e-14,2.2973985403044045e-14
China,Activity,Activities of membership organisation n.e.c. (91),6.8211060300050874e-15,1.3324640838478355e-15,7.223714321517069e-16,6.45015666395512e-17,3.257160205575159e-17
China,Activity,Air transport (62),1.2088906117867355e-12,5.651514552662167e-13,3.111771918090766e-13,3.801324311374605e-14,2.0290998266704836e-14
China,Activity,Aluminium production,2.90716644651931e-12,2.1355110915110076e-12,1.023113091121985e-12,4.620279173522459e-14,2.4188574328167462e-14
China,Activity,Animal products nec,5.752625091500087e-15,1.9793742967452243e-15,1.1600328986605228e-15,1.323069397924605e-16,7.457585376445266e-17
China,Activity,"Biogasification of food waste, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Biogasification of paper, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Biogasification of sewage slugde, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,Casting of metals,4.338591994554376e-13,1.6252834341264399e-12,7.2686310144743e-13,2.0880035500695187e-14,1.1115829281730022e-14
China,Activity,Cattle farming,5.2514852274704155e-14,1.88549830844239e-14,1.0953202181093252e-14,1.194477594197484e-15,6.375030925018186e-16
China,Activity,Chemicals nec,7.233323086102689e-12,1.6144186900712444e-12,9.32029260349167e-13,1.2500937622422903e-13,5.948345909749197e-14
China,Activity,"Collection, purification and distribution of water (41)",5.380283726214692e-13,1.5553121793060568e-13,8.336461300856567e-14,5.8528261534720025e-15,3.048491364553079e-15
China,Activity,"Composting of food waste, incl. land application",9.912108476288178e-14,1.9606937171456305e-14,1.0927049244902203e-14,9.740656063120657e-16,5.476160334473679e-16
China,Activity,"Composting of paper and wood, incl. land application",8.58011334325711e-15,1.6403743596491053e-15,8.998741143004313e-16,6.438038903382119e-17,3.414164788227311e-17
China,Activity,Computer and related activities (72),6.856396281616951e-13,3.781257163968806e-13,2.160480641088941e-13,2.3000083507154947e-14,1.3821438285799206e-14
China,Activity,Construction (45),1.6290594087519784e-12,4.127221647468829e-13,3.1615372163197465e-13,1.1573914258256013e-13,1.1294868397591615e-13
China,Activity,Copper production,3.451000977494643e-13,1.9010218208465736e-12,8.579621505818742e-13,2.730419526374592e-14,1.494392472348555e-14
China,Activity,Cultivation of cereal grains nec,6.447090474443877e-13,1.4271927471471001e-13,8.085834823116922e-14,6.617601431368982e-15,3.62603408768852e-15
China,Activity,Cultivation of crops nec,8.27181836846356e-13,2.3775311730808965e-13,1.3299233022703267e-13,1.2563479152395553e-14,6.5275994102370155e-15
China,Activity,Cultivation of oil seeds,1.1139126512147525e-14,8.719444095023504e-15,4.469541523120045e-15,3.3641302159080214e-16,1.7979520218969413e-16
China,Activity,Cultivation of paddy rice,7.957082754338625e-13,2.86197759965319e-13,1.5033294697754852e-13,1.3572455088633174e-14,6.822992071589804e-15
China,Activity,Cultivation of plant-based fibers,4.511225348751299e-13,2.690220183028379e-13,1.5630686459859624e-13,1.656374851712961e-14,9.008193277870328e-15
China,Activity,"Cultivation of sugar cane, sugar beet",2.1753334235307677e-13,7.937578996889504e-14,4.266908293169711e-14,3.524602033250903e-15,1.8899528369816546e-15
China,Activity,"Cultivation of vegetables, fruit, nuts",3.993251173930535e-12,1.3063927377395655e-12,7.292676772436748e-13,6.650998675881585e-14,3.6273759569429606e-14
China,Activity,Cultivation of wheat,3.368101409463875e-13,1.3824087981663747e-13,7.61891205444866e-14,7.493583552788762e-15,3.898195443335396e-15
China,Activity,Distribution and trade of electricity,9.05529422225871e-15,3.53130046493067e-15,1.911576586398373e-15,1.1568893622506707e-16,6.038556243990118e-17
China,Activity,Education (80),2.4369550467107285e-12,8.883498926571833e-13,4.632380494687164e-13,3.9453600919734785e-14,2.00815529809567e-14
China,Activity,Extra-territorial organizations and bodies,0.0,0.0,0.0,0.0,0.0
China,Activity,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",8.594859939463407e-13,3.063374985053462e-13,1.6755733340024926e-13,1.4013664311453405e-14,7.265158704404319e-15
China,Activity,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",1.863977860703181e-14,1.4970426513271266e-14,7.820155721849193e-15,6.80438731048574e-16,3.230697067707567e-16
China,Activity,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",0.0,0.0,0.0,0.0,0.0
China,Activity,"Financial intermediation, except insurance and pension funding (65)",1.1478127700719814e-11,3.882762057730442e-12,1.983089566986055e-12,1.435569652347948e-13,7.422347552364691e-14
China,Activity,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",7.168811431492015e-13,4.684164180061065e-13,2.4204887638126144e-13,1.812591390834681e-14,9.71590423111903e-15
China,Activity,"Forestry, logging and related service activities (02)",3.6746230555276545e-13,1.6432335112822315e-13,8.865280390700774e-14,8.536863959310516e-15,4.3945410774577526e-15
China,Activity,Health and social work (85),8.210721934871944e-12,3.1941217698267817e-12,1.53685177939003e-12,6.910537177484274e-14,3.5975430853536384e-14
China,Activity,Hotels and restaurants (55),2.6763003754939086e-11,1.3815591937299279e-11,7.600304518405353e-12,6.867738005814089e-13,3.890778806123954e-13
China,Activity,Incineration of waste: Food,4.504648614711847e-13,8.763388674161862e-14,4.8767601474065645e-14,3.86356411226882e-15,2.0075557999081866e-15
China,Activity,Incineration of waste: Metals and Inert materials,5.507448065462294e-14,9.95418430185348e-15,6.258340704943185e-15,8.644699281628173e-16,6.033662903224149e-16
China,Activity,Incineration of waste: Oil/Hazardous waste,1.0485149988122063e-13,2.286366246588773e-14,1.2866877001936207e-14,1.1182516271823467e-15,6.624714782280346e-16
China,Activity,Incineration of waste: Paper,4.608499567022659e-13,8.951545456968526e-14,4.965115884201809e-14,3.966905829352394e-15,2.2236966133743818e-15
China,Activity,Incineration of waste: Plastic,8.879895315182242e-14,1.6297431357001258e-14,9.139479538003735e-15,8.118164550140854e-16,4.117522280180254e-16
China,Activity,Incineration of waste: Textiles,9.130090658649977e-14,1.67239672060676e-14,9.328483775772676e-15,7.655352055588381e-16,3.9573053878755725e-16
China,Activity,Incineration of waste: Wood,9.060583090976762e-14,1.710802842259219e-14,9.579100859154172e-15,8.396817840905302e-16,4.197606695446798e-16
China,Activity,Inland water transport,4.490623992496943e-14,2.246769225291759e-14,1.1939215183660452e-14,8.717036519914684e-16,4.876391558141419e-16
China,Activity,"Insurance and pension funding, except compulsory social security (66)",3.1795788657050638e-12,1.398893023419993e-12,7.198627209604713e-13,6.473408182165775e-14,3.6544171654395873e-14
China,Activity,Landfill of waste: Food,1.5196863230087039e-12,2.910403900497171e-13,1.5997057556017298e-13,1.2731925987711182e-14,6.713786320682458e-15
China,Activity,Landfill of waste: Inert/metal/hazardous,4.963947344286585e-13,9.669671060211607e-14,5.344320228721441e-14,4.240458331696441e-15,2.2926559864355833e-15
China,Activity,Landfill of waste: Paper,6.202681782223393e-13,1.1832064970915053e-13,6.540643214561575e-14,5.118269326863109e-15,2.7610838065031244e-15
China,Activity,Landfill of waste: Plastic,4.760686172993272e-13,9.289991656751246e-14,5.1056038352867996e-14,4.0624208380681215e-15,2.1066342903282988e-15
China,Activity,Landfill of waste: Textiles,2.1784370694082216e-13,4.304823469197081e-14,2.3562233189101686e-14,1.856117185960125e-15,9.633234998099066e-16
China,Activity,Landfill of waste: Wood,2.2634343362419108e-13,3.933651017504306e-14,2.1821898295995894e-14,1.818469604503915e-15,9.449800019091564e-16
China,Activity,"Lead, zinc and tin production",7.155988776699797e-14,1.065068220746724e-13,5.174456400445505e-14,2.8692294641627926e-15,1.716685513784863e-15
China,Activity,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,6.774172421971841e-12,1.7057466057453517e-11,8.099581198701682e-12,3.5375543022516673e-13,1.8585979462099585e-13
China,Activity,Manufacture of beverages,6.871246639966339e-14,4.648518015646555e-14,2.417744171151777e-14,1.923126867098851e-15,1.0734298270921522e-15
China,Activity,"Manufacture of bricks, tiles and construction products, in baked clay",4.245412077320492e-15,3.54217805544631e-15,2.6885910601054348e-15,5.918499180539358e-16,3.515090382663477e-16
China,Activity,"Manufacture of cement, lime and plaster",2.5721223825427808e-14,6.235489478734674e-15,8.203465911557456e-15,2.6573059408220602e-15,2.270140535536797e-15
China,Activity,Manufacture of ceramic goods,2.8217843065316745e-13,3.9605421356536306e-13,2.0814461891641648e-13,2.3612012583254418e-14,1.592727333647409e-14
China,Activity,Manufacture of coke oven products,5.860653326578425e-13,5.506473510062139e-13,2.759688540079657e-13,1.3392207081037337e-14,7.03663636895007e-15
China,Activity,Manufacture of electrical machinery and apparatus n.e.c. (31),5.8164291354948306e-12,6.328527209175109e-11,2.7386240744729882e-11,5.009472134410779e-13,2.701410173934126e-13
China,Activity,"Manufacture of fabricated metal products, except machinery and equipment (28)",6.3262120040306176e-12,7.322147554208757e-12,3.883900393405484e-12,2.6881709703150026e-13,1.3544119507552425e-13
China,Activity,Manufacture of fish products,3.963017961714101e-13,2.7515138596877e-13,1.4095263255488092e-13,1.0128266258054724e-14,5.419336877700417e-15
China,Activity,Manufacture of furniture; manufacturing n.e.c. (36),5.392399125462489e-12,5.561318406265052e-12,2.7601718682843813e-12,2.0384278594699315e-13,8.643107763017385e-14
China,Activity,Manufacture of gas; distribution of gaseous fuels through mains,1.098688064270079e-12,5.121690424430741e-13,2.7506081561085054e-13,1.5005540166251046e-14,7.930097002338107e-15
China,Activity,Manufacture of glass and glass products,4.125383818246765e-11,1.3004005025985312e-12,7.092187408463235e-13,3.741502129082812e-14,2.10104511756344e-14
China,Activity,Manufacture of machinery and equipment n.e.c. (29),1.0043785537201148e-11,8.638054649180074e-12,4.656046649582135e-12,3.696717915468478e-13,1.771236175423655e-13
China,Activity,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",7.436273222893228e-13,1.3849306492730652e-12,7.589232636701607e-13,1.891912972626272e-13,1.0001594468301883e-13
China,Activity,"Manufacture of motor vehicles, trailers and semi-trailers (34)",1.454929662209812e-11,2.4869359469607813e-12,1.4435357336687168e-12,1.1036911513316471e-13,6.168674020035201e-14
China,Activity,Manufacture of office machinery and computers (30),1.1030922109536977e-12,1.1683186691628236e-12,7.48231510577536e-13,1.5436361400905593e-13,9.089789149614333e-14
China,Activity,Manufacture of other non-metallic mineral products n.e.c.,1.6729901535716077e-11,8.612579228893805e-13,4.4858037056036576e-13,2.5793721213940764e-14,1.514254224298391e-14
China,Activity,Manufacture of other transport equipment (35),7.430362896301769e-13,4.690458431626182e-13,2.654914699161826e-13,2.835523263752443e-14,1.570255287714936e-14
China,Activity,"Manufacture of radio, television and communication equipment and apparatus (32)",1.1948194129421598e-12,3.170024830240523e-12,1.7181178603467965e-12,2.6290310332263694e-13,1.3212227142623197e-13
China,Activity,Manufacture of rubber and plastic products (25),7.562533703867738e-12,7.933969564698682e-12,4.0298860055866196e-12,2.7327921012971256e-13,1.4972129636850514e-13
China,Activity,Manufacture of textiles (17),3.0401411232341542e-12,1.970863354275283e-12,1.0983300866310073e-12,1.0859562616352923e-13,5.684118330110142e-14
China,Activity,Manufacture of tobacco products (16),1.0915204466574546e-14,3.2458463130425276e-15,1.7329507757552637e-15,8.087127675591298e-17,4.220642508635453e-17
China,Activity,Manufacture of wearing apparel; dressing and dyeing of fur (18),9.73823854072805e-13,3.8568072229368843e-13,2.1689460649285393e-13,2.24499953304991e-14,1.2079438812141679e-14
China,Activity,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",1.1999956742487084e-13,7.039450495542169e-14,6.62458754797674e-14,1.0616936239503441e-14,6.927936224142144e-15
China,Activity,"Manure treatment (biogas), storage and land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Manure treatment (conventional), storage and land application",0.0,0.0,0.0,0.0,0.0
China,Activity,Meat animals nec,1.641763941081575e-12,8.344975427112095e-14,6.568330862458553e-14,5.438277043120809e-15,3.1543408847589806e-15
China,Activity,Mining of aluminium ores and concentrates,4.2895585992267325e-14,2.928343465495794e-14,1.6882984441542963e-14,1.0808212927434717e-15,5.60891279667337e-16
China,Activity,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",1.6868959357190003e-13,7.044342663296623e-14,5.299968372323897e-14,5.627618197895493e-15,2.987714444810659e-15
China,Activity,Mining of coal and lignite; extraction of peat (10),5.449172275082321e-12,9.885709731272407e-13,5.23994054306071e-13,3.278846751934558e-14,1.726761039843082e-14
China,Activity,Mining of copper ores and concentrates,1.4180326995317739e-12,2.701659565708193e-12,1.3561212906886845e-12,4.186143750355048e-14,2.289586227814936e-14
China,Activity,Mining of iron ores,2.805270488207846e-13,5.206970883815414e-13,2.5908051644192657e-13,1.0931196257953292e-14,5.755761761107695e-15
China,Activity,"Mining of lead, zinc and tin ores and concentrates",1.373622429524878e-13,6.120366381079877e-14,4.1311686659914354e-14,1.6929781026748669e-15,9.793167179676607e-16
China,Activity,Mining of nickel ores and concentrates,2.5976471721500733e-13,3.71312057167389e-13,3.877942757977391e-13,9.121170939311229e-15,4.9754830876544566e-15
China,Activity,Mining of other non-ferrous metal ores and concentrates,1.330714182616091e-13,1.589333858526804e-13,2.372547637505121e-13,4.355050255685709e-15,2.433658982022604e-15
China,Activity,Mining of precious metal ores and concentrates,4.574364151106982e-11,2.8452681868891023e-12,1.3645315372568532e-12,8.611715102959867e-14,4.5078361720642165e-14
China,Activity,Mining of uranium and thorium ores (12),3.3342524472059245e-13,4.032420960741943e-13,2.0645359704083941e-13,2.0453431664441967e-14,1.0174200135498896e-14
China,Activity,N-fertiliser,1.6361020960078445e-15,6.083803377872455e-16,3.350220681650841e-16,3.9301336530179714e-17,1.7146913986882388e-17
China,Activity,Other business activities (74),5.015553989573806e-12,3.1747695296696074e-12,1.6433251855745185e-12,1.947431495532003e-13,9.214511581130937e-14
China,Activity,Other land transport,2.4522821773397666e-12,1.0511978443957285e-12,5.58129240140146e-13,5.212443102546628e-14,2.9887065250549416e-14
China,Activity,Other non-ferrous metal production,2.087554367817509e-13,3.566606427428286e-13,5.746287040316687e-13,1.003232154183507e-14,5.617622748955135e-15
China,Activity,Other service activities (93),1.7197931138125828e-12,2.424182273402075e-13,1.4204056674852745e-13,1.1585794446177537e-14,6.158748899635979e-15
