Region,,,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK
Level,,,Activity,Activity,Activity,Activity,Activity
Item,,,Production of photovoltaic plants,Production of onshore wind plants,Production of offshore wind plants,Production of electricity by wind,Production of electricity by solar photovoltaic
Region,Level,Item,,,,,
China,Activity,Activities auxiliary to financial intermediation (67),3.1101724905806816e-12,1.449765650769234e-12,7.570233455742681e-13,2.466599555713336e-13,1.0429596768786328e-12
China,Activity,Activities of membership organisation n.e.c. (91),9.016574337861836e-15,1.7573985852940043e-15,9.567138808283874e-16,3.1974016658432735e-16,2.977273949115246e-15
China,Activity,Air transport (62),1.5157867265595558e-12,7.175154511574206e-13,4.001109481761646e-13,1.4281550474195114e-13,5.206273750841737e-13
China,Activity,Aluminium production,4.492723220778487e-12,3.169659877880218e-12,1.5373934073294785e-12,4.7322468233286e-13,1.4988341871029672e-12
China,Activity,Animal products nec,4.0731476413668176e-14,1.5536216270356862e-14,9.766476548279181e-15,3.4380486405311166e-15,1.4051308350081852e-14
China,Activity,"Biogasification of food waste, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Biogasification of paper, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Biogasification of sewage slugde, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,Casting of metals,5.820239578256922e-13,2.0489512834903474e-12,9.180141143072986e-13,2.7751992089081907e-13,2.0318728044779125e-13
China,Activity,Cattle farming,2.7301216580624636e-14,1.0227183828781906e-14,6.059086228525445e-15,2.041723932210193e-15,9.274412690092218e-15
China,Activity,Chemicals nec,1.1396894455077863e-11,2.678257953797188e-12,1.5462018482690693e-12,5.212760665710795e-13,3.784357263628966e-12
China,Activity,"Collection, purification and distribution of water (41)",6.929995804261858e-13,2.094787299846349e-13,1.1121941325499457e-13,3.43418703805865e-14,2.289935702520198e-13
China,Activity,"Composting of food waste, incl. land application",3.837350414929921e-14,5.52787008184211e-15,3.2456759233543007e-15,1.0545221772719374e-15,1.2644611352718503e-14
China,Activity,"Composting of paper and wood, incl. land application",1.3046305959343562e-14,1.6456192071013764e-15,9.665709562088223e-16,3.000781766468489e-16,4.2862023821881034e-15
China,Activity,Computer and related activities (72),6.860777816716975e-13,3.393771597026834e-13,1.959816939341064e-13,6.765479290307965e-14,2.365409130617311e-13
China,Activity,Construction (45),2.392709173653132e-12,6.566065808722543e-13,4.3808736790615314e-13,2.2316834132196446e-13,8.985950636755962e-13
China,Activity,Copper production,5.080071159128198e-13,2.6065809683961722e-12,1.1780754621036631e-12,3.5746649903776634e-13,1.851795952256949e-13
China,Activity,Cultivation of cereal grains nec,4.1189606599862653e-13,1.0741862688831007e-13,6.089460908753121e-14,1.9623125879581e-14,1.3726240542322494e-13
China,Activity,Cultivation of crops nec,1.991644842665087e-12,6.098830600527592e-13,3.4320198717020296e-13,1.1219086643717551e-13,6.647813681458588e-13
China,Activity,Cultivation of oil seeds,8.073128138604254e-13,5.019062770789877e-13,2.6381819888815324e-13,8.50230440227924e-14,2.7355211637349767e-13
China,Activity,Cultivation of paddy rice,3.817778169770928e-13,1.287848907694711e-13,6.806277012866119e-14,2.228372220603047e-14,1.2711078437041032e-13
China,Activity,Cultivation of plant-based fibers,3.616860711352495e-13,1.9264733074750837e-13,1.1527709942754192e-13,3.889175451924238e-14,1.24714835296359e-13
China,Activity,"Cultivation of sugar cane, sugar beet",2.8885809828989497e-13,1.069689560495933e-13,5.750473766518064e-14,1.867409224277241e-14,9.669164277208073e-14
China,Activity,"Cultivation of vegetables, fruit, nuts",2.4365219438150556e-12,8.305725134433863e-13,4.662420747917807e-13,1.5360370003407653e-13,8.197996758069879e-13
China,Activity,Cultivation of wheat,2.8175488076705065e-13,1.1047877961530571e-13,6.180417081658343e-14,2.0496432436593392e-14,9.491976927956922e-14
China,Activity,Distribution and trade of electricity,1.495481965760702e-14,5.743469379346217e-15,3.107328250124795e-15,9.450773992617205e-16,4.959887147914656e-15
China,Activity,Education (80),4.643591746413073e-12,1.725419272807943e-12,9.105565540884865e-13,3.0314797765086427e-13,1.552786807202926e-12
China,Activity,Extra-territorial organizations and bodies,0.0,0.0,0.0,0.0,0.0
China,Activity,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",5.263217853102845e-12,1.9991058938971002e-12,1.0929626908990864e-12,3.5083466918492025e-13,1.7574153874546129e-12
China,Activity,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",1.6919176041413667e-13,1.2766348307844783e-13,6.783699325844977e-14,2.2536843622260577e-14,5.79426389402657e-14
China,Activity,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",0.0,0.0,0.0,0.0,0.0
China,Activity,"Financial intermediation, except insurance and pension funding (65)",1.3231152534730074e-11,4.261977914158585e-12,2.1861374509622105e-12,7.029747961827233e-13,4.385634022159844e-12
China,Activity,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",3.914367700254386e-12,2.530907827543337e-12,1.3192770059823607e-12,4.29858838985599e-13,1.3357592357536972e-12
China,Activity,"Forestry, logging and related service activities (02)",2.359500131044687e-12,1.0888627751907651e-12,5.828043032790711e-13,1.9226138508670488e-13,7.938127778095637e-13
China,Activity,Health and social work (85),8.050424875497276e-12,2.9096306414017725e-12,1.4360731433318896e-12,4.375970020122105e-13,2.65263534114411e-12
China,Activity,Hotels and restaurants (55),2.3746919855824647e-11,1.226581583166055e-11,6.7383593260403795e-12,2.2298081213440433e-12,8.159624226794468e-12
China,Activity,Incineration of waste: Food,2.0995993667971874e-13,3.87010299102435e-14,2.1691545924490215e-14,7.0881964875773775e-15,6.9294176922271e-14
China,Activity,Incineration of waste: Metals and Inert materials,2.3110589568446656e-14,4.8390862154129294e-15,3.129926411417625e-15,1.8626969670230127e-15,7.759654062031696e-15
China,Activity,Incineration of waste: Oil/Hazardous waste,4.29970680978289e-14,8.359393095132033e-15,4.809250998784114e-15,1.5868237581252836e-15,1.422769131291515e-14
China,Activity,Incineration of waste: Paper,2.03855345278408e-13,3.5068233087826546e-14,1.9743409875615335e-14,6.322666728469634e-15,6.716735003375508e-14
China,Activity,Incineration of waste: Plastic,4.960668731643803e-14,7.93779932667881e-15,4.631119891211038e-15,1.5099572300365484e-15,1.636735841577995e-14
China,Activity,Incineration of waste: Textiles,3.985602862238252e-14,7.873986501248163e-15,4.440581833699754e-15,1.4511283926161845e-15,1.3172073073165934e-14
China,Activity,Incineration of waste: Wood,4.70318826063104e-14,8.732275341493016e-15,4.9625915972442065e-15,1.59647686853629e-15,1.552553563226125e-14
China,Activity,Inland water transport,5.75954273135621e-14,3.0330923707929266e-14,1.5921706506044027e-14,5.061789444940486e-15,1.939372472881216e-14
China,Activity,"Insurance and pension funding, except compulsory social security (66)",4.045517764186882e-12,1.6836534372267299e-12,8.751831524131182e-13,2.9818523692064913e-13,1.36401034375936e-12
China,Activity,Landfill of waste: Food,8.117372517358762e-13,1.5726944430111471e-13,8.686656625999453e-14,2.7392294385126275e-14,2.6746789651992345e-13
China,Activity,Landfill of waste: Inert/metal/hazardous,2.9573140876705865e-13,5.181089980131403e-14,2.890683279149651e-14,9.441009248476596e-15,9.73910644954338e-14
China,Activity,Landfill of waste: Paper,3.689415773903148e-13,5.830411695313785e-14,3.330047064227837e-14,1.0652892063817665e-14,1.2148888444521297e-13
China,Activity,Landfill of waste: Plastic,2.690459226368673e-13,5.383121296428073e-14,2.972539547757817e-14,9.41098808466924e-15,8.870468779977547e-14
China,Activity,Landfill of waste: Textiles,1.2373372740528739e-13,2.2162039554447207e-14,1.2310676420665686e-14,3.927981836151667e-15,4.075774300454503e-14
China,Activity,Landfill of waste: Wood,1.4940786700484603e-13,2.6710655213199416e-14,1.4823179659331982e-14,4.733215680641422e-15,4.921321886408602e-14
China,Activity,"Lead, zinc and tin production",1.0385942803109617e-13,1.49232131836258e-13,7.428364763049507e-14,2.340969350803028e-14,3.634713739357737e-14
China,Activity,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,1.1107041385270641e-11,2.6059029246183433e-11,1.2573493627137677e-11,3.8495225796742795e-12,3.906914015146922e-12
China,Activity,Manufacture of beverages,1.0188252879277227e-13,6.64924297067072e-14,3.4695458688432775e-14,1.134043649102849e-14,3.493375382568101e-14
China,Activity,"Manufacture of bricks, tiles and construction products, in baked clay",8.72945616775774e-15,5.0087994020815876e-15,3.0858916586898297e-15,1.1669999792541993e-15,3.1444311025669146e-15
China,Activity,"Manufacture of cement, lime and plaster",4.2812087487120983e-14,1.1888608442693823e-14,1.2446560435802186e-14,5.97380944536998e-15,1.695861352243908e-14
China,Activity,Manufacture of ceramic goods,3.904393110960961e-13,5.352179518298528e-13,2.790249695500464e-13,9.90667851292749e-14,1.4730906751000322e-13
China,Activity,Manufacture of coke oven products,7.396164441888116e-13,6.344380143096433e-13,3.2227396578241374e-13,9.769473015083706e-14,2.488350973975998e-13
China,Activity,Manufacture of electrical machinery and apparatus n.e.c. (31),5.832643169922596e-12,6.172064697539891e-11,2.667061521840233e-11,7.936440706530269e-12,2.144825127551251e-12
China,Activity,"Manufacture of fabricated metal products, except machinery and equipment (28)",7.528078359606841e-12,8.297271090347556e-12,4.383455705520148e-12,1.3901107723188393e-12,2.6018142522046147e-12
China,Activity,Manufacture of fish products,4.2370381269632386e-13,2.9237453692383537e-13,1.5062597218603345e-13,4.886390197135295e-14,1.4459776762404637e-13
China,Activity,Manufacture of furniture; manufacturing n.e.c. (36),5.12321561427048e-12,5.064147717771067e-12,2.549669817284528e-12,8.374511886668029e-13,1.7493453242367007e-12
China,Activity,Manufacture of gas; distribution of gaseous fuels through mains,1.0907354208477551e-12,4.930674405630755e-13,2.6063821440975305e-13,7.927089429060361e-14,3.623226102876036e-13
China,Activity,Manufacture of glass and glass products,5.23590006641958e-11,1.6906357704218824e-12,9.168293357203577e-13,2.748759266571361e-13,1.7051947509127203e-11
China,Activity,Manufacture of machinery and equipment n.e.c. (29),1.1523525355720307e-11,9.218176012455213e-12,4.938388562242251e-12,1.6126169040388946e-12,3.939318723480563e-12
China,Activity,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",8.911603506876687e-13,1.4623292526691223e-12,7.908170017845326e-13,3.622595484811339e-13,3.8813091034300604e-13
China,Activity,"Manufacture of motor vehicles, trailers and semi-trailers (34)",6.3785190529298604e-12,1.1761345423336256e-12,6.95678446042876e-13,2.2034810312316177e-13,2.109828705778204e-12
China,Activity,Manufacture of office machinery and computers (30),1.4329293570804094e-12,1.366809761475686e-12,9.141657078507771e-13,3.7338592594293173e-13,5.755734614637517e-13
China,Activity,Manufacture of other non-metallic mineral products n.e.c.,1.9488440259385167e-11,1.048352912631302e-12,5.454654492773501e-13,1.6844765008706708e-13,6.3546281318330455e-12
China,Activity,Manufacture of other transport equipment (35),1.3043777906129152e-12,5.323318713254844e-13,3.2074661980940146e-13,1.1086705715478958e-13,4.470422154029263e-13
China,Activity,"Manufacture of radio, television and communication equipment and apparatus (32)",1.1643095854530554e-12,3.745816074590825e-12,1.931463381362839e-12,7.255190889495307e-13,5.057874302870995e-13
China,Activity,Manufacture of rubber and plastic products (25),1.3665577216720497e-11,1.2662192154754924e-11,6.3776873623404016e-12,2.0311234763856183e-12,4.669390694226565e-12
China,Activity,Manufacture of textiles (17),3.4379475381995824e-12,2.011143637320358e-12,1.1473533815356575e-12,3.8376267851583805e-13,1.1809981930049085e-12
China,Activity,Manufacture of tobacco products (16),1.1576376948039339e-14,3.574514532891699e-15,1.9354590786809783e-15,5.671016765052005e-16,3.811342609732505e-15
China,Activity,Manufacture of wearing apparel; dressing and dyeing of fur (18),7.53183857408219e-13,2.9167731090924135e-13,1.67927985156265e-13,5.758621870636905e-14,2.5543044431764533e-13
China,Activity,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",1.031466350143914e-13,6.680711422993835e-14,6.496089425767659e-14,2.3185149884161805e-14,4.085725667891902e-14
China,Activity,"Manure treatment (biogas), storage and land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Manure treatment (conventional), storage and land application",0.0,0.0,0.0,0.0,0.0
China,Activity,Meat animals nec,1.3885182015323462e-12,7.348749345462534e-14,5.71821718535488e-14,1.6569811727049433e-14,4.54615565525187e-13
China,Activity,Mining of aluminium ores and concentrates,1.7337444563853464e-13,1.1981040276066577e-13,7.062264732095562e-14,2.1301144738510025e-14,5.886905478880267e-14
China,Activity,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",8.884481864501693e-14,4.2577624005247994e-14,3.510324762458709e-14,9.770297538493855e-15,3.038354438762753e-14
China,Activity,Mining of coal and lignite; extraction of peat (10),7.037997868083741e-17,1.3583176795408446e-17,7.209489564696299e-18,2.2179798233287676e-18,2.3113458230406513e-17
China,Activity,Mining of copper ores and concentrates,1.0680854071169264e-12,1.8390074414152034e-12,9.236237632770685e-13,2.66215915813984e-13,3.625760835218318e-13
China,Activity,Mining of iron ores,1.2378211404490362e-13,2.1198556064354695e-13,1.0690755767055093e-13,3.194801869378072e-14,4.267219887222429e-14
China,Activity,"Mining of lead, zinc and tin ores and concentrates",1.2566452430713646e-14,1.7961691748219695e-14,9.32040345351087e-15,2.9174147383739436e-15,4.426651718007577e-15
China,Activity,Mining of nickel ores and concentrates,1.7422756113825504e-13,2.2505557593196845e-13,2.432313732837447e-13,5.1496267593550044e-14,5.970082402466751e-14
China,Activity,Mining of other non-ferrous metal ores and concentrates,9.999695860902164e-13,1.122135475273908e-12,1.4231448410301642e-12,2.8671495012561804e-13,3.419612644264799e-13
China,Activity,Mining of precious metal ores and concentrates,1.274291581446849e-11,9.406757492921026e-13,4.884295657714313e-13,1.4369113759373913e-13,4.154134854479977e-12
China,Activity,Mining of uranium and thorium ores (12),1.0863109360932916e-14,1.6310125872700684e-14,8.362031825916675e-15,2.8920827570894974e-15,3.9362762945558406e-15
China,Activity,N-fertiliser,2.635520626230798e-15,1.2564145256919916e-15,7.624695592264484e-16,2.8929043002333523e-16,9.05364059908461e-16
China,Activity,Other business activities (74),4.953709466341999e-12,2.996189028082921e-12,1.5702212203217119e-12,5.879112748006379e-13,1.708083185691977e-12
China,Activity,Other land transport,3.5324146965851264e-12,1.5334208292448478e-12,8.250709436565011e-13,2.775943932233376e-13,1.1938568306120193e-12
China,Activity,Other non-ferrous metal production,2.8071137185447735e-13,4.283368104137271e-13,6.997598677420562e-13,1.3008141700927562e-13,9.793440723114329e-14
China,Activity,Other service activities (93),1.7151273583883187e-12,3.2055160657533654e-13,1.829463722854116e-13,5.712562445790236e-14,5.653341895965724e-13
