Region,,,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK
Level,,,Activity,Activity,Activity,Activity,Activity
Item,,,Production of photovoltaic plants,Production of onshore wind plants,Production of offshore wind plants,Production of electricity by wind,Production of electricity by solar photovoltaic
Region,Level,Item,,,,,
China,Activity,Activities auxiliary to financial intermediation (67),2.5139313245799133e-12,1.3314387279978812e-12,6.879811670516766e-13,2.9291084945256617e-13,1.065480660275609e-12
China,Activity,Activities of membership organisation n.e.c. (91),6.9387282392193915e-15,1.021982009096121e-15,5.703753125020327e-16,2.3734717630981515e-16,2.900233179832562e-15
China,Activity,Air transport (62),1.3390028853779385e-12,6.370772225043216e-13,3.3431997486790295e-13,1.4789475151586015e-13,5.708994331680473e-13
China,Activity,Aluminium production,2.961112965389523e-12,2.4719438672040904e-12,1.191334072296416e-12,5.011777718084399e-13,1.254767416960652e-12
China,Activity,Animal products nec,1.0583782139468681e-14,3.601425995622748e-15,2.1050120474015804e-15,9.182794610655784e-16,4.515478867214071e-15
China,Activity,"Biogasification of food waste, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Biogasification of paper, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Biogasification of sewage slugde, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,Casting of metals,4.64721478338615e-13,1.944152940848757e-12,8.799447621122788e-13,3.694478524532812e-13,2.0687283223840121e-13
China,Activity,Cattle farming,7.928562852242844e-14,2.7281090492579025e-14,1.578476772964477e-14,6.6778791977039546e-15,3.365155277335361e-14
China,Activity,Chemicals nec,7.305378143484312e-12,1.4980771002078755e-12,9.058244466634741e-13,4.1223419706554477e-13,3.076375215677218e-12
China,Activity,"Collection, purification and distribution of water (41)",1.019969938288015e-13,2.1857578224788504e-14,1.1824015607435265e-14,4.87606803246123e-15,4.264413670367524e-14
China,Activity,"Composting of food waste, incl. land application",1.2855061834019892e-13,1.7553628173647153e-14,1.0402494539764169e-14,4.413511975684425e-15,5.3927230740079593e-14
China,Activity,"Composting of paper and wood, incl. land application",1.1641526885264097e-14,1.717020170318356e-15,9.947950228540741e-16,4.0892721348476286e-16,4.881661993734824e-15
China,Activity,Computer and related activities (72),6.319157897137119e-13,4.380942696760377e-13,2.424956007265906e-13,9.780290948486404e-14,2.6911237404157985e-13
China,Activity,Construction (45),2.1338823940204874e-12,4.129848532599978e-13,2.4544818338680527e-13,1.2726505984532455e-13,9.258833112735876e-13
China,Activity,Copper production,3.955726413188891e-13,2.172726416594348e-12,9.832822233181727e-13,4.146371986982619e-13,1.811001788661258e-13
China,Activity,Cultivation of cereal grains nec,1.4313891120075686e-12,3.109896781566322e-13,1.7691643141150247e-13,7.319779781909429e-14,6.028290649173534e-13
China,Activity,Cultivation of crops nec,9.107283357044332e-13,2.657026257919333e-13,1.503603626097512e-13,6.41872673798436e-14,3.846215796754784e-13
China,Activity,Cultivation of oil seeds,1.3608613277414652e-14,6.94011118626866e-15,3.751203799511787e-15,1.649349576266088e-15,5.8172762584515335e-15
China,Activity,Cultivation of paddy rice,6.988909133988482e-13,2.3935420053316555e-13,1.2880800162265085e-13,5.630931500925922e-14,2.9526420053607634e-13
China,Activity,Cultivation of plant-based fibers,7.629511573351225e-13,4.830510188143668e-13,2.7405375943132197e-13,1.194299276865269e-13,3.3118917866542693e-13
China,Activity,"Cultivation of sugar cane, sugar beet",2.9470637486396806e-13,1.1217786721820567e-13,5.94717520741829e-14,2.4856166920133636e-14,1.245116609576725e-13
China,Activity,"Cultivation of vegetables, fruit, nuts",5.6039057862939506e-12,1.6013629452872704e-12,8.99658436771845e-13,3.7632383058719513e-13,2.3665031850537554e-12
China,Activity,Cultivation of wheat,3.9174211143717355e-13,1.6142392728892397e-13,8.804032467544793e-14,3.789228426702794e-14,1.6646874663533326e-13
China,Activity,Distribution and trade of electricity,5.4896832991395885e-15,1.465334362750914e-15,8.584430483010221e-16,3.3288704568920037e-16,2.2974255664221406e-15
China,Activity,Education (80),2.924607265731271e-12,1.2832737337754088e-12,6.547524148557138e-13,2.761947321390769e-13,1.2335765479571667e-12
China,Activity,Extra-territorial organizations and bodies,0.0,0.0,0.0,0.0,0.0
China,Activity,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",5.180934525545684e-13,1.7816808483977505e-13,1.0047713169792219e-13,4.298325855954656e-14,2.1949224792219982e-13
China,Activity,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",1.4200550473669332e-14,1.0234485510767907e-14,5.410670529075287e-15,2.3729597917401327e-15,6.115283353902952e-15
China,Activity,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",0.0,0.0,0.0,0.0,0.0
China,Activity,"Financial intermediation, except insurance and pension funding (65)",1.2379124882044713e-11,5.2223508034009805e-12,2.6171107314495942e-12,1.1115380399937417e-12,5.209884879433573e-12
China,Activity,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",3.9773906442915386e-13,2.736765470745909e-13,1.4183526924758902e-13,6.046904433046412e-14,1.7003968811016667e-13
China,Activity,"Forestry, logging and related service activities (02)",2.3503626730798705e-13,9.736640287567936e-14,5.4687855732208543e-14,2.4242845374706142e-14,1.001972345851803e-13
China,Activity,Health and social work (85),9.45987935070976e-12,4.1556791125799124e-12,1.9747129606746506e-12,8.273101410479732e-13,3.9603659543747245e-12
China,Activity,Hotels and restaurants (55),3.1127798582782134e-11,1.6603794592817396e-11,8.97909615614183e-12,3.6843661547890855e-12,1.3182250010296676e-11
China,Activity,Incineration of waste: Food,6.050809512070928e-13,1.0294675203965818e-13,5.829358690143398e-14,2.4161490598024378e-14,2.5368213638805106e-13
China,Activity,Incineration of waste: Metals and Inert materials,8.180269623979595e-14,1.2007239192397616e-14,8.376973307416692e-15,4.056653243500868e-15,3.478796062795023e-14
China,Activity,Incineration of waste: Oil/Hazardous waste,1.3556315571319478e-13,2.388013157402437e-14,1.4208789971787149e-14,6.125545077305362e-15,5.70440523727346e-14
China,Activity,Incineration of waste: Paper,6.3623185256028e-13,1.0928336143381055e-13,6.171117097704235e-14,2.5567728423324753e-14,2.667405682681137e-13
China,Activity,Incineration of waste: Plastic,9.985531399949283e-14,1.388045484612512e-14,8.171835035213251e-15,3.4303327160159785e-15,4.1877267432499227e-14
China,Activity,Incineration of waste: Textiles,1.1744076881105533e-13,2.0418913084804933e-14,1.1571795555773255e-14,4.801506299621744e-15,4.9260919003724933e-14
China,Activity,Incineration of waste: Wood,1.3564445217029543e-13,2.4790427606631026e-14,1.3964578704429066e-14,5.8918407249834305e-15,5.69335856172123e-14
China,Activity,Inland water transport,5.100563490865989e-14,2.533324522208333e-14,1.3244435810649667e-14,5.597390608753417e-15,2.1629584980670002e-14
China,Activity,"Insurance and pension funding, except compulsory social security (66)",2.4041951476858716e-12,9.751244839981401e-13,5.016866315431987e-13,2.143108050166814e-13,1.0181423884827436e-12
China,Activity,Landfill of waste: Food,1.986689220397121e-12,3.130914929128604e-13,1.781231495087102e-13,7.367912920490409e-14,8.324755163787323e-13
China,Activity,Landfill of waste: Inert/metal/hazardous,7.325775837674512e-13,1.3297582934280827e-13,7.474704178604011e-14,3.106599225226731e-14,3.0724980912756003e-13
China,Activity,Landfill of waste: Paper,8.882342471242435e-13,1.477962896152275e-13,8.379015667168299e-14,3.4696204816982586e-14,3.7231269289741195e-13
China,Activity,Landfill of waste: Plastic,6.656716052012071e-13,1.0795183838819318e-13,6.147347653719813e-14,2.5365420319829938e-14,2.7900314835569613e-13
China,Activity,Landfill of waste: Textiles,2.812704917602111e-13,4.576382633803576e-14,2.609762222920124e-14,1.0780738737803925e-14,1.1790515635163477e-13
China,Activity,Landfill of waste: Wood,3.3934771238209193e-13,5.667251397399769e-14,3.2206389967871723e-14,1.3309033903136911e-14,1.4226825266557618e-13
China,Activity,"Lead, zinc and tin production",7.346467545849037e-14,9.135899230168561e-14,4.466481840102186e-14,1.9074984824748674e-14,3.181695269881887e-14
China,Activity,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,5.20306435506288e-12,1.62662540081757e-11,7.919560812343433e-12,3.3129249118930223e-12,2.342045547805869e-12
China,Activity,Manufacture of beverages,9.91668399070066e-14,7.405774097289695e-14,3.7641938996232914e-14,1.5860572059554605e-14,4.2267691848689554e-14
China,Activity,"Manufacture of bricks, tiles and construction products, in baked clay",3.6879136528887516e-15,1.793604934287665e-15,1.763168621523336e-15,8.866955891759343e-16,1.7545604155275756e-15
China,Activity,"Manufacture of cement, lime and plaster",3.6721927239736275e-14,9.443519195223e-15,1.1670567065083628e-14,6.098602592801968e-15,1.748310691975706e-14
China,Activity,Manufacture of ceramic goods,1.3119537735744144e-13,4.5559989588120846e-14,4.6789375290287504e-14,2.5279333955848197e-14,6.397445002847073e-14
China,Activity,Manufacture of coke oven products,5.120676077883871e-13,8.234344933349181e-13,4.1270114450123025e-13,1.7110049754009136e-13,2.2231664421062953e-13
China,Activity,Manufacture of electrical machinery and apparatus n.e.c. (31),6.438088810323637e-12,6.461184506161746e-11,2.8023735979717013e-11,1.1748102831319528e-11,2.9710180231559293e-12
China,Activity,"Manufacture of fabricated metal products, except machinery and equipment (28)",6.5978387237345136e-12,8.458685281537803e-12,4.524407424197416e-12,1.895501909550416e-12,2.878975421782039e-12
China,Activity,Manufacture of fish products,2.449347554195523e-13,1.8106093800439456e-13,9.275451064286478e-14,3.951868498696826e-14,1.0483292073276509e-13
China,Activity,Manufacture of furniture; manufacturing n.e.c. (36),5.769306159454656e-12,5.273474358274759e-12,2.6845267383780225e-12,1.1818905446505855e-12,2.477188938641781e-12
China,Activity,Manufacture of gas; distribution of gaseous fuels through mains,5.08656353679312e-13,1.966148189095542e-13,1.093742770360485e-13,4.284140907303311e-14,2.1330635669424488e-13
China,Activity,Manufacture of glass and glass products,4.708476586582386e-11,4.632817520145787e-13,3.403595728776546e-13,1.2840786149704268e-13,1.951535227795293e-11
China,Activity,Manufacture of machinery and equipment n.e.c. (29),1.0286784714748686e-11,1.1314385993007911e-11,6.0346835336181136e-12,2.5376168565413783e-12,4.462226018282547e-12
China,Activity,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",6.927721550943029e-13,1.5701841338211329e-12,8.390659858257869e-13,4.58199257042649e-13,3.833387212514764e-13
China,Activity,"Manufacture of motor vehicles, trailers and semi-trailers (34)",4.60751324456278e-12,1.1747610342539542e-12,6.924774253476483e-13,2.9890317583596616e-13,1.9492315182263777e-12
China,Activity,Manufacture of office machinery and computers (30),1.2808319087338418e-12,1.3775499087140217e-12,7.849615202677189e-13,3.7298264458373096e-13,5.928204412049017e-13
China,Activity,Manufacture of other non-metallic mineral products n.e.c.,1.7331378432962356e-11,5.617308217053795e-13,3.1865995511377655e-13,1.3117116278573706e-13,7.190585820428627e-12
China,Activity,Manufacture of other transport equipment (35),1.599291197615639e-12,6.65801132502476e-13,3.737852314094954e-13,1.6217587885776428e-13,6.852080502275634e-13
China,Activity,"Manufacture of radio, television and communication equipment and apparatus (32)",1.2353897893343246e-12,3.91570727699446e-12,2.0066110742626128e-12,9.865675076890367e-13,6.446813408180156e-13
China,Activity,Manufacture of rubber and plastic products (25),8.884104688552729e-12,7.198434519624597e-12,3.798997395635375e-12,1.6510072033250644e-12,3.845364079555809e-12
China,Activity,Manufacture of textiles (17),4.322745859525125e-12,2.8610280002682925e-12,1.5517454390423664e-12,6.738512559808781e-13,1.8672714561838504e-12
China,Activity,Manufacture of tobacco products (16),1.0855837168126653e-14,4.3228745908084956e-15,2.274231360466399e-15,9.133770801023936e-16,4.5469195589184845e-15
China,Activity,Manufacture of wearing apparel; dressing and dyeing of fur (18),1.9944039376959206e-12,8.222939668761007e-13,4.396665142876379e-13,1.8763715426868738e-13,8.475992252312264e-13
China,Activity,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",7.52816164105002e-14,4.891182700565979e-14,5.872759933015469e-14,2.582547146291785e-14,3.828777644834032e-14
China,Activity,"Manure treatment (biogas), storage and land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Manure treatment (conventional), storage and land application",0.0,0.0,0.0,0.0,0.0
China,Activity,Meat animals nec,2.825139641735756e-12,1.3449310725313892e-13,1.0269891030862586e-13,3.7906520284576524e-14,1.1848053559275785e-12
China,Activity,Mining of aluminium ores and concentrates,2.1874883648029875e-14,1.1728588346763215e-14,7.680642050590096e-15,3.066543515627356e-15,9.36088146644026e-15
China,Activity,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",7.962632175710536e-14,3.5285042157207126e-14,3.569964123093539e-14,1.2926550114214774e-14,3.4776765767952904e-14
China,Activity,Mining of coal and lignite; extraction of peat (10),4.2660879690392956e-13,4.5156341132712726e-13,2.335854020455266e-13,9.75545853403023e-14,1.8406735142210457e-13
China,Activity,Mining of copper ores and concentrates,8.057757472937949e-13,2.0498886096430974e-12,9.950626399359028e-13,4.044052792932994e-13,3.5054510128588836e-13
China,Activity,Mining of iron ores,1.5863343087616502e-13,4.824935275972523e-13,2.416770421355909e-13,1.0013493394176445e-13,7.161655502877248e-14
China,Activity,"Mining of lead, zinc and tin ores and concentrates",6.370953258541448e-14,2.971515557364882e-14,2.0738514790994125e-14,7.36157655035734e-15,2.6839843683263273e-14
China,Activity,Mining of nickel ores and concentrates,2.1000645810830694e-13,1.335737497870834e-13,3.715698777262888e-13,8.550840026671689e-14,8.992383823586037e-14
China,Activity,Mining of other non-ferrous metal ores and concentrates,8.72030417642338e-14,6.637915736096096e-14,1.7169657443234178e-13,4.0006790481354735e-14,3.7508192630669814e-14
China,Activity,Mining of precious metal ores and concentrates,3.747863825055447e-11,2.767421976733542e-12,1.35299627306549e-12,5.52907574401044e-13,1.554801599697255e-11
China,Activity,Mining of uranium and thorium ores (12),2.3179748302031044e-13,3.114532863704805e-13,1.5248118560684089e-13,6.778931830650895e-14,1.0189313395193222e-13
China,Activity,N-fertiliser,8.181699377829641e-16,3.171498103506078e-16,1.9165742661748776e-16,3.1416089783863195e-16,3.51665796007917e-16
China,Activity,Other business activities (74),6.404809434886019e-12,4.377175657786849e-12,2.166812325157929e-12,9.145838618713233e-13,2.7170722372753727e-12
China,Activity,Other land transport,3.182480105985477e-12,1.2315098893596153e-12,6.699057046977728e-13,2.8089161862128577e-13,1.3548706000006541e-12
China,Activity,Other non-ferrous metal production,2.0188498544074638e-13,1.7802098552470963e-13,5.254703464642257e-13,1.1973885929293542e-13,8.768843219610024e-14
China,Activity,Other service activities (93),1.5139368871686176e-12,1.6703494281701726e-13,9.948221256047394e-14,3.9500524615303475e-14,6.346203361578594e-13
