Region,,,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK
Level,,,Activity,Activity,Activity,Activity,Activity
Item,,,Production of photovoltaic plants,Production of onshore wind plants,Production of offshore wind plants,Production of electricity by wind,Production of electricity by solar photovoltaic
Region,Level,Item,,,,,
China,Activity,Activities auxiliary to financial intermediation (67),2.2505917187896526e-13,1.0235981791306546e-13,5.3567946076717666e-14,4.097652958437184e-15,2.536105829669877e-15
China,Activity,Activities of membership organisation n.e.c. (91),5.396028533859463e-15,1.0485280303659493e-15,5.734898618989647e-16,5.3251970805173266e-17,3.307653474215901e-17
China,Activity,Air transport (62),1.161072133780664e-12,5.378076609114401e-13,3.0201513933310865e-13,3.6394691906840517e-14,2.3243971371855786e-14
China,Activity,Aluminium production,8.973033394543288e-13,6.326400528951e-13,3.047296521611479e-13,1.3357159857121236e-14,8.082990378995744e-15
China,Activity,Animal products nec,2.2072915091132988e-13,7.805849766834965e-14,5.4551793767819534e-14,8.928201444112581e-15,5.918236267661048e-15
China,Activity,"Biogasification of food waste, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Biogasification of paper, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Biogasification of sewage slugde, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,Casting of metals,1.0285638965841506e-13,3.739759227475203e-13,1.6767651571508414e-13,4.6364132501837755e-15,2.84515204586535e-15
China,Activity,Cattle farming,2.8513730435125966e-13,1.0146112391789849e-13,6.205468672820266e-14,7.325840567508048e-15,4.759047771021626e-15
China,Activity,Chemicals nec,1.1894928606499207e-11,2.7002287600204177e-12,1.5625901382776501e-12,1.7615939255534706e-13,9.897120514379577e-14
China,Activity,"Collection, purification and distribution of water (41)",7.057717340530862e-14,1.9092391234016123e-14,1.0312185895179804e-14,6.292499935791434e-16,3.919329603154261e-16
China,Activity,"Composting of food waste, incl. land application",4.934893077077807e-15,1.0033695408501393e-15,5.664384065419323e-16,4.7357225110244915e-17,3.087398609424357e-17
China,Activity,"Composting of paper and wood, incl. land application",1.787523244766684e-15,3.515850453530293e-16,1.9308749106360973e-16,1.3425196491895828e-17,9.029961490415628e-18
China,Activity,Computer and related activities (72),3.938981586127484e-13,1.9252334414288783e-13,1.1003726430850527e-13,1.0712185049445811e-14,7.52832990741164e-15
China,Activity,Construction (45),2.2957383200896575e-12,6.46167538670408e-13,4.322947615455689e-13,1.151684697412125e-13,1.2483038528016561e-13
China,Activity,Copper production,9.522716388569025e-14,4.770752920667e-13,2.1580254185893734e-13,6.531577788828826e-15,4.097263423156154e-15
China,Activity,Cultivation of cereal grains nec,3.738293605329596e-12,8.742653185320729e-13,5.055118407326578e-13,4.440662750045176e-14,3.1045067522153075e-14
China,Activity,Cultivation of crops nec,1.7370457603894854e-11,5.192141110289014e-12,2.952398114638369e-12,2.7489130538656304e-13,1.7460976171026687e-13
China,Activity,Cultivation of oil seeds,5.443386887218516e-12,4.076596420823658e-12,2.1227419430738934e-12,1.6283424121733632e-13,1.0457562534529246e-13
China,Activity,Cultivation of paddy rice,3.162697032059547e-12,1.0038009105946235e-12,5.379292667252298e-13,4.6871682946805557e-14,2.8306862430483988e-14
China,Activity,Cultivation of plant-based fibers,4.870999386131878e-12,2.4182461038663794e-12,1.433769395480192e-12,1.468702361481756e-13,9.680103644445776e-14
China,Activity,"Cultivation of sugar cane, sugar beet",2.0815453859121524e-12,8.581645823807162e-13,4.635996736862068e-13,3.7937058128394294e-14,2.5204316788025232e-14
China,Activity,"Cultivation of vegetables, fruit, nuts",1.9098062107763423e-11,6.3987150296203425e-12,3.656691745644716e-12,3.508305558497584e-13,2.4618466813384227e-13
China,Activity,Cultivation of wheat,2.5445763903389408e-12,9.649116332425532e-13,5.389351623640204e-13,5.039017662209465e-14,3.3121339417925527e-14
China,Activity,Distribution and trade of electricity,1.3241581118011209e-15,5.112002854197986e-16,2.771973542850941e-16,1.5931818770626377e-17,9.879604981154301e-18
China,Activity,Education (80),2.2473782839710786e-14,9.185767915219025e-15,4.776205830941225e-15,3.7250309896831254e-16,2.3904777719963605e-16
China,Activity,Extra-territorial organizations and bodies,0.0,0.0,0.0,0.0,0.0
China,Activity,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",6.233534257106511e-12,2.3523596975211486e-12,1.2851245470750222e-12,1.0042113566468102e-13,6.291070431346864e-14
China,Activity,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",0.0,0.0,0.0,0.0,0.0
China,Activity,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",0.0,0.0,0.0,0.0,0.0
China,Activity,"Financial intermediation, except insurance and pension funding (65)",1.0652895788158825e-12,3.240470313417638e-13,1.665864402062604e-13,1.1467095501348008e-14,7.08274612330091e-15
China,Activity,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",1.5689877667666124e-11,9.996599696330933e-12,5.293746072588874e-12,4.2591279722079123e-13,2.790554108529896e-13
China,Activity,"Forestry, logging and related service activities (02)",2.0517193518692178e-11,9.443178871015779e-12,5.138078809968259e-12,4.629270578318578e-13,2.8531573030808105e-13
China,Activity,Health and social work (85),2.9483472127701583e-13,1.0954706079861904e-13,5.337462048143851e-14,2.381077701191554e-15,1.4411144964495355e-15
China,Activity,Hotels and restaurants (55),5.909747672753956e-11,3.0520402814085485e-11,1.7003118793586177e-11,1.5627478151930734e-12,1.1321193860408103e-12
China,Activity,Incineration of waste: Food,3.106024359945163e-14,6.4663391838776034e-15,3.569000331329039e-15,2.7798533919019983e-16,1.748355437919208e-16
China,Activity,Incineration of waste: Metals and Inert materials,3.309537262089787e-15,7.359421093645355e-16,4.429735893223707e-16,4.76472330773405e-17,3.1211545138202014e-17
China,Activity,Incineration of waste: Oil/Hazardous waste,6.282945246844974e-15,1.3362905261685822e-15,7.523604258642836e-16,6.4134624885071e-17,4.2144643516064495e-17
China,Activity,Incineration of waste: Paper,2.980493321369416e-14,5.62374374870092e-15,3.1337259158416433e-15,2.631838568312774e-16,1.66196484506891e-16
China,Activity,Incineration of waste: Plastic,5.847442541182132e-15,1.3321137970251008e-15,7.434597282848494e-16,7.168486875998057e-17,4.494579518570171e-17
China,Activity,Incineration of waste: Textiles,5.125948715136418e-15,1.042763721556545e-15,5.878934558808078e-16,5.0300315947786097e-17,3.1938820123878265e-17
China,Activity,Incineration of waste: Wood,6.624103055524356e-15,1.3560817831362266e-15,7.601246808678752e-16,6.711284437123652e-17,4.2477872566956816e-17
China,Activity,Inland water transport,4.5700819062666487e-14,2.259248403819266e-14,1.1947627781747407e-14,8.294224285615425e-16,5.893781767434931e-16
China,Activity,"Insurance and pension funding, except compulsory social security (66)",2.3733806135853833e-13,9.930822477000048e-14,5.1877799887441717e-14,4.855738898953842e-15,3.353767552116253e-15
China,Activity,Landfill of waste: Food,1.2011265965317977e-13,2.5165050912520453e-14,1.3760751457148953e-14,1.0197542443046292e-15,6.473277681369793e-16
China,Activity,Landfill of waste: Inert/metal/hazardous,3.67531131448535e-14,7.129420959027703e-15,3.958105189166833e-15,3.326156154781412e-16,2.0981703408867464e-16
China,Activity,Landfill of waste: Paper,4.642678989039088e-14,9.33259126052585e-15,5.105348812969449e-15,3.832156047305601e-16,2.4317699996052273e-16
China,Activity,Landfill of waste: Plastic,3.878369689776833e-14,8.219586234096071e-15,4.503659705901938e-15,3.3513860791620973e-16,2.1234935141108794e-16
China,Activity,Landfill of waste: Textiles,1.6817586575202524e-14,3.5258508489133628e-15,1.9358472057264354e-15,1.460508949553654e-16,9.236638066251198e-17
China,Activity,Landfill of waste: Wood,2.0663805553465894e-14,4.360791377797453e-15,2.3909888898961915e-15,1.8162964160466555e-16,1.1472227617174116e-16
China,Activity,"Lead, zinc and tin production",1.915270947074851e-14,2.943819446990681e-14,1.4083898944546701e-14,6.942136992334721e-16,4.734403136557776e-16
China,Activity,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,1.9052442808794957e-12,4.690723948606912e-12,2.240457042908266e-12,9.336771746284029e-14,5.666455369563786e-14
China,Activity,Manufacture of beverages,1.2219032103594764e-13,8.052185590845225e-14,4.2352493799568546e-14,3.3719833739878274e-15,2.3290479777727244e-15
China,Activity,"Manufacture of bricks, tiles and construction products, in baked clay",5.281106842962905e-15,3.1955013429774065e-15,2.233396090952212e-15,3.841468784034311e-16,2.8336797619527916e-16
China,Activity,"Manufacture of cement, lime and plaster",2.3090234540588615e-14,6.884000102056371e-15,6.891843707683441e-15,1.933306586396541e-15,1.7517468154084405e-15
China,Activity,Manufacture of ceramic goods,2.418257821256668e-13,2.934802387175465e-13,1.558116903114796e-13,1.7118308111219274e-14,1.3219449189043718e-14
China,Activity,Manufacture of coke oven products,1.3711604732132487e-13,1.1975065024501999e-13,5.965880610575157e-14,2.662443776191769e-15,1.6223872337199914e-15
China,Activity,Manufacture of electrical machinery and apparatus n.e.c. (31),7.444665272925883e-12,7.016887433130412e-11,3.0365439347066184e-11,5.219256987621107e-13,3.2250655970803354e-13
China,Activity,"Manufacture of fabricated metal products, except machinery and equipment (28)",2.6775648650517566e-12,3.0292224411560217e-12,1.6068768961535004e-12,1.0666606434630584e-13,6.224861646286215e-14
China,Activity,Manufacture of fish products,5.039349642191187e-13,3.4359280346164893e-13,1.7953607908859518e-13,1.3698520812911872e-14,8.953920676269687e-15
China,Activity,Manufacture of furniture; manufacturing n.e.c. (36),3.5174468898056084e-12,2.9562308269531066e-12,1.502108281408273e-12,1.1929366524986608e-13,5.82570276664881e-14
China,Activity,Manufacture of gas; distribution of gaseous fuels through mains,1.8948656161258186e-13,8.20325374991804e-14,4.405179786416388e-14,2.498723826381257e-15,1.543266480853773e-15
China,Activity,Manufacture of glass and glass products,2.822047423336208e-11,9.057481113204011e-13,4.921004349574375e-13,2.58439446700269e-14,1.700798892193576e-14
China,Activity,Manufacture of machinery and equipment n.e.c. (29),0.0,0.0,0.0,0.0,0.0
China,Activity,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",1.0214229002096228e-12,1.7603487946896975e-12,9.709147252933707e-13,2.0422927623817976e-13,1.2343389579942985e-13
China,Activity,"Manufacture of motor vehicles, trailers and semi-trailers (34)",1.978547555499594e-12,3.311709642396093e-13,1.9668130751638353e-13,1.572502960078135e-14,1.1564756412306675e-14
China,Activity,Manufacture of office machinery and computers (30),5.9962129630157775e-12,5.3337567436480145e-12,3.430690360439448e-12,6.778674183763364e-13,4.577089509278706e-13
China,Activity,Manufacture of other non-metallic mineral products n.e.c.,1.0242689354847637e-11,3.789336801222951e-13,2.0370243867584668e-13,1.2238814342763579e-14,8.475641698327488e-15
China,Activity,Manufacture of other transport equipment (35),2.6311531712515335e-13,9.779431989068334e-14,5.73915116615163e-14,5.797602016833359e-15,3.9326425223213395e-15
China,Activity,"Manufacture of radio, television and communication equipment and apparatus (32)",6.579436975847981e-12,1.6158488798026966e-11,8.794867929689863e-12,1.3613212400674456e-12,7.808636396197883e-13
China,Activity,Manufacture of rubber and plastic products (25),1.3159631652138351e-11,1.1658085644023416e-11,5.9567395826112544e-12,4.016694112222503e-13,2.5634891946081264e-13
China,Activity,Manufacture of textiles (17),1.1028044691770603e-11,5.913414935986797e-12,3.3122523178450802e-12,3.0986246498068296e-13,1.9580429482006636e-13
China,Activity,Manufacture of tobacco products (16),6.535084903557321e-14,2.052200392193741e-14,1.1027376117222498e-14,5.254463880990972e-16,3.210966913096472e-16
China,Activity,Manufacture of wearing apparel; dressing and dyeing of fur (18),5.45547169494286e-12,1.925071382567624e-12,1.0706758365293844e-12,9.629004152732785e-14,6.290616687624095e-14
China,Activity,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",6.515422207128795e-14,4.130162889173774e-14,4.0987565278102904e-14,6.513944925610293e-15,5.018119960861044e-15
China,Activity,"Manure treatment (biogas), storage and land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Manure treatment (conventional), storage and land application",0.0,0.0,0.0,0.0,0.0
China,Activity,Meat animals nec,1.561991511154262e-11,8.235936692204966e-13,6.231054295231844e-13,5.100837924412132e-14,4.178606638027479e-14
China,Activity,Mining of aluminium ores and concentrates,1.8633579734235153e-13,1.3025266383168606e-13,7.560210685110548e-14,4.609468143822174e-15,2.8343239407666225e-15
China,Activity,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",8.044442400417196e-14,3.284912081653622e-14,2.460260103948632e-14,2.3682012222707794e-15,1.4704923264022422e-15
China,Activity,Mining of coal and lignite; extraction of peat (10),1.1423923727493123e-11,6.047616871674674e-12,3.0125189736941035e-12,1.555764887671572e-13,9.56849576038682e-14
China,Activity,Mining of copper ores and concentrates,1.074542030726726e-12,1.9767334580060317e-12,9.934225135306936e-13,2.9249854379681956e-14,1.8355017799676962e-14
China,Activity,Mining of iron ores,1.2936468052997474e-13,2.302255767997394e-13,1.1643794696905974e-13,5.165245078603079e-15,3.1184702315147367e-15
China,Activity,"Mining of lead, zinc and tin ores and concentrates",6.533859970711208e-14,3.120700942815229e-14,2.002882121937217e-14,7.609927949982772e-16,4.99892753370034e-16
China,Activity,Mining of nickel ores and concentrates,1.7520812721311344e-13,2.4058312134052657e-13,2.5350987559420787e-13,5.494119283831941e-15,3.431810044277561e-15
China,Activity,Mining of other non-ferrous metal ores and concentrates,1.0522405636485361e-12,1.0740073069394848e-12,1.5358640581233508e-12,2.8320764081490424e-14,1.792059607135211e-14
China,Activity,Mining of precious metal ores and concentrates,1.3643825947571126e-11,9.30038762188043e-13,4.511686699328096e-13,2.6961368580007863e-14,1.6849836451547908e-14
China,Activity,Mining of uranium and thorium ores (12),1.4160376750513053e-14,1.7473644754878425e-14,8.971584296009835e-15,8.591971092235855e-16,4.926546110534319e-16
China,Activity,N-fertiliser,1.7498189981275756e-15,6.213203105309151e-16,3.6451151467595976e-16,7.341994971581822e-17,2.7305719549911467e-17
China,Activity,Other business activities (74),1.935763900387865e-12,1.159262290925309e-12,6.088046574356257e-13,7.310338055224524e-14,4.1855524477935774e-14
China,Activity,Other land transport,2.7086371105354125e-12,1.1462499018700413e-12,6.186078076505714e-13,5.328892025723198e-14,3.7596956183900514e-14
China,Activity,Other non-ferrous metal production,4.725544345843814e-14,7.355333122872932e-14,1.1762630844523684e-13,1.8626342677324368e-15,1.1860564703422016e-15
China,Activity,Other service activities (93),0.0,0.0,0.0,0.0,0.0
China,Activity,P- and other fertiliser,3.3494361420189574e-13,1.3705149312171913e-13,8.452226120132905e-14,1.1085841549038193e-14,6.387810712786358e-15
