Region,,,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK
Level,,,Activity,Activity,Activity,Activity,Activity
Item,,,Production of photovoltaic plants,Production of onshore wind plants,Production of offshore wind plants,Production of electricity by wind,Production of electricity by solar photovoltaic
Region,Level,Item,,,,,
China,Activity,Activities auxiliary to financial intermediation (67),2.2565901422074523e-13,1.0238169858376412e-13,5.359049326730747e-14,2.3204961015777462e-14,9.462505501893695e-14
China,Activity,Activities of membership organisation n.e.c. (91),5.406438348299966e-15,1.0488342261640325e-15,5.738028637382061e-16,2.5346402516326137e-16,2.2393001741372582e-15
China,Activity,Air transport (62),1.1642516357119018e-12,5.37925213058387e-13,3.0213632621671544e-13,1.4048359473797945e-13,4.983639919302826e-13
China,Activity,Aluminium production,9.002673560040786e-13,6.327587694095986e-13,3.048523483296884e-13,1.26707754985388e-13,3.7548426528898975e-13
China,Activity,Animal products nec,2.2129120101283583e-13,7.807851383065263e-14,5.457240299146331e-14,2.59633689172196e-14,9.622417343751266e-14
China,Activity,"Biogasification of food waste, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Biogasification of paper, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Biogasification of sewage slugde, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,Casting of metals,1.0399342597837969e-13,3.7403337204741036e-13,1.6773626271817173e-13,6.93970527682406e-14,4.5301986689470776e-14
China,Activity,Cattle farming,2.858409469191914e-13,1.0148574832764142e-13,6.208002548599013e-14,2.7876590038019983e-14,1.214063860737841e-13
China,Activity,Chemicals nec,1.19192564447815e-11,2.7009796503471992e-12,1.5633592205893684e-12,7.071463397864213e-13,4.962931869306862e-12
China,Activity,"Collection, purification and distribution of water (41)",7.072877884784533e-14,1.9097245718546734e-14,1.0317165086444823e-14,4.251132047547998e-15,2.925479303075719e-14
China,Activity,"Composting of food waste, incl. land application",4.9445928287810194e-15,1.0036594424419082e-15,5.667349472431965e-16,2.421172537931613e-16,2.048634561032664e-15
China,Activity,"Composting of paper and wood, incl. land application",1.790986325569747e-15,3.5168728379733594e-16,1.9319201797870764e-16,8.070051455121511e-17,7.398841382452546e-16
China,Activity,Computer and related activities (72),3.950121535576135e-13,1.9256516727406633e-13,1.1008040215768619e-13,4.831917322502193e-14,1.6872978123475626e-13
China,Activity,Construction (45),2.3009737935726873e-12,6.463421644926458e-13,4.3247414610415127e-13,2.5272288872182746e-13,1.0638136561293681e-12
China,Activity,Copper production,9.663406181656456e-14,4.771479570591243e-13,2.1587815224447356e-13,8.948701365504355e-14,4.355696619547345e-14
China,Activity,Cultivation of cereal grains nec,3.746015774381681e-12,8.745055125465034e-13,5.057579287697167e-13,2.16250856932865e-13,1.5597052465289346e-12
China,Activity,Cultivation of crops nec,1.7409621061362922e-11,5.193437642512027e-12,2.95372961349338e-12,1.286450990256928e-12,7.279132654019148e-12
China,Activity,Cultivation of oil seeds,5.462467199785948e-12,4.0773770578946845e-12,2.123549261727276e-12,9.218501791297027e-13,2.333844897595669e-12
China,Activity,Cultivation of paddy rice,3.1699120056351604e-12,1.004041612951605e-12,5.38176530407976e-13,2.3652676441409185e-13,1.321887201276058e-12
China,Activity,Cultivation of plant-based fibers,4.885030863190753e-12,2.418777352922769e-12,1.4343174930388986e-12,6.285236312735215e-13,2.090350337074534e-12
China,Activity,"Cultivation of sugar cane, sugar beet",2.086878862556205e-12,8.58355164909903e-13,4.637959255791463e-13,2.0073761236571042e-13,8.76831972903108e-13
China,Activity,"Cultivation of vegetables, fruit, nuts",1.9143241560155794e-11,6.400257137455501e-12,3.6582771966371215e-12,1.6007095831630205e-12,8.058208802065795e-12
China,Activity,Cultivation of wheat,2.550899381079043e-12,9.651337830718325e-13,5.391637879007773e-13,2.3662053713773247e-13,1.0741054619306038e-12
China,Activity,Distribution and trade of electricity,1.3274524162066971e-15,5.11316104194358e-16,2.773165519671932e-16,1.130976111770796e-16,5.515932886053158e-16
China,Activity,Education (80),2.2530618768102402e-14,9.187784447051624e-15,4.77828184556604e-15,2.0816460494285138e-15,9.433479400143824e-15
China,Activity,Extra-territorial organizations and bodies,0.0,0.0,0.0,0.0,0.0
China,Activity,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",6.248910363684993e-12,2.3528976622316224e-12,1.2856781133013594e-12,5.492639528922711e-13,2.612995740066664e-12
China,Activity,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",0.0,0.0,0.0,0.0,0.0
China,Activity,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",0.0,0.0,0.0,0.0,0.0
China,Activity,"Financial intermediation, except insurance and pension funding (65)",1.067659308953511e-12,3.241247809758932e-13,1.6666626018059538e-13,7.142116162591594e-14,4.427727677154579e-13
China,Activity,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",1.5740090689340782e-11,9.998586742601929e-12,5.295798976211145e-12,2.303081093104677e-12,6.70259014968944e-12
China,Activity,"Forestry, logging and related service activities (02)",2.057274161880924e-11,9.445221119535936e-12,5.140183817237096e-12,2.2609391727837818e-12,8.680842464280538e-12
China,Activity,Health and social work (85),2.955390197603735e-13,1.0957124283371711e-13,5.339948740012674e-14,2.211951429004394e-14,1.2204559585468622e-13
China,Activity,Hotels and restaurants (55),5.926831128725011e-11,3.052688105414981e-11,1.700980282832536e-11,7.44520745192178e-12,2.531914411438686e-11
China,Activity,Incineration of waste: Food,3.112151990811966e-14,6.4681762545178955e-15,3.570879710612039e-15,1.518481526043817e-15,1.287472848790205e-14
China,Activity,Incineration of waste: Metals and Inert materials,3.316306890721626e-15,7.361510781938241e-16,4.4318762173696935e-16,1.954407972361653e-16,1.3845163055007752e-15
China,Activity,Incineration of waste: Oil/Hazardous waste,6.295464881620032e-15,1.3366689799477434e-15,7.527477255254192e-16,3.231496358135688e-16,2.6111648054858207e-15
China,Activity,Incineration of waste: Paper,2.9862098610832177e-14,5.625416699808001e-15,3.135435690569861e-15,1.3474221710013665e-15,1.2352117320883786e-14
China,Activity,Incineration of waste: Plastic,5.859340210609632e-15,1.3324795362967031e-15,7.438342681045827e-16,3.287083287615499e-16,2.4359997053657303e-15
China,Activity,Incineration of waste: Textiles,5.13602346222508e-15,1.0430648174551374e-15,5.882014466926838e-16,2.52565923027933e-16,2.1278172790918847e-15
China,Activity,Incineration of waste: Wood,6.6371356543609876e-15,1.3564716123082526e-15,7.605234508832791e-16,3.293591362265972e-16,2.7509217102234403e-15
China,Activity,Inland water transport,4.582816284466138e-14,2.2597231737352008e-14,1.1952523619105481e-14,5.0690267946912935e-15,1.9291462090504678e-14
China,Activity,"Insurance and pension funding, except compulsory social security (66)",2.3794554717342213e-13,9.932991993908107e-14,5.1900140004792846e-14,2.3376862350278883e-14,1.0045618402501796e-13
China,Activity,Landfill of waste: Food,1.203497340939669e-13,2.5172161272759772e-14,1.3768025691050442e-14,5.8242389862333686e-15,4.9758965576129395e-14
China,Activity,Landfill of waste: Inert/metal/hazardous,3.682414235762226e-14,7.131513457667877e-15,3.960244336889583e-15,1.7045015940583043e-15,1.5236772420266415e-14
China,Activity,Landfill of waste: Paper,4.651727207340635e-14,9.33527617788171e-15,5.108094407615928e-15,2.1653818133731457e-15,1.922565747025486e-14
China,Activity,Landfill of waste: Plastic,3.8860548013122317e-14,8.221898687380875e-15,4.506025768585865e-15,1.9060314901004615e-15,1.6070348050951448e-14
China,Activity,Landfill of waste: Textiles,1.6850809241256685e-14,3.5268479829068433e-15,1.9368673507138106e-15,8.206124591323576e-16,6.9687497772356274e-15
China,Activity,Landfill of waste: Wood,2.0704701402344743e-14,4.3620206874003204e-15,2.392246646589309e-15,1.015340290056991e-15,8.563781886252727e-15
China,Activity,"Lead, zinc and tin production",1.925967700876144e-14,2.944313151653409e-14,1.4089021875851211e-14,5.9512000735244145e-15,8.334285405762384e-15
China,Activity,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,1.9207214964013374e-12,4.691481018436637e-12,2.241243774990954e-12,9.303475600042933e-13,8.407099105010416e-13
China,Activity,Manufacture of beverages,1.2258829478004306e-13,8.053771137629109e-14,4.236887814369382e-14,1.8440561965403948e-14,5.2357506585131807e-14
China,Activity,"Manufacture of bricks, tiles and construction products, in baked clay",5.299017385474143e-15,3.196225662560046e-15,2.234144908642103e-15,1.0815154135430572e-15,2.4459195788374543e-15
China,Activity,"Manufacture of cement, lime and plaster",2.3150485485645703e-14,6.886174006635335e-15,6.8940830136254505e-15,3.809842976068016e-15,1.1199176706088314e-14
China,Activity,Manufacture of ceramic goods,2.430039351656849e-13,2.935330926174774e-13,1.5586649293163362e-13,7.229745403672188e-14,1.1239796540903162e-13
China,Activity,Manufacture of coke oven products,1.3763812713578298e-13,1.1977259372899612e-13,5.968151744027564e-14,2.4473461462316607e-14,5.779430117740367e-14
China,Activity,Manufacture of electrical machinery and apparatus n.e.c. (31),7.638876022564482e-12,7.017918639337104e-11,3.0376176207960423e-11,1.2475802399108859e-11,3.4435387184602783e-12
China,Activity,"Manufacture of fabricated metal products, except machinery and equipment (28)",2.689968111579983e-12,3.0297723739422162e-12,1.6074469237765743e-12,6.759658925201569e-13,1.160106362956699e-12
China,Activity,Manufacture of fish products,5.056061568401837e-13,3.4365983716713274e-13,1.7960536298433599e-13,7.778398637373328e-14,2.1529314925806409e-13
China,Activity,Manufacture of furniture; manufacturing n.e.c. (36),3.5305964378448344e-12,2.9567803604034106e-12,1.5026769503826327e-12,6.63009100178322e-13,1.4991343122581276e-12
China,Activity,Manufacture of gas; distribution of gaseous fuels through mains,1.8998277510957631e-13,8.205047482336545e-14,4.4070275990348453e-14,1.8013368465839745e-14,7.90729501853444e-14
China,Activity,Manufacture of glass and glass products,2.826144820677359e-11,9.066088927333407e-13,4.92965703299848e-13,1.9844890770027198e-13,1.1549467724236962e-11
China,Activity,Manufacture of machinery and equipment n.e.c. (29),0.0,0.0,0.0,0.0,0.0
China,Activity,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",1.0280076187853e-12,1.760660484524191e-12,9.712383612472853e-13,5.41731399548617e-13,5.430342051572393e-13
China,Activity,"Manufacture of motor vehicles, trailers and semi-trailers (34)",1.982250881606333e-12,3.312769888297489e-13,1.967895652398535e-13,8.175931149140409e-14,8.204661920201384e-13
China,Activity,Manufacture of office machinery and computers (30),6.021457813608672e-12,5.33484908465983e-12,3.4318218556179208e-12,1.7884133962477975e-12,2.915195421790475e-12
China,Activity,Manufacture of other non-metallic mineral products n.e.c.,1.0257701983881274e-11,3.7925385764473534e-13,2.0402457047815507e-13,8.404309772399836e-14,4.194270322705431e-12
China,Activity,Manufacture of other transport equipment (35),2.637709165276165e-13,9.78173889792632e-14,5.741525448127353e-14,2.5170296873606868e-14,1.115736708740266e-13
China,Activity,"Manufacture of radio, television and communication equipment and apparatus (32)",6.6357570885877905e-12,1.6161261146904685e-11,8.797749346183894e-12,4.438180654106085e-12,3.4896637944287367e-12
China,Activity,Manufacture of rubber and plastic products (25),1.3210613006359113e-11,1.166023977476698e-11,5.958969428524988e-12,2.5517864505493428e-12,5.647790805095361e-12
China,Activity,Manufacture of textiles (17),1.1060620422324637e-11,5.9146621351841065e-12,3.3135395290949606e-12,1.4528108026346668e-12,4.709588605105496e-12
China,Activity,Manufacture of tobacco products (16),6.549937588908219e-14,2.0526946971140274e-14,1.103245345840438e-14,4.408175039961757e-15,2.705012493099445e-14
China,Activity,Manufacture of wearing apparel; dressing and dyeing of fur (18),5.468588400516471e-12,1.925523493529958e-12,1.0711408159236594e-12,4.67021241009943e-13,2.2945465051283164e-12
China,Activity,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",6.541506614172961e-14,4.131275779866213e-14,4.099908853178281e-14,1.770680924294314e-14,3.1715131116596585e-14
China,Activity,"Manure treatment (biogas), storage and land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Manure treatment (conventional), storage and land application",0.0,0.0,0.0,0.0,0.0
China,Activity,Meat animals nec,1.564402461811917e-11,8.241487737682251e-13,6.236663218808272e-13,2.394328120596012e-13,6.425568652935748e-12
China,Activity,Mining of aluminium ores and concentrates,1.8698383145734003e-13,1.3027910499544291e-13,7.562944955261754e-14,3.0259649840771975e-14,7.914356363003001e-14
China,Activity,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",8.066860921821769e-14,3.285747953319859e-14,2.4611220583244162e-14,9.832842784659841e-15,3.439066703620566e-14
China,Activity,Mining of coal and lignite; extraction of peat (10),1.1456398266883162e-11,6.0488389749955665e-12,3.0137795906603565e-12,1.2570546685552913e-12,4.7709573526183055e-12
China,Activity,Mining of copper ores and concentrates,1.0815696249081125e-12,1.9770668801674033e-12,9.937687350561464e-13,3.9082520755652357e-13,4.598197681089905e-13
China,Activity,Mining of iron ores,1.3019093107387561e-13,2.3026462860973614e-13,1.164784939557903e-13,4.74095314694369e-14,5.6258142274306486e-14
China,Activity,"Mining of lead, zinc and tin ores and concentrates",6.552726651611709e-14,3.121416031815661e-14,2.0036199154442202e-14,7.251104566554712e-15,2.7241153283017604e-14
China,Activity,Mining of nickel ores and concentrates,1.764909746576205e-13,2.4064501895216396e-13,2.535741765632101e-13,7.334397203822326e-14,7.547309738619879e-14
China,Activity,Mining of other non-ferrous metal ores and concentrates,1.0594533510245957e-12,1.0743520128889852e-12,1.5362220624346027e-12,4.0388683040591605e-13,4.503651182346181e-13
China,Activity,Mining of precious metal ores and concentrates,1.3664927730724562e-11,9.30525971012762e-13,4.5166103226081093e-13,1.9430055185049994e-13,5.593032684415194e-12
China,Activity,Mining of uranium and thorium ores (12),1.422935481498731e-14,1.7476739124089337e-14,8.974792751612565e-15,4.089624329411182e-15,6.300158284041355e-15
China,Activity,N-fertiliser,1.7540900514400587e-15,6.214688384001719e-16,3.646643176948219e-16,1.9648116233133087e-16,7.431221664200172e-16
China,Activity,Other business activities (74),1.9417306875126634e-12,1.1594948906921305e-12,6.090448550810212e-13,2.8987679258854834e-13,8.342714470600787e-13
China,Activity,Other land transport,2.7156619737025305e-12,1.1465025523395629e-12,6.188680308794832e-13,2.706289244593657e-13,1.1458244729994833e-12
China,Activity,Other non-ferrous metal production,4.775018223282619e-14,7.35782047314526e-14,1.1765217371666361e-13,2.9820289286671136e-14,2.0680185097607027e-14
China,Activity,Other service activities (93),0.0,0.0,0.0,0.0,0.0
China,Activity,P- and other fertiliser,3.3582783360486396e-13,1.370835898840157e-13,8.45553302903893e-14,3.8970708132073424e-14,1.4343525743202714e-13
