Region,,,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK
Level,,,Activity,Activity,Activity,Activity,Activity
Item,,,Production of photovoltaic plants,Production of onshore wind plants,Production of offshore wind plants,Production of electricity by wind,Production of electricity by solar photovoltaic
Region,Level,Item,,,,,
China,Activity,Activities auxiliary to financial intermediation (67),2.395267634354426e-13,1.1558320499630482e-13,6.006802378077157e-14,3.782450021759525e-14,1.3351586085087846e-13
China,Activity,Activities of membership organisation n.e.c. (91),4.014259637083309e-15,7.278485890222047e-16,3.9707163330547586e-16,2.504556995658546e-16,2.2134242847292866e-15
China,Activity,Air transport (62),1.297901510302089e-12,6.130428682529454e-13,3.3884742117912446e-13,2.1995045879595782e-13,7.321313591376164e-13
China,Activity,Aluminium production,5.101801503875656e-13,3.870988347664134e-13,1.8684504100725107e-13,1.155892569057041e-13,2.833862031784957e-13
China,Activity,Animal products nec,7.282339552338503e-14,3.0456965205688104e-14,1.9222843754484444e-14,1.236248473485602e-14,4.134954127945553e-14
China,Activity,"Biogasification of food waste, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Biogasification of paper, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Biogasification of sewage slugde, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,Casting of metals,7.255939066744079e-14,2.8073967102167513e-13,1.2624861867248638e-13,7.890868958818725e-14,4.173928054148999e-14
China,Activity,Cattle farming,9.731585396392097e-13,3.776852115844026e-13,2.2241531622214688e-13,1.3939149751606432e-13,5.459788908492929e-13
China,Activity,Chemicals nec,7.455122597301455e-12,1.5951378839856604e-12,9.339513889407956e-13,6.000573401606861e-13,4.131756571415898e-12
China,Activity,"Collection, purification and distribution of water (41)",6.635219900686006e-14,1.5871801304115387e-14,8.726680656180377e-15,5.297972259036561e-15,3.6595512527904554e-14
China,Activity,"Composting of food waste, incl. land application",1.6897555706709162e-14,4.6476835957548925e-15,2.575511300329596e-15,1.665477617674836e-15,9.388264392670809e-15
China,Activity,"Composting of paper and wood, incl. land application",1.6379720666332283e-15,2.3920987857833595e-16,1.3844684646993495e-16,8.32544744947036e-17,9.019985412449157e-16
China,Activity,Computer and related activities (72),2.914986006928467e-13,1.6319199503806693e-13,9.230400063852797e-14,5.771310466471731e-14,1.648739365182833e-13
China,Activity,Construction (45),1.4105216857564932e-12,3.9307245362337073e-13,2.9693532473678276e-13,2.4626075685021055e-13,8.703937130474257e-13
China,Activity,Copper production,6.711816516914031e-14,3.5319723906114833e-13,1.5951466058517675e-13,9.988611400966651e-14,3.962378246659796e-14
China,Activity,Cultivation of cereal grains nec,1.6615981256300643e-11,3.675757576926955e-12,2.086670693998526e-12,1.2700894771751524e-12,9.17920135767861e-12
China,Activity,Cultivation of crops nec,1.3908690598914056e-11,3.9485940475718e-12,2.2307185587213457e-12,1.3827050600680519e-12,7.713608347155926e-12
China,Activity,Cultivation of oil seeds,1.7555521074691449e-13,1.2226633026574216e-13,6.463867506944159e-14,4.0402810679461153e-14,9.885211586173817e-14
China,Activity,Cultivation of paddy rice,9.263905260715234e-12,3.252158705654278e-12,1.7324203163408564e-12,1.0948654915438578e-12,5.143768130932841e-12
China,Activity,Cultivation of plant-based fibers,7.354452328033352e-12,4.6003926358843004e-12,2.74607190816301e-12,1.7093686318784186e-12,4.1932691423248e-12
China,Activity,"Cultivation of sugar cane, sugar beet",3.594687081012214e-12,1.3646407613392452e-12,7.357167974309131e-13,4.569467718569344e-13,1.99854177531523e-12
China,Activity,"Cultivation of vegetables, fruit, nuts",8.147062984150448e-11,2.4582438553861552e-11,1.3839090684276149e-11,8.555105892882388e-12,4.5249566559588505e-11
China,Activity,Cultivation of wheat,5.8377061058081916e-12,2.3788545997745023e-12,1.3207922041062002e-12,8.289646167035551e-13,3.2666592373807536e-12
China,Activity,Distribution and trade of electricity,1.3650243769912514e-15,5.566541464201961e-16,3.0371884758019757e-16,1.803924083892732e-16,7.551251708630264e-16
China,Activity,Education (80),1.572090536569e-14,6.017701540012954e-15,3.12838297972561e-15,1.9811828375395474e-15,8.732368845835962e-15
China,Activity,Extra-territorial organizations and bodies,0.0,0.0,0.0,0.0,0.0
China,Activity,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",1.5317085996986491e-12,4.943005304352767e-13,2.77026101308092e-13,1.6895189613839126e-13,8.491982469671194e-13
China,Activity,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",3.049832599594141e-14,2.2587109113687975e-14,1.2099880126415829e-14,7.679021825719847e-15,1.7233710369208857e-14
China,Activity,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",0.0,0.0,0.0,0.0,0.0
China,Activity,"Financial intermediation, except insurance and pension funding (65)",1.2275620032245817e-12,4.051997367851688e-13,2.0740996960808854e-13,1.2969391577777337e-13,6.786578383223414e-13
China,Activity,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",4.6233157702939576e-12,2.9967606925373892e-12,1.5576265126249856e-12,9.75979128353964e-13,2.593625050448699e-12
China,Activity,"Forestry, logging and related service activities (02)",5.468588255885485e-12,2.345828830009614e-12,1.2986181669016507e-12,8.21258183570272e-13,3.0590989668951587e-12
China,Activity,Health and social work (85),2.6985331066491783e-13,1.0829826300951756e-13,5.1998709423542637e-14,3.217416195923909e-14,1.486653651663974e-13
China,Activity,Hotels and restaurants (55),6.694211168639001e-11,3.4743077445948384e-11,1.932374654388267e-11,1.2041911439868793e-11,3.7682970108332285e-11
China,Activity,Incineration of waste: Food,9.273031383241041e-14,1.445013060283531e-14,8.323629770341609e-15,5.111895946733816e-15,5.1081697116277756e-14
China,Activity,Incineration of waste: Metals and Inert materials,9.639296720558137e-15,3.774102914043418e-15,2.098030052208314e-15,1.4003875862704413e-15,5.418412385719036e-15
China,Activity,Incineration of waste: Oil/Hazardous waste,1.9395406156902015e-14,4.56008337916265e-15,2.559243765562348e-15,1.6277772409441088e-15,1.0747411322435227e-14
China,Activity,Incineration of waste: Paper,9.667543636852499e-14,1.491902497694014e-14,8.555550393155101e-15,5.274876420944998e-15,5.325700450912069e-14
China,Activity,Incineration of waste: Plastic,1.4004679968900218e-14,3.354394155941312e-15,1.8824501780989896e-15,1.205505815470104e-15,7.762083762183274e-15
China,Activity,Incineration of waste: Textiles,1.6124129318913565e-14,2.8585255594097356e-15,1.6655153059886673e-15,1.0347726671086242e-15,8.898281942623892e-15
China,Activity,Incineration of waste: Wood,1.833539503927906e-14,3.4140126556951142e-15,1.9660212863916423e-15,1.2248471304129905e-15,1.0125539807803258e-14
China,Activity,Inland water transport,4.682060558706223e-14,2.3784017752493837e-14,1.2657933990451865e-14,7.821634205501402e-15,2.6181658665039937e-14
China,Activity,"Insurance and pension funding, except compulsory social security (66)",2.6097277271318597e-13,1.2243974304940083e-13,6.329555780101798e-14,4.070942124798754e-14,1.460436505027864e-13
China,Activity,Landfill of waste: Food,2.905062321462723e-13,4.3960283333492446e-14,2.5037168047362314e-14,1.5270775399043042e-14,1.5989383460645397e-13
China,Activity,Landfill of waste: Inert/metal/hazardous,1.0560537119695954e-13,1.9018009686468485e-14,1.0716881747787536e-14,6.616138283105134e-15,5.823476161029639e-14
China,Activity,Landfill of waste: Paper,1.3144439222100665e-13,2.1275862053550717e-14,1.2070097003702808e-14,7.407202062252656e-15,7.239326060298892e-14
China,Activity,Landfill of waste: Plastic,9.434045771505975e-14,1.3477213089141355e-14,7.777542401196764e-15,4.7329268199881844e-15,5.1932366717005865e-14
China,Activity,Landfill of waste: Textiles,3.756282916302639e-14,5.652028372449217e-15,3.2700849427350328e-15,1.996811855548784e-15,2.06921720930948e-14
China,Activity,Landfill of waste: Wood,4.8806502932715606e-14,7.204928792171596e-15,4.147904119548761e-15,2.534491992973676e-15,2.6877216188649514e-14
China,Activity,"Lead, zinc and tin production",1.4133235257645597e-14,2.352566234474777e-14,1.156509740330611e-14,7.189836644107648e-15,8.105340236234433e-15
China,Activity,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,1.0587940026105241e-12,3.3709161987184995e-12,1.611999414943159e-12,9.948917855193197e-13,6.158256816759251e-13
China,Activity,Manufacture of beverages,1.340573915712316e-13,9.291281498571991e-14,4.846232071226475e-14,3.0429003555991664e-14,7.553282567924786e-14
China,Activity,"Manufacture of bricks, tiles and construction products, in baked clay",3.674585326732607e-15,1.832464117779218e-15,1.5234472362758806e-15,1.0048856823040854e-15,2.21914968919244e-15
China,Activity,"Manufacture of cement, lime and plaster",1.6381611736330385e-14,4.853216677024581e-15,5.87345777516962e-15,4.102675498352056e-15,1.037096377202904e-14
China,Activity,Manufacture of ceramic goods,1.8692441842531121e-13,2.604033460433555e-13,1.3843114740075588e-13,9.081099527955372e-14,1.127062575944496e-13
China,Activity,Manufacture of coke oven products,1.1373525421498364e-13,1.28958829192481e-13,6.417673586003884e-14,3.91526349157738e-14,6.377528952668752e-14
China,Activity,Manufacture of electrical machinery and apparatus n.e.c. (31),7.097095592715315e-12,6.893767080397174e-11,2.989216480835559e-11,1.874245402852372e-11,4.2057594045839624e-12
China,Activity,"Manufacture of fabricated metal products, except machinery and equipment (28)",2.3018456773970905e-12,2.747847890605039e-12,1.4656600805163303e-12,8.969477353266171e-13,1.3104728693052898e-12
China,Activity,Manufacture of fish products,4.94960719524554e-13,3.3162399109041025e-13,1.7130027301403903e-13,1.0719846804076385e-13,2.7766064709205445e-13
China,Activity,Manufacture of furniture; manufacturing n.e.c. (36),3.9293451305920354e-12,3.4307346006646926e-12,1.7415478960570453e-12,1.108744519782681e-12,2.207708514455243e-12
China,Activity,Manufacture of gas; distribution of gaseous fuels through mains,1.6088950276922333e-13,6.319766241422347e-14,3.477704371168412e-14,2.045528003256833e-14,8.891522492359897e-14
China,Activity,Manufacture of glass and glass products,2.5452750966878456e-11,8.271948492826487e-13,4.4991870833316963e-13,2.662493264290878e-13,1.391585859767288e-11
China,Activity,Manufacture of machinery and equipment n.e.c. (29),7.498070344858839e-12,7.027657143467078e-12,3.778057275016554e-12,2.3190566539865704e-12,4.235911215013881e-12
China,Activity,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",9.236844479731675e-13,1.861023353761249e-12,1.003605790590676e-12,7.27701125428934e-13,6.271849165127223e-13
China,Activity,"Manufacture of motor vehicles, trailers and semi-trailers (34)",1.8733140324925876e-12,3.2448712228759957e-13,1.9268061739589476e-13,1.1613405764777534e-13,1.033956824688174e-12
China,Activity,Manufacture of office machinery and computers (30),4.864091162396707e-12,4.60963773703507e-12,2.867151390576321e-12,1.981434180713043e-12,3.007808139094312e-12
China,Activity,Manufacture of other non-metallic mineral products n.e.c.,1.0249727104173664e-11,5.803177017746339e-13,3.046751660552326e-13,1.8437876079475632e-13,5.608800178084712e-12
China,Activity,Manufacture of other transport equipment (35),1.578331351524484e-13,1.0384491455417719e-13,5.841680742681864e-14,3.7012865570404734e-14,8.990445095983238e-14
China,Activity,"Manufacture of radio, television and communication equipment and apparatus (32)",4.484142422440099e-12,1.2010158715510889e-11,6.393756012883343e-12,4.43252068316946e-12,2.9562605673976884e-12
China,Activity,Manufacture of rubber and plastic products (25),8.572013389281127e-12,7.306177620165688e-12,3.803149578012216e-12,2.3789351207463356e-12,4.849326519199469e-12
China,Activity,Manufacture of textiles (17),7.156491537481383e-12,4.774827646495035e-12,2.6949791775570296e-12,1.6927952222253322e-12,4.062864794512997e-12
China,Activity,Manufacture of tobacco products (16),7.093856583393688e-14,2.3525625373682966e-14,1.2462977792312967e-14,7.383254125532074e-15,3.906637959209181e-14
China,Activity,Manufacture of wearing apparel; dressing and dyeing of fur (18),3.463720400779955e-12,1.4073640464284475e-12,7.93991901698694e-13,4.999596130034617e-13,1.9388924494640563e-12
China,Activity,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",7.28617329832515e-14,4.0231326510224483e-14,3.917753192871822e-14,2.2676745806175276e-14,4.403835630613636e-14
China,Activity,"Manure treatment (biogas), storage and land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Manure treatment (conventional), storage and land application",0.0,0.0,0.0,0.0,0.0
China,Activity,Meat animals nec,2.2574087118329873e-11,1.2068113317725497e-12,9.230717925940048e-13,5.034996657921162e-13,1.2385101071971946e-11
China,Activity,Mining of aluminium ores and concentrates,6.106790945135292e-14,3.88251122677098e-14,2.52913763755511e-14,1.434474575523744e-14,3.4374269855159784e-14
China,Activity,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",3.1467029325960244e-13,1.2068731750917956e-13,1.0082522472541516e-13,5.5277254929512685e-14,1.776210662581421e-13
China,Activity,Mining of coal and lignite; extraction of peat (10),4.7792677371078594e-12,1.4721372847424578e-12,7.665778542296553e-13,4.705756930858532e-13,2.6378306978121855e-12
China,Activity,Mining of copper ores and concentrates,2.539182775265938e-12,5.1646966711201426e-12,2.566676433361972e-12,1.529490410863326e-12,1.4327675287542298e-12
China,Activity,Mining of iron ores,4.979120501952917e-13,1.1771327784375367e-12,5.839133317520061e-13,3.534777010784862e-13,2.8522232086089616e-13
China,Activity,"Mining of lead, zinc and tin ores and concentrates",5.880061509480703e-14,9.089286509816158e-14,4.7534184141967616e-14,2.8996284623408074e-14,3.3827766656424233e-14
China,Activity,Mining of nickel ores and concentrates,3.581304945078363e-13,6.249319424381839e-13,9.728109213264177e-13,3.739374368430472e-13,2.0504952699516908e-13
China,Activity,Mining of other non-ferrous metal ores and concentrates,2.4532759182910067e-13,2.9835291154386504e-13,4.5323135287979987e-13,1.755077109754353e-13,1.385463839053717e-13
China,Activity,Mining of precious metal ores and concentrates,8.904411540556809e-11,5.049309627209747e-12,2.72938105095427e-12,1.627591464125991e-12,4.8717559630826134e-11
China,Activity,Mining of uranium and thorium ores (12),6.202038583499862e-13,7.926544952879346e-13,4.014761935237987e-13,2.625548483445619e-13,3.5940077513018175e-13
China,Activity,N-fertiliser,1.1141742815219513e-15,5.708556281328072e-16,3.4236253407729404e-16,2.340300242870255e-16,6.324743513896026e-16
China,Activity,Other business activities (74),2.189297670443557e-12,1.3728467286970685e-12,7.125103584263037e-13,4.738204096971496e-13,1.2397818538178168e-12
China,Activity,Other land transport,2.744272842908918e-12,1.1394092609767155e-12,6.160170348414256e-13,3.855502919873489e-13,1.5325034631589376e-12
China,Activity,Other non-ferrous metal production,3.760366169090972e-14,6.566603583391456e-14,1.0255982556657517e-13,3.9382626565902174e-14,2.152909269441664e-14
China,Activity,Other service activities (93),8.926176952863634e-13,1.1764034780970002e-13,6.931566234953365e-14,4.1624935266537185e-14,4.911770136785191e-13
