Region,,,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK
Level,,,Activity,Activity,Activity,Activity,Activity
Item,,,Production of photovoltaic plants,Production of onshore wind plants,Production of offshore wind plants,Production of electricity by wind,Production of electricity by solar photovoltaic
Region,Level,Item,,,,,
China,Activity,Activities auxiliary to financial intermediation (67),2.454450451740119e-13,1.3008366885734275e-13,6.721306515946675e-14,2.140911054472875e-14,8.21004697012552e-14
China,Activity,Activities of membership organisation n.e.c. (91),3.634967992058438e-15,5.355666007910759e-16,2.988816446749656e-16,9.353090252474849e-17,1.1946175054225128e-15
China,Activity,Air transport (62),1.3279121422487796e-12,6.322102710656786e-13,3.317473380521948e-13,1.1146215926786228e-13,4.475461619875372e-13
China,Activity,Aluminium production,5.158497008511628e-13,4.3103417257992027e-13,2.0772147366519117e-13,6.429459178655748e-14,1.7250567564455885e-13
China,Activity,Animal products nec,1.447048837604398e-13,4.926655966374705e-14,2.879456910363507e-14,9.655682200463708e-15,4.881056698376594e-14
China,Activity,"Biogasification of food waste, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Biogasification of paper, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Biogasification of sewage slugde, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,Casting of metals,8.074487762438278e-14,3.3900530953988183e-13,1.5342880447349718e-13,4.678080872175324e-14,2.8733292823973857e-14
China,Activity,Cattle farming,9.285593185557065e-13,3.196784198537879e-13,1.849556860654705e-13,5.949300623284802e-14,3.111629083175763e-13
China,Activity,Chemicals nec,7.568551059455495e-12,1.552683917548823e-12,9.387916736976324e-13,3.3401972719569017e-13,2.511090975688107e-12
China,Activity,"Collection, purification and distribution of water (41)",1.7669518463951386e-14,3.788077458606412e-15,2.049051771423562e-15,6.302853497403926e-16,5.809018025833133e-15
China,Activity,"Composting of food waste, incl. land application",2.2270922300700828e-14,3.0421176708505627e-15,1.802675166073428e-15,5.841151514775026e-16,7.353212794634047e-15
China,Activity,"Composting of paper and wood, incl. land application",2.0168349562947593e-15,2.9756793706637834e-16,1.7239111333978422e-16,5.339485753941063e-17,6.655567696117111e-16
China,Activity,Computer and related activities (72),2.4543338322751387e-13,1.702989916275692e-13,9.426001681572578e-14,2.8251000419712778e-14,8.259636464195172e-14
China,Activity,Construction (45),2.0715975179871688e-12,4.0109019957773593e-13,2.3836510453088884e-13,9.973292878680282e-14,7.138125330387749e-13
China,Activity,Copper production,6.865883125316858e-14,3.788621885730542e-13,1.7144704332010246e-13,5.258770951045218e-14,2.530636225427169e-14
China,Activity,Cultivation of cereal grains nec,1.532326767143926e-11,3.330596276231588e-12,1.8946019965812322e-12,5.901893901384969e-13,5.084539235343735e-12
China,Activity,Cultivation of crops nec,1.2452368744787947e-11,3.6347344995134073e-12,2.056771889426736e-12,6.672154430593682e-13,4.146527416276864e-12
China,Activity,Cultivation of oil seeds,1.8603633466501042e-13,9.493961479563168e-14,5.131316820146764e-14,1.718266411116012e-14,6.290611491694276e-14
China,Activity,Cultivation of paddy rice,6.524052367158913e-12,2.23553139709321e-12,1.2029771083935805e-12,3.995097473926651e-13,2.1734412243037352e-12
China,Activity,Cultivation of plant-based fibers,9.10582925315945e-12,5.769862570970212e-12,3.2733163124029734e-12,1.0914157957609728e-12,3.1393492286620767e-12
China,Activity,"Cultivation of sugar cane, sugar beet",2.8699768707213336e-12,1.093054522463209e-12,5.794556655929069e-13,1.8084902852708803e-13,9.561640666130972e-13
China,Activity,"Cultivation of vegetables, fruit, nuts",7.662255932950272e-11,2.1906173122915917e-11,1.2306366486934579e-11,3.881952673970099e-12,2.551250820197709e-11
China,Activity,Cultivation of wheat,5.3557483614192796e-12,2.2082471267612307e-12,1.2043087948521104e-12,3.926482590610841e-13,1.7974574426917458e-12
China,Activity,Distribution and trade of electricity,9.509566568640917e-16,2.539539915818232e-16,1.4876701265904333e-16,4.269305095390247e-17,3.130216176702145e-16
China,Activity,Education (80),1.4793973375200517e-14,6.4953439121470266e-15,3.313859062274613e-15,1.0402447526662197e-15,4.9183741659697e-15
China,Activity,Extra-territorial organizations and bodies,0.0,0.0,0.0,0.0,0.0
China,Activity,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",1.0563067777069665e-12,3.6345171634194073e-13,2.0495610699480606e-13,6.663723133698471e-14,3.5314637979622376e-13
China,Activity,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",3.388235441024473e-14,2.4440453290945832e-14,1.292028069816907e-14,4.296980231184984e-15,1.1564270070807825e-14
China,Activity,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",0.0,0.0,0.0,0.0,0.0
China,Activity,"Financial intermediation, except insurance and pension funding (65)",1.248651881168055e-12,5.270787148743997e-13,2.641220330757394e-13,8.340852128493301e-14,4.1396051870661813e-13
China,Activity,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",2.9334375113898108e-12,2.02011662649031e-12,1.0468870680181634e-12,3.342364361351701e-13,9.920378924486146e-13
China,Activity,"Forestry, logging and related service activities (02)",4.821507106561618e-12,1.9985721171797703e-12,1.1224816785773272e-12,3.8212897180766745e-13,1.6247236899777875e-12
China,Activity,Health and social work (85),3.961883409513703e-13,1.7414826112882964e-13,8.274699060066382e-14,2.53997370666647e-14,1.3046980056660833e-13
China,Activity,Hotels and restaurants (55),5.943017917840823e-11,3.172284774202578e-11,1.715437036320104e-11,5.241067845019516e-12,1.9858798872726027e-11
China,Activity,Incineration of waste: Food,1.0482524349677415e-13,1.7841276270254775e-14,1.0101946100952208e-14,3.151982627422327e-15,3.4584118471515826e-14
China,Activity,Incineration of waste: Metals and Inert materials,1.417170994230358e-14,2.0809019654938837e-15,1.451698477839865e-15,5.678790338431024e-16,4.760814586475108e-15
China,Activity,Incineration of waste: Oil/Hazardous waste,2.3484969131081962e-14,4.138566706439135e-15,2.4623195220281612e-15,8.151627086523789e-16,7.784378380932186e-15
China,Activity,Incineration of waste: Paper,1.1022174315316405e-13,1.893945529302675e-14,1.0694197134381359e-14,3.333523289251053e-15,3.636424604786071e-14
China,Activity,Incineration of waste: Plastic,1.729953532117614e-14,2.405543483510099e-15,1.4161192023495737e-15,4.520441019358003e-16,5.709684961880423e-15
China,Activity,Incineration of waste: Textiles,2.0345568303399554e-14,3.5387199987331155e-15,2.0053289843124915e-15,6.266877041078141e-16,6.716515102738254e-15
China,Activity,Incineration of waste: Wood,2.349902148211639e-14,4.296337310124581e-15,2.419990879649604e-15,7.724426650518217e-16,7.763960420672955e-15
China,Activity,Inland water transport,5.058230435462707e-14,2.5139726979641825e-14,1.3142527894696156e-14,4.153413228586867e-15,1.693136944964714e-14
China,Activity,"Insurance and pension funding, except compulsory social security (66)",2.372883549188077e-13,9.629867181374906e-14,4.9541223123852e-14,1.583909342109182e-14,7.929062966492914e-14
China,Activity,Landfill of waste: Food,3.441810862634099e-13,5.426043872137183e-14,3.08675900818236e-14,9.612550878446401e-15,1.134748184752919e-13
China,Activity,Landfill of waste: Inert/metal/hazardous,1.2691177525181917e-13,2.304554525127202e-14,1.2953276516943713e-14,4.051614565018994e-15,4.189072984811716e-14
China,Activity,Landfill of waste: Paper,1.5387969263531089e-13,2.5613943810619735e-14,1.4520337902280158e-14,4.5257285323794796e-15,5.075397671287219e-14
China,Activity,Landfill of waste: Plastic,1.153228342782054e-13,1.8708653004722108e-14,1.0652976970291474e-14,3.3071234033457876e-15,3.803333633739072e-14
China,Activity,Landfill of waste: Textiles,4.8728068388728356e-14,7.931125873230502e-15,4.522559727913761e-15,1.4064299612136793e-15,1.6073261662742214e-14
China,Activity,Landfill of waste: Wood,5.878931613583117e-14,9.821672074934512e-15,5.581179320987584e-15,1.7355143026620822e-15,1.9395114734250946e-14
China,Activity,"Lead, zinc and tin production",1.2793777725915538e-14,1.5930348175942455e-14,7.787819505413123e-15,2.4667032888946716e-15,4.398002298130319e-15
China,Activity,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,9.047088155801659e-13,2.836369341827775e-12,1.380873395464811e-12,4.2496494002316185e-13,3.2645190388983887e-13
China,Activity,Manufacture of beverages,1.3030260940640265e-13,9.739503167765997e-14,4.950107574231284e-14,1.55047169745326e-14,4.3898090239604204e-14
China,Activity,"Manufacture of bricks, tiles and construction products, in baked clay",2.220477802512369e-15,1.080805034208299e-15,1.062459960985604e-15,4.47871160077624e-16,8.581473575754684e-16
China,Activity,"Manufacture of cement, lime and plaster",2.2115144220405325e-14,5.6904301513735406e-15,7.032506018119474e-15,3.1440194483012774e-15,8.554060515912288e-15
China,Activity,Manufacture of ceramic goods,7.900462358622657e-14,2.7453725127293398e-14,2.819451212640626e-14,1.2973762245061948e-14,3.147073389028929e-14
China,Activity,Manufacture of coke oven products,9.522602254917575e-14,1.533728323992038e-13,7.686572364784981e-14,2.3495492297932246e-14,3.283619826188994e-14
China,Activity,Manufacture of electrical machinery and apparatus n.e.c. (31),6.9598631736275155e-12,7.041560871761891e-11,3.053917608584524e-11,9.209334432425225e-12,2.5913854743714144e-12
China,Activity,"Manufacture of fabricated metal products, except machinery and equipment (28)",2.2835385604740486e-12,2.931546366653787e-12,1.5679602027509511e-12,4.916709233377579e-13,7.924439231424611e-13
China,Activity,Manufacture of fish products,3.218390791273524e-13,2.381173274862748e-13,1.219769674521378e-13,3.8832181586382275e-14,1.0899739244755717e-13
China,Activity,Manufacture of furniture; manufacturing n.e.c. (36),4.2222750189104724e-12,3.8633243266378885e-12,1.9665683620591285e-12,6.53321207275183e-13,1.4357450820746153e-12
China,Activity,Manufacture of gas; distribution of gaseous fuels through mains,9.293984765046552e-14,3.594552551490951e-14,1.999496754010204e-14,5.765377686330524e-15,3.067175718810914e-14
China,Activity,Manufacture of glass and glass products,2.8366065055839782e-11,2.790087519336231e-13,2.049281739448648e-13,5.864070528254522e-14,9.22301417220276e-12
China,Activity,Manufacture of machinery and equipment n.e.c. (29),7.654896087914662e-12,8.429640214138763e-12,4.49584764503209e-12,1.4160962393452251e-12,2.6367513507143747e-12
China,Activity,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",9.232035469120946e-13,2.097069738736653e-12,1.1205689316464834e-12,4.937986080779434e-13,4.2861956993678527e-13
China,Activity,"Manufacture of motor vehicles, trailers and semi-trailers (34)",1.1266365144170599e-12,2.873867748900551e-13,1.6939464026397646e-13,5.6093994069086966e-14,3.759854823190993e-13
China,Activity,Manufacture of office machinery and computers (30),3.6824497598885744e-12,3.965284036705684e-12,2.2594176690364292e-12,8.428056889472954e-13,1.3755685478278897e-12
China,Activity,Manufacture of other non-metallic mineral products n.e.c.,1.0441038322621635e-11,3.384414294337473e-13,1.919568599656146e-13,5.936221577465666e-14,3.399160807538023e-12
China,Activity,Manufacture of other transport equipment (35),2.889433957340161e-13,1.2036308305342728e-13,6.756917010581132e-14,2.2364533889997253e-14,9.798505676493464e-14
China,Activity,"Manufacture of radio, television and communication equipment and apparatus (32)",4.516198380438844e-12,1.4356486593121793e-11,7.356653779139612e-12,2.8248321813765437e-12,1.954462015042354e-12
China,Activity,Manufacture of rubber and plastic products (25),8.576375119450574e-12,6.9556281069844385e-12,3.6706688607271725e-12,1.205826736455799e-12,2.946048683440954e-12
China,Activity,Manufacture of textiles (17),1.053396797322711e-11,6.977663304632712e-12,3.7843094557527045e-12,1.2473299155775944e-12,3.6093086561021034e-12
China,Activity,Manufacture of tobacco products (16),6.824273204252446e-14,2.719053964722899e-14,1.4303905013005486e-14,4.224804500276509e-15,2.2486660450628e-14
China,Activity,Manufacture of wearing apparel; dressing and dyeing of fur (18),7.744224351007743e-12,3.1948503341572727e-12,1.7081360425302448e-12,5.489523987747275e-13,2.599401879419047e-12
China,Activity,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",4.086144463443226e-14,2.65782650191027e-14,3.1912429520955775e-14,1.1602815534480034e-14,1.7135453507582614e-14
China,Activity,"Manure treatment (biogas), storage and land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Manure treatment (conventional), storage and land application",0.0,0.0,0.0,0.0,0.0
China,Activity,Meat animals nec,2.7234707298481874e-11,1.2967549756499036e-12,9.90141572418537e-13,2.7673124414990647e-13,8.988812802941363e-12
China,Activity,Mining of aluminium ores and concentrates,4.4589958150493946e-14,2.3925637147902936e-14,1.5667498286178078e-14,4.7555220109142875e-15,1.5098003424069358e-14
China,Activity,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",1.6230481445098676e-13,7.197816833399099e-14,7.282376681408753e-14,2.0502564719574132e-14,5.638873441213589e-14
China,Activity,Mining of coal and lignite; extraction of peat (10),8.692710550223042e-13,9.211734269366315e-13,4.764817452861725e-13,1.479335738808974e-13,2.97407550025852e-13
China,Activity,Mining of copper ores and concentrates,1.6399192606582904e-12,4.181719601348691e-12,2.0297955696028157e-12,6.001437676718746e-13,5.669325944086888e-13
China,Activity,Mining of iron ores,3.227076421129267e-13,9.842740018532256e-13,4.92990248952931e-13,1.5055044846236187e-13,1.168753903334302e-13
China,Activity,"Mining of lead, zinc and tin ores and concentrates",1.2987263784051535e-13,6.061697649848256e-14,4.2303877547319985e-14,1.1079054684027203e-14,4.31110008640263e-14
China,Activity,Mining of nickel ores and concentrates,4.2757315914547805e-13,2.7245836242065473e-13,7.579849418611185e-13,1.267989839069315e-13,1.44883475104203e-13
China,Activity,Mining of other non-ferrous metal ores and concentrates,1.775073562898629e-13,1.3539886936353218e-13,3.502527683199802e-13,5.933338145945717e-14,6.049127986177148e-14
China,Activity,Mining of precious metal ores and concentrates,7.643127707086659e-11,5.645034829681799e-12,2.759492919168434e-12,8.231905006450688e-13,2.4879812565731746e-11
China,Activity,Mining of uranium and thorium ores (12),4.722179251835113e-13,6.353552114552098e-13,3.110401756112648e-13,1.0398900917558678e-13,1.6539718177182586e-13
China,Activity,N-fertiliser,8.475027088399193e-16,3.2871473715352317e-16,1.9863721760271074e-16,3.05898701449939e-16,2.8856725721642617e-16
China,Activity,Other business activities (74),2.618215201826724e-12,1.7907976998785455e-12,8.864389962907722e-13,2.7698492108709675e-13,8.768091957049388e-13
China,Activity,Other land transport,3.1563397394722325e-12,1.2220973246350717e-12,6.647488120175228e-13,2.0926466725172005e-13,1.0617824237439767e-12
China,Activity,Other non-ferrous metal production,3.510712047250442e-14,3.103834869554246e-14,9.16261417560097e-14,1.517422071161058e-14,1.2112376115874891e-14
China,Activity,Other service activities (93),9.27346554907897e-13,1.023462773279623e-13,6.095062966939584e-14,1.810507521045005e-14,3.058897981565571e-13
