Region,,,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK
Level,,,Activity,Activity,Activity,Activity,Activity
Item,,,Production of photovoltaic plants,Production of onshore wind plants,Production of offshore wind plants,Production of electricity by wind,Production of electricity by solar photovoltaic
Region,Level,Item,,,,,
China,Activity,Activities auxiliary to financial intermediation (67),9.986441554418337e-13,5.475212793139941e-13,2.8545863449959655e-13,2.0905845688504355e-14,1.2696344963085029e-14
China,Activity,Activities of membership organisation n.e.c. (91),9.894704486520056e-15,1.9577112384531773e-15,1.0726857001509226e-15,9.069124874364126e-17,5.466270914377816e-17
China,Activity,Air transport (62),7.6418061062283e-12,3.93967707092691e-12,2.168595856594201e-12,2.322173613818909e-13,1.51984377836757e-13
China,Activity,Aluminium production,6.19829689295408e-12,4.915087970664052e-12,2.3943894730391025e-12,1.1287325498869826e-13,6.730886344372698e-14
China,Activity,Animal products nec,2.0408947278022048e-13,7.548499240935797e-14,4.756302466783948e-14,6.592627962509813e-15,4.30258818041212e-15
China,Activity,"Biogasification of food waste, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Biogasification of paper, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Biogasification of sewage slugde, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,Casting of metals,9.560899382738329e-13,4.015111807487023e-12,1.8250302930846175e-12,5.782913373834304e-14,3.444056076689687e-14
China,Activity,Cattle farming,1.800800056694358e-12,7.447367937498351e-13,4.4027395121050033e-13,4.7504797224797496e-14,3.10409756682476e-14
China,Activity,Chemicals nec,1.5370473703308115e-11,3.398149226722469e-12,2.031642559968895e-12,2.804599105401617e-13,1.5450961626333064e-13
China,Activity,"Collection, purification and distribution of water (41)",1.5345755038916592e-13,4.3233851374907777e-14,2.3562477943556136e-14,1.6229167848552915e-15,9.923968347371714e-16
China,Activity,"Composting of food waste, incl. land application",6.400726867936251e-14,1.9837940725651847e-14,1.0550833651917574e-14,9.792146578664095e-16,6.0854087239144245e-16
China,Activity,"Composting of paper and wood, incl. land application",5.760615607420952e-15,1.7375080181628637e-15,9.201988032689476e-16,7.791802362872026e-17,4.9778045529160813e-17
China,Activity,Computer and related activities (72),5.820712827901076e-13,4.616739101110401e-13,2.600110746051017e-13,2.0310205595550078e-14,1.346359791315758e-14
China,Activity,Construction (45),1.1453593257503229e-11,3.5025046625965123e-12,2.7143948391438422e-12,9.347121295703122e-13,1.078616465597255e-12
China,Activity,Copper production,7.092747629579597e-13,4.1651782807668355e-12,1.8959090361107182e-12,6.331698845317831e-14,3.830202589984555e-14
China,Activity,Cultivation of cereal grains nec,3.268451666549973e-11,8.449683902054982e-12,4.824323229761478e-12,4.0275561117022607e-13,2.811609369919782e-13
China,Activity,Cultivation of crops nec,2.821077513578533e-11,9.212425896379116e-12,5.18691538906804e-12,4.5418771544544743e-13,2.871837870043759e-13
China,Activity,Cultivation of oil seeds,3.536642558918985e-13,2.4387029150058746e-13,1.2933958508422808e-13,1.063596811664274e-14,6.672406106987612e-15
China,Activity,Cultivation of paddy rice,1.8895785741630143e-11,7.020244360100314e-12,3.764737861519687e-12,3.376197382669509e-13,2.0081005985745424e-13
China,Activity,Cultivation of plant-based fibers,1.479793363601785e-11,9.827754244791392e-12,5.7816178418672435e-12,6.00071060388586e-13,3.8922262176275343e-13
China,Activity,"Cultivation of sugar cane, sugar beet",7.283546245515712e-12,3.082828515331233e-12,1.6516445145236035e-12,1.2000275444174248e-13,7.874749847272321e-14
China,Activity,"Cultivation of vegetables, fruit, nuts",1.8566493049002257e-10,6.209269659386118e-11,3.524797066669344e-11,3.1134318821237342e-12,2.121519542782614e-12
China,Activity,Cultivation of wheat,1.0887473935536564e-11,4.690833718243657e-12,2.6101792254411406e-12,2.463409417604947e-13,1.5579305492171066e-13
China,Activity,Distribution and trade of electricity,4.084687543406658e-15,1.4321393709697358e-15,7.92888051043006e-16,4.212634046261784e-17,2.5994295398533828e-17
China,Activity,Education (80),1.8007326123036932e-13,7.357228001000126e-14,3.840613420755641e-14,3.151364400402805e-15,1.849278633443954e-15
China,Activity,Extra-territorial organizations and bodies,0.0,0.0,0.0,0.0,0.0
China,Activity,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",3.2173543852588918e-12,1.4377362068006114e-12,7.878668411295709e-13,6.273687108216195e-14,3.626040956666367e-14
China,Activity,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",6.927084498418259e-14,5.440574648623277e-14,2.911384674058173e-14,2.5763883539895023e-15,1.4562431634932713e-15
China,Activity,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",0.0,0.0,0.0,0.0,0.0
China,Activity,"Financial intermediation, except insurance and pension funding (65)",4.781564380264403e-12,1.9085635770977015e-12,9.738947708405317e-13,6.245495713366429e-14,3.82744924489603e-14
China,Activity,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",9.06950117261302e-12,6.566697971384671e-12,3.4103038371820067e-12,2.440442960710906e-13,1.5636349578235394e-13
China,Activity,"Forestry, logging and related service activities (02)",1.1244399963681634e-11,4.743628928865992e-12,2.6719784923898253e-12,2.746406320570768e-13,1.6598781256649217e-13
China,Activity,Health and social work (85),1.500893475206941e-12,6.812412604351314e-13,3.266859346217225e-13,1.4352334559725463e-14,8.472786921965252e-15
China,Activity,Hotels and restaurants (55),1.8972568421917028e-10,1.0921215777237593e-10,6.086110181136118e-11,5.0531923543696575e-12,3.6031083851258695e-12
China,Activity,Incineration of waste: Food,2.8817286940050537e-13,6.28718275976841e-14,3.4418982586950247e-14,2.8322662037439868e-15,1.7090289375446449e-15
China,Activity,Incineration of waste: Metals and Inert materials,2.6440958035050633e-14,1.513542734543933e-14,8.263975597801183e-15,9.574800536496617e-16,5.848053597629959e-16
China,Activity,Incineration of waste: Oil/Hazardous waste,6.011059694745651e-14,1.8665507123954735e-14,1.0180457019591378e-14,9.981720590378644e-16,6.154755430372714e-16
China,Activity,Incineration of waste: Paper,3.0091273373286206e-13,6.709122356595802e-14,3.6751515385150514e-14,2.8902082112634866e-15,1.808213329566413e-15
China,Activity,Incineration of waste: Plastic,4.874808394145903e-14,1.3987968849920037e-14,7.588558733374135e-15,6.9826040653419045e-16,4.3531908226390415e-16
China,Activity,Incineration of waste: Textiles,5.2609714950903945e-14,1.2760013467707389e-14,7.010658137012059e-15,5.778299270186299e-16,3.607108496706543e-16
China,Activity,Incineration of waste: Wood,6.545931172574948e-14,1.5869822333915708e-14,8.69046507186877e-15,7.237248455095385e-16,4.514896692424617e-16
China,Activity,Inland water transport,2.8593679886215946e-13,1.7634952598254323e-13,9.174147625805678e-14,5.972923945544431e-15,3.930696636532721e-15
China,Activity,"Insurance and pension funding, except compulsory social security (66)",1.1770111399539406e-12,6.092982675416274e-13,3.1505098345618154e-13,2.4998375080478245e-14,1.7535193787867702e-14
China,Activity,Landfill of waste: Food,8.589421525291082e-13,1.6806009999774403e-13,9.262465338456399e-14,7.223805577562336e-15,4.615336548594074e-15
China,Activity,Landfill of waste: Inert/metal/hazardous,3.543773741516252e-13,8.121359225503905e-14,4.411365298083385e-14,3.434928303479438e-15,2.1685778682600125e-15
China,Activity,Landfill of waste: Paper,3.764624331168423e-13,8.029347510651785e-14,4.4108843227123285e-14,3.491539206992075e-15,2.2169897694648117e-15
China,Activity,Landfill of waste: Plastic,3.141137696671685e-13,6.434546755215654e-14,3.526042530491503e-14,2.6682394363157366e-15,1.684676460844927e-15
China,Activity,Landfill of waste: Textiles,1.2611581328902338e-13,2.6330386345148232e-14,1.446225139946313e-14,1.1128362555483335e-15,7.041388064477426e-16
China,Activity,Landfill of waste: Wood,1.5385081772192569e-13,3.3207877127637116e-14,1.8183604930270403e-14,1.4109102327704298e-15,8.849625655914787e-16
China,Activity,"Lead, zinc and tin production",1.3314041696019776e-13,1.602783420444014e-13,7.948070057087051e-14,5.251495599707936e-15,3.714256225252758e-15
China,Activity,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,1.4476729282276992e-11,4.953578441535267e-11,2.3985635601134847e-11,1.015988768303068e-12,6.046598151354831e-13
China,Activity,Manufacture of beverages,2.1696991296008863e-13,1.6482567591244218e-13,8.618747488499414e-14,6.3574635617751626e-15,4.320554266052635e-15
China,Activity,"Manufacture of bricks, tiles and construction products, in baked clay",1.4061283183202374e-14,7.366740268108246e-15,6.216523638128886e-15,1.458050781716443e-15,1.0469507430929686e-15
China,Activity,"Manufacture of cement, lime and plaster",7.277508282251833e-14,2.7433243266798516e-14,3.483582311680972e-14,1.0549074094001165e-14,8.698800645400857e-15
China,Activity,Manufacture of ceramic goods,4.0356314591574256e-13,8.675330469500357e-13,4.846118319989681e-13,6.300703655564322e-14,4.7966192387808307e-14
China,Activity,Manufacture of coke oven products,1.2861758299289858e-12,2.091563047369129e-12,1.0436381654203474e-12,4.671304210857038e-14,2.7853921330285188e-14
China,Activity,Manufacture of electrical machinery and apparatus n.e.c. (31),1.1292032593337389e-11,1.3628311123155235e-10,5.918114667990315e-11,1.2283412262820428e-12,7.148365783504352e-13
China,Activity,"Manufacture of fabricated metal products, except machinery and equipment (28)",1.3131928523462712e-11,1.7973453990948037e-11,9.723774138803103e-12,6.432635657626059e-13,3.7211680117238317e-13
China,Activity,Manufacture of fish products,8.299071098061838e-13,6.245811928028601e-13,3.2161049424785046e-13,2.1742107267669795e-14,1.4109796074315552e-14
China,Activity,Manufacture of furniture; manufacturing n.e.c. (36),1.1752193878595323e-11,1.073914324034073e-11,5.533029648691201e-12,4.3772635095476874e-13,2.158756992626645e-13
China,Activity,Manufacture of gas; distribution of gaseous fuels through mains,5.00745587679015e-13,2.4929756521739036e-13,1.3241287386476598e-13,6.610451050040171e-15,4.053350894551003e-15
China,Activity,Manufacture of glass and glass products,8.923554410139645e-11,2.910239893989645e-12,1.5977177742483936e-12,8.670424466781655e-14,5.6406376057366115e-14
China,Activity,Manufacture of machinery and equipment n.e.c. (29),2.1590740913804e-11,2.296412630016246e-11,1.228974011075032e-11,8.059045548106389e-13,4.656654809166332e-13
China,Activity,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",1.5075584811754843e-12,3.2180819803527515e-12,1.7289929364636396e-12,2.8588400876261693e-13,1.851479815480794e-13
China,Activity,"Manufacture of motor vehicles, trailers and semi-trailers (34)",1.4123775079785432e-11,2.6414852520709953e-12,1.599626976164316e-12,1.4489699842526993e-13,1.0771794595673731e-13
China,Activity,Manufacture of office machinery and computers (30),2.416729940967031e-12,3.0254872793977707e-12,1.8183721709757919e-12,2.9206994131154795e-13,1.9091359840305068e-13
China,Activity,Manufacture of other non-metallic mineral products n.e.c.,3.6396750472118843e-11,2.243535669878911e-12,1.1748895888494977e-12,6.660964449485904e-14,4.405467232255385e-14
China,Activity,Manufacture of other transport equipment (35),3.1997143002476824e-12,1.4638910449234394e-12,8.324837225290462e-13,7.997796056057793e-14,5.409291750993732e-14
China,Activity,"Manufacture of radio, television and communication equipment and apparatus (32)",2.4371930148316042e-12,7.47803852266523e-12,3.9713493590455274e-12,5.431088518804741e-13,3.0958700513838915e-13
China,Activity,Manufacture of rubber and plastic products (25),1.878436453711424e-11,1.6085769081857166e-11,8.482084900070759e-12,6.610646496915308e-13,4.1753315221373473e-13
China,Activity,Manufacture of textiles (17),6.5695783269092e-12,4.770710016046127e-12,2.6734614687501087e-12,2.5749190023267704e-13,1.6232247501439809e-13
China,Activity,Manufacture of tobacco products (16),3.026788330289569e-14,1.3454326866464126e-14,7.097757388345487e-15,3.1009775510652764e-16,1.8422996991229202e-16
China,Activity,Manufacture of wearing apparel; dressing and dyeing of fur (18),2.106140436016054e-12,9.601661485377958e-13,5.293665057257619e-13,4.715203973779986e-14,3.098475113471723e-14
China,Activity,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",3.1742465939521724e-13,1.802657216708486e-13,1.7146485171458237e-13,2.595410555450122e-14,1.931737564113226e-14
China,Activity,"Manure treatment (biogas), storage and land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Manure treatment (conventional), storage and land application",0.0,0.0,0.0,0.0,0.0
China,Activity,Meat animals nec,5.1625591688156026e-11,2.66031860022254e-12,2.015648258831696e-12,1.6912671581495375e-13,1.4760317673006657e-13
China,Activity,Mining of aluminium ores and concentrates,1.2952376029489783e-13,9.131736844429567e-14,6.060312042003988e-14,4.359271610339021e-15,2.6069176235587024e-15
China,Activity,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",6.882780142287327e-13,3.525720038401356e-13,2.8777513917183474e-13,2.5780364087266146e-14,1.5612102189858618e-14
China,Activity,Mining of coal and lignite; extraction of peat (10),2.3708379192017112e-11,5.1128959414778435e-12,2.7067141768107083e-12,1.4000270085666637e-13,8.482670685498453e-14
China,Activity,Mining of copper ores and concentrates,4.6500075081203506e-12,1.1713659544269206e-11,5.707479674868254e-12,1.8514356460422113e-13,1.1180922802635461e-13
China,Activity,Mining of iron ores,1.4279995676124576e-12,4.176029300803893e-12,2.052057077441691e-12,8.602619229257087e-14,5.119930243646586e-14
China,Activity,"Mining of lead, zinc and tin ores and concentrates",3.898935693942253e-13,2.0475285564703864e-13,1.3295146078198324e-13,6.386621646910845e-15,4.131775138827457e-15
China,Activity,Mining of nickel ores and concentrates,1.2346317304502116e-12,1.645706371820155e-12,2.559518082892754e-12,4.4474045653491935e-14,2.6506961685998927e-14
China,Activity,Mining of other non-ferrous metal ores and concentrates,5.385122756541577e-13,9.121973179628199e-13,1.0756077562319315e-12,2.3091795645538644e-14,1.3729984251052033e-14
China,Activity,Mining of precious metal ores and concentrates,2.1888358393149717e-10,1.555046769129831e-11,7.631939434856317e-12,2.95938537660475e-13,1.749405184687862e-13
China,Activity,Mining of uranium and thorium ores (12),1.3615563659247711e-12,1.8881781001388487e-12,9.607298894175773e-13,8.21576810844564e-14,4.701342844310808e-14
China,Activity,N-fertiliser,2.397465478285745e-15,9.327832522435634e-16,5.147048242034973e-16,1.5112408563047384e-16,3.06467802191757e-17
China,Activity,Other business activities (74),4.767264895024484e-12,3.544325199211218e-12,1.8182306443090852e-12,1.6199703140715992e-13,1.0185185934911653e-13
China,Activity,Other land transport,1.3710146485674837e-11,6.101216563389514e-12,3.321589192174335e-12,2.799243157516427e-13,2.2453310975610595e-13
China,Activity,Other non-ferrous metal production,4.1851441219550517e-13,8.001476505710186e-13,1.2867060410548028e-12,2.1753556227801982e-14,1.2957037679032509e-14
China,Activity,Other service activities (93),2.6022398837421944e-12,3.8542761138197896e-13,2.2371616059968165e-13,1.6743429288706706e-14,1.2004115922205663e-14
