Region,,,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK
Level,,,Activity,Activity,Activity,Activity,Activity
Item,,,Production of photovoltaic plants,Production of onshore wind plants,Production of offshore wind plants,Production of electricity by wind,Production of electricity by solar photovoltaic
Region,Level,Item,,,,,
China,Activity,Activities auxiliary to financial intermediation (67),8.708132711548324e-13,3.9467319448468805e-13,2.06607975936149e-13,1.291983198508854e-13,4.836060869516967e-13
China,Activity,Activities of membership organisation n.e.c. (91),1.419361062118737e-14,2.7517885992921207e-15,1.5056386584459375e-15,9.482578613624623e-16,7.809518660398537e-15
China,Activity,Air transport (62),6.875397559642858e-12,3.173220518703879e-12,1.7824619851420558e-12,1.15967916952465e-12,3.878188309792122e-12
China,Activity,Aluminium production,1.1118417343284413e-11,7.803671770976586e-12,3.760082347630833e-12,2.317915832319009e-12,6.149707094089976e-12
China,Activity,Animal products nec,4.167999417251792e-13,1.4691810113523414e-13,1.0269338237573096e-13,6.607586366474556e-14,2.3792412679407207e-13
China,Activity,"Biogasification of food waste, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Biogasification of paper, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Biogasification of sewage slugde, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,Casting of metals,1.289644320572723e-12,4.61281268661872e-12,2.068851289682619e-12,1.2878026415830745e-12,7.371589954281745e-13
China,Activity,Cattle farming,5.383567688612538e-13,1.9096146588128032e-13,1.1682271593646246e-13,7.327114218960101e-14,3.0188336675511673e-13
China,Activity,Chemicals nec,2.4747933189449416e-11,5.604141201746973e-12,3.2440641506539414e-12,2.0608031444719258e-12,1.3670776776367843e-11
China,Activity,"Collection, purification and distribution of water (41)",2.5114752135339853e-13,6.775999050902515e-14,3.66108180547852e-14,2.2014816914175076e-14,1.380417129176673e-13
China,Activity,"Composting of food waste, incl. land application",1.755579675258118e-14,3.561183136205789e-15,2.0111029858227387e-15,1.2315422181621299e-15,9.661668375898904e-15
China,Activity,"Composting of paper and wood, incl. land application",6.3588086242156434e-15,1.247856588428704e-15,6.855615749936824e-16,4.1505409384741827e-16,3.491867520669599e-15
China,Activity,Computer and related activities (72),8.358610494438158e-13,4.070126173967831e-13,2.326899433453123e-13,1.4496344588775824e-13,4.707271187660344e-13
China,Activity,Construction (45),1.8858693523530886e-11,5.293049722019184e-12,3.5418772624176243e-12,2.675142425713195e-12,1.1283372097225926e-11
China,Activity,Copper production,1.2007194785788232e-12,5.884484138019111e-12,2.66262488524875e-12,1.6568509455532625e-12,7.043300193423773e-13
China,Activity,Cultivation of cereal grains nec,7.053778067609425e-12,1.6455362674907988e-12,9.51766090440354e-13,5.811342102205774e-13,3.8964036832931706e-12
China,Activity,Cultivation of crops nec,3.278578800266713e-11,9.77228398743327e-12,5.558444881684653e-12,3.446454136714213e-12,1.8167622480056282e-11
China,Activity,Cultivation of oil seeds,1.029383200010405e-11,7.67207763095323e-12,3.996096224154695e-12,2.5052698568894344e-12,5.798156558831636e-12
China,Activity,Cultivation of paddy rice,5.969664500336427e-12,1.8892569163959906e-12,1.0127667203550952e-12,6.375544200713816e-13,3.3014224276326627e-12
China,Activity,Cultivation of plant-based fibers,9.202574024962205e-12,4.551274215851806e-12,2.6990898207405516e-12,1.6707767146196834e-12,5.189532982777444e-12
China,Activity,"Cultivation of sugar cane, sugar beet",3.9306602131241456e-12,1.6151163715950231e-12,8.727828687213027e-13,5.429329413960234e-13,2.186174777998516e-12
China,Activity,"Cultivation of vegetables, fruit, nuts",3.60526898896262e-11,1.2043073964100189e-11,6.884249217805197e-12,4.279346518892981e-12,2.0079973248141305e-11
China,Activity,Cultivation of wheat,4.804447038042175e-12,1.8160413120529458e-12,1.0146112007749315e-12,6.341361145695742e-13,2.676503755725353e-12
China,Activity,Distribution and trade of electricity,4.714449519165841e-15,1.814212195239982e-15,9.840499226932756e-16,5.872166868807736e-16,2.6002693737646033e-15
China,Activity,Education (80),3.8304222246594115e-13,1.5604858820319838e-13,8.11645030120027e-14,5.102066279370883e-14,2.1248051178238456e-13
China,Activity,Extra-territorial organizations and bodies,0.0,0.0,0.0,0.0,0.0
China,Activity,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",1.682606661191197e-11,6.3295561695144675e-12,3.4589544206551204e-12,2.1286909433408605e-12,9.324580550513207e-12
China,Activity,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",0.0,0.0,0.0,0.0,0.0
China,Activity,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",0.0,0.0,0.0,0.0,0.0
China,Activity,"Financial intermediation, except insurance and pension funding (65)",4.119098715251737e-12,1.249485484610474e-12,6.425630220847242e-13,4.000701795670499e-13,2.2685431413861144e-12
China,Activity,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",2.9763290098188673e-11,1.8881152266120743e-11,1.0001439581428525e-11,6.2615214326493315e-12,1.6722355205866763e-11
China,Activity,"Forestry, logging and related service activities (02)",3.875201127478586e-11,1.7772483915012442e-11,9.67288120906453e-12,6.078760090388932e-12,2.1622766024691473e-11
China,Activity,Health and social work (85),1.8343930164275605e-12,6.794882164289969e-13,3.311871911802965e-13,2.032910086845526e-13,1.0070571827585902e-12
China,Activity,Hotels and restaurants (55),1.6064945589252947e-10,8.264755979298679e-11,4.605595176227772e-11,2.8742453911932246e-11,9.047918324900102e-11
China,Activity,Incineration of waste: Food,1.1049752614997647e-13,2.295032924512271e-14,1.2671566289632165e-14,7.761012635787034e-15,6.074216820178194e-14
China,Activity,Incineration of waste: Metals and Inert materials,1.1775062884786228e-14,2.612008786503993e-15,1.5726614019632347e-15,9.758301306025074e-16,6.5175904033065785e-15
China,Activity,Incineration of waste: Oil/Hazardous waste,2.2352399267498998e-14,4.742757888954244e-15,2.671176222513495e-15,1.6419597216152093e-15,1.2311512085049785e-14
China,Activity,Incineration of waste: Paper,1.0602279655804509e-13,1.996014902591251e-14,1.1126423776971075e-14,6.854855462788481e-15,5.827662176183847e-14
China,Activity,Incineration of waste: Plastic,2.0804385419377087e-14,4.727878603510759e-15,2.6395372769210183e-15,1.6579301309885455e-15,1.1479200238248078e-14
China,Activity,Incineration of waste: Textiles,1.8235471085035685e-14,3.701000933823318e-15,2.0872788742375987e-15,1.2829770255857779e-15,1.0035257901201605e-14
China,Activity,Incineration of waste: Wood,2.3565201833713962e-14,4.813027916167876e-15,2.6987781480007204e-15,1.6702062517417113e-15,1.2972563793634534e-14
China,Activity,Inland water transport,2.7064181470383683e-13,1.3330055529831123e-13,7.051459949486759e-14,4.339494873406918e-14,1.5074020914753991e-13
China,Activity,"Insurance and pension funding, except compulsory social security (66)",9.181746128495201e-13,3.8290942440998703e-13,2.0009180125723238e-13,1.2864252934717863e-13,5.125250851037753e-13
China,Activity,Landfill of waste: Food,4.2730417081802347e-13,8.931559409128256e-14,4.885704266019554e-14,2.9858087298333205e-14,2.347935106175063e-13
China,Activity,Landfill of waste: Inert/metal/hazardous,1.3074196034172226e-13,2.530405861539099e-14,1.4053321639268479e-14,8.672190538112003e-15,7.188113444138694e-14
China,Activity,Landfill of waste: Paper,1.6515831023018276e-13,3.312338443782656e-14,1.8126574697405495e-14,1.1093059431944359e-14,9.072552597796708e-14
China,Activity,Landfill of waste: Plastic,1.3797573834239558e-13,2.917284231044727e-14,1.599000788440622e-14,9.768509401127012e-15,7.582623992223135e-14
China,Activity,Landfill of waste: Textiles,5.98291934931608e-14,1.2513926270246126e-14,6.873138404348649e-15,4.20227127814722e-15,3.288086587128154e-14
China,Activity,Landfill of waste: Wood,7.351267216527548e-14,1.5477272578183827e-14,8.489088271514762e-15,5.1977197111929096e-15,4.040539332145075e-14
China,Activity,"Lead, zinc and tin production",2.3815033064457613e-13,3.631130749608251e-13,1.7377333212212032e-13,1.0842487455343762e-13,1.3544413144067696e-13
China,Activity,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,2.3782277273904404e-11,5.7858467550603806e-11,2.7643280661360466e-11,1.705111973509101e-11,1.3643458882154938e-11
China,Activity,Manufacture of beverages,2.0073126465005384e-13,1.3169458353428659e-13,6.928783991136178e-14,4.3448477094845223e-14,1.1303466442534503e-13
China,Activity,"Manufacture of bricks, tiles and construction products, in baked clay",1.893763962499932e-14,1.1406376287420816e-14,7.973433239577248e-15,5.196665766652368e-15,1.1316014093717296e-14
China,Activity,"Manufacture of cement, lime and plaster",8.270039925132717e-14,2.457564771224504e-14,2.46039951790239e-14,1.7175813056808485e-14,5.124988563102679e-14
China,Activity,Manufacture of ceramic goods,8.69140082982641e-13,1.0475106929458054e-12,5.562790854257584e-13,3.6423225842355715e-13,5.201531386547255e-13
China,Activity,Manufacture of coke oven products,1.5917772926798484e-12,1.3828423221340055e-12,6.89126203746598e-13,4.185427789984035e-13,8.849131940907325e-13
China,Activity,Manufacture of electrical machinery and apparatus n.e.c. (31),1.5275470796403594e-11,1.3847858487742326e-10,5.994536855175775e-11,3.7381307098633594e-11,8.959296313400029e-12
China,Activity,"Manufacture of fabricated metal products, except machinery and equipment (28)",1.672654469433358e-11,1.8799652589677182e-11,9.975054649921543e-12,6.1000918365286205e-12,9.488597735564638e-12
China,Activity,Manufacture of fish products,8.279273409939723e-13,5.619492589345072e-13,2.937171589100742e-13,1.8373820790420316e-13,4.651527523773327e-13
China,Activity,Manufacture of furniture; manufacturing n.e.c. (36),1.038075798243289e-11,8.679375760007216e-12,4.41141207524525e-12,2.8077943662018285e-12,5.819775578405137e-12
China,Activity,Manufacture of gas; distribution of gaseous fuels through mains,6.747716465393503e-13,2.911243270688773e-13,1.5638162559604615e-13,9.360587762194985e-14,3.726336975886932e-13
China,Activity,Manufacture of glass and glass products,1.0089603658692489e-10,3.236183406307988e-12,1.7601913459766789e-12,1.0406503029949574e-12,5.495669009606281e-11
China,Activity,Manufacture of machinery and equipment n.e.c. (29),0.0,0.0,0.0,0.0,0.0
China,Activity,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",2.164650474232286e-12,3.695965513377868e-12,2.038983231328826e-12,1.519168826168969e-12,1.4371903514163023e-12
China,Activity,"Manufacture of motor vehicles, trailers and semi-trailers (34)",1.743581291600848e-11,2.91218970644872e-12,1.730115735942964e-12,1.0313691174260207e-12,9.58844804226714e-12
China,Activity,Manufacture of office machinery and computers (30),3.1660203433446317e-12,2.7997523272628622e-12,1.8011506091614383e-12,1.252069545882291e-12,1.9630490717935156e-12
China,Activity,Manufacture of other non-metallic mineral products n.e.c.,3.662123579694794e-11,1.353716822931922e-12,7.284508184391753e-13,4.382295081408361e-13,1.9955318024934956e-11
China,Activity,Manufacture of other transport equipment (35),3.140710691339393e-12,1.16360345172519e-12,6.830517020008094e-13,4.2355403588129923e-13,1.7556952184154448e-12
China,Activity,"Manufacture of radio, television and communication equipment and apparatus (32)",3.908532019929642e-12,9.479192480427493e-12,5.160638789601521e-12,3.5763621993771007e-12,2.5854324946153204e-12
China,Activity,Manufacture of rubber and plastic products (25),2.9451052779441815e-11,2.5950283914839427e-11,1.326318392367116e-11,8.262077083460399e-12,1.6596645593051116e-11
China,Activity,Manufacture of textiles (17),9.764542485676557e-12,5.215289280915416e-12,2.9219913784945725e-12,1.824275049119699e-12,5.4858492716333936e-12
China,Activity,Manufacture of tobacco products (16),2.2412556475658065e-14,7.018064508855861e-15,3.7723359029731505e-15,2.2231695868694424e-15,1.2304698774173092e-14
China,Activity,Manufacture of wearing apparel; dressing and dyeing of fur (18),3.0295762768481735e-12,1.0657688358004984e-12,5.92928562604918e-13,3.6911688947839875e-13,1.6832546211307041e-12
China,Activity,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",2.5932967578568934e-13,1.6349686757862503e-13,1.6225651565990028e-13,9.375499291442112e-14,1.6097543792755842e-13
China,Activity,"Manure treatment (biogas), storage and land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Manure treatment (conventional), storage and land application",0.0,0.0,0.0,0.0,0.0
China,Activity,Meat animals nec,2.9449545081853943e-11,1.5509958121384356e-12,1.1738064230719963e-12,6.408805575139959e-13,1.610175550509414e-11
China,Activity,Mining of aluminium ores and concentrates,5.037528289028051e-13,3.5046260889152747e-13,2.0346638526600648e-13,1.1857701040023516e-13,2.8174118828429914e-13
China,Activity,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",2.1724811112476478e-13,8.839154992452815e-14,6.621100709002338e-14,3.722999229114296e-14,1.221661586222444e-13
China,Activity,Mining of coal and lignite; extraction of peat (10),3.085421894606147e-11,1.6271881728119862e-11,8.108185711782813e-12,4.98163503497176e-12,1.7046081708097732e-11
China,Activity,Mining of copper ores and concentrates,2.9186341702826884e-12,5.318416283458722e-12,2.6735434874292623e-12,1.576509734051781e-12,1.6378361593177443e-12
China,Activity,Mining of iron ores,3.5129373525388843e-13,6.1942449433059e-13,3.133628653323996e-13,1.8888565341800006e-13,1.9957774589833055e-13
China,Activity,"Mining of lead, zinc and tin ores and concentrates",1.764808735504401e-13,8.396980458496128e-14,5.390347268104324e-14,2.889892253666279e-14,9.737340612556179e-14
China,Activity,Mining of nickel ores and concentrates,4.764460870656564e-13,6.473775282627743e-13,6.821580480661243e-13,2.948170572018171e-13,2.685479749920277e-13
China,Activity,Mining of other non-ferrous metal ores and concentrates,2.859312423265404e-12,2.8902892341750063e-12,4.132653920337505e-12,1.6242276214873219e-12,1.6044081592479428e-12
China,Activity,Mining of precious metal ores and concentrates,3.6776537486062145e-11,2.5034604501048316e-12,1.2154096474964706e-12,7.659498248445895e-13,2.0054991762237655e-11
China,Activity,Mining of uranium and thorium ores (12),3.836396665633257e-14,4.701351547836824e-14,2.4145007287109224e-14,1.5691747390658604e-14,2.220265230974188e-14
China,Activity,N-fertiliser,3.642787806835024e-15,1.289441237832886e-15,7.566815812938265e-16,5.451949872915636e-16,2.0387507927781824e-15
China,Activity,Other business activities (74),4.109342395286217e-12,2.4507329591460727e-12,1.2874147022392441e-12,8.599015303445781e-13,2.3245063483475945e-12
China,Activity,Other land transport,1.603588978912358e-11,6.763217755432718e-12,3.651058236560654e-12,2.287928421917504e-12,8.947239855943456e-12
China,Activity,Other non-ferrous metal production,5.91928191594733e-13,9.074984190183693e-13,1.4510081912308356e-12,5.510559911449857e-13,3.3685571082334477e-13
China,Activity,Other service activities (93),0.0,0.0,0.0,0.0,0.0
China,Activity,P- and other fertiliser,6.975010033486205e-13,2.8442472088515966e-13,1.7545113379358336e-13,1.1199916921570432e-13,3.927787108807126e-13
