Region,,,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK
Level,,,Activity,Activity,Activity,Activity,Activity
Item,,,Production of photovoltaic plants,Production of onshore wind plants,Production of offshore wind plants,Production of electricity by wind,Production of electricity by solar photovoltaic
Region,Level,Item,,,,,
China,Activity,Activities auxiliary to financial intermediation (67),1.0972238278113664e-12,5.227985670692497e-13,2.771748342807727e-13,1.2724885196538377e-13,4.892005617075467e-13
China,Activity,Activities of membership organisation n.e.c. (91),1.0966990041611435e-14,1.897669775319015e-15,1.040213772793555e-15,4.7560768860691875e-16,4.7960391143538234e-15
China,Activity,Air transport (62),8.40206325879419e-12,3.810966157058111e-12,2.1115544768690897e-12,1.0277485298563048e-12,3.801224137411356e-12
China,Activity,Aluminium production,6.3496823471107965e-12,4.737795991734845e-12,2.2854229347264778e-12,1.0071711939934637e-12,2.812429549881008e-12
China,Activity,Animal products nec,1.8654542986326743e-13,6.455025591500684e-14,4.069693009823932e-14,2.0528549400808965e-14,8.497185861871341e-14
China,Activity,"Biogasification of food waste, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Biogasification of paper, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Biogasification of sewage slugde, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,Casting of metals,9.298762665040018e-13,3.781119313468645e-12,1.6978674736537862e-12,7.447479200094554e-13,4.350261794056821e-13
China,Activity,Cattle farming,1.4624372682049686e-12,5.175566966086984e-13,3.1777705755072046e-13,1.5278177189349248e-13,6.599559977562622e-13
China,Activity,Chemicals nec,1.5798100127156687e-11,3.2824577579450706e-12,1.9758587770445656e-12,1.0272417673455537e-12,7.0233273196939e-12
China,Activity,"Collection, purification and distribution of water (41)",1.0955929816135906e-13,2.606257632371271e-14,1.4061575256664345e-14,6.3585009233284835e-15,4.8062517088591415e-14
China,Activity,"Composting of food waste, incl. land application",3.6872074675707773e-14,6.793641073562174e-15,3.842568384531194e-15,1.798438657877306e-15,1.619279281548458e-14
China,Activity,"Composting of paper and wood, incl. land application",9.761598137115906e-15,1.5493294085359826e-15,8.547810324196714e-16,3.841421035511645e-16,4.265191868284022e-15
China,Activity,Computer and related activities (72),5.858970268094217e-13,3.61003683771581e-13,2.321342924125878e-13,9.847073708246765e-14,2.667864238677104e-13
China,Activity,Construction (45),2.3340431597197173e-11,4.431824575964844e-12,3.282788434142159e-12,2.113692115927863e-12,1.1349677766434935e-11
China,Activity,Copper production,6.750013509700315e-13,4.288994938171647e-12,1.9238765234828244e-12,8.478192248916362e-13,3.3213317703618014e-13
China,Activity,Cultivation of cereal grains nec,1.990839958238183e-11,4.868730010015135e-12,2.8325339655327395e-12,1.2806462926954405e-12,8.795063029169353e-12
China,Activity,Cultivation of crops nec,2.4047380424704092e-11,6.860875574435698e-12,4.024833566064584e-12,1.836830090627256e-12,1.0654676306494872e-11
China,Activity,Cultivation of oil seeds,3.991297935538285e-13,2.062890508038442e-13,1.1237103669861988e-13,5.3634051943345824e-14,1.802886750231603e-13
China,Activity,Cultivation of paddy rice,1.4767460276544107e-11,6.229016505356022e-12,3.3644832004334653e-12,1.6070674304076004e-12,6.60578496308173e-12
China,Activity,Cultivation of plant-based fibers,1.3702424671378556e-11,9.179651974524666e-12,5.377864123496813e-12,2.5202944256625495e-12,6.334888001866419e-12
China,Activity,"Cultivation of sugar cane, sugar beet",4.9269661712055725e-12,2.072786446406825e-12,1.120458142257624e-12,5.1237254723729e-13,2.1945966635909887e-12
China,Activity,"Cultivation of vegetables, fruit, nuts",1.3690290681017248e-10,4.538561188487784e-11,2.6392526290481594e-11,1.2213217450910687e-11,6.106767042498688e-11
China,Activity,Cultivation of wheat,8.907669462165974e-12,3.869069150797331e-12,2.162689181316458e-12,1.018916383313686e-12,4.005551631924592e-12
China,Activity,Distribution and trade of electricity,3.660857922559616e-15,1.1342589015219324e-15,6.287132405143171e-16,2.6498802605592804e-16,1.6041133593649927e-15
China,Activity,Education (80),1.9735646049819508e-13,6.945686220945711e-14,3.63489576535276e-14,1.6874948322355946e-14,8.720696055327896e-14
China,Activity,Extra-territorial organizations and bodies,0.0,0.0,0.0,0.0,0.0
China,Activity,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",2.8623674586225357e-12,1.0696002471654727e-12,6.025422581172604e-13,2.724207786372402e-13,1.2725570113517245e-12
China,Activity,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",6.253003504806625e-14,5.391920804879948e-14,2.8600029263353054e-14,1.3253296599588532e-14,2.8596818628847505e-14
China,Activity,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",0.0,0.0,0.0,0.0,0.0
China,Activity,"Financial intermediation, except insurance and pension funding (65)",5.175203990354079e-12,1.7697997972286841e-12,9.075901053966314e-13,4.1143587366304884e-13,2.2789667808244195e-12
China,Activity,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",7.721425509653932e-12,5.7588185983114314e-12,2.9610922212075255e-12,1.3517814984036755e-12,3.4854480274669857e-12
China,Activity,"Forestry, logging and related service activities (02)",1.0494680209056776e-11,4.407349609399378e-12,2.4792786546086044e-12,1.1874939157703303e-12,4.717359684302665e-12
China,Activity,Health and social work (85),1.7391451024213737e-12,7.119489297346285e-13,3.416716180394142e-13,1.4991930254454048e-13,7.608745905771631e-13
China,Activity,Hotels and restaurants (55),1.911306692058391e-10,9.535980472925518e-11,5.521754503526699e-11,2.506326290563242e-11,8.625812605152372e-11
China,Activity,Incineration of waste: Food,3.631544136279595e-13,4.6527380834781025e-14,2.5818935417493546e-14,1.1431433655328786e-14,1.5814037319365846e-13
China,Activity,Incineration of waste: Metals and Inert materials,3.945876326391199e-14,6.2979578433966e-15,3.88537949743502e-15,1.862026370502529e-15,1.7366335201263152e-14
China,Activity,Incineration of waste: Oil/Hazardous waste,7.731951549845879e-14,1.1492005892946948e-14,6.5153776276623955e-15,2.948598601635768e-15,3.3787185220627794e-14
China,Activity,Incineration of waste: Paper,3.5831298465724213e-13,4.685683473672576e-14,2.586285089147512e-14,1.1524736540018266e-14,1.560932518894132e-13
China,Activity,Incineration of waste: Plastic,6.555066976065917e-14,9.908927304885546e-15,5.508708872818499e-15,2.509542488228483e-15,2.86345923268804e-14
China,Activity,Incineration of waste: Textiles,7.722128914418271e-14,1.0707088432010805e-14,6.028376470676464e-15,2.6610913509330483e-15,3.366153288662435e-14
China,Activity,Incineration of waste: Wood,8.693057919197448e-14,1.2293578199876472e-14,6.819503068338167e-15,3.061217503455544e-15,3.792172529985774e-14
China,Activity,Inland water transport,2.766765344149067e-13,1.3522942184903546e-13,7.11377630090973e-14,3.223098433345381e-14,1.2357391706525012e-13
China,Activity,"Insurance and pension funding, except compulsory social security (66)",1.2677334087455844e-12,5.714971196040305e-13,2.9642884750008083e-13,1.3923372406536404e-13,5.677760492532e-13
China,Activity,Landfill of waste: Food,1.4955128195349522e-12,1.8415882035715924e-13,1.0128215872331389e-13,4.457336694403545e-14,6.50788375445125e-13
China,Activity,Landfill of waste: Inert/metal/hazardous,4.3843637114614844e-13,5.3604748443869417e-14,2.9758174107847445e-14,1.3100329290941447e-14,1.9084901103049882e-13
China,Activity,Landfill of waste: Paper,5.928584673022935e-13,6.979662762153682e-14,3.8619341134478497e-14,1.7013670400298792e-14,2.579525378098236e-13
China,Activity,Landfill of waste: Plastic,5.475348812732273e-13,6.279950674916863e-14,3.4973820118673074e-14,1.5318467014755173e-14,2.382292206946636e-13
China,Activity,Landfill of waste: Textiles,2.109828020183559e-13,2.643699800500894e-14,1.4514051032783884e-14,6.402909496826702e-15,9.183124693293479e-14
China,Activity,Landfill of waste: Wood,2.4576651069092675e-13,2.9373409014554986e-14,1.6165423954863234e-14,7.088843648009771e-15,1.0691769374321819e-13
China,Activity,"Lead, zinc and tin production",1.7850617036187974e-13,2.622903649216149e-13,1.2785961549137365e-13,5.736912726029866e-14,8.244132531693844e-14
China,Activity,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,1.2455897172281667e-11,4.376157535328825e-11,2.057913686747751e-11,9.042358072527861e-12,5.9299737291700325e-12
China,Activity,Manufacture of beverages,2.424211331567547e-13,1.6153139597315015e-13,8.631945505990132e-14,3.9398290027989675e-14,1.09743392425269e-13
China,Activity,"Manufacture of bricks, tiles and construction products, in baked clay",1.581934619429407e-14,6.4262822012453096e-15,5.186393041013144e-15,2.9302934744367015e-15,7.902192050242925e-15
China,Activity,"Manufacture of cement, lime and plaster",8.789179476714934e-14,2.4474739358874662e-14,2.8814918319407866e-14,1.6712167472618843e-14,4.591972098717781e-14
China,Activity,Manufacture of ceramic goods,4.57666789656326e-13,8.947644808533327e-13,4.729784062421719e-13,2.316584071475892e-13,2.426153827516096e-13
China,Activity,Manufacture of coke oven products,1.1195286893998596e-12,1.3644424620053718e-12,6.974253967955019e-13,2.9892028381641506e-13,5.050226697688429e-13
China,Activity,Manufacture of electrical machinery and apparatus n.e.c. (31),1.2273164717145882e-11,1.3633989812379256e-10,5.913312481642865e-11,2.5804473271858402e-11,6.0556842717731066e-12
China,Activity,"Manufacture of fabricated metal products, except machinery and equipment (28)",1.4930104707795078e-11,1.7377253215243882e-11,9.275668272626672e-12,4.102579322736722e-12,6.851138824398564e-12
China,Activity,Manufacture of fish products,6.227662131423736e-13,5.123305987938133e-13,2.5788904478595524e-13,1.1681413657666e-13,2.8077388646236977e-13
China,Activity,Manufacture of furniture; manufacturing n.e.c. (36),1.260587214751531e-11,1.3859741740884834e-11,7.022240291173803e-12,3.1957271616967056e-12,5.727149687201566e-12
China,Activity,Manufacture of gas; distribution of gaseous fuels through mains,4.3267783161396516e-13,1.7364412858474232e-13,8.448701322848064e-14,3.736942929539793e-14,1.8976744203921931e-13
China,Activity,Manufacture of glass and glass products,9.28315239805959e-11,2.9758310191262596e-12,1.6170968626217267e-12,6.923986612098915e-13,4.0150515698899354e-11
China,Activity,Manufacture of machinery and equipment n.e.c. (29),2.2387080353367258e-11,2.111501392240388e-11,1.1417231241317824e-11,5.0326386784036405e-12,1.0181001489034363e-11
China,Activity,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",1.4331830904417014e-12,3.0475921385923077e-12,1.6570710110079761e-12,9.643675989312333e-13,8.672247648431997e-13
China,Activity,"Manufacture of motor vehicles, trailers and semi-trailers (34)",1.50185291975947e-11,2.352428240034725e-12,1.473123215098663e-12,6.579939577777541e-13,6.605192574971701e-12
China,Activity,Manufacture of office machinery and computers (30),2.7693497299406455e-12,3.0918938342594774e-12,1.877454647344987e-12,9.952158499709516e-13,1.4307288631466857e-12
China,Activity,Manufacture of other non-metallic mineral products n.e.c.,3.6827148895396975e-11,1.8946207024376692e-12,9.949539243796115e-13,4.340463966678742e-13,1.594545271488997e-11
China,Activity,Manufacture of other transport equipment (35),2.0344286397755624e-12,1.2597937330074653e-12,7.131456679945781e-13,3.4136547126267173e-13,9.391695966495854e-13
China,Activity,"Manufacture of radio, television and communication equipment and apparatus (32)",2.3450050789332675e-12,8.30320632381527e-12,4.269160955607993e-12,2.1549157214193127e-12,1.3391931181546859e-12
China,Activity,Manufacture of rubber and plastic products (25),1.955616225691733e-11,1.4769617809871687e-11,7.813178088110414e-12,3.6222364065770064e-12,8.91807285960713e-12
China,Activity,Manufacture of textiles (17),6.626725670386529e-12,4.722111480730504e-12,2.6328819766774883e-12,1.2383263665389587e-12,3.0493994158241977e-12
China,Activity,Manufacture of tobacco products (16),3.286733032137254e-14,9.520819067089019e-15,5.63092771833858e-15,2.235005650321849e-15,1.4343866854433305e-14
China,Activity,Manufacture of wearing apparel; dressing and dyeing of fur (18),2.2808809062895e-12,8.85846433626873e-13,4.889169279306813e-13,2.2936978143630177e-13,1.020018144454691e-12
China,Activity,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",3.046644620418201e-13,1.833808926514192e-13,1.6834850121144332e-13,7.52182180290328e-14,1.516330649484536e-13
China,Activity,"Manure treatment (biogas), storage and land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Manure treatment (conventional), storage and land application",0.0,0.0,0.0,0.0,0.0
China,Activity,Meat animals nec,4.7863937933010114e-11,2.1077471160797563e-12,1.7198965141998998e-12,6.892631946319019e-13,2.0846770035651152e-11
China,Activity,Mining of aluminium ores and concentrates,1.1915484804029445e-13,5.752878597951512e-14,3.717414309549472e-14,1.6141893011522444e-14,5.371536190619344e-14
China,Activity,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",3.9827427761840537e-13,2.589093083290641e-13,2.2289526278891187e-13,8.721750263525158e-14,1.8552902145338907e-13
China,Activity,Mining of coal and lignite; extraction of peat (10),1.3283013144344609e-11,4.956537409505263e-12,2.4718541350495984e-12,1.0726759997689484e-12,5.814387891119249e-12
China,Activity,Mining of copper ores and concentrates,3.962229646660571e-12,1.1266627585544756e-11,5.084867546110556e-12,2.2365055524147385e-12,1.8200413515718612e-12
China,Activity,Mining of iron ores,6.423895307329552e-13,2.1638264804344818e-12,1.0242882217014253e-12,4.48991614477011e-13,3.0506482017975217e-13
China,Activity,"Mining of lead, zinc and tin ores and concentrates",3.525782189311039e-13,2.034836005887245e-13,1.0262654659362599e-13,4.517875634557128e-14,1.5629867167289946e-13
China,Activity,Mining of nickel ores and concentrates,1.1007468255243044e-12,1.481567582654031e-12,2.912404336142184e-12,7.413902183320442e-13,5.047149392850243e-13
China,Activity,Mining of other non-ferrous metal ores and concentrates,4.037012764683151e-13,3.903698199090973e-13,1.867590765362108e-13,8.278273583086902e-14,1.80152034842356e-13
China,Activity,Mining of precious metal ores and concentrates,2.0333418157651287e-10,1.3583123446823804e-11,6.285249819230008e-12,2.7956490917757022e-12,8.79808173809991e-11
China,Activity,Mining of uranium and thorium ores (12),1.2646962182425191e-12,1.6594061046526765e-12,8.441918841515376e-13,4.0024799307425724e-13,5.942237193924104e-13
China,Activity,N-fertiliser,5.24591409965575e-15,2.0836052188915972e-15,1.1957521819520672e-15,7.316419417433104e-16,2.3395453410656513e-15
China,Activity,Other business activities (74),5.428781117376451e-12,3.5748157884751465e-12,1.825950451283397e-12,8.986936492052641e-13,2.4648369649911975e-12
China,Activity,Other land transport,1.797896282127294e-11,6.9377856086507214e-12,3.8026162594088706e-12,1.7434861306996166e-12,8.063645550137997e-12
China,Activity,Other non-ferrous metal production,3.6667229810251715e-13,6.267770698984336e-13,1.2656972395861713e-12,3.201309232956357e-13,1.7084201201838722e-13
China,Activity,Other service activities (93),2.965573720502788e-12,3.9084320691028194e-13,2.3143614265958897e-13,1.0110529551012534e-13,1.2962446286280146e-12
