Region,,,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK
Level,,,Activity,Activity,Activity,Activity,Activity
Item,,,Production of photovoltaic plants,Production of onshore wind plants,Production of offshore wind plants,Production of electricity by wind,Production of electricity by solar photovoltaic
Region,Level,Item,,,,,
China,Activity,Activities auxiliary to financial intermediation (67),1.012047440436804e-11,4.7093751937303445e-12,2.459485731621955e-12,1.5450209247060227e-12,5.697183892451556e-12
China,Activity,Activities of membership organisation n.e.c. (91),2.8414178164724063e-14,5.5324381665884416e-15,3.0123759992995777e-15,1.8986257297092454e-15,1.5849365217611036e-14
China,Activity,Air transport (62),1.129669740365996e-11,5.337909050939485e-12,2.97702364642793e-12,1.9335785860908053e-12,6.451013300972463e-12
China,Activity,Aluminium production,4.537806197429162e-12,3.194213961999804e-12,1.5495642542384318e-12,9.63769411857653e-13,2.546715570763543e-12
China,Activity,Animal products nec,4.104418320143798e-12,1.5630545738257906e-12,9.826924952808037e-13,6.174350512474536e-13,2.35000125363543e-12
China,Activity,"Biogasification of food waste, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Biogasification of paper, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Biogasification of sewage slugde, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,Casting of metals,5.915779501953427e-13,2.064778372152725e-12,9.252611140809074e-13,5.830465786804105e-13,3.4113719405050536e-13
China,Activity,Cattle farming,2.7509458513606375e-12,1.028923868643445e-12,6.096660991657213e-13,3.786423535899959e-13,1.560600167656393e-12
China,Activity,Chemicals nec,6.8352012308251e-11,1.6044086210327163e-11,9.263965079299048e-12,5.787967802969047e-12,3.8253108512374465e-11
China,Activity,"Collection, purification and distribution of water (41)",8.800278529929523e-13,2.6566319629505463e-13,1.4107377555045637e-13,8.5857342936558e-14,4.91090421815173e-13
China,Activity,"Composting of food waste, incl. land application",4.871178827940217e-14,7.010941827980811e-15,4.1171969848993544e-15,2.5123985689335447e-15,2.713786128592147e-14
China,Activity,"Composting of paper and wood, incl. land application",1.6560371238465596e-14,2.0871535060213786e-15,1.2261429558359509e-15,7.304530421785876e-16,9.209794798336753e-15
China,Activity,Computer and related activities (72),1.744925413766175e-12,8.615492352271348e-13,4.975888612028019e-13,3.148853421874653e-13,9.987137354119138e-13
China,Activity,Construction (45),3.4085875038182858e-12,9.341575439098483e-13,6.233373321135589e-13,4.851157854105877e-13,2.0556799669376277e-12
China,Activity,Copper production,5.182418716546535e-13,2.626713227868703e-12,1.1873701974342953e-12,7.477038733702504e-13,3.0673321905209373e-13
China,Activity,Cultivation of cereal grains nec,4.149087901017742e-11,1.0807195946055127e-11,6.127464522434697e-12,3.752847311974044e-12,2.3269801573807674e-11
China,Activity,Cultivation of crops nec,2.0064379395429095e-10,6.135868168651655e-11,3.453392198633646e-11,2.13473819169411e-11,1.1263778221743927e-10
China,Activity,Cultivation of oil seeds,8.139154008055314e-11,5.0493920134766895e-11,2.65452545512778e-11,1.655433239220874e-11,4.610319156102213e-11
China,Activity,Cultivation of paddy rice,3.846335997147271e-11,1.2956582633399578e-11,6.848698201084494e-12,4.3003923648877624e-12,2.1560371604124522e-11
China,Activity,Cultivation of plant-based fibers,3.6459710375263044e-11,1.9381406421769096e-11,1.1598946196134367e-11,7.1928292595726815e-12,2.0869382673032055e-11
China,Activity,"Cultivation of sugar cane, sugar beet",2.910445978739303e-11,1.0761729697066433e-11,5.786250528421908e-12,3.6030172464023392e-12,1.6366438754436107e-11
China,Activity,"Cultivation of vegetables, fruit, nuts",2.454832024415239e-10,8.356121364747857e-11,4.6914160846680465e-11,2.9136723060840624e-11,1.3846640614445207e-10
China,Activity,Cultivation of wheat,2.8390847466244998e-11,1.1114845240365963e-11,6.218793332844999e-12,3.87892710295141e-12,1.6026113896933516e-11
China,Activity,Distribution and trade of electricity,1.8994844502168445e-14,7.2838617316943e-15,3.941327389090861e-15,2.3693218092807585e-15,1.0623069591972098e-14
China,Activity,Education (80),3.023845322897627e-13,1.1218923836205297e-13,5.92154379848296e-14,3.7522484147098995e-14,1.6993734698719017e-13
China,Activity,Extra-territorial organizations and bodies,0.0,0.0,0.0,0.0,0.0
China,Activity,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",3.4510807062765695e-11,1.3088060614039036e-11,7.156682364976731e-12,4.411675396137795e-12,1.9377948420510373e-11
China,Activity,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",1.1103937033367644e-12,8.357891259161488e-13,4.4418053884686227e-13,2.8068380388906916e-13,6.329850125643823e-13
China,Activity,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",0.0,0.0,0.0,0.0,0.0
China,Activity,"Financial intermediation, except insurance and pension funding (65)",4.30386562445493e-11,1.3844666075553035e-11,7.102744801242658e-12,4.451214977606635e-12,2.406132441706192e-11
China,Activity,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",2.021414355878376e-10,1.3041419458668994e-10,6.799089341815587e-11,4.272933696572349e-11,1.1498499517816396e-10
China,Activity,"Forestry, logging and related service activities (02)",2.377890171328816e-10,1.0954531988614844e-10,5.864220170297894e-11,3.6856008028562416e-11,1.3411985156814882e-10
China,Activity,Health and social work (85),2.061982608044882e-12,7.441778499885099e-13,3.6736321167270044e-13,2.2629809447821064e-13,1.1487453820046477e-12
China,Activity,Hotels and restaurants (55),3.349653455888346e-10,1.7269151032985503e-10,9.488365197230567e-11,5.936419859516889e-11,1.9132906508763288e-10
China,Activity,Incineration of waste: Food,2.665504390122945e-13,4.908282826788379e-14,2.7515382653100626e-14,1.7021107738172057e-14,1.486372608010236e-13
China,Activity,Incineration of waste: Metals and Inert materials,2.934265900599776e-14,6.137209580684423e-15,3.970058282149078e-15,3.444928900432004e-15,1.6530287705240992e-14
China,Activity,Incineration of waste: Oil/Hazardous waste,5.458781975613011e-14,1.060182855738472e-14,6.1003712858140665e-15,3.770570582749983e-15,3.0487082865647944e-14
China,Activity,Incineration of waste: Paper,2.5879269255883997e-13,4.4475786569519296e-14,2.5044431029172294e-14,1.5313063965414584e-14,1.4416902682685047e-13
China,Activity,Incineration of waste: Plastic,6.2973840455082e-14,1.006732021163881e-14,5.874563771059736e-15,3.596638345798921e-15,3.511039589936972e-14
China,Activity,Incineration of waste: Textiles,5.060019492345409e-14,9.986183040486733e-15,5.632743974574057e-15,3.4795614439048467e-15,2.8239406358646612e-14
China,Activity,Incineration of waste: Wood,5.970878683946632e-14,1.107476848533691e-14,6.294938839687675e-15,3.84975648438472e-15,3.3299839760377755e-14
China,Activity,Inland water transport,4.292818249054854e-13,2.256432345911044e-13,1.1846602204805432e-13,7.338614853421808e-14,2.4225247362578877e-13
China,Activity,"Insurance and pension funding, except compulsory social security (66)",1.3162447986866127e-11,5.4691489644244835e-12,2.8433976252164483e-12,1.8304778131076664e-12,7.433617438826693e-12
China,Activity,Landfill of waste: Food,1.0305455829460227e-12,1.9945697006065643e-13,1.1018851836724876e-13,6.713662383865286e-14,5.741160288404882e-13
China,Activity,Landfill of waste: Inert/metal/hazardous,3.7543085265983706e-13,6.57097646558621e-14,3.666818393836046e-14,2.2700907826642535e-14,2.090852153226362e-13
China,Activity,Landfill of waste: Paper,4.683531025041252e-13,7.394568240886974e-14,4.2241905454899944e-14,2.5727788417731787e-14,2.608200860912379e-13
China,Activity,Landfill of waste: Plastic,3.415741649742481e-13,6.827126432739716e-14,3.770591072494723e-14,2.3022734934772704e-14,1.9035909694494616e-13
China,Activity,Landfill of waste: Textiles,1.570812875469855e-13,2.8107197434725653e-14,1.5616002970062834e-14,9.56007211526274e-15,8.749378712945327e-14
China,Activity,Landfill of waste: Wood,1.8967468125592175e-13,3.387602144707287e-14,1.880310525430444e-14,1.1518331981967602e-14,1.0564623037092199e-13
China,Activity,"Lead, zinc and tin production",1.0508631362375961e-13,1.5038677344192225e-13,7.48697268086485e-14,4.679727889335588e-14,6.069012322251674e-14
China,Activity,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,1.126159863169937e-11,2.6260494663516636e-11,1.2672654964580237e-11,7.872076011001416e-12,6.523772648891772e-12
China,Activity,Manufacture of beverages,7.760683469351355e-13,5.053827837441416e-13,2.637466184976605e-13,1.6598299202663952e-13,4.427222002755754e-13
China,Activity,"Manufacture of bricks, tiles and construction products, in baked clay",3.0466510255238665e-14,1.7444293536470282e-14,1.0748553615028157e-14,7.0623524107914646e-15,1.7906841137031753e-14
China,Activity,"Manufacture of cement, lime and plaster",1.4934132161343205e-13,4.140826653352843e-14,4.335128954337357e-14,3.056780959992004e-14,9.313024125536994e-14
China,Activity,Manufacture of ceramic goods,1.3651382047516552e-12,1.86396801251766e-12,9.718791075093407e-13,6.391546547398816e-13,8.255548256786467e-13
China,Activity,Manufacture of coke oven products,7.982941726713689e-13,6.829443893129753e-13,3.4696687929287073e-13,2.1158526341614587e-13,4.5027231686059764e-13
China,Activity,Manufacture of electrical machinery and apparatus n.e.c. (31),3.7627230406262605e-11,3.887318808779371e-10,1.6800718092493102e-10,1.061843851512281e-10,2.2380309321215708e-11
China,Activity,"Manufacture of fabricated metal products, except machinery and equipment (28)",1.512840496868332e-11,1.6619057873250904e-11,8.78109877800017e-12,5.424127438614492e-12,8.671513309373886e-12
China,Activity,Manufacture of fish products,3.2277332467087843e-12,2.222219074752498e-12,1.145022674833863e-12,7.200532301829255e-13,1.8361297008817685e-12
China,Activity,Manufacture of furniture; manufacturing n.e.c. (36),2.1755906689591405e-11,2.1441123297899964e-11,1.079671693373321e-11,6.872450757564582e-12,1.2380130914945657e-11
China,Activity,Manufacture of gas; distribution of gaseous fuels through mains,1.3856119656958651e-12,6.253028889390444e-13,3.305907722853155e-13,1.998865089397289e-13,7.756458740849007e-13
China,Activity,Manufacture of glass and glass products,1.824739097532509e-10,5.890581953632139e-12,3.1960803312500447e-12,1.906272864315045e-12,1.0095710122046177e-10
China,Activity,Manufacture of machinery and equipment n.e.c. (29),4.974660812577665e-11,3.969202314869758e-11,2.1266946666962177e-11,1.3292143377187008e-11,2.83276871424499e-11
China,Activity,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",5.3008362226984944e-12,8.657692712641331e-12,4.682633722095354e-12,3.535891113122253e-12,3.512766312490293e-12
China,Activity,"Manufacture of motor vehicles, trailers and semi-trailers (34)",9.028103609544549e-12,1.6630056656601247e-12,9.838192946947242e-13,5.913316827732002e-13,5.041002119366815e-12
China,Activity,Manufacture of office machinery and computers (30),3.404524202183974e-11,3.236943348410692e-11,2.1651651413408647e-11,1.4658812982676053e-11,2.141666857947585e-11
China,Activity,Manufacture of other non-metallic mineral products n.e.c.,6.792169895630077e-11,3.65201782905494e-12,1.900902446228824e-12,1.1627982986163997e-12,3.760602854737873e-11
China,Activity,Manufacture of other transport equipment (35),1.365098330625355e-12,5.561953771470165e-13,3.351674838569542e-13,2.1030980834995866e-13,7.785271765528389e-13
China,Activity,"Manufacture of radio, television and communication equipment and apparatus (32)",2.487832380860712e-11,7.936981888301606e-11,4.093128339644003e-11,2.783052066612528e-11,1.64504783550036e-11
China,Activity,Manufacture of rubber and plastic products (25),7.653024890697262e-11,7.07107091927877e-11,3.5621032906504096e-11,2.2316151937349287e-11,4.3567210111584425e-11
China,Activity,Manufacture of textiles (17),4.8560026759301894e-11,2.8347700895850576e-11,1.6174446366060652e-11,1.0089537091760115e-11,2.773272934978163e-11
China,Activity,Manufacture of tobacco products (16),4.214027977615271e-13,1.2994506696227415e-13,7.03717039019156e-14,4.1511703710257985e-14,2.346531253712139e-13
China,Activity,Manufacture of wearing apparel; dressing and dyeing of fur (18),1.6939543122521556e-11,6.549695819307722e-12,3.77139640793172e-12,2.3795839515103265e-12,9.600050440587503e-12
China,Activity,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",3.248626827172168e-13,2.0982437092133238e-13,2.0402800501280695e-13,1.1996664575926858e-13,2.0256361545374578e-13
China,Activity,"Manure treatment (biogas), storage and land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Manure treatment (conventional), storage and land application",0.0,0.0,0.0,0.0,0.0
China,Activity,Meat animals nec,1.3979715923012562e-10,7.395335037607416e-12,5.7552176545479675e-12,3.1165388438522294e-12,7.758821309281539e-11
China,Activity,Mining of aluminium ores and concentrates,1.137771445069289e-12,7.843837686257757e-13,4.624139634933944e-13,2.7116733262393975e-13,6.452792803287029e-13
China,Activity,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",5.828755238245349e-13,2.787615159272359e-13,2.2983691491669363e-13,1.2049501323992605e-13,3.319893149875933e-13
China,Activity,Mining of coal and lignite; extraction of peat (10),4.612618213378643e-16,8.893173229583824e-17,4.721117439047434e-17,2.8681560905966106e-17,2.5646584154858983e-16
China,Activity,Mining of copper ores and concentrates,7.0256146139343e-12,1.2039459305784651e-11,6.047595111012758e-12,3.6086697598268084e-12,3.984040899728661e-12
China,Activity,Mining of iron ores,8.141983675139928e-13,1.387809681771778e-12,6.999963464947488e-13,4.246583486878485e-13,4.659826677501558e-13
China,Activity,"Mining of lead, zinc and tin ores and concentrates",8.260604521447947e-14,1.17590557171462e-13,6.102693970512136e-14,3.7613864860390775e-14,4.7895915248897916e-14
China,Activity,Mining of nickel ores and concentrates,1.1468083484945203e-12,1.4734887532631293e-12,1.5924704193144357e-12,6.919884037288723e-13,6.539753811396393e-13
China,Activity,Mining of other non-ferrous metal ores and concentrates,6.581071771211187e-12,7.347059734817315e-12,9.317439153361878e-12,3.8508123564117495e-12,3.748392460046792e-12
China,Activity,Mining of precious metal ores and concentrates,8.349089642297697e-11,6.159561706417578e-12,3.1992614059802523e-12,1.9113032402455005e-12,4.62199240938617e-11
China,Activity,Mining of uranium and thorium ores (12),7.14200072376084e-14,1.0677804223949262e-13,5.4751887900983196e-14,3.5646867699630394e-14,4.212775804411865e-14
China,Activity,N-fertiliser,1.581664188966422e-14,7.5263249533695e-15,4.567990130205995e-15,3.0161282761127817e-15,9.032991970818918e-15
China,Activity,Other business activities (74),1.260156651640406e-11,7.606087098290431e-12,3.986751730672197e-12,2.6958394744196933e-12,7.213005946770582e-12
China,Activity,Other land transport,2.6322898079448053e-11,1.1407787876337723e-11,6.139010366031872e-12,3.893726931171334e-12,1.4887299708230332e-11
China,Activity,Other non-ferrous metal production,2.8521211241758073e-13,4.317136717011116e-13,7.05200107017869e-13,2.7047311787204723e-13,1.6440597848992607e-13
China,Activity,Other service activities (93),5.404881098613156e-12,1.0091301270551581e-12,5.760337942291154e-13,3.4649543458322513e-13,3.0116791013313656e-12
