Region,,,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK
Level,,,Activity,Activity,Activity,Activity,Activity
Item,,,Production of photovoltaic plants,Production of onshore wind plants,Production of offshore wind plants,Production of electricity by wind,Production of electricity by solar photovoltaic
Region,Level,Item,,,,,
China,Activity,Activities auxiliary to financial intermediation (67),9.712137172989557e-12,4.661431303331669e-12,2.4673180969028853e-12,1.0555064715794866e-12,4.104302580538006e-12
China,Activity,Activities of membership organisation n.e.c. (91),2.4603390472932175e-14,4.035536542328472e-15,2.2081204925931936e-15,9.281205818674612e-16,1.0222541131449095e-14
China,Activity,Air transport (62),9.70785368027558e-12,4.248807008323622e-12,2.2877140580857907e-12,1.0036840360216933e-12,4.117903878394837e-12
China,Activity,Aluminium production,2.9443862920469214e-12,2.3478373766009555e-12,1.1518956995676775e-12,4.825138028439002e-13,1.2431391218548226e-12
China,Activity,Animal products nec,8.712252046199129e-13,2.90302469277279e-13,1.7675860342480685e-13,7.966728586285769e-14,3.7418673130093106e-13
China,Activity,"Biogasification of food waste, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Biogasification of paper, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Biogasification of sewage slugde, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,Casting of metals,4.2436659153946315e-13,1.8731409730198197e-12,8.410695957622371e-13,3.519026513004002e-13,1.8913784931974e-13
China,Activity,Cattle farming,7.07423174640831e-12,2.4929822441470318e-12,1.4601129658719642e-12,6.261859872233747e-13,2.999155242488539e-12
China,Activity,Chemicals nec,4.10187098101922e-11,9.154729451521051e-12,5.6068914620824254e-12,2.714857721735061e-12,1.7310864853939984e-11
China,Activity,"Collection, purification and distribution of water (41)",1.282492054221481e-13,3.009895252193733e-14,1.6390727064781546e-14,6.982722887411141e-15,5.3474099152000974e-14
China,Activity,"Composting of food waste, incl. land application",1.9275814484318788e-13,2.989522913616993e-14,1.7349484967258307e-14,7.417980247784843e-15,8.044317469623815e-14
China,Activity,"Composting of paper and wood, incl. land application",1.6542953762628838e-14,2.173855425139368e-15,1.27185883216665e-15,5.285986625749611e-16,6.895077403166091e-15
China,Activity,Computer and related activities (72),1.5070710372632605e-12,8.901302014634707e-13,5.616397411103409e-13,2.1309063771353386e-13,6.380896207340513e-13
China,Activity,Construction (45),4.624129163672478e-12,7.766673249110967e-13,4.5456134460521524e-13,2.2521926979865603e-13,1.9710934452138003e-12
China,Activity,Copper production,3.683337850529389e-13,2.1890820904912925e-12,9.92269725184045e-13,4.163403346684217e-13,1.7075886014624449e-13
China,Activity,Cultivation of cereal grains nec,1.285516718867973e-10,3.0110450002535704e-11,1.7199139534827105e-11,7.1206299259395735e-12,5.3937433470717604e-11
China,Activity,Cultivation of crops nec,1.0286530630793389e-10,2.90233944582065e-11,1.6935640122866185e-11,7.217096401775691e-12,4.327900414290022e-11
China,Activity,Cultivation of oil seeds,1.6820484605675762e-12,8.561905559627256e-13,4.700478090486797e-13,2.0989580907259776e-13,7.208029278853102e-13
China,Activity,Cultivation of paddy rice,5.716740469965151e-11,2.2006727167358378e-11,1.1865506030612745e-11,5.264651329282763e-12,2.4149106312981242e-11
China,Activity,Cultivation of plant-based fibers,5.0499054377540925e-11,3.431329370790446e-11,2.0253546011011244e-11,8.938941039184754e-12,2.2207726245269387e-11
China,Activity,"Cultivation of sugar cane, sugar beet",2.7331267658575608e-11,9.154383112001743e-12,4.935157628039559e-12,2.065068569113796e-12,1.1479889687613865e-11
China,Activity,"Cultivation of vegetables, fruit, nuts",6.974899782956536e-10,2.0676737590026186e-10,1.1704975151259231e-10,4.896563250924555e-11,2.934077728918784e-10
China,Activity,Cultivation of wheat,3.914202547963413e-11,1.6240206371343853e-11,9.035871321223546e-12,3.943655225744356e-12,1.6625763997574114e-11
China,Activity,Distribution and trade of electricity,7.291637270110127e-15,2.01538450598053e-15,1.1509901937101948e-15,4.557651638675434e-16,3.0362610325531795e-15
China,Activity,Education (80),1.596471703082272e-13,5.139339040615376e-14,2.7035439024486635e-14,1.1431237885333097e-14,6.680383786024373e-14
China,Activity,Extra-territorial organizations and bodies,0.0,0.0,0.0,0.0,0.0
China,Activity,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",2.9495938128352755e-12,1.2912182476880692e-12,7.256178007137674e-13,3.153055334124096e-13,1.2507361225774073e-12
China,Activity,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",6.583310832675453e-14,5.062328036793997e-14,2.7400569470955224e-14,1.214054869726555e-14,2.8549294487497993e-14
China,Activity,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",0.0,0.0,0.0,0.0,0.0
China,Activity,"Financial intermediation, except insurance and pension funding (65)",5.317018193535401e-11,1.7892618226622616e-11,9.182964296574758e-12,3.8916874753900234e-12,2.225795412532859e-11
China,Activity,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",3.046298962981311e-11,2.0953855810588486e-11,1.0822796313778898e-11,4.592720895940313e-12,1.296971546722368e-11
China,Activity,"Forestry, logging and related service activities (02)",3.814896123538699e-11,1.5660437356375856e-11,8.877939892906546e-12,3.992443772542968e-12,1.6246651940085358e-11
China,Activity,Health and social work (85),2.0784352338734595e-12,9.247262342740256e-13,4.396160646455409e-13,1.8388379853233738e-13,8.651192999578437e-13
China,Activity,Hotels and restaurants (55),2.007764665030545e-10,9.991737482734837e-11,5.5412344975558935e-11,2.252996059401841e-11,8.459558008732166e-11
China,Activity,Incineration of waste: Food,1.8409280408340092e-12,1.697182104522811e-13,9.846070130910101e-14,4.018849480649432e-14,7.619581203227854e-13
China,Activity,Incineration of waste: Metals and Inert materials,1.228228775487376e-13,2.0487605456621582e-14,1.3596436011302131e-14,6.346904756512265e-15,5.193100532494903e-14
China,Activity,Incineration of waste: Oil/Hazardous waste,1.8889836644911811e-13,2.860563623497942e-14,1.701922434485627e-14,7.642566644510602e-15,7.896357872555923e-14
China,Activity,Incineration of waste: Paper,1.8534489484323067e-12,1.7195168372706608e-13,9.983876349722953e-14,4.070876141146473e-14,7.671395619466899e-13
China,Activity,Incineration of waste: Plastic,1.2407548973213907e-13,2.158936152019557e-14,1.2349790213645909e-14,5.262581218432448e-15,5.1753151390712054e-14
China,Activity,Incineration of waste: Textiles,1.5878531871426631e-13,2.6647238684661976e-14,1.507246198311412e-14,6.349490606849135e-15,6.623021897679857e-14
China,Activity,Incineration of waste: Wood,1.8536531420109114e-13,2.7403419233838556e-14,1.6006145245855704e-14,6.7863394704305136e-15,7.729924970140414e-14
China,Activity,Inland water transport,2.8232514920245243e-13,1.151154225624582e-13,6.125632701775186e-14,2.5924432179700932e-14,1.1905297961213845e-13
China,Activity,"Insurance and pension funding, except compulsory social security (66)",1.0271476550352267e-11,4.4623318325610636e-12,2.287651326244739e-12,9.81028602620474e-13,4.3358560184533156e-12
China,Activity,Landfill of waste: Food,2.824966786830991e-12,4.1760083968037553e-13,2.3715029276742805e-13,9.971543186500302e-14,1.176544465416705e-12
China,Activity,Landfill of waste: Inert/metal/hazardous,2.192313694893669e-12,1.969284182811277e-13,1.1511050039716194e-13,4.7287656489250276e-14,9.074329827305428e-13
China,Activity,Landfill of waste: Paper,1.2769907222848297e-12,1.9945567549989676e-13,1.1289449259522101e-13,4.737249453044391e-14,5.319662891418735e-13
China,Activity,Landfill of waste: Plastic,2.0296775194454435e-12,1.9759092755192605e-13,1.1316799307105521e-13,4.622379747420086e-14,8.40117171730891e-13
China,Activity,Landfill of waste: Textiles,4.058100417908725e-13,5.966353400531651e-14,3.454166188797406e-14,1.4404754449399404e-14,1.6909943067576334e-13
China,Activity,Landfill of waste: Wood,4.869807241190117e-13,6.709825284754029e-14,3.930887894468486e-14,1.6369293247532916e-14,2.028701475759775e-13
China,Activity,"Lead, zinc and tin production",7.99341084267802e-14,1.2720743036117873e-13,6.141545411037358e-14,2.6082879113818398e-14,3.477126498153226e-14
China,Activity,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,6.49448191847003e-12,1.8863063657716195e-11,9.033558629747852e-12,3.7795458930910434e-12,2.897821431908639e-12
China,Activity,Manufacture of beverages,8.470025092456862e-13,5.733144941623428e-13,2.9838190495170633e-13,1.2536455174673122e-13,3.596210659931224e-13
China,Activity,"Manufacture of bricks, tiles and construction products, in baked clay",2.442604126222627e-14,1.2105337628355564e-14,8.848463864916186e-15,4.474129801061796e-15,1.11233897171848e-14
China,Activity,"Manufacture of cement, lime and plaster",1.4436059120265176e-13,3.5894280290491514e-14,4.673236338539442e-14,2.462028229521444e-14,6.945607502519404e-14
China,Activity,Manufacture of ceramic goods,7.56967882395803e-13,1.2566862509421939e-12,6.746880615292018e-13,3.119213388052969e-13,3.655386931281174e-13
China,Activity,Manufacture of coke oven products,5.878175394919287e-13,7.202434400657851e-13,3.7109088526085323e-13,1.5235935675086846e-13,2.5229879324800926e-13
China,Activity,Manufacture of electrical machinery and apparatus n.e.c. (31),3.427655431689731e-11,4.019385709982606e-10,1.7458322448487627e-10,7.28073868035824e-11,1.623860957628692e-11
China,Activity,"Manufacture of fabricated metal products, except machinery and equipment (28)",1.3332122189391515e-11,1.6902378791690587e-11,9.099663650672707e-12,3.809814200679524e-12,5.818756188257257e-12
China,Activity,Manufacture of fish products,2.8979477375882354e-12,1.9995757853248872e-12,1.0284144221795235e-12,4.351483826941981e-13,1.2326569592217966e-12
China,Activity,Manufacture of furniture; manufacturing n.e.c. (36),2.3930296204815996e-11,2.214819368036788e-11,1.1459996333662643e-11,5.003059024006001e-12,1.0265557549142417e-11
China,Activity,Manufacture of gas; distribution of gaseous fuels through mains,1.308749907165731e-12,4.820105245993051e-13,2.367337899351656e-13,9.967591958247414e-14,5.454848292852931e-13
China,Activity,Manufacture of glass and glass products,1.478555108516689e-10,5.054412606760282e-12,2.7599565497658084e-12,1.1112759781166122e-12,6.086505054767483e-11
China,Activity,Manufacture of machinery and equipment n.e.c. (29),4.5750266110957635e-11,4.5618835361975257e-11,2.446101567084414e-11,1.0305107065538517e-11,1.9756449391684082e-11
China,Activity,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",6.013683098227093e-12,1.2675422225037325e-11,6.7205977822947125e-12,3.556960117590885e-12,3.1937027667736064e-12
China,Activity,"Manufacture of motor vehicles, trailers and semi-trailers (34)",5.272425404193516e-12,1.4411956424217047e-12,8.813132298605586e-13,3.8500011923751285e-13,2.2339576962204553e-12
China,Activity,Manufacture of office machinery and computers (30),1.9597533354532744e-11,2.1296079273477228e-11,1.282430300128499e-11,6.44789265344334e-12,9.478413810341576e-12
China,Activity,Manufacture of other non-metallic mineral products n.e.c.,5.921100657307451e-11,3.489954893366935e-12,1.8354884357606534e-12,7.583359818079762e-13,2.4403266675735594e-11
China,Activity,Manufacture of other transport equipment (35),1.6400366464501486e-12,6.011415521683655e-13,3.513162396299152e-13,1.5399324407504544e-13,7.013270791477165e-13
China,Activity,"Manufacture of radio, television and communication equipment and apparatus (32)",2.4373552421534094e-11,2.7231730112350562e-11,1.950604502649382e-11,1.1416255765229862e-11,1.3102539704214753e-11
China,Activity,Manufacture of rubber and plastic products (25),4.8692950345603316e-11,3.884234789241513e-11,2.0545763996875235e-11,9.028405780717602e-12,2.1094303558553254e-11
China,Activity,Manufacture of textiles (17),4.209308657729944e-11,2.953994483774351e-11,1.6535788900237227e-11,7.30946277197965e-12,1.8388884829378974e-11
China,Activity,Manufacture of tobacco products (16),5.402847420873083e-13,1.6248438581254606e-13,9.462486396660758e-14,3.595156362751113e-14,2.2424966639816072e-13
China,Activity,Manufacture of wearing apparel; dressing and dyeing of fur (18),2.282468478063746e-11,8.54517365838831e-12,4.720586476897706e-12,2.0683310165445175e-12,9.713257362173856e-12
China,Activity,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",4.629969075096431e-13,2.9058426237394366e-13,2.576974481838461e-13,1.1025344015055984e-13,2.1750293473195836e-13
China,Activity,"Manure treatment (biogas), storage and land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Manure treatment (conventional), storage and land application",0.0,0.0,0.0,0.0,0.0
China,Activity,Meat animals nec,2.0650278982698668e-10,8.931718567010839e-12,7.135399881850191e-12,2.6390307513647866e-12,8.622154173919158e-11
China,Activity,Mining of aluminium ores and concentrates,1.341397015212997e-13,7.783982311572162e-14,5.051853556368132e-14,2.0335937780955292e-14,5.748553000939758e-14
China,Activity,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",5.048886018599661e-13,3.8927491365657886e-13,3.448685291059574e-13,1.2963268287622508e-13,2.2784783288883204e-13
China,Activity,Mining of coal and lignite; extraction of peat (10),3.196054688394956e-11,4.007830323115787e-12,2.1668368305432215e-12,8.788175487442239e-13,1.3208418092651234e-11
China,Activity,Mining of copper ores and concentrates,4.932179343109542e-12,1.2750897219126308e-11,5.816992302553899e-12,2.4356869565590806e-12,2.142249212099464e-12
China,Activity,Mining of iron ores,1.1335982405133747e-12,2.6154296835428226e-12,1.284222565472834e-12,5.356725017272605e-13,5.012221618144504e-13
China,Activity,"Mining of lead, zinc and tin ores and concentrates",4.1149145172426003e-13,2.735747436861679e-13,1.4244862887722328e-13,5.896653247337823e-14,1.739181027877729e-13
China,Activity,Mining of nickel ores and concentrates,1.3431001506608403e-12,1.865420621292846e-12,3.480367715167496e-12,8.567675573551066e-13,5.839653506169734e-13
China,Activity,Mining of other non-ferrous metal ores and concentrates,4.555591485945421e-13,4.780555616964421e-13,2.3165258266203987e-13,9.7503296026158e-14,1.9365654435348046e-13
China,Activity,Mining of precious metal ores and concentrates,2.510621803525274e-10,1.699909452081209e-11,7.793463491241638e-12,3.301746125520028e-12,1.0337319513818257e-10
China,Activity,Mining of uranium and thorium ores (12),1.461688177740572e-12,1.6743134519426189e-12,8.41035018287266e-13,3.7760712195558326e-13,6.430208998029113e-13
China,Activity,N-fertiliser,1.51345481476919e-14,4.436653002235838e-15,2.5752594290871365e-15,1.8094744964982557e-15,6.402126485075449e-15
China,Activity,Other business activities (74),1.7179298256128755e-11,1.1506100294051496e-11,5.647486630934e-12,2.4012478107928943e-12,7.254073177546827e-12
China,Activity,Other land transport,1.5368494313815394e-11,5.763118705184464e-12,3.1348318526766253e-12,1.325354315996948e-12,6.50706603400281e-12
China,Activity,Other non-ferrous metal production,1.7998192560040394e-13,3.1027169611598386e-13,5.941805403206359e-13,1.4535325138447645e-13,7.933570473104195e-14
China,Activity,Other service activities (93),7.065437049820801e-12,8.988530511783002e-13,5.27449184912692e-13,2.105517915314216e-13,2.9479769005219554e-12
