Region,,,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK
Level,,,Activity,Activity,Activity,Activity,Activity
Item,,,Production of photovoltaic plants,Production of onshore wind plants,Production of offshore wind plants,Production of electricity by wind,Production of electricity by solar photovoltaic
Region,Level,Item,,,,,
China,Activity,Activities auxiliary to financial intermediation (67),9.705381485489812e-12,4.661172841267583e-12,2.467052489207733e-12,7.960044727578631e-13,3.2409671156257827e-12
China,Activity,Activities of membership organisation n.e.c. (91),2.4592862132255716e-14,4.035214890157192e-15,2.207792998427727e-15,6.996557620217613e-16,8.03779263840029e-15
China,Activity,Air transport (62),9.701420704205944e-12,4.248564832339633e-12,2.287465334836755e-12,7.651207465278457e-13,3.2550611719621242e-12
China,Activity,Aluminium production,2.941612343200944e-12,2.3477223058502334e-12,1.1517771112489345e-12,3.5656640406297617e-13,9.811512356768396e-13
China,Activity,Animal products nec,8.707098990127557e-13,2.9028387221475445e-13,1.767395342347129e-13,6.229681486410138e-14,2.967731790862314e-13
China,Activity,"Biogasification of food waste, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Biogasification of paper, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Biogasification of sewage slugde, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,Casting of metals,4.2276537827218663e-13,1.873063620606766e-12,8.409894998178741e-13,2.5550181003628335e-13,1.5095742668493644e-13
China,Activity,Cattle farming,7.069969262608173e-12,2.4928272795145034e-12,1.4599540219164508e-12,4.800422464797988e-13,2.3705401719753133e-12
China,Activity,Chemicals nec,4.0998567899755566e-11,9.15406223738912e-12,5.606209688333745e-12,2.165333495402288e-12,1.3667550894894098e-11
China,Activity,"Collection, purification and distribution of water (41)",1.2818651168593686e-13,3.009688067278078e-14,1.6388610218487243e-14,5.2829466598823266e-15,4.208300297188172e-14
China,Activity,"Composting of food waste, incl. land application",1.9267635871014473e-13,2.989274448957099e-14,1.734695585285093e-14,5.673597084204095e-15,6.332675165820541e-14
China,Activity,"Composting of paper and wood, incl. land application",1.6536277378968163e-14,2.173659520440692e-15,1.2716597490961414e-15,4.0121136109750867e-16,5.426226070189836e-15
China,Activity,Computer and related activities (72),1.505807470541335e-12,8.900792070029862e-13,5.615872371051228e-13,1.5880272840770783e-13,5.040470191329408e-13
China,Activity,Construction (45),4.6221108024017105e-12,7.766048687836607e-13,4.544977167868848e-13,1.7970132154784993e-13,1.5604630312118456e-12
China,Activity,Copper production,3.664914119277246e-13,2.188992059924867e-12,9.92176470809701e-13,3.0319130022712963e-13,1.3746121017507868e-13
China,Activity,Cultivation of cereal grains nec,1.284882373978868e-10,3.010834327840068e-11,1.719698660369724e-11,5.378229485045831e-12,4.251926454962071e-11
China,Activity,Cultivation of crops nec,1.0280988071615611e-10,2.9021472670344962e-11,1.693367267422161e-11,5.518941555980052e-12,3.414070569728074e-11
China,Activity,Cultivation of oil seeds,1.6808231203042781e-12,8.561429947142861e-13,4.699989072612044e-13,1.613495302306897e-13,5.712621780279974e-13
China,Activity,Cultivation of paddy rice,5.713210698889056e-11,2.2005431779188943e-11,1.1864176898669305e-11,4.028144954658165e-12,1.9068921616887092e-11
China,Activity,Cultivation of plant-based fibers,5.0453635797392e-11,3.431142925093043e-11,2.0251625240421446e-11,6.919328419075181e-12,1.7715137847510455e-11
China,Activity,"Cultivation of sugar cane, sugar beet",2.731557171228724e-11,9.153823461879536e-12,4.934584041244835e-12,1.5507327948746906e-12,9.051508183649407e-12
China,Activity,"Cultivation of vegetables, fruit, nuts",6.971080968192011e-10,2.0675403838545355e-10,1.1703609310473756e-10,3.7056284793917554e-11,2.3144237153570996e-10
China,Activity,Cultivation of wheat,3.91166215393898e-11,1.6239256918088916e-11,9.034896463133944e-12,3.0165351393073606e-12,1.3146972774839075e-11
China,Activity,Distribution and trade of electricity,7.287766191565988e-15,2.0152512020440723e-15,1.1508537606606671e-15,3.39154241366066e-16,2.388510317338688e-15
China,Activity,Education (80),1.595578196451599e-13,5.139023935401068e-14,2.7032210907514224e-14,8.578811981368627e-15,5.2620013213060544e-14
China,Activity,Extra-territorial organizations and bodies,0.0,0.0,0.0,0.0,0.0
China,Activity,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",2.9476145974850814e-12,1.2911434193120422e-12,7.255409371615777e-13,2.412162083231321e-13,9.885649571444363e-13
China,Activity,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",6.577056771568624e-14,5.062068130248816e-14,2.739789079185805e-14,9.290752618977445e-15,2.2691363602104217e-14
China,Activity,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",0.0,0.0,0.0,0.0,0.0
China,Activity,"Financial intermediation, except insurance and pension funding (65)",5.3139946869155445e-11,1.789154464803918e-11,9.181864163712399e-12,2.9106253225276745e-12,1.7533891630029927e-11
China,Activity,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",3.0436602703791525e-11,2.0952782250717067e-11,1.0821690666035324e-11,3.4402801137230714e-12,1.0259965997719056e-11
China,Activity,"Forestry, logging and related service activities (02)",3.812421654904382e-11,1.565951273684136e-11,8.876990540510404e-12,3.0898052052549425e-12,1.2856125572284246e-11
China,Activity,Health and social work (85),2.0770917912395376e-12,9.246760967763455e-13,4.3956458839870883e-13,1.35012250988675e-13,6.803979749349602e-13
China,Activity,Hotels and restaurants (55),2.006317422922287e-10,9.991177548729935e-11,5.54065884855048e-11,1.6835415846989633e-11,6.674629799483853e-11
China,Activity,Incineration of waste: Food,1.840250689143089e-12,1.6969972828865602e-13,9.844198758637255e-14,3.02856696678121e-14,5.985248244431465e-13
China,Activity,Incineration of waste: Metals and Inert materials,1.2276810472602919e-13,2.0485887740030575e-14,1.3594685008915644e-14,5.062173201912988e-15,4.102372091784232e-14
China,Activity,Incineration of waste: Oil/Hazardous waste,1.8881850094322676e-13,2.860321565226624e-14,1.7016760711489572e-14,5.951541303050511e-15,6.218999309640911e-14
China,Activity,Incineration of waste: Paper,1.8527659572435932e-12,1.7193302363207999e-13,9.981986834600967e-14,3.0671332669865103e-14,6.02594327448109e-13
China,Activity,Incineration of waste: Plastic,1.2402088790163493e-13,2.1587663188415332e-14,1.2348059614820468e-14,4.0122660431087414e-15,4.07348843169062e-14
China,Activity,Incineration of waste: Textiles,1.5871645194231368e-13,2.664511632402689e-14,1.5070300208639616e-14,4.8151708976124426e-15,5.212997106460519e-14
China,Activity,Incineration of waste: Wood,1.852877871519826e-13,2.7401086649230968e-14,1.600377198828063e-14,5.1819575047395536e-15,6.083968395056142e-14
China,Activity,Inland water transport,2.821459309855171e-13,1.1510877745495104e-13,6.124950614606504e-14,1.9498848706821878e-14,9.396242346428172e-14
China,Activity,"Insurance and pension funding, except compulsory social security (66)",1.0264791084944938e-11,4.462081716376392e-12,2.2873945079238084e-12,7.364954259864533e-13,3.4229603887455204e-12
China,Activity,Landfill of waste: Food,2.8237907363941957e-12,4.1756556734405405e-13,2.3711441074244497e-13,7.562036807855754e-14,9.257026497365752e-13
China,Activity,Landfill of waste: Inert/metal/hazardous,2.191511003032234e-12,1.969066080796778e-13,1.1508842178903339e-13,3.575182357206898e-14,7.128058714911759e-13
China,Activity,Landfill of waste: Paper,1.2764499408609005e-12,1.9943926763754433e-13,1.128777920736151e-13,3.588385969857418e-14,4.1857319051873337e-13
China,Activity,Landfill of waste: Plastic,2.028922516932072e-12,1.975701355485135e-13,1.1314693049749735e-13,3.477142310707206e-14,6.599242646581354e-13
China,Activity,Landfill of waste: Textiles,4.0564085897334643e-13,5.965845486504972e-14,3.4536494715232545e-14,1.0927726849205497e-14,1.3306560283698758e-13
China,Activity,Landfill of waste: Wood,4.867813540302526e-13,6.709234253532436e-14,3.930286979189067e-14,1.2434701115732049e-14,1.596300634235918e-13
China,Activity,"Lead, zinc and tin production",7.980732821293454e-14,1.2720170290490046e-13,6.140953533661385e-14,1.9311198220837443e-14,2.7640797072131972e-14
China,Activity,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,6.4772704890779324e-12,1.886224876446664e-11,9.03271532716998e-12,2.779257879153255e-12,2.3160650215915435e-12
China,Activity,Manufacture of beverages,8.462748690631018e-13,5.732849495745448e-13,2.9835147940846415e-13,9.371447481746341e-14,2.842804547561948e-13
China,Activity,"Manufacture of bricks, tiles and construction products, in baked clay",2.440676315772815e-14,1.2104571891753358e-14,8.847675898545356e-15,3.6724935524653694e-15,8.95129834927568e-15
China,Activity,"Manufacture of cement, lime and plaster",1.442664337600956e-13,3.589075509114762e-14,4.672874362501196e-14,2.117069045671343e-14,5.662570355301959e-14
China,Activity,Manufacture of ceramic goods,7.556701467097659e-13,1.2566270991600278e-12,6.746269171537099e-13,2.4146744759320903e-13,2.9797986278664174e-13
China,Activity,Manufacture of coke oven products,5.870423546798417e-13,7.202092692179723e-13,3.7105560001832835e-13,1.1279576990012472e-13,1.9991796385137336e-13
China,Activity,Manufacture of electrical machinery and apparatus n.e.c. (31),3.395390600209952e-11,4.019225451777257e-10,1.7456661718720594e-10,5.2430204341014386e-11,1.3087024498584031e-11
China,Activity,"Manufacture of fabricated metal products, except machinery and equipment (28)",1.3313748286551432e-11,1.69015637050066e-11,9.098821814036308e-12,2.860890277331683e-12,4.630444057257702e-12
China,Activity,Manufacture of fish products,2.895435801156736e-12,1.9994735691824567e-12,1.0283091502654095e-12,3.254028985023287e-13,9.748775665883537e-13
China,Activity,Manufacture of furniture; manufacturing n.e.c. (36),2.3904748762848082e-11,2.2147106590743322e-11,1.1458875066030167e-11,3.783885117169207e-12,8.135217501167272e-12
China,Activity,Manufacture of gas; distribution of gaseous fuels through mains,1.3079792309702762e-12,4.819827608287136e-13,2.367053232910034e-13,7.380439069755283e-14,4.2919579494800893e-13
China,Activity,Manufacture of glass and glass products,1.4780892787328074e-10,5.05332368564674e-12,2.7588635867536596e-12,8.251794705574942e-13,4.774152196899096e-11
China,Activity,Manufacture of machinery and equipment n.e.c. (29),4.5697967487795164e-11,4.5616582210041466e-11,2.445869074196419e-11,7.749139192478731e-12,1.5682425556214764e-11
China,Activity,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",6.001124290224561e-12,1.2674838541215461e-11,6.719994081637255e-12,2.8507635247768728e-12,2.6561982058912156e-12
China,Activity,"Manufacture of motor vehicles, trailers and semi-trailers (34)",5.2695938047618055e-12,1.4410976090584402e-12,8.812128733896008e-13,2.9856414191174413e-13,1.7655717605211686e-12
China,Activity,Manufacture of office machinery and computers (30),1.9572492201543294e-11,2.129498065640068e-11,1.2823168725934871e-11,5.1811698505626526e-12,7.732345290113142e-12
China,Activity,Manufacture of other non-metallic mineral products n.e.c.,5.919113556156494e-11,3.489457305485271e-12,1.8349869652597543e-12,5.645563628098987e-13,1.914732245391862e-11
China,Activity,Manufacture of other transport equipment (35),1.639028211509911e-12,6.011046019457391e-13,3.51278329168325e-13,1.187933081647514e-13,5.555865985612139e-13
China,Activity,"Manufacture of radio, television and communication equipment and apparatus (32)",2.4339231105664312e-11,2.7230203037943247e-11,1.9504467688448188e-11,9.633873981307617e-12,1.0929832414675157e-11
China,Activity,Manufacture of rubber and plastic products (25),4.864586753115224e-11,3.884038377830021e-11,2.05437394610679e-11,6.8668348040520005e-12,1.676124119282949e-11
China,Activity,Manufacture of textiles (17),4.205510362131785e-11,2.9538384429165716e-11,1.6534181319826492e-11,5.6179116266983775e-12,1.4644079711142627e-11
China,Activity,Manufacture of tobacco products (16),5.399847567898779e-13,1.6247384323048305e-13,9.461406504449223e-14,2.6454511400127438e-14,1.7624900419186093e-13
China,Activity,Manufacture of wearing apparel; dressing and dyeing of fur (18),2.2810708926005213e-11,8.544662385346935e-12,4.7200619493435e-12,1.582271356373791e-12,7.684981464779783e-12
China,Activity,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",4.625329531321063e-13,2.9056476378537445e-13,2.5767734479206587e-13,8.864063804456742e-14,1.7629631440177404e-13
China,Activity,"Manure treatment (biogas), storage and land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Manure treatment (conventional), storage and land application",0.0,0.0,0.0,0.0,0.0
China,Activity,Meat animals nec,2.0643428971711877e-10,8.930023733308789e-12,7.1336929993401164e-12,2.0154132731448767e-12,6.789132604135042e-11
China,Activity,Mining of aluminium ores and concentrates,1.3402740658246216e-13,7.783529291694267e-14,5.051387132373463e-14,1.5515090396768545e-14,4.5554875279515846e-14
China,Activity,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",5.043002769626329e-13,3.892494834371477e-13,3.448422859793379e-13,1.006981321214888e-13,1.8288400274682696e-13
China,Activity,Mining of coal and lignite; extraction of peat (10),3.1947964020410014e-11,4.007467810229115e-12,2.1664687648953497e-12,6.532724265717648e-13,1.03707469534537e-11
China,Activity,Mining of copper ores and concentrates,4.920622742017697e-12,1.2750354957635334e-11,5.816431285190199e-12,1.7746649081110587e-12,1.7009696838107767e-12
China,Activity,Mining of iron ores,1.1311198300854885e-12,2.61531404110854e-12,1.2841029430976417e-12,3.9532043217405003e-13,3.998619649775467e-13
China,Activity,"Mining of lead, zinc and tin ores and concentrates",4.11142093882146e-13,2.7356059996036393e-13,1.4243406488110407e-13,4.386022553923192e-14,1.3731751720633123e-13
China,Activity,Mining of nickel ores and concentrates,1.3391195905989746e-12,1.8652307955180594e-12,3.480171230190738e-12,6.224734734552997e-13,4.635069235322069e-13
China,Activity,Mining of other non-ferrous metal ores and concentrates,4.55037737106815e-13,4.780330931702626e-13,2.3162939821118507e-13,7.20100610984432e-14,1.530891476026047e-13
China,Activity,Mining of precious metal ores and concentrates,2.5097697083054976e-10,1.699693643604628e-11,7.791287167870182e-12,2.417967305128185e-12,8.108699066749284e-11
China,Activity,Mining of uranium and thorium ores (12),1.4598763423099886e-12,1.6742343369956855e-12,8.409533477587746e-13,2.867668315443005e-13,5.12809398818689e-13
China,Activity,N-fertiliser,1.512625481264686e-14,4.43636324060211e-15,2.5749626914103885e-15,1.5505995527488685e-15,5.057562260736542e-15
China,Activity,Other business activities (74),1.7164917297318378e-11,1.1505520144802325e-11,5.646889316264893e-12,1.7838849778795943e-12,5.726112090008093e-12
China,Activity,Other land transport,1.5359115024854014e-11,5.762776020962197e-12,3.134480301610986e-12,1.0000986346956224e-12,5.141382401203459e-12
China,Activity,Other non-ferrous metal production,1.7931994557039838e-13,3.1023975566990224e-13,5.941474681706691e-13,1.0558317661521256e-13,6.314866098141176e-14
China,Activity,Other service activities (93),7.062610957609451e-12,8.987706640733899e-13,5.273654875609398e-13,1.5779732952763967e-13,2.3206445758267173e-12
