Region,,,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK
Level,,,Activity,Activity,Activity,Activity,Activity
Item,,,Production of photovoltaic plants,Production of onshore wind plants,Production of offshore wind plants,Production of electricity by wind,Production of electricity by solar photovoltaic
Region,Level,Item,,,,,
China,Activity,Activities auxiliary to financial intermediation (67),4.878747364226132e-12,2.6938382400515613e-12,1.376573546448325e-12,1.0159461730890412e-13,5.380007701914282e-14
China,Activity,Activities of membership organisation n.e.c. (91),2.860201814043693e-14,5.587240797907381e-15,3.0290220846370748e-15,2.7046566509825526e-16,1.3657807821248676e-16
China,Activity,Air transport (62),2.4056508968206615e-11,1.124632032001023e-11,6.192319497288812e-12,7.564505133552764e-13,4.0378391313288027e-13
China,Activity,Aluminium production,3.2174226821604925e-11,2.363415356578273e-11,1.1323009281881324e-11,5.113360822048189e-13,2.677000753972965e-13
China,Activity,Animal products nec,9.571078613101364e-13,3.29323512267347e-13,1.9300347042029278e-13,2.2012908918462052e-14,1.240775033424959e-14
China,Activity,"Biogasification of food waste, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Biogasification of paper, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Biogasification of sewage slugde, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,Casting of metals,4.801611654760195e-12,1.7987356011778534e-11,8.044347898363736e-12,2.3108377542249696e-13,1.230212370706263e-13
China,Activity,Cattle farming,8.45421681247051e-12,3.035410138018552e-12,1.7633248884600219e-12,1.922955530020214e-13,1.0262981098067232e-13
China,Activity,Chemicals nec,8.005271866226789e-11,1.7867113588177088e-11,1.0314965234593733e-11,1.3835052445328773e-12,6.58316040844196e-13
China,Activity,"Collection, purification and distribution of water (41)",1.2363205158092328e-12,3.573908837549132e-13,1.9156123840238223e-13,1.3449047331362863e-14,7.0050439866223934e-15
China,Activity,"Composting of food waste, incl. land application",2.277675990297691e-13,4.505423860678398e-14,2.5108964222347032e-14,2.2382784145059763e-15,1.2583517364331803e-15
China,Activity,"Composting of paper and wood, incl. land application",1.971600512922553e-14,3.769370868988375e-15,2.0677958371199727e-15,1.479379152269454e-16,7.845314832537842e-17
China,Activity,Computer and related activities (72),1.2070337059728974e-12,6.656710989851769e-13,3.803416325115461e-13,4.0490477640216327e-14,2.4331939390249995e-14
China,Activity,Construction (45),1.3853335733887495e-11,3.5097422981250446e-12,2.6885352527696364e-12,9.842324909297345e-13,9.605027486492057e-13
China,Activity,Copper production,3.819295876394093e-12,2.103901114095172e-11,9.495248842839965e-12,3.021813122023254e-13,1.6538758014200152e-13
China,Activity,Cultivation of cereal grains nec,1.0162852355191354e-10,2.24975114420231e-11,1.2746082252380748e-11,1.043163680719204e-12,5.715888308710007e-13
China,Activity,Cultivation of crops nec,1.3762451510137482e-10,3.9556789119202805e-11,2.212694252267166e-11,2.090281301299691e-12,1.0860462157086193e-12
China,Activity,Cultivation of oil seeds,1.853300951001432e-12,1.4507200376877148e-12,7.43631517812953e-13,5.5971585578418797e-14,2.991389125891291e-14
China,Activity,Cultivation of paddy rice,1.2113091004916802e-10,4.356797106292495e-11,2.2885229725472856e-11,2.0661389195571424e-12,1.0386661348209464e-12
China,Activity,Cultivation of plant-based fibers,7.293750646539138e-11,4.349548888025992e-11,2.527169907484415e-11,2.6780274119838936e-12,1.456444989226771e-12
China,Activity,"Cultivation of sugar cane, sugar beet",3.348737305373011e-11,1.221921504708274e-11,6.568535574997472e-12,5.425819411253084e-13,2.9094186215938994e-13
China,Activity,"Cultivation of vegetables, fruit, nuts",6.643874804898006e-10,2.1735446676214045e-10,1.2133379383938612e-10,1.1065770873261965e-11,6.035140460374497e-12
China,Activity,Cultivation of wheat,5.603765733748261e-11,2.300018352009758e-11,1.2676161762586885e-11,1.2467643230131076e-12,6.485723377400819e-13
China,Activity,Distribution and trade of electricity,2.0807910127714788e-14,8.114477664084843e-15,4.392558964483835e-15,2.658384066444692e-16,1.387583136914969e-16
China,Activity,Education (80),3.058085261128308e-13,1.1147721896333851e-13,5.8130799473966e-14,4.9509520347504755e-15,2.5199931888165252e-15
China,Activity,Extra-territorial organizations and bodies,0.0,0.0,0.0,0.0,0.0
China,Activity,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",6.372929481016406e-12,2.271435822242641e-12,1.2424065980225967e-12,1.039087257460353e-13,5.3869806393205584e-14
China,Activity,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",1.3158791733980062e-13,1.0568404743963797e-13,5.5206557245420194e-14,4.803571833317848e-15,2.2807175324231793e-15
China,Activity,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",0.0,0.0,0.0,0.0,0.0
China,Activity,"Financial intermediation, except insurance and pension funding (65)",2.6879278605710534e-11,9.092584246372648e-12,4.643964447943304e-12,3.3617918923261014e-13,1.7381523622176875e-13
China,Activity,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",6.096144832097481e-11,3.9832744286638723e-11,2.0583119265553416e-11,1.541374012350255e-12,8.262117079478419e-13
China,Activity,"Forestry, logging and related service activities (02)",6.550746905075587e-11,2.9293907635385646e-11,1.5804126628621306e-11,1.5218658979560148e-12,7.834144054334897e-13
China,Activity,Health and social work (85),4.422249429212651e-12,1.7203363218842815e-12,8.27739869660804e-13,3.721977108844724e-14,1.937616811525986e-14
China,Activity,Hotels and restaurants (55),3.246995433690101e-10,1.6761632716902272e-10,9.220995629596359e-11,8.332216424153419e-12,4.72044959252798e-12
China,Activity,Incineration of waste: Food,1.0351107455066518e-12,2.0137148442723744e-13,1.1206172253597736e-13,8.877977109029503e-15,4.613106944462735e-15
China,Activity,Incineration of waste: Metals and Inert materials,1.265541257598902e-13,2.287344477878699e-14,1.4380868002885798e-14,1.9864415370601818e-15,1.3864587096806662e-15
China,Activity,Incineration of waste: Oil/Hazardous waste,2.4093536142953103e-13,5.253777758126367e-14,2.956644077044872e-14,2.5695994837418188e-15,1.5222748861431842e-15
China,Activity,Incineration of waste: Paper,1.0589743685945175e-12,2.0569508709670143e-13,1.140920245733717e-13,9.115443182359546e-15,5.1097709413809405e-15
China,Activity,Incineration of waste: Plastic,2.0404865830645184e-13,3.744941673526198e-14,2.100135723627795e-14,1.8654505774804227e-15,9.461540558718403e-16
China,Activity,Incineration of waste: Textiles,2.0979782790079456e-13,3.8429541664988356e-14,2.1435664846446296e-14,1.7591021744748022e-15,9.09338259341194e-16
China,Activity,Incineration of waste: Wood,2.0820063272894678e-13,3.9312065311510915e-14,2.2011550910409405e-14,1.9294815464218962e-15,9.645564321457733e-16
China,Activity,Inland water transport,8.93618788130147e-13,4.470993776517347e-13,2.3758629138119644e-13,1.7346603999862046e-14,9.703852119249507e-15
China,Activity,"Insurance and pension funding, except compulsory social security (66)",7.445882151576985e-12,3.275903204476348e-12,1.6857619238190046e-12,1.515931400958418e-13,8.557850173195609e-14
China,Activity,Landfill of waste: Food,3.4920451677653587e-12,6.687736622420328e-13,3.6759196086174534e-13,2.925634056751222e-14,1.5427423885826514e-14
China,Activity,Landfill of waste: Inert/metal/hazardous,1.1406517301756778e-12,2.221966967025762e-13,1.2280565631946888e-13,9.744031911125294e-15,5.26823077733758e-15
China,Activity,Landfill of waste: Paper,1.4252970903775775e-12,2.718857482667536e-13,1.502956313127319e-13,1.1761129517000354e-14,6.344618108535129e-15
China,Activity,Landfill of waste: Plastic,1.0939449078346245e-12,2.134721487079114e-13,1.1732025834253236e-13,9.334924478946891e-15,4.840776667127954e-15
China,Activity,Landfill of waste: Textiles,5.005770287151615e-13,9.89193478028425e-14,5.4143003923901976e-14,4.265120342206933e-15,2.2135944250954618e-15
China,Activity,Landfill of waste: Wood,5.20108315562331e-13,9.039027870016152e-14,5.014393650998273e-14,4.1786110060969956e-15,2.17144340864382e-15
China,Activity,"Lead, zinc and tin production",7.919684348009508e-13,1.178733558788535e-12,5.726680496970413e-13,3.1754370202712034e-14,1.899892218702818e-14
China,Activity,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,7.497120101064796e-11,1.8877858974741173e-10,8.963978067348534e-11,3.915086274154696e-12,2.0569497134636633e-12
China,Activity,Manufacture of beverages,7.604554194236389e-13,5.14461334676259e-13,2.6757686837177623e-13,2.1283652369836777e-14,1.187987525633639e-14
China,Activity,"Manufacture of bricks, tiles and construction products, in baked clay",4.698487466740858e-14,3.92020347974871e-14,2.9755206724407854e-14,6.550128401017631e-15,3.890224978544264e-15
China,Activity,"Manufacture of cement, lime and plaster",2.846622320094559e-13,6.900948278103825e-14,9.078949479413392e-14,2.940896768289032e-14,2.5124126138282533e-14
China,Activity,Manufacture of ceramic goods,3.1229284593859613e-12,4.3832158685553094e-12,2.3035805840208926e-12,2.613191444467938e-13,1.7627050752164144e-13
China,Activity,Manufacture of coke oven products,6.48610916924043e-12,6.094130864526856e-12,3.0542057594299977e-12,1.4821439232850094e-13,7.787594510372375e-14
China,Activity,Manufacture of electrical machinery and apparatus n.e.c. (31),6.437165320259815e-11,7.003915104994552e-10,3.0308932691786977e-10,5.544088915250508e-12,2.9897078572360865e-12
China,Activity,"Manufacture of fabricated metal products, except machinery and equipment (28)",7.001352818429147e-11,8.103575786418658e-11,4.2983948290924133e-11,2.9750557501776807e-12,1.4989563932875812e-12
China,Activity,Manufacture of fish products,4.38595591770165e-12,3.045158667490789e-12,1.5599526392313263e-12,1.120916679150236e-13,5.997694907869727e-14
China,Activity,Manufacture of furniture; manufacturing n.e.c. (36),5.967882326910821e-11,6.154828872802792e-11,3.054740668988963e-11,2.2559712873942534e-12,9.565510428361185e-13
China,Activity,Manufacture of gas; distribution of gaseous fuels through mains,2.5115679831644362e-12,1.1708030794187301e-12,6.287807798933987e-13,3.430221504834676e-14,1.8127964052920372e-14
China,Activity,Manufacture of glass and glass products,4.565649650148124e-10,1.4391807796115926e-11,7.849074022401234e-12,4.140799653869587e-13,2.3252711332022654e-13
China,Activity,Manufacture of machinery and equipment n.e.c. (29),1.1115670188362009e-10,9.559918040234219e-11,5.152945445388839e-11,4.0912360160975195e-12,1.9602645913516342e-12
China,Activity,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",8.258794597094578e-12,1.5381169331372352e-11,8.42867275278772e-12,2.101176243551177e-12,1.1107864367173564e-12
China,Activity,"Manufacture of motor vehicles, trailers and semi-trailers (34)",1.6102014735855394e-10,2.752344687527323e-11,1.5975915715378112e-11,1.2214783741217434e-12,6.82700219476117e-13
China,Activity,Manufacture of office machinery and computers (30),1.2208155141241765e-11,1.2930030169660542e-11,8.280836608209594e-12,1.708374811527354e-12,1.0059862179946604e-12
China,Activity,Manufacture of other non-metallic mineral products n.e.c.,1.8515336380482136e-10,9.531723853011716e-12,4.964533973421858e-12,2.854645759635368e-13,1.6758572229845892e-13
China,Activity,Manufacture of other transport equipment (35),8.22333999758352e-12,5.1910296934476885e-12,2.938250330499496e-12,3.1381336543467584e-13,1.7378347860116183e-13
China,Activity,"Manufacture of radio, television and communication equipment and apparatus (32)",1.3223319514102682e-11,3.508333622960542e-11,1.901477426978495e-11,2.909604329179636e-12,1.4622251622912322e-12
China,Activity,Manufacture of rubber and plastic products (25),8.369616229779324e-11,8.780692164230074e-11,4.459960198163267e-11,3.0244389009375823e-12,1.6569972989192202e-12
China,Activity,Manufacture of textiles (17),3.364588573389809e-11,2.1811962184350847e-11,1.2155451702708016e-11,1.2018507960618117e-12,6.290734149518342e-13
China,Activity,Manufacture of tobacco products (16),1.2080087974739015e-13,3.592246863914321e-14,1.917893328624513e-14,8.950195489535158e-16,4.671074460434729e-16
China,Activity,Manufacture of wearing apparel; dressing and dyeing of fur (18),1.0777514855621274e-11,4.2684102434568294e-12,2.4004185498274936e-12,2.484588533862236e-13,1.3368570784228515e-13
China,Activity,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",1.3280606294319762e-12,7.790708963861944e-13,7.331571352706225e-13,1.174998821033398e-13,7.6672937577539e-14
China,Activity,"Manure treatment (biogas), storage and land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Manure treatment (conventional), storage and land application",0.0,0.0,0.0,0.0,0.0
China,Activity,Meat animals nec,2.52049372908094e-10,1.2811499696791963e-11,1.0083932491810643e-11,8.349034134079428e-13,4.842655037350218e-13
China,Activity,Mining of aluminium ores and concentrates,3.1806282650559617e-13,2.171312451082229e-13,1.251842031554288e-13,8.014089733600827e-15,4.1589049699774114e-15
China,Activity,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",1.2508020975189809e-12,5.223249634031717e-13,3.9298284005061887e-13,4.172774678577575e-14,2.2153349327764567e-14
China,Activity,Mining of coal and lignite; extraction of peat (10),4.0404603313719083e-11,7.330070697032605e-12,3.8853188767397406e-12,2.4312041471728057e-13,1.2803613339861016e-13
China,Activity,Mining of copper ores and concentrates,1.0514449868383593e-11,2.0032305372406034e-11,1.0055388236887642e-11,3.1039480697087543e-13,1.6976857881803887e-13
China,Activity,Mining of iron ores,2.0800561175646053e-12,3.860872484984615e-12,1.921034051554528e-12,8.105279595758687e-14,4.2677907577051593e-14
China,Activity,"Mining of lead, zinc and tin ores and concentrates",1.0185155940402787e-12,4.5381383314524734e-13,3.0631850627091463e-13,1.2553119116870438e-14,7.261452108782293e-15
China,Activity,Mining of nickel ores and concentrates,1.9261072735717412e-12,2.7532101424037264e-12,2.875422741285046e-12,6.763179340925356e-14,3.6892285709195534e-14
China,Activity,Mining of other non-ferrous metal ores and concentrates,9.866999235552574e-13,1.178461623989922e-12,1.7592001371438623e-12,3.2291891155143035e-14,1.8045130674120407e-14
China,Activity,Mining of precious metal ores and concentrates,3.391806307599187e-10,2.1097136704270347e-11,1.0117748657735946e-11,6.385427272640264e-13,3.342477043138579e-13
China,Activity,Mining of uranium and thorium ores (12),2.4722864441841126e-12,2.9899654679238134e-12,1.5308151899081243e-12,1.516584081190987e-13,7.543980989348463e-14
China,Activity,N-fertiliser,1.8107088434295042e-14,6.73307405746831e-15,3.707760188381613e-15,4.3495621567527303e-16,1.8976852892818573e-16
China,Activity,Other business activities (74),8.428768225481443e-12,5.335282321859668e-12,2.761650485090461e-12,3.2727090058174737e-13,1.548522507978564e-13
China,Activity,Other land transport,4.8799575095248926e-11,2.091847692796967e-11,1.1106580645062374e-11,1.0372583178350682e-12,5.947423581787574e-13
China,Activity,Other non-ferrous metal production,2.3103406347147552e-12,3.947238876435685e-12,6.35953757786824e-12,1.1102982741885617e-13,6.217142081419374e-14
China,Activity,Other service activities (93),7.2113750501003125e-12,1.0164994511783047e-12,5.955994304929311e-13,4.8581139402015536e-14,2.5824645882090466e-14
