Region,,,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK
Level,,,Activity,Activity,Activity,Activity,Activity
Item,,,Production of photovoltaic plants,Production of onshore wind plants,Production of offshore wind plants,Production of electricity by wind,Production of electricity by solar photovoltaic
Region,Level,Item,,,,,
China,Activity,Activities auxiliary to financial intermediation (67),7.283347516790689e-12,3.3950358330405983e-12,1.7727840243071219e-12,5.776239679127116e-13,2.4423847216552805e-12
China,Activity,Activities of membership organisation n.e.c. (91),3.7807977421938484e-14,7.369060969767218e-15,4.011658469195564e-15,1.3407230447094373e-15,1.2484198768749697e-14
China,Activity,Air transport (62),3.0163636499428894e-11,1.4278311633299426e-11,7.962070777345256e-12,2.841979611007909e-12,1.0360306379865784e-11
China,Activity,Aluminium production,4.9721919474346903e-11,3.507929722448374e-11,1.7014658469520064e-11,5.237277791653211e-12,1.6587915412162527e-11
China,Activity,Animal products nec,6.776804616682552e-12,2.5848781192572335e-12,1.6249227670738323e-12,5.720142246479445e-13,2.3378227278132992e-12
China,Activity,"Biogasification of food waste, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Biogasification of paper, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Biogasification of sewage slugde, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,Casting of metals,6.441382417973974e-12,2.267617783650165e-11,1.0159856644804861e-11,3.071371745145609e-12,2.248716669193055e-12
China,Activity,Cattle farming,4.542310440360542e-12,1.7015741310931606e-12,1.0080961247129236e-12,3.3969709394540657e-13,1.5430543714420192e-12
China,Activity,Chemicals nec,1.2613184487505732e-10,2.964084804814729e-11,1.71121433509905e-11,5.769072638601903e-12,4.188228338950464e-11
China,Activity,"Collection, purification and distribution of water (41)",1.5924245677884094e-12,4.813553795393358e-13,2.555680134371016e-13,7.89132340660572e-14,5.261979912175982e-13
China,Activity,"Composting of food waste, incl. land application",8.81774137895806e-14,1.2702339762487814e-14,7.458148930235705e-15,2.4231573435102936e-15,2.905570268274418e-14
China,Activity,"Composting of paper and wood, incl. land application",2.9978745608656373e-14,3.781422858865195e-15,2.221056665327356e-15,6.895413420810173e-16,9.849145899480304e-15
China,Activity,Computer and related activities (72),1.2078050529498968e-12,5.974562349853671e-13,3.4501580803641793e-13,1.1910282318939775e-13,4.164182511918921e-13
China,Activity,Construction (45),2.020158805214114e-11,5.543714131732215e-12,3.6987614854064514e-12,1.8842051291936592e-12,7.586817278903264e-12
China,Activity,Copper production,5.622222351238371e-12,2.884758366917139e-11,1.3038010663656419e-11,3.9561574587352e-12,2.0494218026856246e-12
China,Activity,Cultivation of cereal grains nec,6.853027209992844e-11,1.7872051560893337e-11,1.0131497906079064e-11,3.2648482638902353e-12,2.2837387315021515e-11
China,Activity,Cultivation of crops nec,3.313650560444458e-10,1.0147086972821516e-10,5.7101117265988056e-11,1.866604524473498e-11,1.1060471756509792e-10
China,Activity,Cultivation of oil seeds,1.3431875507126313e-10,8.350595350683657e-11,4.389343440537294e-11,1.4145928603438575e-11,4.551294007424234e-11
China,Activity,Cultivation of paddy rice,6.351927060968043e-11,2.1426918913193433e-11,1.1324119218027557e-11,3.707511851273231e-12,2.1148385136052264e-11
China,Activity,Cultivation of plant-based fibers,6.01764544885477e-11,3.2052197350814184e-11,1.917952523164555e-11,6.4707161336378856e-12,2.0749752918883285e-11
China,Activity,"Cultivation of sugar cane, sugar beet",4.805951235807668e-11,1.7797236413419367e-11,9.567499290582936e-12,3.1069503407749195e-12,1.6087321865783094e-11
China,Activity,"Cultivation of vegetables, fruit, nuts",4.0538263307420623e-10,1.3818864768012066e-10,7.75722297141025e-11,2.5556212423129713e-11,1.3639628898710346e-10
China,Activity,Cultivation of wheat,4.68776961916928e-11,1.838119237663596e-11,1.0282828588565472e-11,3.410146898468724e-12,1.5792521835858024e-11
China,Activity,Distribution and trade of electricity,3.4364266447258196e-14,1.3197759424877212e-14,7.140243638582764e-15,2.1716672153242358e-15,1.1397187488822182e-14
China,Activity,Education (80),5.827148718866467e-13,2.165193508412256e-13,1.1426388768372569e-13,3.80414223743875e-14,1.948560542871717e-13
China,Activity,Extra-territorial organizations and bodies,0.0,0.0,0.0,0.0,0.0
China,Activity,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",3.902578571083182e-11,1.482299999846969e-11,8.104115952528175e-12,2.6013741026261355e-12,1.3030909650697681e-11
China,Activity,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",1.254525571664954e-12,9.466010856421536e-13,5.029987426058935e-13,1.6710652196971758e-13,4.2963393762430086e-13
China,Activity,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",0.0,0.0,0.0,0.0,0.0
China,Activity,"Financial intermediation, except insurance and pension funding (65)",3.0984481487794005e-11,9.980625303502908e-12,5.119458429740918e-12,1.6462140770833243e-12,1.0270201013491941e-11
China,Activity,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",3.328662311029395e-10,2.1522090266801708e-10,1.1218740761977464e-10,3.655392201149699e-11,1.13589007603292e-10
China,Activity,"Forestry, logging and related service activities (02)",3.9256792998954935e-10,1.8116235726168692e-10,9.696557161281776e-11,3.198798464443989e-11,1.3207265169592507e-10
China,Activity,Health and social work (85),4.335914319477306e-12,1.567110973340348e-12,7.734610535825792e-13,2.3568732539323047e-13,1.4286947257933217e-12
China,Activity,Hotels and restaurants (55),3.4822679633539835e-10,1.7986693758312837e-10,9.881185833405047e-11,3.269809066828659e-11,1.196534043593195e-10
China,Activity,Incineration of waste: Food,4.824611310932898e-13,8.893002617663168e-14,4.9844403400901265e-14,1.6287770652287502e-14,1.5922917250206412e-13
China,Activity,Incineration of waste: Metals and Inert materials,5.310518454022202e-14,1.1119602367323802e-14,7.192171328358706e-15,4.2802398391136165e-15,1.7830694440400375e-14
China,Activity,Incineration of waste: Oil/Hazardous waste,9.88017735011257e-14,1.9208818175995902e-14,1.1051044848239863e-14,3.64631842291628e-15,3.269341833597155e-14
China,Activity,Incineration of waste: Paper,4.6843355936242e-13,8.058232283998643e-14,4.536783545879004e-14,1.4528680993056506e-14,1.543419958220051e-13
China,Activity,Incineration of waste: Plastic,1.1398983468483254e-13,1.82400495166639e-14,1.0641722303231826e-14,3.4696889541341936e-15,3.76101001895348e-14
China,Activity,Incineration of waste: Textiles,9.15840657704962e-14,1.8093415790085387e-14,1.0203890171045295e-14,3.3345077957958007e-15,3.026774238086387e-14
China,Activity,Incineration of waste: Wood,1.0807326215893747e-13,2.0065653976151438e-14,1.1403401968109891e-14,3.668500038330431e-15,3.567569889958364e-14
China,Activity,Inland water transport,1.1461292694240755e-12,6.035749894009486e-13,3.1683650416219456e-13,1.0072787561630011e-13,3.859284771659488e-13
China,Activity,"Insurance and pension funding, except compulsory social security (66)",9.473722711901762e-12,3.94275015881243e-12,2.0494885924092377e-12,6.982849701901505e-13,3.194215555629689e-12
China,Activity,Landfill of waste: Food,1.865268578465962e-12,3.6138510605537965e-13,1.9960827991755217e-13,6.294399560868083e-14,6.146070813679141e-13
China,Activity,Landfill of waste: Inert/metal/hazardous,6.795530244006506e-13,1.1905483358595438e-13,6.642421152086115e-14,2.1694234017768024e-14,2.2379223330857403e-13
China,Activity,Landfill of waste: Paper,8.477806459191199e-13,1.339754176797009e-13,7.652023041212963e-14,2.4478986019012693e-14,2.7916594723612123e-13
China,Activity,Landfill of waste: Plastic,6.182331839308539e-13,1.2369725532204275e-13,6.830516407606294e-14,2.1625249215812233e-14,2.0383204856096496e-13
China,Activity,Landfill of waste: Textiles,2.8432430978305496e-13,5.092553769970485e-14,2.8288362839045368e-14,9.026000815008793e-15,9.365609030854434e-14
China,Activity,Landfill of waste: Wood,3.4332020503274886e-13,6.137767580911417e-14,3.4061774536370724e-14,1.0876325393824998e-14,1.1308569441120218e-13
China,Activity,"Lead, zinc and tin production",1.149434288169278e-12,1.6515836114352095e-12,8.221128621198548e-13,2.5908003638925634e-13,4.0226146811119304e-13
China,Activity,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,1.2292397955911568e-10,2.8840079615046795e-10,1.3915351712460394e-10,4.2603481744810755e-11,4.323864491709018e-11
China,Activity,Manufacture of beverages,1.1275555255791154e-12,7.358858031240525e-13,3.839819900447899e-13,1.2550701262968e-13,3.8661925280128657e-13
China,Activity,"Manufacture of bricks, tiles and construction products, in baked clay",9.661074036816824e-14,5.5433443881423e-14,3.4152216600058524e-14,1.2915435949126822e-14,3.4800085024508007e-14
China,Activity,"Manufacture of cement, lime and plaster",4.738104401171325e-13,1.3157374772504511e-13,1.3774872061087863e-13,6.611341442619702e-14,1.8768456780483798e-13
China,Activity,Manufacture of ceramic goods,4.321074553661099e-12,5.92337043578426e-12,3.0880284374388242e-12,1.0963930940595337e-12,1.630300651217865e-12
China,Activity,Manufacture of coke oven products,8.185491843746666e-12,7.021459882750636e-12,3.566674239182289e-12,1.081208271002914e-12,2.753910727904246e-12
China,Activity,Manufacture of electrical machinery and apparatus n.e.c. (31),6.45510973558744e-11,6.830754729385242e-10,2.951693476436347e-10,8.783427029244423e-11,2.373723397547118e-11
China,Activity,"Manufacture of fabricated metal products, except machinery and equipment (28)",8.331483770521893e-11,9.182765657670632e-11,4.851263273945254e-11,1.538465035240006e-11,2.879482941153577e-11
China,Activity,Manufacture of fish products,4.6892198385193196e-12,3.2357709270928237e-12,1.6670095378094656e-12,5.407871528306395e-13,1.6002941211063775e-12
China,Activity,Manufacture of furniture; manufacturing n.e.c. (36),5.66997123356587e-11,5.604599541411038e-11,2.821773590560264e-11,9.268249682933661e-12,1.9360375226775282e-11
China,Activity,Manufacture of gas; distribution of gaseous fuels through mains,2.506370754289951e-12,1.133006033634976e-12,5.989133437504275e-13,1.821543953912827e-13,8.325711044911592e-13
China,Activity,Manufacture of glass and glass products,5.794681503501714e-10,1.8710624159641843e-11,1.0146744449229875e-11,3.0421101009424034e-12,1.8871751480427e-10
China,Activity,Manufacture of machinery and equipment n.e.c. (29),1.2753329587438263e-10,1.0201950640348133e-10,5.4654192203297345e-11,1.7847172840447818e-11,4.3597274687797875e-11
China,Activity,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",9.862660354981052e-12,1.618390757073029e-11,8.752139259255325e-12,4.009203152116465e-12,4.29552699357503e-12
China,Activity,"Manufacture of motor vehicles, trailers and semi-trailers (34)",7.059242137348725e-11,1.3016530093484986e-11,7.699220711891404e-12,2.438639128525294e-12,2.3349921163245915e-11
China,Activity,Manufacture of office machinery and computers (30),1.5858532699193208e-11,1.5126773130046423e-11,1.0117265515427033e-11,4.132341128141349e-12,6.369993408473745e-12
China,Activity,Manufacture of other non-metallic mineral products n.e.c.,2.1568269613738912e-10,1.1602343732506455e-11,6.036781660516672e-12,1.8642458218938216e-12,7.032801548929558e-11
China,Activity,Manufacture of other transport equipment (35),1.4435825284922699e-11,5.891429571519841e-12,3.549770777776228e-12,1.2269892039391756e-12,4.947510884487706e-12
China,Activity,"Manufacture of radio, television and communication equipment and apparatus (32)",1.2885660791075495e-11,4.1455739887388776e-11,2.1375914338917647e-11,8.029473427392584e-12,5.5976566202821906e-12
China,Activity,Manufacture of rubber and plastic products (25),1.5123983752135515e-10,1.4013516251667607e-10,7.058321687737976e-11,2.2478873719180556e-11,5.167713582229707e-11
China,Activity,Manufacture of textiles (17),3.8048493586463464e-11,2.2257752608439654e-11,1.2698002890884232e-11,4.247182846740182e-12,1.3070357145619593e-11
China,Activity,Manufacture of tobacco products (16),1.28118215640936e-13,3.955990944249978e-14,2.1420135567428504e-14,6.2762343699541654e-15,4.218093593072739e-14
China,Activity,Manufacture of wearing apparel; dressing and dyeing of fur (18),8.33564527950779e-12,3.2280545791124023e-12,1.8584945800377156e-12,6.373188795843812e-13,2.8269028292051706e-12
China,Activity,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",1.1415456568784442e-12,7.393684833938371e-13,7.189359759185947e-13,2.565949645439031e-13,4.521759135165231e-13
China,Activity,"Manure treatment (biogas), storage and land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Manure treatment (conventional), storage and land application",0.0,0.0,0.0,0.0,0.0
China,Activity,Meat animals nec,2.310183029686787e-10,1.2226671575910157e-11,9.513831570296812e-12,2.7568452336231745e-12,7.563783919783802e-11
China,Activity,Mining of aluminium ores and concentrates,1.285539408029663e-12,8.88371949357851e-13,5.236538516163546e-13,1.5794404357946528e-13,4.3650313958173486e-13
China,Activity,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",6.587678775117751e-13,3.15705197255246e-13,2.6028408053615304e-13,7.244494693392135e-14,2.2528835505304757e-13
China,Activity,Mining of coal and lignite; extraction of peat (10),5.218545085895553e-16,1.007167405349459e-16,5.345703003161735e-17,1.6445909652995234e-17,1.713820125085961e-16
China,Activity,Mining of copper ores and concentrates,7.919655500197108e-12,1.3635899621192867e-11,6.848499163278257e-12,1.9739417165217596e-12,2.6884345156016646e-12
China,Activity,Mining of iron ores,9.17821453030647e-13,1.5718336755889919e-12,7.926997424324784e-13,2.36888642314987e-13,3.1640645237897496e-13
China,Activity,"Mining of lead, zinc and tin ores and concentrates",9.317791765306648e-14,1.331826180740441e-13,6.910906560725132e-14,2.1632090023087937e-14,3.282280273875922e-14
China,Activity,Mining of nickel ores and concentrates,1.2918651014767242e-12,1.6687454185767003e-12,1.8035155900516953e-12,3.8183528786024516e-13,4.4267055443466666e-13
China,Activity,Mining of other non-ferrous metal ores and concentrates,7.414589301275026e-12,8.320426746255504e-12,1.0552355450853689e-11,2.1259382598114493e-12,2.5355794495516855e-12
China,Activity,Mining of precious metal ores and concentrates,9.448636096510429e-11,6.974936481791457e-12,3.6216147802773136e-12,1.0654431757881623e-12,3.08021406617515e-11
China,Activity,Mining of uranium and thorium ores (12),8.054794422441892e-14,1.2093656295242553e-13,6.200291746477536e-14,2.1444258072943016e-14,2.918675978408427e-14
China,Activity,N-fertiliser,2.9167864992153595e-14,1.3905005673196148e-14,8.4384121083317e-15,3.2016384627997857e-15,1.0019855813431791e-14
China,Activity,Other business activities (74),8.720753658142938e-12,5.27463845118e-12,2.7642946249179265e-12,1.0349879085999624e-12,3.006993605750427e-12
China,Activity,Other land transport,7.029384213882708e-11,3.0514549100797815e-11,1.6418629081911227e-11,5.524033312036851e-12,2.3757341873967974e-11
China,Activity,Other non-ferrous metal production,3.1066922089284967e-12,4.740494205555227e-12,7.74439067029342e-12,1.4396385941877531e-12,1.083860828013586e-12
China,Activity,Other service activities (93),7.1918107711442695e-12,1.3441255458967242e-12,7.671241930280631e-13,2.3953712782632203e-13,2.370539128859387e-12
