Region,,,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK
Level,,,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity
Item,,,Production of photovoltaic plants,Production of onshore wind plants,Production of offshore wind plants,Production of electricity by Geothermal,Production of electricity by biomass and waste,Production of electricity by coal,Production of electricity by gas,Production of electricity by hydro,Production of electricity by nuclear,Production of electricity by petroleum and other oil derivatives,Production of electricity by solar photovoltaic,Production of electricity by solar thermal,"Production of electricity by tide, wave, ocean",Production of electricity by wind,Production of electricity nec
Region,Level,Item,,,,,,,,,,,,,,,
China,Activity,Activities auxiliary to financial intermediation (67),6.355741599003581e-12,3.4702627481712597e-12,1.809790496902401e-12,3.515872945881249e-13,2.9187135918476196e-13,3.292537051050014e-13,3.9433311683510857e-13,1.820165014449591e-13,1.5481839679696197e-13,3.310122882692884e-13,3.614448728835948e-12,1.2027652101638908e-13,1.2828610463786457e-13,1.1494921222786507e-12,2.4962918978676146e-13
China,Activity,Activities of membership organisation n.e.c. (91),3.026426141658806e-14,5.973187323460926e-15,3.2740413123530526e-15,5.441416409464719e-16,5.737626022132681e-16,8.227670416744615e-16,8.616328028445645e-16,3.4448981604741134e-16,3.029956839652183e-16,7.992725287611516e-16,1.699346433645022e-14,2.7913952595151946e-16,2.4821074535485637e-16,2.071733892503021e-15,4.939069651423633e-16
China,Activity,Air transport (62),2.6091557362404626e-11,1.339710431523693e-11,7.376381003894705e-12,1.360334870620903e-12,1.7765642972867e-12,1.7205369892861466e-12,2.201801933603543e-12,9.979592841219286e-13,9.954666604646232e-13,1.8306223847844463e-12,1.5024384797598e-11,1.0091813374511656e-12,1.078938548107387e-12,4.824773684067862e-12,1.4626489971340454e-12
China,Activity,Aluminium production,3.2073354382914264e-11,2.5302886764734222e-11,1.232997977297532e-11,1.0264662908309003e-12,1.2041302651662725e-12,1.5696067090510516e-12,1.8038489296589258e-12,7.526975739367922e-13,6.833120767189911e-13,1.394482543941094e-12,1.8181038546119113e-11,4.197554330407373e-13,4.91740145493859e-13,7.753980571323643e-12,1.1023688175415951e-12
China,Activity,Animal products nec,1.3242381952953541e-12,4.881000817978225e-13,3.0761878544415746e-13,1.596581520499769e-13,1.14905912197191e-13,1.1538539657164695e-13,1.4448995559550588e-13,6.887550914407916e-14,5.3012464314628656e-14,1.2979942334300846e-13,7.641108913598486e-13,7.030308057350246e-14,5.1490804949911356e-14,2.0051838156903371e-13,9.2196270649092e-14
China,Activity,"Biogasification of food waste, incl. land application",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,Activity,"Biogasification of paper, incl. land application",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,Activity,"Biogasification of sewage slugde, incl. land application",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,Activity,Casting of metals,5.01779277933967e-12,2.0668971996735004e-11,9.397564350988485e-12,4.0787546355002115e-13,5.969661582186066e-13,8.11827974861328e-13,8.497639621501992e-13,3.705291203516974e-13,3.389653666577303e-13,6.657722369803486e-13,2.9691852382757543e-12,1.945200897832948e-13,2.444979468023545e-13,5.9681720402845145e-12,5.41602358331372e-13
