Region,,,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK
Level,,,Activity,Activity,Activity,Activity,Activity
Item,,,Production of photovoltaic plants,Production of onshore wind plants,Production of offshore wind plants,Production of electricity by wind,Production of electricity by solar photovoltaic
Region,Level,Item,,,,,
China,Activity,Activities auxiliary to financial intermediation (67),7.311432563095773e-12,3.5094184841180023e-12,1.8272484912718033e-12,8.276745405129619e-13,3.2872757079212456e-12
China,Activity,Activities of membership organisation n.e.c. (91),3.2512458573573486e-14,5.329481773138688e-15,2.8747573647530635e-15,1.2765064191904042e-15,1.4397661737136986e-14
China,Activity,Air transport (62),2.91152728254294e-11,1.315608998770953e-11,7.0509771221188325e-12,3.2587278618928714e-12,1.3171167005058528e-11
China,Activity,Aluminium production,3.3234560666843904e-11,2.619431016460807e-11,1.282948067745351e-11,5.680743849535841e-12,1.4942423985892873e-11
China,Activity,Animal products nec,1.3587733211912206e-12,4.758868454949453e-13,2.883798642283775e-13,1.3787601206000238e-13,6.214445422194115e-13
China,Activity,"Biogasification of food waste, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Biogasification of paper, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Biogasification of sewage slugde, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,Casting of metals,4.904218450280385e-12,1.9833698831674756e-11,8.899235865974216e-12,3.947680887324162e-12,2.3035806301648634e-12
China,Activity,Cattle farming,8.610515311950479e-12,2.734763226982293e-12,1.6271337479787588e-12,7.509669245621488e-13,3.89147808831769e-12
China,Activity,Chemicals nec,7.826828145750208e-11,1.649601268778882e-11,9.961146226557738e-12,5.053104727755172e-12,3.514715647871057e-11
China,Activity,"Collection, purification and distribution of water (41)",3.589906254646268e-13,8.552304742064628e-14,4.6145063921964096e-14,2.070272876389464e-14,1.5958398855117378e-13
China,Activity,"Composting of food waste, incl. land application",1.7460957728392176e-13,3.1165815512834016e-14,1.7451825977998326e-14,7.950831907533751e-15,7.754258725121015e-14
China,Activity,"Composting of paper and wood, incl. land application",3.616888565429522e-14,5.928046673358013e-15,3.2490287150868036e-15,1.4312538315727327e-15,1.60286393732687e-14
China,Activity,Computer and related activities (72),1.5246834893139086e-12,8.826803169003668e-13,5.079397117232158e-13,2.1304478451990896e-13,6.865454496687719e-13
China,Activity,Construction (45),2.5607997717042063e-11,5.9022947270573e-12,3.229444139098138e-12,1.6395223900457166e-12,1.163844128589651e-11
China,Activity,Copper production,4.032619341938354e-12,2.2487088283809688e-11,1.0204608418069837e-11,4.5421208748129685e-12,1.9700484340311522e-12
China,Activity,Cultivation of cereal grains nec,1.2602588105054515e-10,3.0241118449386485e-11,1.7027738915025133e-11,7.488663390388336e-12,5.6289369748291174e-11
China,Activity,Cultivation of crops nec,1.4776701622616455e-10,4.1385927721513614e-11,2.358876987129734e-11,1.0741220843387397e-11,6.618384996314941e-11
China,Activity,Cultivation of oil seeds,2.321687908206157e-12,1.2684192096081367e-12,6.91369403063302e-13,3.259157957906568e-13,1.0596807292261548e-12
China,Activity,Cultivation of paddy rice,1.0447263268379486e-10,3.9736282245504694e-11,2.1217867398196907e-11,9.938992359218453e-12,4.6978417058772914e-11
China,Activity,Cultivation of plant-based fibers,7.779780433261029e-11,5.076675470865933e-11,2.964868813382955e-11,1.3845179062450209e-11,3.6265085898536845e-11
China,Activity,"Cultivation of sugar cane, sugar beet",3.2314829955003183e-11,1.2835034856973904e-11,6.845790897410972e-12,3.048000902718734e-12,1.4490723031500891e-11
China,Activity,"Cultivation of vegetables, fruit, nuts",8.596549889774409e-10,2.7006606703617676e-10,1.4918263890438118e-10,6.593686862133e-11,3.8483724788620414e-10
China,Activity,Cultivation of wheat,5.361238376256165e-11,2.2184339525315525e-11,1.2263264121137972e-11,5.68345231457173e-12,2.425737219492456e-11
China,Activity,Distribution and trade of electricity,1.110685152107364e-14,4.349505505910408e-15,2.3838533601810034e-15,1.0296597367073789e-15,4.957639379931344e-15
China,Activity,Education (80),2.8673835445439143e-13,1.0667880952161586e-13,5.505670201456575e-14,2.4635810408727177e-14,1.279842500846096e-13
China,Activity,Extra-territorial organizations and bodies,0.0,0.0,0.0,0.0,0.0
China,Activity,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",3.75575069144213e-12,1.449551173893771e-12,8.057828955357155e-13,3.7038838265625235e-13,1.6915621295318967e-12
China,Activity,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",1.253733446702935e-13,1.0273159282228274e-13,5.4196346409383204e-14,2.5241846414541436e-14,5.776102667363679e-14
China,Activity,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",0.0,0.0,0.0,0.0,0.0
China,Activity,"Financial intermediation, except insurance and pension funding (65)",3.461280878444664e-11,1.1716628884283223e-11,5.9628496716032555e-12,2.674429055814099e-12,1.5431688382901244e-11
China,Activity,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",5.869727560837035e-11,4.003635138506331e-11,2.0545891230534202e-11,9.220573785106558e-12,2.6575735065516198e-11
China,Activity,"Forestry, logging and related service activities (02)",5.916801116536172e-11,2.4668579304761912e-11,1.3794690299056471e-11,6.529978199078618e-12,2.681870387931094e-11
China,Activity,Health and social work (85),5.49210104715528e-12,2.2953918033961493e-12,1.0917760051064187e-12,4.836967210059881e-13,2.4363924177228334e-12
China,Activity,Hotels and restaurants (55),3.6235983653230356e-10,1.7537424761416358e-10,9.533429274410857e-11,4.1346126431421727e-11,1.6251433961623257e-10
China,Activity,Incineration of waste: Food,1.3736920274366808e-12,1.9128987645119538e-13,1.0648656748018009e-13,4.680911495364742e-14,6.079673455422238e-13
China,Activity,Incineration of waste: Metals and Inert materials,1.294690147239493e-13,2.6136405280769616e-14,1.6959002354470376e-14,8.579705815458614e-15,5.862883308156553e-14
China,Activity,Incineration of waste: Oil/Hazardous waste,2.8738820172796533e-13,4.565685044023338e-14,2.5947434517384737e-14,1.2204946013197404e-14,1.2760581941665906e-13
China,Activity,Incineration of waste: Paper,1.3952638841608953e-12,1.956169059365483e-13,1.0873439108273454e-13,4.7768367569509426e-14,6.175052513689811e-13
China,Activity,Incineration of waste: Plastic,2.461519360901875e-13,3.720156022884775e-14,2.071962670471006e-14,9.159820418319453e-15,1.090498864373914e-13
China,Activity,Incineration of waste: Textiles,2.82564191568763e-13,3.998370349489627e-14,2.2371021498737342e-14,9.822684753149179e-15,1.2508430500354388e-13
China,Activity,Incineration of waste: Wood,3.1795092647838405e-13,4.1537372916036105e-14,2.35125775020747e-14,1.0499787305125592e-14,1.4075005037173379e-13
China,Activity,Inland water transport,1.1374040926271245e-12,4.839478922999347e-13,2.5248342385638873e-13,1.125505889684018e-13,5.099748483922708e-13
China,Activity,"Insurance and pension funding, except compulsory social security (66)",8.955270410168582e-12,3.993404602437851e-12,2.0403676627339406e-12,9.203472869501338e-13,4.021477946632604e-12
China,Activity,Landfill of waste: Food,5.177131495990814e-12,6.89875915842907e-13,3.8397659951947143e-13,1.6858934796892697e-13,2.2903470931686015e-12
China,Activity,Landfill of waste: Inert/metal/hazardous,1.643896313841477e-12,2.356794998621344e-13,1.3120457555513664e-13,5.83923297339782e-14,7.279295077044674e-13
China,Activity,Landfill of waste: Paper,2.0692157145230304e-12,2.8460316462065883e-13,1.5890397440267786e-13,6.969746698808398e-14,9.164199260651536e-13
China,Activity,Landfill of waste: Plastic,1.7584231834770234e-12,2.382235673871591e-13,1.3266976676722194e-13,5.813804627992016e-14,7.779997518066304e-13
China,Activity,Landfill of waste: Textiles,7.441971578278896e-13,9.664712191196524e-14,5.4098058593818455e-14,2.372815852418475e-14,3.292176154373553e-13
China,Activity,Landfill of waste: Wood,8.815409370909605e-13,1.1786538063541073e-13,6.57211207937842e-14,2.885458032965595e-14,3.9003781234708844e-13
China,Activity,"Lead, zinc and tin production",9.510852203714259e-13,1.4084059676219225e-12,6.79067101374276e-13,3.047802277575269e-13,4.3809520268487436e-13
China,Activity,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,7.854837566683734e-11,2.1347895014325936e-10,1.020125840590927e-10,4.516632162297057e-11,3.6997685217912935e-11
China,Activity,Manufacture of beverages,8.937238312692592e-13,5.940516568548358e-13,3.066073257950247e-13,1.3689956386896713e-13,4.0399162334568e-13
China,Activity,"Manufacture of bricks, tiles and construction products, in baked clay",8.24385933500456e-14,3.716654123817699e-14,2.8170603050458333e-14,1.5078857894272877e-14,3.985574173162236e-14
China,Activity,"Manufacture of cement, lime and plaster",4.690575476806513e-13,1.375839573498184e-13,1.6205331498741878e-13,9.100928712918985e-14,2.394528608604196e-13
China,Activity,Manufacture of ceramic goods,4.2014171347358145e-12,4.826807864598911e-12,2.6199656831605428e-12,1.285534814205802e-12,2.057500271165898e-12
China,Activity,Manufacture of coke oven products,5.9922138022870705e-12,6.828501506793952e-12,3.460791169657464e-12,1.5147632449221918e-12,2.7293186822921488e-12
China,Activity,Manufacture of electrical machinery and apparatus n.e.c. (31),6.507984939920546e-11,7.074884696169278e-10,3.0697497161824697e-10,1.3590207989488908e-10,3.215606033044889e-11
China,Activity,"Manufacture of fabricated metal products, except machinery and equipment (28)",7.735226037983724e-11,9.28520333665281e-11,4.989172508999198e-11,2.2058162390463e-11,3.577654005316819e-11
China,Activity,Manufacture of fish products,4.530221512538064e-12,3.2679410737806345e-12,1.6590651669183705e-12,7.424351220082914e-13,2.0512017070012936e-12
China,Activity,Manufacture of furniture; manufacturing n.e.c. (36),5.133454718743686e-11,5.681267445850735e-11,2.8692736979446607e-11,1.3281154579560694e-11,2.356588184022111e-11
China,Activity,Manufacture of gas; distribution of gaseous fuels through mains,6.673032286083304e-13,3.236993531469196e-13,1.7316635508513656e-13,7.532708638235377e-14,2.986323830128766e-13
China,Activity,Manufacture of glass and glass products,4.791065306242159e-10,1.583799234030437e-11,8.70823194115772e-12,3.70344394623082e-12,2.1050243054467394e-10
China,Activity,Manufacture of machinery and equipment n.e.c. (29),1.247873746212811e-10,1.1815802743139065e-10,6.359688567216389e-11,2.8161374237716652e-11,5.720531410350011e-11
China,Activity,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",7.285944264076328e-12,1.5839932094899675e-11,8.322667932450698e-12,4.495223367906416e-12,4.039079507715063e-12
China,Activity,"Manufacture of motor vehicles, trailers and semi-trailers (34)",7.971320229003302e-11,1.2491954489715307e-11,7.811076471110537e-12,3.498587806796095e-12,3.5659168939471e-11
China,Activity,Manufacture of office machinery and computers (30),1.3906061112869326e-11,1.563477462196595e-11,9.301504145832372e-12,4.813024781034095e-12,7.0558912055274705e-12
China,Activity,Manufacture of other non-metallic mineral products n.e.c.,1.8979044393481367e-10,1.0395098047071125e-11,5.503436586988681e-12,2.411213987584657e-12,8.347666978295531e-11
China,Activity,Manufacture of other transport equipment (35),1.7892688046986185e-11,6.579109629060546e-12,3.831983830031396e-12,1.7492803779848207e-12,8.131414229428488e-12
China,Activity,"Manufacture of radio, television and communication equipment and apparatus (32)",1.3076095245598415e-11,4.0097253874398066e-11,2.0918210406923542e-11,1.0732047747731653e-11,7.308289337515067e-12
China,Activity,Manufacture of rubber and plastic products (25),1.0088070944264399e-10,7.762324235364713e-11,4.106367878854881e-11,1.8946799630850858e-11,4.638953650502939e-11
China,Activity,Manufacture of textiles (17),3.4062957592412374e-11,2.3137829713851192e-11,1.2866554632074196e-11,6.003383883765052e-12,1.579526625744966e-11
China,Activity,Manufacture of tobacco products (16),1.8793166059928242e-13,5.083350153883441e-14,2.759195745007293e-14,1.1433567810739489e-14,8.308967930930965e-14
China,Activity,Manufacture of wearing apparel; dressing and dyeing of fur (18),1.2930326565059691e-11,4.868854294516385e-12,2.6718454579332655e-12,1.224278309006575e-12,5.845078975794717e-12
China,Activity,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",1.601281207774955e-12,1.1725991255452885e-12,9.51296375064798e-13,4.406199623323847e-13,7.99563438481969e-13
China,Activity,"Manure treatment (biogas), storage and land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Manure treatment (conventional), storage and land application",0.0,0.0,0.0,0.0,0.0
China,Activity,Meat animals nec,3.0265197743942355e-10,1.4205233902487289e-11,1.1039540481685169e-11,4.342704117376027e-12,1.3439442482707989e-10
China,Activity,Mining of aluminium ores and concentrates,2.3703674648143844e-13,1.5445911495627375e-13,8.858846917426934e-14,3.8006973258110324e-14,1.0737949737640366e-13
China,Activity,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",8.386948015718823e-13,5.682466832566876e-13,5.023872985649528e-13,1.9793790651458742e-13,3.958248019671035e-13
China,Activity,Mining of coal and lignite; extraction of peat (10),2.1652104316817406e-11,6.3881570582328786e-12,3.2500624129749686e-12,1.436916115341269e-12,9.605838275820809e-12
China,Activity,Mining of copper ores and concentrates,6.021770516774604e-12,1.4944459109914055e-11,7.220489661670861e-12,3.1107653409395424e-12,2.7799690970937197e-12
China,Activity,Mining of iron ores,1.369764872381523e-12,2.919711908355469e-12,1.4666133355268037e-12,6.388018863482662e-13,6.402285108090472e-13
China,Activity,"Mining of lead, zinc and tin ores and concentrates",5.134787478195347e-13,3.314662781238578e-13,2.0577640305470714e-13,8.181926763401463e-14,2.3101006279240464e-13
China,Activity,Mining of nickel ores and concentrates,1.3357757877566756e-12,2.173136309260226e-12,2.5192119425166744e-12,7.536161914213384e-13,6.167738335478521e-13
China,Activity,Mining of other non-ferrous metal ores and concentrates,6.175044757385018e-13,9.365756331488762e-13,1.3099349114714022e-12,3.693477398461105e-13,2.8494754270554666e-13
China,Activity,Mining of precious metal ores and concentrates,2.7720323870935256e-10,1.822267299446638e-11,8.901619136281015e-12,3.865762872806401e-12,1.2182436018962274e-10
China,Activity,Mining of uranium and thorium ores (12),1.253971493388257e-12,1.7017908392161068e-12,8.426905449926738e-13,3.969351848978228e-13,5.896448528383402e-13
China,Activity,N-fertiliser,3.408275027984141e-14,1.2976380616907129e-14,8.060485469417562e-15,4.566215661534656e-15,1.5382053104403525e-14
China,Activity,Other business activities (74),8.420349390476763e-12,5.427057046985406e-12,2.6846485570711735e-12,1.2008726514684268e-12,3.7834401794095706e-12
China,Activity,Other land transport,6.45979163241831e-11,2.4874821974171265e-11,1.3432533865962547e-11,6.001301578748417e-12,2.9046379868269442e-11
China,Activity,Other non-ferrous metal production,2.207486575127149e-12,3.792658897151083e-12,6.448698879903873e-12,1.72229813507938e-12,1.0287843902533491e-12
China,Activity,Other service activities (93),1.00528084133914e-11,1.3302323085673033e-12,7.712403444017301e-13,3.268093831413791e-13,4.464572778400739e-12
