Region,,,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK
Level,,,Activity,Activity,Activity,Activity,Activity
Item,,,Production of photovoltaic plants,Production of onshore wind plants,Production of offshore wind plants,Production of electricity by wind,Production of electricity by solar photovoltaic
Region,Level,Item,,,,,
China,Activity,Activities auxiliary to financial intermediation (67),1.410006426589505e-05,6.787849017578758e-06,3.5334835669495273e-06,2.422888690621006e-07,1.5269993670352335e-07
China,Activity,Activities of membership organisation n.e.c. (91),1.2168184261507697e-05,1.9983812049617943e-06,1.0776166791962015e-06,7.140403843668833e-08,4.937862353696284e-08
China,Activity,Air transport (62),0.0018289650472850623,0.0008288172418530764,0.0004441119511793836,3.696199138472344e-05,2.489539401645103e-05
China,Activity,Aluminium production,0.001042104427780508,0.0008245131039328159,0.0004037473357827353,1.8709759374825794e-05,1.1268272345209276e-05
China,Activity,Animal products nec,7.467169230363968e-06,2.6220610062050917e-06,1.5886463197867377e-06,1.9164432074636558e-07,1.3893542399664596e-07
China,Activity,"Biogasification of food waste, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Biogasification of paper, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Biogasification of sewage slugde, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,Casting of metals,0.0008112499057149783,0.003324289211704993,0.001491287827477662,4.257454175859523e-05,2.518224019514932e-05
China,Activity,Cattle farming,2.8624550735144977e-06,9.11392340779308e-07,5.421590441672195e-07,5.476368495803349e-08,3.7727857616296305e-08
China,Activity,Chemicals nec,0.018887846385424106,0.003989184326350512,0.0024083565890791084,0.0003594207577969021,0.00019441873046888226
China,Activity,"Collection, purification and distribution of water (41)",9.825092360172719e-06,2.345713030032712e-06,1.265340854662451e-06,8.975369403840915e-08,5.6561490834145986e-08
China,Activity,"Composting of food waste, incl. land application",1.6128702004480427e-06,2.8844008343809554e-07,1.6147349549521562e-07,1.3659902190964448e-08,8.573338545220492e-09
China,Activity,"Composting of paper and wood, incl. land application",2.1073914330448543e-07,3.460511677643048e-08,1.8960755286322853e-08,1.244906616940352e-09,9.239658793519873e-10
China,Activity,Computer and related activities (72),1.4134344469847106e-05,8.210150220598e-06,4.723739518439482e-06,2.5141745294518827e-07,1.6262014580681157e-07
China,Activity,Construction (45),2.8118468156797343e-05,6.494786467825338e-06,3.552740221348168e-06,4.70935176514026e-07,4.4231775321491593e-07
China,Activity,Copper production,0.0002704164271668079,0.0015348115829348398,0.0006963605208488622,2.2668533911764806e-05,1.3578271822052066e-05
China,Activity,Cultivation of cereal grains nec,9.319223509971411e-05,2.241116488229861e-05,1.2616019866121874e-05,8.803092870426318e-07,7.339417676816845e-07
China,Activity,Cultivation of crops nec,6.044275949911567e-05,1.6967977085536146e-05,9.669177181160402e-06,8.459598442976662e-07,5.512494277149757e-07
China,Activity,Cultivation of oil seeds,8.815963678289052e-05,4.831856810177036e-05,2.6331716281010307e-05,2.5167204351725627e-06,1.5576248143222098e-06
China,Activity,Cultivation of paddy rice,3.7445420923105424e-05,1.4280016850100802e-05,7.623409695326647e-06,6.769380945707665e-07,4.0811727959307935e-07
China,Activity,Cultivation of plant-based fibers,0.00014672283578320903,9.608901817871427e-05,5.610863442479926e-05,5.797410609972017e-06,4.023132912616369e-06
China,Activity,"Cultivation of sugar cane, sugar beet",7.328828745820217e-05,2.918762275285692e-05,1.5564400935908855e-05,1.017754546469656e-06,7.06927272892084e-07
China,Activity,"Cultivation of vegetables, fruit, nuts",0.00022010350750172424,6.931529845012502e-05,3.8280965504970956e-05,2.624660315073299e-06,1.95659393267443e-06
China,Activity,Cultivation of wheat,1.5962915999473196e-05,6.623616808833864e-06,3.660735746392931e-06,3.3009281254170975e-07,2.1855881702452061e-07
China,Activity,Distribution and trade of electricity,8.766703173679508e-06,3.4423320149917637e-06,1.8862675192311382e-06,1.0767870598421111e-07,6.640941365603666e-08
China,Activity,Education (80),2.2318915032307766e-06,8.325138943181711e-07,4.2955967539633056e-07,2.6362123480233943e-08,1.6880758748442233e-08
China,Activity,Extra-territorial organizations and bodies,0.0,0.0,0.0,0.0,0.0
China,Activity,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",0.001071653964154164,0.0004147192126272991,0.00023048957521649066,2.0140336051650608e-05,1.2453642926041913e-05
China,Activity,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",1.6158007211149013e-05,1.3293350963072097e-05,7.01165672519264e-06,5.879905427570665e-07,3.548953538841483e-07
China,Activity,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",0.0,0.0,0.0,0.0,0.0
China,Activity,"Financial intermediation, except insurance and pension funding (65)",0.0006369891533293862,0.0002161592802107641,0.00010998147906913751,6.566115860665789e-06,4.494993793799526e-06
China,Activity,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",1.9733386547325065e-06,1.3507871746713404e-06,6.93060499510952e-07,4.2691730396828414e-08,2.7594135809574823e-08
China,Activity,"Forestry, logging and related service activities (02)",0.00011559389108574508,4.8328261615064195e-05,2.7019946525035183e-05,2.760231512501831e-06,1.6759997647416414e-06
China,Activity,Health and social work (85),0.00018614676388867702,7.800900426109448e-05,3.7094718445237006e-05,1.5037084347208085e-06,8.98389933596178e-07
China,Activity,Hotels and restaurants (55),9.97588185481952e-05,4.842546634244921e-05,2.6319158804617585e-05,1.5097030614525309e-06,9.683240573990637e-07
China,Activity,Incineration of waste: Food,5.970583769107499e-06,8.329022472575097e-07,4.635138287157985e-07,3.129508615882195e-08,2.2705675100817267e-08
China,Activity,Incineration of waste: Metals and Inert materials,0.0001656129717749298,3.3502457381643124e-05,2.1734471589454335e-05,3.4623074028074996e-06,2.3323208757049005e-06
China,Activity,Incineration of waste: Oil/Hazardous waste,0.000345517728297111,5.49945828300034e-05,3.1245536248199725e-05,3.1869499671807895e-06,1.8120395403175703e-06
China,Activity,Incineration of waste: Paper,5.915905790438034e-06,8.30897838844464e-07,4.6171515061432e-07,3.092898781522814e-08,2.245766017228877e-08
China,Activity,Incineration of waste: Plastic,0.0003128396481114909,4.736708112181273e-05,2.637358200275191e-05,1.8492618840644395e-06,1.3272291347071389e-06
China,Activity,Incineration of waste: Textiles,0.00031364006374765625,4.446073974276532e-05,2.4868392119789638e-05,1.6891670579275914e-06,1.2230630722178483e-06
China,Activity,Incineration of waste: Wood,9.264375076544749e-07,1.212422126609662e-07,6.860887440106049e-08,5.314900251226573e-09,3.616016971933184e-09
China,Activity,Inland water transport,0.0014375568718585062,0.0006133553795862615,0.00031992787858028173,1.9758790616103492e-05,1.3783925497707343e-05
China,Activity,"Insurance and pension funding, except compulsory social security (66)",1.9460683662498947e-05,8.702599086601054e-06,4.44547165689106e-06,2.8020724012057274e-07,2.001544651651367e-07
China,Activity,Landfill of waste: Food,3.965704777518833e-05,5.293770954464455e-06,2.9455160174117003e-06,1.972623281787957e-07,1.4359189598672964e-07
China,Activity,Landfill of waste: Inert/metal/hazardous,9.099679885576517e-06,1.3069409199018172e-06,7.273627808159995e-07,5.3098903018380585e-08,3.668505918503341e-08
China,Activity,Landfill of waste: Paper,1.1959482083434507e-05,1.6478506773047026e-06,9.197685015355142e-07,6.170126932289097e-08,4.9121677670812885e-08
China,Activity,Landfill of waste: Plastic,6.816614444398177e-06,9.251186007765876e-07,5.15048978227954e-07,3.411149224940269e-08,2.498658090107877e-08
China,Activity,Landfill of waste: Textiles,2.245530684982898e-06,2.921302338081173e-07,1.6346740753332168e-07,1.1039199711353025e-08,8.09213158112086e-09
China,Activity,Landfill of waste: Wood,2.815629163545688e-06,3.771231585478205e-07,2.10215668418916e-07,1.4142852647396838e-08,1.0344639002519258e-08
China,Activity,"Lead, zinc and tin production",3.9678347701308096e-05,5.910480498696367e-05,2.849203753153182e-05,1.4008204529145896e-06,8.677191223741682e-07
China,Activity,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,0.013395051984347704,0.036754447374850945,0.017560124809663822,0.0007241895611677222,0.00043323516865233496
China,Activity,Manufacture of beverages,5.214498829956487e-06,3.478252213832548e-06,1.7948717459922191e-06,1.0845366165157847e-07,6.911277199880461e-08
China,Activity,"Manufacture of bricks, tiles and construction products, in baked clay",2.909575387726738e-05,1.3158669400505982e-05,9.972736483646426e-06,2.1017329064567293e-06,1.3032763140551915e-06
China,Activity,"Manufacture of cement, lime and plaster",0.00039233187247528835,0.00011540292647757405,0.0001359319269419142,3.8589683682205426e-05,2.8213302297169246e-05
China,Activity,Manufacture of ceramic goods,8.745265316125257e-05,0.00010098435187735262,5.480462453341224e-05,6.252509494628606e-06,4.470225763233627e-06
China,Activity,Manufacture of coke oven products,0.002226488494422467,0.0025498344454069986,0.0012920557310048346,6.211683041278014e-05,3.717767739177328e-05
China,Activity,Manufacture of electrical machinery and apparatus n.e.c. (31),0.00011427301514190746,0.0012834344465878127,0.0005567620837156223,1.1191222684382652e-05,6.436028771451885e-06
China,Activity,"Manufacture of fabricated metal products, except machinery and equipment (28)",0.0032376051075614135,0.003906806311987566,0.0020988709421929192,0.00013360639640436212,7.695828850232283e-05
China,Activity,Manufacture of fish products,2.8044585211757862e-05,2.03048950629906e-05,1.0306310857743268e-05,6.000286841533427e-07,3.9275523484555604e-07
China,Activity,Manufacture of furniture; manufacturing n.e.c. (36),0.00039546365651199985,0.0004397941243677537,0.0002220724571849712,1.6117405419313116e-05,8.029611084719663e-06
China,Activity,Manufacture of gas; distribution of gaseous fuels through mains,0.005847718170076677,0.0028451062961947723,0.001521713183194409,8.476737213804026e-05,5.1086549695401724e-05
China,Activity,Manufacture of glass and glass products,0.012750414438210848,0.0004218720441862584,0.00023175590344681838,1.1782323843780505e-05,7.529285491513399e-06
China,Activity,Manufacture of machinery and equipment n.e.c. (29),0.0004932992072638533,0.00046917686215595017,0.00025248391239522905,1.632526610071454e-05,9.698965487915266e-06
China,Activity,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",4.630190768968164e-06,1.0149477712255698e-05,5.331891999496834e-06,8.39733545819917e-07,5.388953313771483e-07
China,Activity,"Manufacture of motor vehicles, trailers and semi-trailers (34)",0.0001637505754340241,2.5709844803406433e-05,1.6072361415058852e-05,1.5345057224409538e-06,1.4042686450173552e-06
China,Activity,Manufacture of office machinery and computers (30),4.116929598297217e-05,4.652822517939335e-05,2.7676807175582654e-05,4.3435720281487135e-06,2.8363472579222004e-06
China,Activity,Manufacture of other non-metallic mineral products n.e.c.,0.0537614904637096,0.0029482769090894514,0.0015599171381695358,8.858937217282986e-05,5.704648767693887e-05
China,Activity,Manufacture of other transport equipment (35),7.82620043177668e-05,2.885290991184266e-05,1.6802140278725115e-05,1.5521297921006813e-06,1.2283310309632176e-06
China,Activity,"Manufacture of radio, television and communication equipment and apparatus (32)",7.751292555232918e-05,0.00024031472038758435,0.00012534858610108878,1.6177171806869e-05,9.396302484026646e-06
China,Activity,Manufacture of rubber and plastic products (25),0.0014176256258701348,0.001095030881180453,0.0005791780312539648,4.635158259641845e-05,2.990419712978537e-05
China,Activity,Manufacture of textiles (17),0.00017297048673011893,0.00011792125397354755,6.55625621632123e-05,6.187646635628244e-06,4.319635689481374e-06
China,Activity,Manufacture of tobacco products (16),0.0034822521563922376,0.000944057477142617,0.0005123043028152933,1.9340384706201002e-05,1.1632163442791544e-05
China,Activity,Manufacture of wearing apparel; dressing and dyeing of fur (18),0.00010378668532680023,3.918366405274534e-05,2.1498075982803047e-05,1.7974039307653982e-06,1.3780697312817219e-06
China,Activity,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",0.00023737215315335444,0.0001745785486148075,0.0001416209147619851,2.0855446996303168e-05,1.4421264467396975e-05
China,Activity,"Manure treatment (biogas), storage and land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Manure treatment (conventional), storage and land application",0.0,0.0,0.0,0.0,0.0
China,Activity,Meat animals nec,5.476715814061539e-05,2.57350237066424e-06,1.999424031811975e-06,1.439173127332741e-07,2.8964458938047107e-07
China,Activity,Mining of aluminium ores and concentrates,0.0005205151818727371,0.0003403970424041543,0.0001951987188754219,1.2151426855959322e-05,7.408315169218222e-06
China,Activity,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",0.00019049635885088747,0.00012961727801805094,0.00011458938993355846,1.0102569106184203e-05,6.33483831004266e-06
China,Activity,Mining of coal and lignite; extraction of peat (10),0.005425578625201845,0.0016044847721897004,0.000816095234736737,4.344856708575824e-05,2.6371919981474063e-05
China,Activity,Mining of copper ores and concentrates,0.00010449774306793536,0.00026165118951265135,0.00012639472229211216,3.993060071974631e-06,2.391904353205209e-06
China,Activity,Mining of iron ores,3.2358912424901155e-05,6.952570835888713e-05,3.491759655937731e-05,1.5429446352774568e-06,9.282900158957679e-07
China,Activity,"Mining of lead, zinc and tin ores and concentrates",0.00023048770452874289,0.0001493299035024948,9.26916072317771e-05,4.08188088466714e-06,2.5593571481464164e-06
China,Activity,Mining of nickel ores and concentrates,0.0001796814849137546,0.0002951149857282394,0.00034212119147702426,6.846627656487206e-06,4.127067811914011e-06
China,Activity,Mining of other non-ferrous metal ores and concentrates,0.0002923893817480001,0.00044793511303923845,0.0006265484419166427,1.0972900351013065e-05,6.631202176084805e-06
China,Activity,Mining of precious metal ores and concentrates,0.004374322340532183,0.00028794720460164545,0.0001405711949927496,5.2263866002502814e-06,3.06396470108571e-06
China,Activity,Mining of uranium and thorium ores (12),2.172767215801002e-05,2.9652022993368457e-05,1.4680286149625679e-05,1.12765302583812e-06,6.84876959323801e-07
China,Activity,N-fertiliser,4.053914242118424e-06,1.547663538363961e-06,9.611981501390285e-07,2.0480434235602847e-07,5.08570147565155e-08
China,Activity,Other business activities (74),0.00030149233396802976,0.0001949819327136577,9.643287277908926e-05,5.098851487762256e-06,3.176158751389775e-06
China,Activity,Other land transport,0.00015846252733059418,6.118186194164039e-05,3.3031537814543364e-05,2.2864597548929523e-06,1.7233513378807284e-06
China,Activity,Other non-ferrous metal production,0.0011378991646908575,0.0019799646940130526,0.0033669990358129193,5.135453191546634e-05,3.10888284557332e-05
China,Activity,Other service activities (93),7.85377109278829e-05,1.0410747901387236e-05,6.034153246431486e-06,3.5480894565654357e-07,4.1934166792924047e-07
China,Activity,P- and other fertiliser,0.00017509530075231032,6.564428993016151e-05,3.9532717626093376e-05,5.231573983764599e-06,2.9294796318652962e-06
China,Activity,Paper,0.000762858463980235,0.0002838764029374901,0.00015541828399202732,1.5777953503203865e-05,9.7787799568669e-06
China,Activity,Petroleum Refinery,0.0033496713962445283,0.001296369735276028,0.0007205670430394645,6.171917301968805e-05,3.929288774547705e-05
