Region,,,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK
Level,,,Activity,Activity,Activity,Activity,Activity
Item,,,Production of photovoltaic plants,Production of onshore wind plants,Production of offshore wind plants,Production of electricity by wind,Production of electricity by solar photovoltaic
Region,Level,Item,,,,,
China,Activity,Activities auxiliary to financial intermediation (67),1.4133269471832227e-05,6.788850813304384e-06,3.5345462144874653e-06,1.2010418509233748e-06,5.016849792499695e-06
China,Activity,Activities of membership organisation n.e.c. (91),1.2188557103313272e-05,1.9988306850558615e-06,1.078100129662814e-06,3.588635548990133e-07,4.244007825874142e-06
China,Activity,Air transport (62),0.0018331869939899727,0.0008289429182005272,0.0004442453300448192,0.00015577049522741215,0.000655808427469177
China,Activity,Aluminium production,0.001045204287301224,0.0008246195025943052,0.00040385967756970587,0.0001316625848091109,0.0003710063610510616
China,Activity,Animal products nec,7.483118674512253e-06,2.6225095853879185e-06,1.5891234634822233e-06,5.927713095327324e-07,2.7143048389629235e-06
China,Activity,"Biogasification of food waste, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Biogasification of paper, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Biogasification of sewage slugde, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,Casting of metals,0.0008190119057868256,0.0033246400732841455,0.0014916552908442568,0.00047917946656801647,0.0003072130447200347
China,Activity,Cattle farming,2.868327982787903e-06,9.115522153991126e-07,5.423293288178318e-07,1.9281267556626874e-07,1.024877202335533e-06
China,Activity,Chemicals nec,0.01892196943009072,0.003990007283211128,0.002409237872203296,0.0009685699347866572,0.006706384300847954
China,Activity,"Collection, purification and distribution of water (41)",9.843158180015692e-06,2.3461569347493484e-06,1.2658158063135995e-06,4.271989747799341e-07,3.444077144998765e-06
China,Activity,"Composting of food waste, incl. land application",1.61563506585647e-06,2.8850289246803576e-07,1.6154095160248015e-07,5.596557644443621e-08,5.645875647702412e-07
China,Activity,"Composting of paper and wood, incl. land application",2.110926007106283e-07,3.461293247564865e-08,1.8969160708430985e-08,6.263984422368363e-09,7.357041482666645e-08
China,Activity,Computer and related activities (72),1.4171624921214376e-05,8.211354619033277e-06,4.725013859729498e-06,1.4728912779569024e-06,5.040077793820095e-06
China,Activity,Construction (45),2.816979282491337e-05,6.496037940193618e-06,3.554079700840692e-06,1.412032501602393e-06,1.0136921098103226e-05
China,Activity,Copper production,0.00027388002199453683,0.0015349724466848015,0.0006965288803407623,0.00022532424238885977,0.00010791357486564941
China,Activity,Cultivation of cereal grains nec,9.336505977079882e-05,2.2415448941520936e-05,1.2620601696265943e-05,4.176721006816231e-06,3.286549791831894e-05
China,Activity,Cultivation of crops nec,6.056058531598173e-05,1.6971043027301117e-05,9.672449091254774e-06,3.357793634306607e-06,2.1393310016461738e-05
China,Activity,Cultivation of oil seeds,8.838247150305133e-05,4.8325594517084524e-05,2.6339157246597067e-05,9.503499850108458e-06,3.197601905856181e-05
China,Activity,Cultivation of paddy rice,3.7525887313803864e-05,1.4282290638380296e-05,7.625827811449017e-06,2.720082993968296e-06,1.3322935841563228e-05
China,Activity,Cultivation of plant-based fibers,0.00014713635562149733,9.610284981350884e-05,5.6123251496959086e-05,2.0206224993662098e-05,5.4663863151161705e-05
China,Activity,"Cultivation of sugar cane, sugar beet",7.344845816418224e-05,2.919220739672207e-05,1.5569274062447432e-05,5.191412047422776e-06,2.598484290613024e-05
China,Activity,"Cultivation of vegetables, fruit, nuts",0.00022054709090685618,6.932719065962457e-05,3.8293640256559176e-05,1.2717958628824523e-05,7.785875746875612e-05
China,Activity,Cultivation of wheat,1.599865814175499e-05,6.6246582529293265e-06,3.661841939924413e-06,1.2949159245702912e-06,5.724656945734064e-06
China,Activity,Distribution and trade of electricity,8.785861855965536e-06,3.442880385070768e-06,1.8868503955484418e-06,6.068740716643717e-07,3.090138960089717e-06
China,Activity,Education (80),2.236615343313543e-06,8.32645799528172e-07,4.297000213075613e-07,1.4343057295002246e-07,7.866269415623308e-07
China,Activity,Extra-territorial organizations and bodies,0.0,0.0,0.0,0.0,0.0
China,Activity,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",0.001073989264379161,0.00041478591122400265,0.00023056047693992098,8.072698181390207e-05,0.0003820760598738195
China,Activity,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",1.6208200100595058e-05,1.3295107379604563e-05,7.013510057484594e-06,2.4781286538255464e-06,5.933485791428093e-06
China,Activity,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",0.0,0.0,0.0,0.0,0.0
China,Activity,"Financial intermediation, except insurance and pension funding (65)",0.0006382878296059596,0.00021619444476040893,0.00011001894174794111,3.6749576118657063e-05,0.00022416470448653557
China,Activity,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",1.978832858932847e-06,1.3509698247261688e-06,6.93253562348136e-07,2.320883403681182e-07,7.086581352090925e-07
China,Activity,"Forestry, logging and related service activities (02)",0.00011585418121210685,4.833587663780318e-05,2.7028033708643308e-05,9.842526540537535e-06,4.154841374968595e-05
China,Activity,Health and social work (85),0.00018655258451165225,7.802059875372327e-05,3.710704342122287e-05,1.2039235326318446e-05,6.510203199485093e-05
China,Activity,Hotels and restaurants (55),9.999695903179463e-05,4.843271504425629e-05,2.6326845227034347e-05,8.502294323501681e-06,3.5383673857778107e-05
China,Activity,Incineration of waste: Food,5.980284766838733e-06,8.331079928218961e-07,4.637355812726423e-07,1.5308849033053055e-07,2.0807819648655e-06
China,Activity,Incineration of waste: Metals and Inert materials,0.00016591189588424163,3.350965949705718e-05,2.174218450819709e-05,8.785568350799696e-06,5.9430627588317955e-05
China,Activity,Incineration of waste: Oil/Hazardous waste,0.00034609571226299163,5.500732051754386e-05,3.125923739656145e-05,1.131639928274711e-05,0.00012091908422876171
China,Activity,Incineration of waste: Paper,5.925529115627234e-06,8.311022598552064e-07,4.619354570309662e-07,1.5233503886390095e-07,2.0616904471368385e-06
China,Activity,Incineration of waste: Plastic,0.0003133563324336805,4.737828160363023e-05,2.6385639968011008e-05,8.777299225854172e-06,0.00010916700772425401
China,Activity,Incineration of waste: Textiles,0.00031415151785748897,4.4471640548969404e-05,2.4880137934053128e-05,8.207814569285404e-06,0.00010933632408520934
China,Activity,Incineration of waste: Wood,9.279272490777297e-07,1.2127335920530232e-07,6.864246992584212e-08,2.32006566814996e-08,3.2295575549757906e-07
China,Activity,Inland water transport,0.0014407731324213625,0.0006134490408817873,0.0003200273652777431,0.00010648168672345162,0.0005096403335097487
China,Activity,"Insurance and pension funding, except compulsory social security (66)",1.950489154945585e-05,8.70390049952807e-06,4.446853426438206e-06,1.4977683200880418e-06,6.91297489681804e-06
China,Activity,Landfill of waste: Food,3.9720946834214025e-05,5.2951106887955725e-06,2.946960872065382e-06,9.713044470711424e-07,1.3813284225260306e-05
China,Activity,Landfill of waste: Inert/metal/hazardous,9.114549276150996e-06,1.3072587150820659e-06,7.277051606231444e-07,2.44213865094819e-07,3.1734004542096035e-06
China,Activity,Landfill of waste: Paper,1.197887361149275e-05,1.6482607838636383e-06,9.202105811230513e-07,3.0303954317505426e-07,4.1715724061750996e-06
China,Activity,Landfill of waste: Plastic,6.8276326628890294e-06,9.253506236629986e-07,5.152991477652429e-07,1.6942069434533369e-07,2.3746706211911723e-06
China,Activity,Landfill of waste: Textiles,2.2491337436980935e-06,2.9220533563876005e-07,1.6354842776220338e-07,5.388107782702165e-08,7.821157278944456e-07
China,Activity,Landfill of waste: Wood,2.820169607471291e-06,3.7721846161785364e-07,2.103184431360316e-07,6.933703086520353e-08,9.808868292975391e-07
China,Activity,"Lead, zinc and tin production",3.985365798408308e-05,5.911172659065154e-05,2.8499313667496344e-05,9.435586624700028e-06,1.4586076028783904e-05
China,Activity,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,0.01348893846750203,0.03675852304541297,0.017564397862423215,0.005698853463341482,0.00507730407933653
China,Activity,Manufacture of beverages,5.228842672687117e-06,3.4787261200011665e-06,1.7953727771007446e-06,5.975572645185209e-07,1.8687429028768767e-06
China,Activity,"Manufacture of bricks, tiles and construction products, in baked clay",2.916902233796673e-05,1.3160974593873421e-05,9.975177877898704e-06,4.3897025701654496e-06,1.134230502782906e-05
China,Activity,"Manufacture of cement, lime and plaster",0.0003932566252670037,0.00011543084254427007,0.00013596153804383096,6.532051068303776e-05,0.00016355774425166674
China,Activity,Manufacture of ceramic goods,8.779089190815456e-05,0.00010099719444317114,5.481814069746488e-05,2.0822571496952875e-05,3.468816370518555e-05
China,Activity,Manufacture of coke oven products,0.0022348594865949046,0.0025501493648717706,0.0012923872617438444,0.00041739364432243287,0.0008064178350527444
China,Activity,Manufacture of electrical machinery and apparatus n.e.c. (31),0.00011696869910103937,0.0012835641623855543,0.0005568977254043794,0.00017714210117608377,4.675749804474972e-05
China,Activity,"Manufacture of fabricated metal products, except machinery and equipment (28)",0.0032504544096393384,0.003907298160094991,0.0020993884604810944,0.000694342831908003,0.0011957850582931802
China,Activity,Manufacture of fish products,2.8124814553112576e-05,2.0307598431840906e-05,1.0309167017450779e-05,3.431648519260548e-06,1.0072659546083153e-05
China,Activity,Manufacture of furniture; manufacturing n.e.c. (36),0.00039692084369488055,0.00043984857390865124,0.00022212979080238308,7.728812807036652e-05,0.00014464924084231853
China,Activity,Manufacture of gas; distribution of gaseous fuels through mains,0.005861640085362841,0.0028455293236682453,0.0015221617851804738,0.0004922160984061664,0.0020684508286376523
China,Activity,Manufacture of glass and glass products,0.012768082476634296,0.0004221586440117794,0.00023206986099591392,7.313391607736802e-05,0.00440150028958965
China,Activity,Manufacture of machinery and equipment n.e.c. (29),0.000494980293737842,0.0004692379370815362,0.0002525482790741132,8.372471299368566e-05,0.00018006686515509952
China,Activity,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",4.658356894803471e-06,1.0150671698484046e-05,5.333144615602914e-06,2.279836131712916e-06,2.1425934165472463e-06
China,Activity,"Manufacture of motor vehicles, trailers and semi-trailers (34)",0.00016402678681111372,2.5715996230305434e-05,1.6078974576770946e-05,5.536461230979963e-06,5.7853298255078055e-05
China,Activity,Manufacture of office machinery and computers (30),4.133140362457382e-05,4.653441517813719e-05,2.7683320721568836e-05,1.1390198934009278e-05,1.7062840884505964e-05
China,Activity,Manufacture of other non-metallic mineral products n.e.c.,0.05383846562238091,0.002949609554414616,0.001561370685515205,0.0005088572260368918,0.018584927079739876
China,Activity,Manufacture of other transport equipment (35),7.843095336757929e-05,2.885770087908896e-05,1.6807234623656705e-05,5.872684466604767e-06,2.8220958865921655e-05
China,Activity,"Manufacture of radio, television and communication equipment and apparatus (32)",7.81357979396279e-05,0.00024034229284632198,0.00012537747891761783,5.015161284559774e-05,3.6299584947756966e-05
China,Activity,Manufacture of rubber and plastic products (25),0.001421877246275478,0.001095177360814595,0.0005793326733671638,0.0002022707667117706,0.000519286400488381
China,Activity,Manufacture of textiles (17),0.0001734617126812503,0.00011793774692027242,6.557998940816278e-05,2.3417267257266864e-05,6.402100924427709e-05
China,Activity,Manufacture of tobacco products (16),0.0034889101721481378,0.0009442275884168668,0.0005124859888945073,0.00015556505116145352,0.001212344887445801
China,Activity,Manufacture of wearing apparel; dressing and dyeing of fur (18),0.00010401006627703184,3.9189984000389254e-05,2.1504796753327105e-05,7.483418421076009e-06,3.7173931933936046e-05
China,Activity,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",0.00023816883408776007,0.00017460732378179363,0.00014165124648046333,5.2489301516780014e-05,9.639657125313916e-05
China,Activity,"Manure treatment (biogas), storage and land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Manure treatment (conventional), storage and land application",0.0,0.0,0.0,0.0,0.0
China,Activity,Meat animals nec,5.484597921727958e-05,2.5748802900967447e-06,2.0009260238700577e-06,5.985134538014974e-07,1.91642601575131e-05
China,Activity,Mining of aluminium ores and concentrates,0.0005219735397029348,0.0003404456782405702,0.00019525012177310316,6.270448001615322e-05,0.0001870585922845166
China,Activity,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",0.00019112648070031298,0.00012963990809706298,0.00011461324851011102,3.488762148547047e-05,7.211839461237499e-05
China,Activity,Mining of coal and lignite; extraction of peat (10),0.005436132732648813,0.0016047588606976748,0.0008163877616201921,0.0002674604798884118,0.001897228529961242
China,Activity,Mining of copper ores and concentrates,0.00010518102585663574,0.00026168052196993795,0.00012642548454041,3.959781461182467e-05,3.860307207553382e-05
China,Activity,Mining of iron ores,3.254930776340043e-05,6.953372959946843e-05,3.492601310778505e-05,1.118699107306691e-05,1.213362701717475e-05
China,Activity,"Mining of lead, zinc and tin ores and concentrates",0.00023114517436970846,0.00014935202602591583,9.271498122110806e-05,2.7229738799344184e-05,8.211407663551547e-05
China,Activity,Mining of nickel ores and concentrates,0.00018095416174804203,0.0002951703224060544,0.00034217920557918114,7.444265980354012e-05,6.642762521930826e-05
China,Activity,Mining of other non-ferrous metal ores and concentrates,0.0002945731266883622,0.0004480308110599908,0.0006266487492738903,0.00012832018756844812,0.00010805255196253032
China,Activity,Mining of precious metal ores and concentrates,0.004380665592888336,0.00028805965169718717,0.0001406936587482399,4.4645819778536975e-05,0.0015106211368295906
China,Activity,Mining of uranium and thorium ores (12),2.18188273704197e-05,2.965557050236842e-05,1.4684016954159882e-05,5.211696739855881e-06,8.1951860057842e-06
China,Activity,N-fertiliser,4.06291405997481e-06,1.5479241534518869e-06,9.614750360549656e-07,4.4479709282272453e-07,1.4491474299953304e-06
China,Activity,Other business activities (74),0.00030229963575369585,0.00019500822904028664,9.646068809219326e-05,3.1941706383631714e-05,0.00010721915161609387
China,Activity,Other land transport,0.0001588054752590724,6.119160589345753e-05,3.3041897972938504e-05,1.1090975973783124e-05,5.6377524593685073e-05
China,Activity,Other non-ferrous metal production,0.0011486092920171924,0.001980447948346323,0.003367505179826514,0.0006522046231466415,0.00042661339948606863
China,Activity,Other service activities (93),7.866460337527001e-05,1.0413418445150261e-05,6.037032745947596e-06,1.910249142402015e-06,2.7491236464742892e-05
China,Activity,P- and other fertiliser,0.00017547855107842306,6.565527238642797e-05,3.9544390607224326e-05,1.5240898024035512e-05,6.332194078991637e-05
China,Activity,Paper,0.0007644904740388754,0.0002839223602330104,0.00015546716528047307,5.692647497897994e-05,0.00027288377544089387
China,Activity,Petroleum Refinery,0.0033569712003609494,0.0012965782328071363,0.0007207886790787779,0.0002511178490514087,0.0011946227033835075
China,Activity,Pigs farming,0.00012311884654808532,6.047170635908835e-06,4.613933930489804e-06,1.3685297889523852e-06,4.3009176979354865e-05
