Region,,,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK
Level,,,Activity,Activity,Activity,Activity,Activity
Item,,,Production of photovoltaic plants,Production of onshore wind plants,Production of offshore wind plants,Production of electricity by wind,Production of electricity by solar photovoltaic
Region,Level,Item,,,,,
China,Activity,Activities auxiliary to financial intermediation (67),1.4163667826226517e-05,6.789908505499688e-06,3.5356624786358667e-06,2.334754473677728e-06,8.439729382539706e-06
China,Activity,Activities of membership organisation n.e.c. (91),1.2204976999179077e-05,1.9992522955219865e-06,1.078550328204865e-06,6.986150416828881e-07,7.18991151827618e-06
China,Activity,Air transport (62),0.0018370280935569468,0.0008290750112951419,0.00044438479252885134,0.0002961921682762425,0.0010997183180673279
China,Activity,Aluminium production,0.001048217894404426,0.0008247360591794871,0.0004039822791733407,0.00026536209156504276,0.0006246086009524705
China,Activity,Animal products nec,7.49726153355483e-06,2.622971843066288e-06,1.589612363999539e-06,1.065901410947998e-06,4.525416735480185e-06
China,Activity,"Biogasification of food waste, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Biogasification of paper, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Biogasification of sewage slugde, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,Casting of metals,0.0008277113650190538,0.0033250487990576947,0.0014920829390414707,0.0009967215797698785,0.0005098114361649197
China,Activity,Cattle farming,2.873465377429934e-06,9.117151970023094e-07,5.425018879247641e-07,3.5569291835729187e-07,1.71891458914483e-06
China,Activity,Chemicals nec,0.018950394961257677,0.00399080876843088,0.002410090306927115,0.0016871392322233734,0.011281510456769636
China,Activity,"Collection, purification and distribution of water (41)",9.858329087505205e-06,2.3465930961198624e-06,1.2662793309882302e-06,8.260069895002213e-07,5.824280582342212e-06
China,Activity,"Composting of food waste, incl. land application",1.61788734122998e-06,2.8856257235330205e-07,1.616045905034856e-07,1.0593494119298488e-07,9.551235648392812e-07
China,Activity,"Composting of paper and wood, incl. land application",2.1137768765960195e-07,3.462026997461635e-08,1.897699491580114e-08,1.2194491929675546e-08,1.245907101566888e-07
China,Activity,Computer and related activities (72),1.4206791210716914e-05,8.212649817193329e-06,4.726378275625629e-06,2.914829085467825e-06,8.475113486582219e-06
China,Activity,Construction (45),2.821275909268703e-05,6.497263599001915e-06,3.555382660712584e-06,2.5240063900781223e-06,1.6948466865522917e-05
China,Activity,Copper production,0.000277819599629706,0.001535160728397481,0.0006967257961005501,0.0004655021272282647,0.00017629359944828986
China,Activity,Cultivation of cereal grains nec,9.351065279473984e-05,2.241967082323507e-05,1.2625086915214861e-05,8.069771427920282e-06,5.544341728686797e-05
China,Activity,Cultivation of crops nec,6.0661788650501764e-05,1.6974120318526962e-05,9.675712336569355e-06,6.323606541948522e-06,3.604245731973379e-05
China,Activity,Cultivation of oil seeds,8.85904664039234e-05,4.833310512152731e-05,2.6347074191313937e-05,1.775886170197051e-05,5.339196565006455e-05
China,Activity,Cultivation of paddy rice,3.759746077344184e-05,1.4284641326119878e-05,7.628313562480597e-06,5.135085910086302e-06,2.2405587525429068e-05
China,Activity,Cultivation of plant-based fibers,0.00014753270420228326,9.61178613791381e-05,5.613905162452451e-05,3.721139041227473e-05,9.034710311122306e-05
China,Activity,"Cultivation of sugar cane, sugar beet",7.359171825036428e-05,2.9196967143067986e-05,1.557430526238374e-05,1.0124765210270121e-05,4.376402483367938e-05
China,Activity,"Cultivation of vegetables, fruit, nuts",0.00022093289082363355,6.933926083769402e-05,3.830642622464903e-05,2.464163630573628e-05,0.00013121797974193156
China,Activity,Cultivation of wheat,1.6030863822910965e-05,6.625745133223086e-06,3.662990188057944e-06,2.434669099750573e-06,9.597958405401504e-06
China,Activity,Distribution and trade of electricity,8.80299341000719e-06,3.4434494860543288e-06,1.8874519561614863e-06,1.1966645357858328e-06,5.2168712223061855e-06
China,Activity,Education (80),2.2407970526904014e-06,8.327816881705036e-07,4.298437715129157e-07,2.81885261199047e-07,1.3279189947413077e-06
China,Activity,Extra-territorial organizations and bodies,0.0,0.0,0.0,0.0,0.0
China,Activity,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",0.0010760752790125402,0.0004148550699882241,0.00023063358533220087,0.0001522920791919739,0.0006420441543234073
China,Activity,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",1.625740807649839e-05,1.32970388061074e-05,7.015540765596408e-06,4.712646381371991e-06,9.8676630566209e-06
China,Activity,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",0.0,0.0,0.0,0.0,0.0
China,Activity,"Financial intermediation, except insurance and pension funding (65)",0.0006394227667643362,0.00021623029808919228,0.00011005690781107553,7.24556632308665e-05,0.00037860348513631006
China,Activity,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",1.984091292261634e-06,1.351168106874536e-06,6.934622885886576e-07,4.560980812187577e-07,1.1885169772081569e-06
China,Activity,"Forestry, logging and related service activities (02)",0.00011608910635698696,4.834383280256097e-05,2.7036438090821666e-05,1.820727289967972e-05,6.959794668764155e-05
China,Activity,Health and social work (85),0.00018691563701605523,7.803264725309125e-05,3.711977956359842e-05,2.451640881946598e-05,0.00011025908191196204
China,Activity,Hotels and restaurants (55),0.00010021574136607019,4.8440384069575063e-05,2.6334936958717832e-05,1.6764947136051636e-05,5.9603801636596424e-05
China,Activity,Incineration of waste: Food,5.987990729706589e-06,8.332973068592571e-07,4.6393813768170665e-07,2.969650615878995e-07,3.5259677578315115e-06
China,Activity,Incineration of waste: Metals and Inert materials,0.00016616069772235672,3.351666509116649e-05,2.174963585521385e-05,1.5057526184002746e-05,9.954604848281725e-05
China,Activity,Incineration of waste: Oil/Hazardous waste,0.00034656122951381253,5.5019255752107524e-05,3.127198276422146e-05,2.0916282831590614e-05,0.00020456796895038592
China,Activity,Incineration of waste: Paper,5.933177775750356e-06,8.31290504219704e-07,4.6213685218275704e-07,2.9575741722173183e-07,3.4936521888539925e-06
China,Activity,Incineration of waste: Plastic,0.000313770017084182,4.7388697384778446e-05,2.6396771796985855e-05,1.6961314299108114e-05,0.0001848982455093861
China,Activity,Incineration of waste: Textiles,0.00031455850009143283,4.4481694550047754e-05,2.4890892449257785e-05,1.590772042498411e-05,0.00018525499699843995
China,Activity,Incineration of waste: Wood,9.291044919849308e-07,1.2130181016435566e-07,6.867293433930881e-08,4.432370608776856e-08,5.471858420655728e-07
China,Activity,Inland water transport,0.001443671976527464,0.0006135468473901536,0.00032013069503792545,0.0002090276366052486,0.0008584529820441241
China,Activity,"Insurance and pension funding, except compulsory social security (66)",1.954493343852746e-05,8.70526454249532e-06,4.448294027966494e-06,2.9379812415507604e-06,1.1635617326916458e-05
China,Activity,Landfill of waste: Food,3.977149668531941e-05,5.296336409220263e-06,2.9482731312834543e-06,1.885703470500783e-06,2.341179565248351e-05
China,Activity,Landfill of waste: Inert/metal/hazardous,9.126393484274711e-06,1.3075522339278594e-06,7.280190849799814e-07,4.69979709434732e-07,5.376068375260883e-06
China,Activity,Landfill of waste: Paper,1.1994261366678682e-05,1.6486375998489361e-06,9.206138154958626e-07,5.881228191810071e-07,7.066338104001023e-06
China,Activity,Landfill of waste: Plastic,6.8363626214559495e-06,9.255633631865565e-07,5.155268540838709e-07,3.292633976556822e-07,4.024583589851609e-06
China,Activity,Landfill of waste: Textiles,2.2519780733062996e-06,2.9227384000346623e-07,1.6362179201770327e-07,1.0448689193334017e-07,1.3256047640167405e-06
China,Activity,Landfill of waste: Wood,2.823762901844279e-06,3.7730570142456505e-07,2.1041183673217836e-07,1.345375278325245e-07,1.6623795005805565e-06
China,Activity,"Lead, zinc and tin production",4.003635657981133e-05,5.911956564134102e-05,2.8507534940008536e-05,1.8948489699969403e-05,2.4297413448042297e-05
China,Activity,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,0.013591785907802112,0.036763229994610035,0.017569325968744387,0.011589526788702339,0.008389314249397185
China,Activity,Manufacture of beverages,5.242530418288325e-06,3.4792396885743574e-06,1.7959134795476508e-06,1.1759918039255447e-06,3.1365890742137896e-06
China,Activity,"Manufacture of bricks, tiles and construction products, in baked clay",2.9237116510662126e-05,1.3163425751618909e-05,9.977761908164636e-06,7.07836547239611e-06,1.840991050863697e-05
China,Activity,"Manufacture of cement, lime and plaster",0.0003940971598265866,0.0001154600074882721,0.0001359923208919551,9.652100977579376e-05,0.0002587957412071564
China,Activity,Manufacture of ceramic goods,8.813593486779901e-05,0.00010101158753246867,5.4833247260631825e-05,3.803887213778395e-05,5.6045474263482066e-05
China,Activity,Manufacture of coke oven products,0.002243367004974933,0.0025505019373890056,0.001292757378913865,0.0008376803078464114,0.0013499338539861951
China,Activity,Manufacture of electrical machinery and apparatus n.e.c. (31),0.00012009836399092308,0.0012837170435493082,0.0005570575329708452,0.000373965781764818,7.684673340314906e-05
China,Activity,"Manufacture of fabricated metal products, except machinery and equipment (28)",0.0032636174308257482,0.003907850484712935,0.0020999680694477837,0.0013570331715247839,0.0019867759641424656
China,Activity,Manufacture of fish products,2.8202099082665594e-05,2.031054414553776e-05,1.0312266872578944e-05,6.7813595522691776e-06,1.6894370240186208e-05
China,Activity,Manufacture of furniture; manufacturing n.e.c. (36),0.0003983968618431659,0.00043990944190004454,0.0002221936965669623,0.00014965640669711234,0.00024115868079029748
China,Activity,Manufacture of gas; distribution of gaseous fuels through mains,0.0058744223518538315,0.0028459767468885233,0.0015226338918787276,0.0009737992451474954,0.0034881648037629097
China,Activity,Manufacture of glass and glass products,0.012780932035941894,0.00042238241058742583,0.00023231383651225147,0.00014566884866020128,0.007484809567673506
China,Activity,Manufacture of machinery and equipment n.e.c. (29),0.0004966582871509132,0.0004693056961296678,0.0002526194622821705,0.0001633770332078432,0.00030031946127627093
China,Activity,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",4.688780908491287e-06,1.0152042132126503e-05,5.3345800238482355e-06,3.9824034307292294e-06,3.283267408230842e-06
China,Activity,"Manufacture of motor vehicles, trailers and semi-trailers (34)",0.00016424999940061578,2.5721782342857997e-05,1.6085150431468036e-05,1.0254714310795272e-05,9.749899542068882e-05
China,Activity,Manufacture of office machinery and computers (30),4.149704656494704e-05,4.654135154643301e-05,2.769060014853434e-05,1.9703858481997913e-05,2.7119686652600975e-05
China,Activity,Manufacture of other non-metallic mineral products n.e.c.,0.053895583204548805,0.002950700104231362,0.001562553019541327,0.0010058952572140154,0.031587942623994884
China,Activity,Manufacture of other transport equipment (35),7.858134377089803e-05,2.886265391155235e-05,1.681247173189286e-05,1.0972153428158332e-05,4.7204636879245025e-05
China,Activity,"Manufacture of radio, television and communication equipment and apparatus (32)",7.882442850186164e-05,0.00024037420935941087,0.0001254108843793513,9.032270516091091e-05,5.554151012430854e-05
China,Activity,Manufacture of rubber and plastic products (25),0.0014260143194184279,0.0010953377960081533,0.0005795014158390784,0.0003865899698226106,0.0008643052528135338
China,Activity,Manufacture of textiles (17),0.00017393363153449958,0.00011795567750493642,6.55988600644606e-05,4.376821775626129e-05,0.00010609147581305645
China,Activity,Manufacture of tobacco products (16),0.0034945887701789352,0.0009443972725978444,0.000512666046291222,0.0003165431832512701,0.0020561930020624934
China,Activity,Manufacture of wearing apparel; dressing and dyeing of fur (18),0.00010420881666579368,3.9196517956181806e-05,2.151170589297851e-05,1.4201220084311966e-05,6.234843922413136e-05
China,Activity,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",0.00023895790215629635,0.00017463900940662514,0.00014168453867862687,8.962174915823264e-05,0.00015424709498517943
China,Activity,"Manure treatment (biogas), storage and land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Manure treatment (conventional), storage and land application",0.0,0.0,0.0,0.0,0.0
China,Activity,Meat animals nec,5.4904593726022605e-05,2.5760126837266174e-06,2.0021528773735497e-06,1.1327303983703958e-06,3.2410871353675143e-05
China,Activity,Mining of aluminium ores and concentrates,0.0005233696829840178,0.0003404984355950659,0.00019530565438083587,0.00012238489366144152,0.0003136405890724568
China,Activity,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",0.0001917482619222274,0.00012966476275934173,0.00011463936683224889,6.394121360627984e-05,0.0001185354707634926
China,Activity,Mining of coal and lignite; extraction of peat (10),0.005445198396696126,0.0016050341525172046,0.0008166797034706549,0.000532464098951396,0.0032121764548871993
China,Activity,Mining of copper ores and concentrates,0.0001059249478808639,0.0002617143183244106,0.00012646087548362785,8.175090173682756e-05,6.439321078094572e-05
China,Activity,Mining of iron ores,3.275442681257293e-05,6.95429315191964e-05,3.493565232183885e-05,2.2597320718776526e-05,2.009928503275291e-05
China,Activity,"Mining of lead, zinc and tin ores and concentrates",0.0002317766754287535,0.00014937605195184043,9.274026576160625e-05,5.452077092417594e-05,0.00013817639918196667
China,Activity,Mining of nickel ores and concentrates,0.00018233216676382308,0.00029523338132660836,0.0003422452275324047,0.00015335575358453834,0.00011085721806167896
China,Activity,Mining of other non-ferrous metal ores and concentrates,0.00029694190392942654,0.0004481397506326048,0.0006267627933108853,0.00026495786737856244,0.00018045577310283337
China,Activity,Mining of precious metal ores and concentrates,0.0043854088467306365,0.0002881531825634863,0.00014079487217064215,9.132589246502629e-05,0.0025686939722147687
China,Activity,Mining of uranium and thorium ores (12),2.1913094490134957e-05,2.965957395204029e-05,1.4688216778291021e-05,1.0044919118829866e-05,1.3508365558591303e-05
China,Activity,N-fertiliser,4.070993136778958e-06,1.5481951793779375e-06,9.61761423483713e-07,7.277503532112442e-07,2.432724624536618e-06
China,Activity,Other business activities (74),0.00030306528346717745,0.00019503663374129267,9.64906040001744e-05,6.370988375537022e-05,0.00018050252492736704
China,Activity,Other land transport,0.0001591112062897059,6.120169596534594e-05,3.305256597425451e-05,2.1495961875393252e-05,9.481605675653035e-05
China,Activity,Other non-ferrous metal production,0.0011603808205031987,0.001980999681565499,0.0033680824905684696,0.0013500910907253566,0.0007104816361851353
China,Activity,Other service activities (93),7.876510269171289e-05,1.0415865370971932e-05,6.039651926128837e-06,3.7464757305654524e-06,4.650066611237262e-05
China,Activity,P- and other fertiliser,0.00017582113703805923,6.566665999255379e-05,3.955642746479552e-05,2.704805683103227e-05,0.0001057990661410907
China,Activity,Paper,0.0007659396549138427,0.0002839698016391113,0.0001555173382368976,0.00010554361159226266,0.0004579132562541371
China,Activity,Petroleum Refinery,0.0033634918696774986,0.0012967944229602014,0.0007210172155074951,0.00047483561892801323,0.0020072059413217607
China,Activity,Pigs farming,0.00012325106916777378,6.049744902216799e-06,4.616721683033931e-06,2.6096964755916455e-06,7.274570700965141e-05
