Region,,,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK
Level,,,Activity,Activity,Activity,Activity,Activity
Item,,,Production of photovoltaic plants,Production of onshore wind plants,Production of offshore wind plants,Production of electricity by wind,Production of electricity by solar photovoltaic
Region,Level,Item,,,,,
China,Activity,Activities auxiliary to financial intermediation (67),1.3356259246103435e-05,6.410461861921494e-06,3.393088416881746e-06,1.4515464330098677e-06,5.64429108791541e-06
China,Activity,Activities of membership organisation n.e.c. (91),1.4106511904330335e-05,2.313800788446057e-06,1.2660400626178168e-06,5.321438950120032e-07,5.861159595948453e-06
China,Activity,Air transport (62),0.0019928395352622422,0.0008722000622125408,0.0004696246122447909,0.0002060374304939898,0.0008453281149002645
China,Activity,Aluminium production,0.0011226209128359908,0.000895171719155735,0.0004391890443293474,0.0001839704549867373,0.0004739778810709642
China,Activity,Animal products nec,8.755242549062462e-06,2.9173496331791474e-06,1.7763081662598115e-06,8.006040312609105e-07,3.7603315122291107e-06
China,Activity,"Biogasification of food waste, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Biogasification of paper, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Biogasification of sewage slugde, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,Casting of metals,0.0008617347992185978,0.003803670676425664,0.0017079076291179707,0.0007145867903096768,0.00038407044724449516
China,Activity,Cattle farming,4.117697203826672e-06,1.4510898686808837e-06,8.498877747247377e-07,3.644840006795434e-07,1.7457179236610723e-06
China,Activity,Chemicals nec,0.020224807141098682,0.004513858150164031,0.0027645505918256117,0.0013385958283839276,0.008535346546408576
China,Activity,"Collection, purification and distribution of water (41)",1.0911532792567858e-05,2.560840095531262e-06,1.3945346115221003e-06,5.940949849677799e-07,4.5496140465702894e-06
China,Activity,"Composting of food waste, incl. land application",3.580269899624719e-06,5.552709023304115e-07,3.222475442103824e-07,1.377807999696225e-07,1.494143229223824e-06
China,Activity,"Composting of paper and wood, incl. land application",1.999608461653291e-07,2.6276200519518553e-08,1.5373431609137037e-08,6.389368994618643e-09,8.334336973286902e-08
China,Activity,Computer and related activities (72),1.3316500414609152e-05,7.865202703629317e-06,4.962656477652394e-06,1.882871805840375e-06,5.638168665554737e-06
China,Activity,Construction (45),3.3329270334429144e-05,5.59797408671894e-06,3.2763353707655857e-06,1.6233097437270915e-06,1.4207022331049481e-05
China,Activity,Copper production,0.00030456603014649845,0.001810097441563516,0.0008204831142232205,0.00034426144998238745,0.00014119624714742916
China,Activity,Cultivation of cereal grains nec,0.00017206153064767618,4.030169378496205e-05,2.302039507344007e-05,9.53069272651477e-06,7.219320624901197e-05
China,Activity,Cultivation of crops nec,7.690292354529713e-05,2.1698121214580045e-05,1.2661219650293228e-05,5.3955588402499825e-06,3.235572873087674e-05
China,Activity,Cultivation of oil seeds,0.00011596653006855109,5.9028886610649425e-05,3.2406803168623895e-05,1.447097941867078e-05,4.969477180336761e-05
China,Activity,Cultivation of paddy rice,3.754929193660137e-05,1.4454688424596496e-05,7.793625620400047e-06,3.457983281666449e-06,1.5861868274731793e-05
China,Activity,Cultivation of plant-based fibers,0.0001744254482318922,0.00011851928138233878,6.995643551747464e-05,3.0875405820899676e-05,7.670624038982044e-05
China,Activity,"Cultivation of sugar cane, sugar beet",0.00011447402868008399,3.834213355936152e-05,2.067036856505537e-05,8.649314095495294e-06,4.808226379253855e-05
China,Activity,"Cultivation of vegetables, fruit, nuts",0.00032659945321161164,9.681875584225305e-05,5.4808507694949735e-05,2.292814133725305e-05,0.00013738809327222323
China,Activity,Cultivation of wheat,2.035498477004978e-05,8.445376786215802e-06,4.6989142966894325e-06,2.0508147208713097e-06,8.645877897584626e-06
China,Activity,Distribution and trade of electricity,1.1452353341468445e-05,3.1653927131047834e-06,1.8077622216574243e-06,7.158315072445371e-07,4.7687964847441815e-06
China,Activity,Education (80),2.651388847681594e-06,8.535313335296876e-07,4.489992612039777e-07,1.8984775355461208e-07,1.1094650180332817e-06
China,Activity,Extra-territorial organizations and bodies,0.0,0.0,0.0,0.0,0.0
China,Activity,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",0.0010538071084901914,0.00046131605040152223,0.00025924288053213746,0.00011264982012451929,0.00044685292296249427
China,Activity,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",1.265559537075651e-05,9.731695327176933e-06,5.267418309212444e-06,2.3338693219368513e-06,5.488246390570449e-06
China,Activity,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",0.0,0.0,0.0,0.0,0.0
China,Activity,"Financial intermediation, except insurance and pension funding (65)",0.0007156914325083447,0.00024084163536445868,0.0001236062889549489,5.2383634637983024e-05,0.0002996007629244043
China,Activity,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",1.872693628422533e-06,1.2881254513828313e-06,6.653247742530569e-07,2.823347039626463e-07,7.973053141886248e-07
China,Activity,"Forestry, logging and related service activities (02)",0.00013266008670770094,5.445796976642803e-05,3.087235504819618e-05,1.3883417002449819e-05,5.6496486019187355e-05
China,Activity,Health and social work (85),0.00016515846739568137,7.348141771473464e-05,3.493316235987115e-05,1.4611937793172576e-05,6.874487853498409e-05
China,Activity,Hotels and restaurants (55),0.00010075121918280176,5.013932910930667e-05,2.7806353061705212e-05,1.1305712454867325e-05,4.245073130193941e-05
China,Activity,Incineration of waste: Food,1.61414854289387e-05,1.4881103227695686e-06,8.633156431165698e-07,3.523777078413779e-07,6.680943319805045e-06
China,Activity,Incineration of waste: Metals and Inert materials,0.0003145720117909621,5.247253112687868e-05,3.482297691295506e-05,1.6255592099358126e-05,0.00013300486965804918
China,Activity,Incineration of waste: Oil/Hazardous waste,0.00045463272113773845,6.884685392389585e-05,4.0961160337190264e-05,1.8393811102682464e-05,0.00019004625260454509
China,Activity,Incineration of waste: Paper,1.5819224750102947e-05,1.467611143720922e-06,8.521258920408463e-07,3.4745011272685654e-07,6.547551879103422e-06
China,Activity,Incineration of waste: Plastic,0.00031566144843239984,5.4925667776190864e-05,3.141920031983529e-05,1.3388575080298343e-05,0.00013166560747978113
China,Activity,Incineration of waste: Textiles,0.00035280032640623587,5.92066985908878e-05,3.348905018704653e-05,1.4107742307339893e-05,0.00014715493259813355
China,Activity,Incineration of waste: Wood,1.079398564857376e-06,1.5957252585616814e-07,9.320519473526e-08,3.951745296356281e-08,4.501203450702345e-07
China,Activity,Inland water transport,0.0014448714258500704,0.0005891327258836619,0.00031349497843357027,0.00013267493665956615,0.0006092841848833622
China,Activity,"Insurance and pension funding, except compulsory social security (66)",1.6953452680057917e-05,7.365244051834553e-06,3.7758532882628073e-06,1.6192240629453757e-06,7.156491033791205e-06
China,Activity,Landfill of waste: Food,4.628326920904009e-05,6.841826309232408e-06,3.8853875713952646e-06,1.6337028098234205e-06,1.9276093610422104e-05
China,Activity,Landfill of waste: Inert/metal/hazardous,2.480305355008953e-05,2.227977736734497e-06,1.3023190577965561e-06,5.349956435947e-07,1.0266372424807003e-05
China,Activity,Landfill of waste: Paper,1.5313443911344343e-05,2.3918367191439164e-06,1.3538105250783419e-06,5.68082465497046e-07,6.379244413713971e-06
China,Activity,Landfill of waste: Plastic,1.5929908066586524e-05,1.5507908426525515e-06,8.881981045908053e-07,3.627871113504376e-07,6.593653022520706e-06
China,Activity,Landfill of waste: Textiles,2.447923006085316e-06,3.5990173350918007e-07,2.0836184445028156e-07,8.689220616148817e-08,1.020039782259623e-06
China,Activity,Landfill of waste: Wood,3.11240785127882e-06,4.288406473327654e-07,2.512322508734581e-07,1.0461998658299217e-07,1.2965906222424846e-06
China,Activity,"Lead, zinc and tin production",4.0635243469862326e-05,6.466707398928411e-05,3.122111423652384e-05,1.32594728839173e-05,1.767629421392641e-05
China,Activity,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,0.012519818218314634,0.036363505357289376,0.01741455489887241,0.007286066559782641,0.005586311273490969
China,Activity,Manufacture of beverages,7.96400308833226e-06,5.390631494304277e-06,2.805557700949579e-06,1.1787493736795465e-06,3.381363394955199e-06
China,Activity,"Manufacture of bricks, tiles and construction products, in baked clay",3.032458044820823e-05,1.5028603318192086e-05,1.0985241179039026e-05,5.554568078857749e-06,1.3809529047884648e-05
China,Activity,"Manufacture of cement, lime and plaster",0.0004247215263298251,0.00010560412218101303,0.00013749071364069167,7.243503083480421e-05,0.0002043458671914706
China,Activity,Manufacture of ceramic goods,5.5517014043316264e-05,9.216701245076111e-05,4.948250442043088e-05,2.287671874803402e-05,2.6809085605507966e-05
China,Activity,Manufacture of coke oven products,0.002488945840822919,0.003049665574935336,0.0015712785913731277,0.0006451222731858214,0.0010682873339268515
China,Activity,Manufacture of electrical machinery and apparatus n.e.c. (31),0.00012049505769639671,0.0014129661591733371,0.000613726091387133,0.00025594551285736274,5.708485688829499e-05
China,Activity,"Manufacture of fabricated metal products, except machinery and equipment (28)",0.0034196358211307015,0.004335392307188495,0.0023340271967235535,0.0009772020483627705,0.001492487603483224
China,Activity,Manufacture of fish products,2.891917914824071e-05,1.9954152245830084e-05,1.0262745779672141e-05,4.342429600084382e-06,1.2300921431291132e-05
China,Activity,Manufacture of furniture; manufacturing n.e.c. (36),0.0005342812059874115,0.0004944929861590363,0.0002558623014673909,0.00011170109998196243,0.0002291945916818692
China,Activity,Manufacture of gas; distribution of gaseous fuels through mains,0.010376292264555808,0.0038215720592986477,0.001876920089784713,0.0007902705227815085,0.004324821712349338
China,Activity,Manufacture of glass and glass products,0.013812131844507254,0.00047216510848316893,0.0002578252479795643,0.0001038114185732236,0.005685794855022098
China,Activity,Manufacture of machinery and equipment n.e.c. (29),0.0005151666767210019,0.0005136867128229124,0.0002754410241419544,0.0001160397132408389,0.00022246568691505054
China,Activity,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",5.447380449888836e-06,1.1481790126771217e-05,6.087725670418425e-06,3.2220046665430697e-06,2.8929549047250873e-06
China,Activity,"Manufacture of motor vehicles, trailers and semi-trailers (34)",9.369840050383948e-05,2.5612069618019162e-05,1.5662173222048315e-05,6.841992555769576e-06,3.970056413934541e-05
China,Activity,Manufacture of office machinery and computers (30),4.835133239021937e-05,5.2542010718006993e-05,3.164031543513618e-05,1.5908338833416712e-05,2.338528672894805e-05
China,Activity,Manufacture of other non-metallic mineral products n.e.c.,0.05891884681839758,0.003472734710423055,0.0018264317437342757,0.0007545941900832523,0.024282855745100602
China,Activity,Manufacture of other transport equipment (35),8.402220892410029e-05,3.0797629552105044e-05,1.7998601768141207e-05,7.88936793246634e-06,3.593032539597561e-05
China,Activity,"Manufacture of radio, television and communication equipment and apparatus (32)",8.41663408943289e-05,9.403615197895713e-05,6.735794630205463e-05,3.942242221631418e-05,4.524546952589882e-05
China,Activity,Manufacture of rubber and plastic products (25),0.0015025424367803302,0.0011985775279235778,0.0006339907950179476,0.00027859397973871046,0.0006509173514049447
China,Activity,Manufacture of textiles (17),0.00018587061026148466,0.00013043965222172687,7.301714898949004e-05,3.227642391147798e-05,8.119987207372216e-05
China,Activity,Manufacture of tobacco products (16),0.0034957978019173387,0.0010513207472322035,0.0006122501075696478,0.00023261696530426054,0.0014509598917170712
China,Activity,Manufacture of wearing apparel; dressing and dyeing of fur (18),0.00010541599256422109,3.946595414087827e-05,2.1802067092271726e-05,9.55260364626667e-06,4.4860758240740446e-05
China,Activity,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",0.00026808248692748986,0.00016825285537695425,0.00014921087303926446,6.383847483313406e-05,0.0001259376179650973
China,Activity,"Manure treatment (biogas), storage and land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Manure treatment (conventional), storage and land application",0.0,0.0,0.0,0.0,0.0
China,Activity,Meat animals nec,6.813712179696516e-05,2.947086556876631e-06,2.3543779298430597e-06,8.707677018907753e-07,2.8449434973384834e-05
China,Activity,Mining of aluminium ores and concentrates,0.0003529057091255501,0.00020478737959991073,0.00013290829944372862,5.3501450069810456e-05,0.00015123763883732235
China,Activity,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",0.0001471638746255483,0.00011346503838111374,0.00010052155820646313,3.778506351676649e-05,6.641261020634998e-05
China,Activity,Mining of coal and lignite; extraction of peat (10),0.009101909164619433,0.0011413730710135872,0.0006170843095322859,0.0002502747381009445,0.0037615696040546234
China,Activity,Mining of copper ores and concentrates,0.00010489888523396607,0.0002711894298588,0.00012371731956684306,5.1802829692092255e-05,4.55619186995944e-05
China,Activity,Mining of iron ores,3.42177488507033e-05,7.894694332589416e-05,3.876435552145412e-05,1.6169315084707976e-05,1.5129428962068933e-05
China,Activity,"Mining of lead, zinc and tin ores and concentrates",0.00023162389179708445,0.0001539921341365843,8.018272472841206e-05,3.319159530539963e-05,9.789653625335409e-05
China,Activity,Mining of nickel ores and concentrates,0.0002279232076531861,0.0003165606462170887,0.0005906161004175773,0.00014539288808022212,9.90985339443598e-05
China,Activity,Mining of other non-ferrous metal ores and concentrates,0.00025675140312313296,0.000269430295967169,0.00013055851434236535,5.495248672116379e-05,0.00010914409169507574
China,Activity,Mining of precious metal ores and concentrates,0.004958876747539445,0.00033575911126923215,0.00015393327993587104,6.521472913654196e-05,0.0020417847601331518
China,Activity,Mining of uranium and thorium ores (12),3.277362828516345e-05,3.754106213791618e-05,1.8857489226436552e-05,8.46661801146424e-06,1.4417663268172301e-05
China,Activity,N-fertiliser,3.54459398957738e-06,1.0390884096505983e-06,6.031398496252327e-07,4.2378882818245343e-07,1.4994130540311758e-06
China,Activity,Other business activities (74),0.00030790548270724427,0.00020622445179645167,0.0001012202053457037,4.303769311520813e-05,0.00013001514206375676
China,Activity,Other land transport,0.00016447566664592152,6.167766156133418e-05,3.3549386703963515e-05,1.4184117859202912e-05,6.963948464941994e-05
China,Activity,Other non-ferrous metal production,0.001099648718690718,0.0018956896474007483,0.003630308252647561,0.0008880753781762551,0.00048472315074353007
China,Activity,Other service activities (93),8.116622312328392e-05,1.0325830772044432e-05,6.059222936520764e-06,2.418773753122599e-06,3.3865725387238525e-05
China,Activity,P- and other fertiliser,0.00022681483057381536,7.877202463729036e-05,4.6277877130174005e-05,2.1860210757274233e-05,9.677918376839689e-05
China,Activity,Paper,0.0008209092542212944,0.00031029891473686105,0.00017278561665441488,7.837522654249194e-05,0.00034887199584043946
China,Activity,Petroleum Refinery,0.003037921965210787,0.0013751670546077537,0.0007765693170171332,0.0003358370692411188,0.0012900136692989151
China,Activity,Pigs farming,0.00017072677135810757,8.940679974823451e-06,6.6965334726274655e-06,2.500546209087294e-06,7.128307249707433e-05
