Region,,,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK
Level,,,Activity,Activity,Activity,Activity,Activity
Item,,,Production of photovoltaic plants,Production of onshore wind plants,Production of offshore wind plants,Production of electricity by wind,Production of electricity by solar photovoltaic
Region,Level,Item,,,,,
China,Activity,Activities auxiliary to financial intermediation (67),6.10216530788342e-11,3.240630244177445e-11,1.6741568074467612e-11,1.0303173643738816e-12,5.890793251087087e-13
China,Activity,Activities of membership organisation n.e.c. (91),1.755307323035897e-10,2.5891976534067738e-11,1.444632724089344e-11,9.44320498310722e-13,6.682267647025714e-13
China,Activity,Air transport (62),8.213256541647755e-08,3.9177633746970054e-08,2.0555099901430048e-08,1.6641122732078434e-09,1.0015280547955132e-09
China,Activity,Aluminium production,1.2667985022098434e-08,1.0612668999053475e-08,5.1136344027259725e-09,2.2170632322593901e-10,1.2109323954735715e-10
China,Activity,Animal products nec,2.4299000437952353e-10,8.28657390050298e-11,4.842553118500845e-11,4.508719208633381e-12,3.032229780382874e-12
China,Activity,"Biogasification of food waste, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Biogasification of paper, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Biogasification of sewage slugde, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,Casting of metals,1.1845521043219957e-08,5.018145003898291e-08,2.2708261929734337e-08,6.789178799657746e-10,3.6835399394822536e-10
China,Activity,Cattle farming,1.1231347740689608e-10,3.8730712652583034e-11,2.240525808306431e-11,1.7540218129461081e-12,1.1530642754682725e-12
China,Activity,Chemicals nec,2.8431927815227373e-07,5.8405299720668865e-08,3.530784094312841e-08,4.142601290000379e-09,1.9738559604393787e-09
China,Activity,"Collection, purification and distribution of water (41)",1.3227334744630222e-10,2.839514249856786e-11,1.5356635195201686e-11,8.645861374055368e-13,5.181831975799257e-13
China,Activity,"Composting of food waste, incl. land application",1.9449741524966205e-11,2.6597359661879745e-12,1.5757730965681632e-12,1.3130195690994344e-13,1.0375189528992319e-13
China,Activity,"Composting of paper and wood, incl. land application",8.730142343923736e-13,1.2895501569643103e-13,7.469306293045692e-14,4.966189514179153e-15,4.507658567321548e-15
China,Activity,Computer and related activities (72),4.86606950072881e-11,3.384559237605882e-11,1.87311214098705e-11,9.588447556226375e-13,5.688054120072848e-13
China,Activity,Construction (45),2.6970951463847467e-10,5.2286991898966864e-11,3.1068667920403876e-11,5.532320688267378e-12,5.3277808070898856e-12
China,Activity,Copper production,5.201865234524088e-09,2.9036041224930316e-08,1.3137933922733344e-08,4.165661493959669e-10,2.2882065405619585e-10
China,Activity,Cultivation of cereal grains nec,3.7168587112989632e-09,8.089681398337211e-10,4.6010106881883856e-10,3.0451438702286155e-11,2.594677443798283e-11
China,Activity,Cultivation of crops nec,1.7714392499061735e-09,5.17858061729155e-10,2.929934235324776e-10,2.299185201723396e-11,1.4442234552974252e-11
China,Activity,Cultivation of oil seeds,2.574079897830089e-09,1.316255232767651e-09,7.113138392228286e-10,5.938188499397892e-11,3.42461377470016e-11
China,Activity,Cultivation of paddy rice,8.054155798913129e-10,2.764341102988689e-10,1.4873038087509417e-10,1.1925958372492838e-11,6.687643425650788e-12
China,Activity,Cultivation of plant-based fibers,3.807066926938454e-09,2.417868284545025e-09,1.3715216011104707e-09,1.2042810727060835e-10,7.591545196399124e-11
China,Activity,"Cultivation of sugar cane, sugar beet",2.1700245794474674e-09,8.278869790821219e-10,4.388151164874567e-10,2.5599640415616414e-11,1.8055070986306366e-11
China,Activity,"Cultivation of vegetables, fruit, nuts",5.275931743245322e-09,1.5106567407742187e-09,8.485186100401124e-10,5.82645167393934e-11,4.2868970375634106e-11
China,Activity,Cultivation of wheat,6.132306989965807e-10,2.5329633394349277e-10,1.3811984654143566e-10,1.0461926714431259e-11,6.607902595774203e-12
China,Activity,Distribution and trade of electricity,2.8848746032680325e-10,7.715478761539579e-11,4.5190828583224623e-11,2.0333070706676135e-12,1.2465709599649044e-12
China,Activity,Education (80),3.763333494393546e-11,1.6553178027395617e-11,8.443919687951993e-12,4.66938290358652e-13,2.865460458761361e-13
China,Activity,Extra-territorial organizations and bodies,0.0,0.0,0.0,0.0,0.0
China,Activity,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",5.406753034174818e-09,1.863413691541009e-09,1.0506559662473554e-09,8.279411026722934e-11,5.127830678028363e-11
China,Activity,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",1.284454149540537e-10,9.28775818442505e-11,4.909259092575847e-11,3.852605201125197e-12,2.116144780799335e-12
China,Activity,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",0.0,0.0,0.0,0.0,0.0
China,Activity,"Financial intermediation, except insurance and pension funding (65)",8.719640700561106e-09,3.6872752194786553e-09,1.847407221348151e-09,1.0133050272128988e-10,5.82567159922871e-11
China,Activity,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",5.757902959434099e-15,3.974524814966534e-15,2.059436936240084e-15,1.2905199359127964e-16,7.683423521884087e-17
China,Activity,"Forestry, logging and related service activities (02)",6.111558577029767e-08,2.5378949865609672e-08,1.4251921136157746e-08,1.3345423243590907e-09,7.419108747109639e-10
China,Activity,Health and social work (85),2.8271006832456243e-09,1.244912808249862e-09,5.91418201643698e-10,2.2971013563623498e-11,1.261778604490404e-11
China,Activity,Hotels and restaurants (55),9.66958177815538e-10,5.172055876095958e-10,2.796445487066517e-10,1.5156964827578933e-11,9.001837803248076e-12
China,Activity,Incineration of waste: Food,6.147139691577516e-11,1.0475200987413159e-11,5.93003557441286e-12,3.9225759146846983e-13,3.124820245006243e-13
China,Activity,Incineration of waste: Metals and Inert materials,7.560997772896822e-09,1.1115222329409823e-09,7.753310023968624e-10,1.2965471010911268e-10,8.399170022782551e-11
China,Activity,Incineration of waste: Oil/Hazardous waste,1.1784642981846591e-08,2.0792947920487003e-09,1.2369031671780996e-09,1.1232130841258395e-10,7.808129884319689e-11
China,Activity,Incineration of waste: Paper,6.32773780858832e-11,1.0886287109703195e-11,6.145769171703834e-12,4.02686644168132e-13,3.2148941204792377e-13
China,Activity,Incineration of waste: Plastic,9.194220533151563e-09,1.2799228672599864e-09,7.533273667645001e-10,5.859223438392982e-11,4.791619212444176e-11
China,Activity,Incineration of waste: Textiles,9.44305036491733e-09,1.644457174787797e-09,9.31705939572488e-10,6.218059930458918e-11,4.9893450516620437e-11
China,Activity,Incineration of waste: Wood,8.856565476142998e-12,1.6212806924481334e-12,9.130436114156498e-13,6.639660359995443e-14,4.921545692958403e-14
China,Activity,Inland water transport,2.713151919732069e-08,1.3510930201660646e-08,7.062190986486646e-09,4.2744508238899373e-10,2.6827142928268795e-10
China,Activity,"Insurance and pension funding, except compulsory social security (66)",1.2017264689190566e-10,4.885527202362159e-11,2.5129736978390057e-11,1.5624709018630751e-12,1.119242827028922e-12
China,Activity,Landfill of waste: Food,3.195687154245524e-10,5.043989582809414e-11,2.8688430684059572e-11,1.895876623048125e-12,1.5521484859584206e-12
China,Activity,Landfill of waste: Inert/metal/hazardous,9.474235654250085e-11,1.722550306174447e-11,9.68014577512396e-12,6.395028701630447e-13,4.963599959164948e-13
China,Activity,Landfill of waste: Paper,1.15761640428005e-10,1.929232008706438e-11,1.0934521081007814e-11,7.211417911219297e-13,5.777290990860337e-13
China,Activity,Landfill of waste: Plastic,6.633908582270287e-11,1.0774974267930184e-11,6.13422012721344e-12,4.000922868047348e-13,3.2908761158078893e-13
China,Activity,Landfill of waste: Textiles,2.344332013941061e-11,3.8202788821078036e-12,2.178008508306998e-12,1.4359198046809695e-13,1.1764412807517221e-13
China,Activity,Landfill of waste: Wood,2.7833782311167008e-11,4.655697880559739e-12,2.6450929311129007e-12,1.7326578981546621e-13,1.4113529775832694e-13
China,Activity,"Lead, zinc and tin production",5.924107651273492e-10,7.401788676635685e-10,3.6179947454829887e-10,1.9000315471629256e-11,1.1214127553534666e-11
China,Activity,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,7.92088598535695e-08,2.501120932996003e-07,1.2175054295749353e-07,5.231647645303273e-09,2.8599060287714203e-09
China,Activity,Manufacture of beverages,5.995010379483943e-11,4.492020812342146e-11,2.2827515970757118e-11,1.2355092917582885e-12,7.224120623362964e-13
China,Activity,"Manufacture of bricks, tiles and construction products, in baked clay",2.649897289577169e-10,1.2928288514299673e-10,1.2708713060267005e-10,2.8588419860779755e-11,1.636387841101548e-11
China,Activity,"Manufacture of cement, lime and plaster",5.671054663526572e-09,1.4617200194954207e-09,1.8065421190183847e-09,4.772299421547191e-10,3.519479143116459e-10
China,Activity,Manufacture of ceramic goods,3.449619930355027e-10,1.20103729314459e-10,1.233443013398443e-10,3.286307875433195e-11,2.5401371277059394e-11
China,Activity,Manufacture of coke oven products,7.0701418396203e-08,1.1435081359592231e-07,5.7301772856141323e-08,2.564068290567684e-09,1.4134742047463077e-09
China,Activity,Manufacture of electrical machinery and apparatus n.e.c. (31),1.428686117561237e-09,1.4745993026587944e-08,6.394417969977014e-09,1.2933543781207137e-10,6.85406890146512e-11
China,Activity,"Manufacture of fabricated metal products, except machinery and equipment (28)",6.742009053980039e-08,8.686542698840153e-08,4.645513534132618e-08,2.829874900664198e-09,1.4970060304730175e-09
China,Activity,Manufacture of fish products,1.8965182939171459e-10,1.4066077641499064e-10,7.204428344094217e-11,4.342362870713105e-12,2.6232656514985923e-12
China,Activity,Manufacture of furniture; manufacturing n.e.c. (36),4.7427289603145116e-09,4.351710461255327e-09,2.2148755639450545e-09,1.6240220125028872e-10,7.210001549326987e-11
China,Activity,Manufacture of gas; distribution of gaseous fuels through mains,5.136948604852459e-09,1.990234156422425e-09,1.106924489197658e-09,4.4718298940001923e-11,2.6558374503193223e-11
China,Activity,Manufacture of glass and glass products,1.9379576120607314e-07,1.903948744717334e-09,1.3971863033444549e-09,9.305247312392457e-11,5.924062945297653e-11
China,Activity,Manufacture of machinery and equipment n.e.c. (29),6.27291732957917e-09,6.930147523881239e-09,3.6956617405738015e-09,2.2902341043785828e-10,1.2310632521641828e-10
China,Activity,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",6.930563768709887e-11,1.5832185012545951e-10,8.458976187816233e-11,1.5896486216277847e-11,9.711570856028273e-12
China,Activity,"Manufacture of motor vehicles, trailers and semi-trailers (34)",1.2699057073291446e-09,3.244022382459835e-10,1.9118427435903444e-10,1.718057243691892e-11,1.1286879761325183e-11
China,Activity,Manufacture of office machinery and computers (30),4.704995990178116e-10,5.082881493480029e-10,2.895908390552952e-10,3.704286945269489e-11,2.2968761528588123e-11
China,Activity,Manufacture of other non-metallic mineral products n.e.c.,8.977866595417357e-07,2.911289004520842e-08,1.6502087648383795e-08,1.0474663859456143e-09,6.466408700288239e-10
China,Activity,Manufacture of other transport equipment (35),8.653715472149833e-10,3.6113510485615703e-10,2.0270541559121456e-10,1.7054945594018958e-11,1.2361371826701636e-11
China,Activity,"Manufacture of radio, television and communication equipment and apparatus (32)",1.5256697844128756e-09,4.885952706211967e-09,2.503401614558227e-09,3.153359483403409e-10,1.6565981143525993e-10
China,Activity,Manufacture of rubber and plastic products (25),1.1137546295632792e-08,9.056477269163625e-09,4.77872084931916e-09,3.545169846532351e-10,2.0805370871984663e-10
China,Activity,Manufacture of textiles (17),3.788224318365667e-09,2.5151503467465e-09,1.3639057143869553e-09,1.0726731672592569e-10,6.746037138607551e-11
China,Activity,Manufacture of tobacco products (16),3.614256048290705e-08,1.4425763772107199e-08,7.58765974066492e-09,3.0831500998118927e-10,1.6848780647154006e-10
China,Activity,Manufacture of wearing apparel; dressing and dyeing of fur (18),2.666980130873901e-09,1.102216214323558e-09,5.89214647539484e-10,4.045900072162524e-11,2.8856331288851363e-11
China,Activity,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",1.9694788665917167e-09,1.2849945996897845e-09,1.5429330259583577e-09,2.7634641861883865e-10,1.866563204642792e-10
China,Activity,"Manure treatment (biogas), storage and land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Manure treatment (conventional), storage and land application",0.0,0.0,0.0,0.0,0.0
China,Activity,Meat animals nec,2.045346060468989e-09,9.744916806385167e-11,7.439301752240956e-11,4.73013062266371e-12,1.066986153217379e-11
China,Activity,Mining of aluminium ores and concentrates,7.834354905353543e-09,4.212792073847912e-09,2.7584516734211643e-09,2.0244295518415941e-10,1.0780710795288683e-10
China,Activity,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",2.028515615941191e-09,9.015944695280215e-10,9.121819333363731e-10,7.919136832763148e-11,4.586377851440185e-11
China,Activity,Mining of coal and lignite; extraction of peat (10),2.9797638762368626e-08,3.167523678720384e-08,1.6382077325878677e-08,8.785381023506729e-10,5.154901260911575e-10
China,Activity,Mining of copper ores and concentrates,1.6239641839379772e-09,4.165917593102223e-09,2.0218653603948474e-09,6.162692075112852e-11,3.389519893952833e-11
China,Activity,Mining of iron ores,3.63749948052408e-10,1.1173260469578269e-09,5.595636409991637e-10,2.4834543970475228e-11,1.362218092055629e-11
China,Activity,"Mining of lead, zinc and tin ores and concentrates",2.983059150020776e-09,1.395153158811946e-09,9.735801478163496e-10,3.693455178622053e-11,2.1177706202545124e-11
China,Activity,Mining of nickel ores and concentrates,4.065484061920684e-09,2.6032388423226136e-09,7.243986489702617e-09,1.0068632467135323e-10,5.684662136386397e-11
China,Activity,Mining of other non-ferrous metal ores and concentrates,5.420087192952475e-09,4.156767534935146e-09,1.0755089827178624e-08,1.5308491541323488e-10,8.628283140757717e-11
China,Activity,Mining of precious metal ores and concentrates,5.674322852507679e-08,4.1944803757303995e-09,2.049531752176503e-09,6.968534793186662e-11,3.854747878080772e-11
China,Activity,Mining of uranium and thorium ores (12),4.0330668499123307e-10,5.446079738150214e-10,2.665785763509988e-10,1.873980981768532e-11,1.0263252232188059e-11
China,Activity,N-fertiliser,1.2590284312296859e-11,4.89197872121824e-12,2.955786797938578e-12,3.847866096468563e-12,1.9720974500447824e-13
China,Activity,Other business activities (74),2.547184212288671e-09,1.7462483894394421e-09,8.642585100765403e-10,4.313337408101817e-11,2.557869643832569e-11
China,Activity,Other land transport,3.3287217226463554e-09,1.29107805427138e-09,7.021658817441437e-10,4.507280176864611e-11,3.848607470354212e-11
China,Activity,Other non-ferrous metal production,2.256066660290957e-08,2.0081359031231585e-08,5.9295672150629224e-08,8.056267374936272e-10,4.549717396069167e-10
China,Activity,Other service activities (93),3.70272326032188e-10,4.090698870612586e-11,2.435605301263992e-11,1.3852687851884968e-12,1.85837717558383e-12
