Region,,,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK
Level,,,Activity,Activity,Activity,Activity,Activity
Item,,,Production of photovoltaic plants,Production of onshore wind plants,Production of offshore wind plants,Production of electricity by wind,Production of electricity by solar photovoltaic
Region,Level,Item,,,,,
China,Activity,Activities auxiliary to financial intermediation (67),5.486832217378957e-11,2.633627573906086e-11,1.371250545573266e-11,6.211246968635081e-12,2.4669215103848923e-11
China,Activity,Activities of membership organisation n.e.c. (91),1.6511847127575505e-10,2.70664207408766e-11,1.4599804572840455e-11,6.482892951126372e-12,7.312027451266959e-11
China,Activity,Air transport (62),7.197108921165927e-08,3.2521011630537425e-08,1.7429563738869025e-08,8.055366510595372e-09,3.255828105154463e-08
China,Activity,Aluminium production,1.0312431014209327e-08,8.127894911720985e-09,3.980890127016533e-09,1.7626915440521006e-09,4.636520340505537e-09
China,Activity,Animal products nec,1.5031525660828611e-10,5.264531778881876e-11,3.190222579153135e-11,1.5252631038381855e-11,6.874774060888684e-11
China,Activity,"Biogasification of food waste, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Biogasification of paper, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Biogasification of sewage slugde, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,Casting of metals,9.148597981450532e-09,3.699886922569355e-08,1.6601122504086086e-08,7.364220367288055e-09,4.297225606259431e-09
China,Activity,Cattle farming,6.33605749875191e-11,2.0123786351768335e-11,1.1973282215809397e-11,5.525998667098159e-12,2.863548583264613e-11
China,Activity,Chemicals nec,2.2056676264272455e-07,4.648718545116515e-08,2.807136856065515e-08,1.4240084621006765e-08,9.90477160893813e-08
China,Activity,"Collection, purification and distribution of water (41)",1.6235552155707028e-10,3.867827732592771e-11,2.086936367945086e-11,9.362925067378597e-12,7.2172752867432e-11
China,Activity,"Composting of food waste, incl. land application",9.211198814811525e-12,1.6440937970295715e-12,9.206381532179415e-13,4.1943113649691124e-13,4.09061289132126e-12
China,Activity,"Composting of paper and wood, incl. land application",9.457300832617625e-13,1.5500427985424292e-13,8.495435072587046e-14,3.742387360892479e-14,4.191106851878917e-13
China,Activity,Computer and related activities (72),4.845691493843596e-11,2.8053012532535327e-11,1.6143148120467434e-11,6.770908896117258e-12,2.1819528242507653e-11
China,Activity,Construction (45),2.961952827181636e-10,6.826897888245355e-11,3.7353413194273685e-11,1.896355986939081e-11,1.3461620253038083e-10
China,Activity,Copper production,3.8948512237230875e-09,2.1718852163731985e-08,9.855983968382655e-09,4.386946435430233e-09,1.9027448175636122e-09
China,Activity,Cultivation of cereal grains nec,2.0133396896416286e-09,4.831201617141176e-10,2.7202843016606775e-10,1.196359279582268e-10,8.9925673420759e-10
China,Activity,Cultivation of crops nec,1.3846897697256096e-09,3.878177430264463e-10,2.2104478492821846e-10,1.0065344077488696e-10,6.201932089145113e-10
China,Activity,Cultivation of oil seeds,2.1154432088786664e-09,1.155740525456755e-09,6.299523305295564e-10,2.969634094378933e-10,9.655451080645452e-10
China,Activity,Cultivation of paddy rice,8.399519300844066e-10,3.19476652488605e-10,1.7059002166942552e-10,7.990873399818747e-11,3.7770285927663094e-10
China,Activity,Cultivation of plant-based fibers,2.1441466736165976e-09,1.3991573306298919e-09,8.171327788051673e-10,3.8158010868097657e-10,9.994840338337736e-10
China,Activity,"Cultivation of sugar cane, sugar beet",1.6223744177493864e-09,6.443862533663784e-10,3.4369470725008745e-10,1.5302567572639492e-10,7.27510507520372e-10
China,Activity,"Cultivation of vegetables, fruit, nuts",3.786019413138782e-09,1.1894020109686547e-09,6.570174945033463e-10,2.9039355071838916e-10,1.694867487629162e-09
China,Activity,Cultivation of wheat,3.8551375608749887e-10,1.5952224946015177e-10,8.818218257503327e-11,4.0868338536082404e-11,1.744289287544822e-10
China,Activity,Distribution and trade of electricity,2.0336360840979378e-10,7.963833250151374e-11,4.3647744847079646e-11,1.885280622449967e-11,9.077310807517422e-11
China,Activity,Education (80),2.3576733270614143e-11,8.771543111153088e-12,4.5269743583032585e-12,2.02565133644989e-12,1.052335859576948e-11
China,Activity,Extra-territorial organizations and bodies,0.0,0.0,0.0,0.0,0.0
China,Activity,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",4.2376441586664916e-09,1.635540420384089e-09,9.091714176345271e-10,4.1791223516982523e-10,1.908603356864414e-09
China,Activity,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",1.0392884894260731e-10,8.515985770450826e-11,4.492632715538145e-11,2.0924352380869044e-11,4.788128634297092e-11
China,Activity,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",0.0,0.0,0.0,0.0,0.0
China,Activity,"Financial intermediation, except insurance and pension funding (65)",8.347724774966695e-09,2.8257514097027385e-09,1.438086930275696e-09,6.450039298209776e-10,3.721728803800396e-09
China,Activity,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",7.871996510567635e-15,5.369346620137421e-15,2.755446183778304e-15,1.2365876253963575e-15,3.564119314452143e-15
China,Activity,"Forestry, logging and related service activities (02)",4.9759248723441565e-08,2.0745837980746445e-08,1.1601090050757683e-08,5.491595931093647e-09,2.255405464012273e-08
China,Activity,Health and social work (85),2.4868546159464658e-09,1.0393664742636343e-09,4.943623896513726e-10,2.1902062853977602e-10,1.1032123550256472e-09
China,Activity,Hotels and restaurants (55),9.963492888091134e-10,4.822112973611193e-10,2.621324032036994e-10,1.1368584349520278e-10,4.4685152815902973e-10
China,Activity,Incineration of waste: Food,4.866277661072801e-11,6.7764071856836614e-12,3.772266229862846e-12,1.658203919684777e-12,2.153712661341207e-11
China,Activity,Incineration of waste: Metals and Inert materials,4.172708552973671e-09,8.423606381155202e-10,5.465784560520719e-10,2.765187633079258e-10,1.8895720630293813e-09
China,Activity,Incineration of waste: Oil/Hazardous waste,8.711753268790783e-09,1.3840206858662093e-09,7.865585508187718e-10,3.699750987917506e-10,3.868183898071383e-09
China,Activity,Incineration of waste: Paper,4.8388162363612466e-11,6.784051900847226e-12,3.770940701574963e-12,1.6566210535781342e-12,2.1415263953166276e-11
China,Activity,Incineration of waste: Plastic,7.902382590415273e-09,1.1943069250571326e-09,6.651762320131155e-10,2.940639287863943e-10,3.5009024822533455e-09
China,Activity,Incineration of waste: Textiles,7.922521274789605e-09,1.1210611642774546e-09,6.272376297171097e-10,2.75407964825005e-10,3.5071077549884413e-09
China,Activity,Incineration of waste: Wood,7.404258650972732e-12,9.67298495269992e-13,5.475474070940918e-13,2.445130191895673e-13,3.2777063732211147e-12
China,Activity,Inland water transport,2.4383673429659964e-08,1.0374876826368514e-08,5.412740637759319e-09,2.4128599707976395e-09,1.093284281386358e-08
China,Activity,"Insurance and pension funding, except compulsory social security (66)",1.5325823466153578e-10,6.834211716978806e-11,3.491833654693638e-11,1.5750590882588002e-11,6.882255728776016e-11
China,Activity,Landfill of waste: Food,2.9037255545732056e-10,3.8693441104768835e-11,2.1536301815904064e-11,9.455761328552437e-12,1.2845992782733693e-10
China,Activity,Landfill of waste: Inert/metal/hazardous,7.413560344491276e-11,1.0628554729857153e-11,5.916997502588041e-12,2.633347714775789e-12,3.282779629386828e-11
China,Activity,Landfill of waste: Paper,9.403425422250314e-11,1.2933618349518908e-11,7.2212948225129246e-12,3.1673591513066306e-12,4.164614819873535e-11
China,Activity,Landfill of waste: Plastic,6.110418969288113e-11,8.278131332502434e-12,4.610197744905103e-12,2.0202635188403512e-12,2.7035041884175633e-11
China,Activity,Landfill of waste: Textiles,2.2714066899960037e-11,2.949822059525612e-12,1.6511577733573283e-12,7.242206913343727e-13,1.0048239049333767e-11
China,Activity,Landfill of waste: Wood,2.5212389920731617e-11,3.370992553722775e-12,1.87964784590533e-12,8.252514428553342e-13,1.1155222627748777e-11
China,Activity,"Lead, zinc and tin production",5.56910923834243e-10,8.246965169489986e-10,3.9762986394016245e-10,1.7846501509146441e-10,2.5652801539624613e-10
China,Activity,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,7.951283286476679e-08,2.1610015406153486e-07,1.032651468287225e-07,4.5720896859230516e-08,3.74519617514786e-08
China,Activity,Manufacture of beverages,3.9179878673903096e-11,2.6042577166761682e-11,1.3441330984895429e-11,6.001527670218759e-12,1.771055244826315e-11
China,Activity,"Manufacture of bricks, tiles and construction products, in baked clay",4.2950891696847554e-10,1.9363941360438986e-10,1.4677015600175206e-10,7.856155303124309e-11,2.0765027362169232e-10
China,Activity,"Manufacture of cement, lime and plaster",5.2483354152278635e-09,1.5394417156205117e-09,1.8132319934069145e-09,1.0183127147544915e-09,2.6792638475716195e-09
China,Activity,Manufacture of ceramic goods,8.005870099357661e-10,9.197562517430606e-10,4.992388104181204e-10,2.4496079300587436e-10,3.9206009239506535e-10
China,Activity,Manufacture of coke oven products,6.014189067095597e-08,6.853543692171239e-08,3.47348294016325e-08,1.520318341006494e-08,2.7393279214096404e-08
China,Activity,Manufacture of electrical machinery and apparatus n.e.c. (31),1.0734393898224072e-09,1.166944911739847e-08,5.063303453628839e-09,2.2415947035019843e-09,5.303881631390342e-10
China,Activity,"Manufacture of fabricated metal products, except machinery and equipment (28)",5.7411738066246315e-08,6.891584799695146e-08,3.703021267218741e-08,1.637182204069228e-08,2.6553759856052756e-08
China,Activity,Manufacture of fish products,2.543645293602179e-10,1.834895470140991e-10,9.315379594422798e-11,4.1686517947845765e-11,1.1517162138324374e-10
China,Activity,Manufacture of furniture; manufacturing n.e.c. (36),3.0616709330582576e-09,3.3883948247133294e-09,1.7112787316327299e-09,7.921083785004325e-10,1.4055052473463326e-09
China,Activity,Manufacture of gas; distribution of gaseous fuels through mains,2.671992087473302e-09,1.2961455501011162e-09,6.933866206058109e-10,3.0162206648666373e-10,1.1957732710777142e-09
China,Activity,Manufacture of glass and glass products,1.4270015161994777e-07,4.7172888780547375e-09,2.593715466006778e-09,1.1030574180539133e-09,6.269738948445514e-08
China,Activity,Manufacture of machinery and equipment n.e.c. (29),5.524171454035617e-09,5.230699052549268e-09,2.8153497215720793e-09,1.2466666611309404e-09,2.5324033312565906e-09
China,Activity,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",5.5461313798118523e-11,1.205750981087819e-10,6.335295482770261e-11,3.421807589571222e-11,3.074586462834194e-11
China,Activity,"Manufacture of motor vehicles, trailers and semi-trailers (34)",1.5910673380547052e-09,2.4933812977097027e-10,1.5590828484111116e-10,6.983145362114905e-11,7.117533529180672e-10
China,Activity,Manufacture of office machinery and computers (30),3.7084666034553426e-10,4.1694797015132824e-10,2.480523938931787e-10,1.283536834564149e-10,1.8816641665048584e-10
China,Activity,Manufacture of other non-metallic mineral products n.e.c.,7.114925350128402e-07,3.896947869386899e-08,2.063146050653572e-08,9.03923673351152e-09,3.1294003094646874e-07
China,Activity,Manufacture of other transport equipment (35),7.014635539912274e-10,2.5792690345797763e-10,1.502287967683816e-10,6.857865222073401e-11,3.1878333257537003e-10
China,Activity,"Manufacture of radio, television and communication equipment and apparatus (32)",1.1792172253368678e-09,3.616016216562193e-09,1.8864281401872204e-09,9.678283409202668e-10,6.590698914834293e-10
China,Activity,Manufacture of rubber and plastic products (25),9.17313614101658e-09,7.058322386421823e-09,3.733941980181028e-09,1.7228424880296166e-09,4.218225032618685e-09
China,Activity,Manufacture of textiles (17),2.164296979379002e-09,1.4701346711663314e-09,8.175169537073934e-10,3.814438476293537e-10,1.0036018439309075e-09
China,Activity,Manufacture of tobacco products (16),4.707510314035642e-08,1.2733311248861672e-08,6.911524320407503e-09,2.8640005746582315e-09,2.081317863585049e-08
China,Activity,Manufacture of wearing apparel; dressing and dyeing of fur (18),1.336196721213911e-09,5.031386571458204e-10,2.761037103368958e-10,1.2651472135037643e-10,6.040199621715595e-10
China,Activity,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",3.0408171163197947e-09,2.226754098047753e-09,1.8065023719410047e-09,8.367329340698795e-10,1.5183630317487497e-09
China,Activity,"Manure treatment (biogas), storage and land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Manure treatment (conventional), storage and land application",0.0,0.0,0.0,0.0,0.0
China,Activity,Meat animals nec,1.4964823206799774e-09,7.023869982957861e-11,5.458572350672775e-11,2.1472782007175602e-11,6.645219451504613e-10
China,Activity,Mining of aluminium ores and concentrates,9.185058212578732e-09,5.985215302674008e-09,3.4327599345134353e-09,1.472751659992106e-09,4.1609031041815516e-09
China,Activity,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",2.2823839591612285e-09,1.5463993723114502e-09,1.3671727896512015e-09,5.386587610798838e-10,1.0771787030928161e-09
China,Activity,Mining of coal and lignite; extraction of peat (10),1.4848392266749466e-07,4.380814930240852e-08,2.2287996073336857e-08,9.853958683558151e-09,6.587408442308335e-08
China,Activity,Mining of copper ores and concentrates,1.2707271673763006e-09,3.1536124034968516e-09,1.5236834996095732e-09,6.56440496869309e-10,5.866351509581745e-10
China,Activity,Mining of iron ores,3.501487134530922e-10,7.463568302688871e-10,3.7490578341012044e-10,1.6329492978409002e-10,1.6365961333642455e-10
China,Activity,"Mining of lead, zinc and tin ores and concentrates",2.6008442570280197e-09,1.6789247257412794e-09,1.0422872969706914e-09,4.144264455808696e-10,1.1700994397152153e-09
China,Activity,Mining of nickel ores and concentrates,2.8093226842071063e-09,4.57040858610843e-09,5.2982538846008306e-09,1.584959902066581e-09,1.2971613481041698e-09
China,Activity,Mining of other non-ferrous metal ores and concentrates,4.1727627927011585e-09,6.3288738917726485e-09,8.851834884129475e-09,2.4958531750801075e-09,1.9255220824939416e-09
China,Activity,Mining of precious metal ores and concentrates,4.2982006144098545e-08,2.825533519221565e-09,1.380248839044848e-09,5.994094597314919e-10,1.8889589539253e-08
China,Activity,Mining of uranium and thorium ores (12),2.438596207631746e-10,3.309469719667638e-10,1.6387788542733613e-10,7.719191717444678e-11,1.1466813317230239e-10
China,Activity,N-fertiliser,3.76376032708858e-11,1.4329825543451873e-11,8.90119933918929e-12,5.0424749208046135e-12,1.6986411233886233e-11
China,Activity,Other business activities (74),2.0977368735209594e-09,1.3520267573503217e-09,6.688185975967168e-10,2.99169871055145e-10,9.425573221563e-10
China,Activity,Other land transport,2.4520515196435296e-09,9.442153631787479e-10,5.09881230741279e-10,2.278014755485267e-10,1.1025621869705718e-09
China,Activity,Other non-ferrous metal production,1.8003750876440618e-08,3.093205037484368e-08,5.2594099288818405e-08,1.4046665972200264e-08,8.390527977106866e-09
China,Activity,Other service activities (93),4.69741247929935e-10,6.215825060693858e-11,3.603802906962614e-11,1.5270941328946882e-11,2.0861772175089866e-10
