Region,,,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK
Level,,,Activity,Activity,Activity,Activity,Activity
Item,,,Production of photovoltaic plants,Production of onshore wind plants,Production of offshore wind plants,Production of electricity by wind,Production of electricity by solar photovoltaic
Region,Level,Item,,,,,
China,Activity,Activities auxiliary to financial intermediation (67),5.01897959617013e-11,2.4104494418401198e-11,1.2757959204928091e-11,4.116407184204826e-12,1.6760132354924357e-11
China,Activity,Activities of membership organisation n.e.c. (91),1.7442352094367217e-10,2.861953948753313e-11,1.565865031201352e-11,4.962269979153912e-12,5.700760184257229e-11
China,Activity,Air transport (62),7.086539688209454e-08,3.103424149954957e-08,1.6709113412323447e-08,5.58893248922949e-09,2.3777053780029017e-08
China,Activity,Aluminium production,1.002559304196502e-08,8.00149906509633e-09,3.9254827778791e-09,1.215248388467911e-09,3.3439562572725986e-09
China,Activity,Animal products nec,1.5932284243504641e-10,5.311625799447692e-11,3.2339870026570286e-11,1.139909587573562e-11,5.4303673937914864e-11
China,Activity,"Biogasification of food waste, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Biogasification of paper, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Biogasification of sewage slugde, incl. land application",0.0,0.0,0.0,0.0,0.0
China,Activity,Casting of metals,8.662388738337523e-09,3.837874633832379e-08,1.7231727919764074e-08,5.235187448245125e-09,3.0930912986022886e-09
China,Activity,Cattle farming,7.891812545931567e-11,2.7826041201281692e-11,1.6296652840599548e-11,5.358443979923154e-12,2.646101839335022e-11
China,Activity,Chemicals nec,2.134956740730333e-07,4.766880376544913e-08,2.919373962846929e-08,1.1275743468019648e-08,7.117231505177287e-08
China,Activity,"Collection, purification and distribution of water (41)",1.6305423727922415e-10,3.828346569417161e-11,2.0846439333562912e-11,6.719949134152474e-12,5.352990624170558e-11
China,Activity,"Composting of food waste, incl. land application",1.8420126906611437e-11,2.857787799037412e-12,1.6583930192161986e-12,5.424037438097875e-13,6.054125217730682e-12
China,Activity,"Composting of paper and wood, incl. land application",7.835846438447128e-13,1.0300058363380385e-13,6.025860771146148e-14,1.9011719160679732e-14,2.571260341846002e-13
China,Activity,Computer and related activities (72),4.425755665531342e-11,2.616053625865563e-11,1.6505748211055008e-11,4.667409935877027e-12,1.4814569553303076e-11
China,Activity,Construction (45),3.1733285619373917e-10,5.331811626346742e-11,3.1203721582479806e-11,1.2337465730795056e-11,1.0713421028805489e-10
China,Activity,Copper production,3.887952629054379e-09,2.322209240756352e-08,1.0525581207701568e-08,3.2164284740646334e-09,1.4582679323426837e-09
China,Activity,Cultivation of cereal grains nec,3.3952299776830576e-09,7.95596170882483e-10,4.5442077520200387e-10,1.4211671312713363e-10,1.1235478402654392e-09
China,Activity,Cultivation of crops nec,1.593523041223172e-09,4.498243268864708e-10,2.62466967094369e-10,8.55419777880965e-11,5.291709395368138e-10
China,Activity,Cultivation of oil seeds,2.5313397768410133e-09,1.2893616175339932e-09,7.078239909067421e-10,2.4299432754924175e-10,8.603276911048934e-10
China,Activity,Cultivation of paddy rice,7.50987473127005e-10,2.892559801817789e-10,1.5595168285314567e-10,5.294897318378723e-11,2.506562774432179e-10
China,Activity,Cultivation of plant-based fibers,2.3000015615269835e-09,1.5641358567749023e-09,9.231994670012724e-10,3.154275389091699e-10,8.075700406519754e-10
China,Activity,"Cultivation of sugar cane, sugar beet",2.2859871914403125e-09,7.660657227668277e-10,4.1296576297896985e-10,1.297778184461491e-10,7.575031556719015e-10
China,Activity,"Cultivation of vegetables, fruit, nuts",4.92653831536487e-09,1.461153150580219e-09,8.271067279120126e-10,2.61880772430126e-10,1.6356282710991185e-09
China,Activity,Cultivation of wheat,4.4238603390820005e-10,1.8365646568877283e-10,1.021793768429675e-10,3.4115242163209586e-11,1.486845467444955e-10
China,Activity,Distribution and trade of electricity,2.4155407834918835e-10,6.679579640126305e-11,3.8145216540124754e-11,1.124131702883219e-11,7.916752447409387e-11
China,Activity,Education (80),2.5324382491305643e-11,8.156454385093449e-12,4.290444994359766e-12,1.3615949153750232e-12,8.3516392005644e-12
China,Activity,Extra-territorial organizations and bodies,0.0,0.0,0.0,0.0,0.0
China,Activity,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",3.7673617713601975e-09,1.650217217478038e-09,9.273177004047639e-10,3.0829970873545484e-10,1.2634900883005046e-09
China,Activity,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",7.347339909248374e-11,5.654920808573312e-11,3.060664115207825e-11,1.0378854839668096e-11,2.5348901063118444e-11
China,Activity,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",0.0,0.0,0.0,0.0,0.0
China,Activity,"Financial intermediation, except insurance and pension funding (65)",8.48303839738546e-09,2.856131200348429e-09,1.4657543119517184e-09,4.6464002743925054e-10,2.799036971553211e-09
China,Activity,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",6.6121214528742324e-15,4.551833276718178e-15,2.3509303487523396e-15,7.473748028064654e-16,2.228899918282516e-15
China,Activity,"Forestry, logging and related service activities (02)",5.339753878738105e-08,2.1933026156256737e-08,1.2433290165906568e-08,4.327642853481554e-09,1.8006546128453018e-08
China,Activity,Health and social work (85),2.015467249907427e-09,8.972421910698466e-10,4.2652329370958815e-10,1.3100661769096322e-10,6.602114750867076e-10
China,Activity,Hotels and restaurants (55),9.10946171844547e-10,4.536383344056349e-10,2.515674693305585e-10,7.643933827224837e-11,3.030541625593442e-10
China,Activity,Incineration of waste: Food,1.181409854602955e-10,1.0894435878027993e-11,6.319809302470494e-12,1.9442888303149526e-12,3.842428262591217e-11
China,Activity,Incineration of waste: Metals and Inert materials,7.170572857345841e-09,1.1965286172260385e-09,7.940309866853303e-10,2.9566866607434675e-10,2.3960912354008397e-09
China,Activity,Incineration of waste: Oil/Hazardous waste,1.0372830230275178e-08,1.5713306615548066e-09,9.348234894766533e-10,3.2695062844279073e-10,3.416435556836664e-09
China,Activity,Incineration of waste: Paper,1.1644462087892641e-10,1.0805830965930697e-11,6.273586083710216e-12,1.9276647925393126e-12,3.7872494218254473e-11
China,Activity,Incineration of waste: Plastic,7.215488265464543e-09,1.2559620645383098e-09,7.184054295971475e-10,2.334321181036419e-10,2.369940134736107e-09
China,Activity,Incineration of waste: Textiles,8.064627802260298e-09,1.3538794704112167e-09,7.657452051358686e-10,2.4466626249705905e-10,2.6488042596330194e-09
China,Activity,Incineration of waste: Wood,7.993975346513201e-12,1.1821805123181352e-12,6.904597474662269e-13,2.2356811086306833e-13,2.6248407467434036e-12
China,Activity,Inland water transport,2.2141829041342506e-08,9.033335560300161e-09,4.8066477131738015e-09,1.530201669261763e-09,7.3738434199256635e-09
China,Activity,"Insurance and pension funding, except compulsory social security (66)",1.2102903926075156e-10,5.261105255498699e-11,2.69699750743464e-11,8.683794252550688e-12,4.035908805636459e-11
China,Activity,Landfill of waste: Food,2.870218585876581e-10,4.2443104468265884e-11,2.4101296881552375e-11,7.686369359191942e-12,9.409227518261144e-11
China,Activity,Landfill of waste: Inert/metal/hazardous,1.7910683242088772e-10,1.609269531711018e-11,9.40589513191217e-12,2.9219090684024812e-12,5.825587989161332e-11
China,Activity,Landfill of waste: Paper,1.0512359311114323e-10,1.6425064352600666e-11,9.296188362254026e-12,2.9552590708461925e-12,3.4472106080123524e-11
China,Activity,Landfill of waste: Plastic,1.2777007294415853e-10,1.2441850499442215e-11,7.125354192890986e-12,2.189707704304382e-12,4.1558300393101266e-11
China,Activity,Landfill of waste: Textiles,2.3509538225899516e-11,3.4575972664532413e-12,2.001615529439766e-12,6.333331724368173e-13,7.712021132107098e-12
China,Activity,Landfill of waste: Wood,2.5230250183503345e-11,3.4774474690711652e-12,2.0370978254796305e-12,6.445000769021033e-13,8.273748375200553e-12
China,Activity,"Lead, zinc and tin production",5.132897525167197e-10,8.181119712410038e-10,3.949622910692632e-10,1.2420213002405048e-10,1.7777487614502112e-10
China,Activity,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,6.49754963184447e-08,1.8921302996683368e-07,9.060995097792195e-08,2.787959224482496e-08,2.3233161952624027e-08
China,Activity,Manufacture of beverages,5.402945903830121e-11,3.6600727296325836e-11,1.9047911766022472e-11,5.983094339137827e-12,1.8149563158650527e-11
China,Activity,"Manufacture of bricks, tiles and construction products, in baked clay",4.0415352163213334e-10,2.0044056339164417e-10,1.4650936502920132e-10,6.081311121873243e-11,1.4822525738707639e-10
China,Activity,"Manufacture of cement, lime and plaster",5.130448340427754e-09,1.2763583329458416e-09,1.6617822935852527e-09,7.52878759725731e-10,2.013741098655344e-09
China,Activity,Manufacture of ceramic goods,4.5765643272471543e-10,7.610509399780066e-10,4.0857422999829207e-10,1.462399052891182e-10,1.8046551345254065e-10
China,Activity,Manufacture of coke oven products,6.05853400194113e-08,7.43287483651832e-08,3.829456173648224e-08,1.1641017070867574e-08,2.0632408751033764e-08
China,Activity,Manufacture of electrical machinery and apparatus n.e.c. (31),9.84224635737939e-10,1.1650561517074113e-08,5.060176734967048e-09,1.5197985989008083e-09,3.7935464388738924e-10
China,Activity,"Manufacture of fabricated metal products, except machinery and equipment (28)",5.460857195340264e-08,6.932459874145194e-08,3.7320343980432344e-08,1.1734421381412806e-08,1.899254304908148e-08
China,Activity,Manufacture of fish products,2.367611705192476e-10,1.63497910218839e-10,8.408533111845431e-11,2.660835067004021e-11,7.971620496168615e-11
China,Activity,Manufacture of furniture; manufacturing n.e.c. (36),3.727305630567343e-09,3.4532483865610623e-09,1.7867048082078774e-09,5.899955880132162e-10,1.2684693865143997e-09
China,Activity,Manufacture of gas; distribution of gaseous fuels through mains,4.2646370293053545e-09,1.5714940120204929e-09,7.717724126182612e-10,2.4063756521624473e-10,1.39938329035977e-09
China,Activity,Manufacture of glass and glass products,1.3992250756426996e-07,4.783701037570597e-09,2.6116630209054483e-09,7.811516014103575e-10,4.5194248851888564e-08
China,Activity,Manufacture of machinery and equipment n.e.c. (29),5.2004596558877065e-09,5.191197956148995e-09,2.783415574738418e-09,8.818572893664649e-10,1.7846706515631972e-09
China,Activity,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",5.7254105708974235e-11,1.2092509846280416e-10,6.411252840413065e-11,2.7197889646234185e-11,2.5341626920110433e-11
China,Activity,"Manufacture of motor vehicles, trailers and semi-trailers (34)",8.234474929103349e-10,2.2519159107594443e-10,1.37701796039245e-10,4.665480931528157e-11,2.758952005827628e-10
China,Activity,Manufacture of office machinery and computers (30),3.9241165331806406e-10,4.2694606699577486e-10,2.570935161810321e-10,1.0387800420330137e-10,1.5502687997393566e-10
China,Activity,Manufacture of other non-metallic mineral products n.e.c.,7.052567425162234e-07,4.1576551439131e-08,2.1863694916492823e-08,6.726635291326545e-09,2.2813852333873633e-07
China,Activity,Manufacture of other transport equipment (35),6.807525299638006e-10,2.4966225454440315e-10,1.4589963102739918e-10,4.93395077083058e-11,2.3075684721503758e-10
China,Activity,"Manufacture of radio, television and communication equipment and apparatus (32)",1.1466026187471757e-09,1.2827941021134756e-09,9.188406006646514e-10,4.5384445743961386e-10,5.148960710684805e-10
China,Activity,Manufacture of rubber and plastic products (25),8.767646731637332e-09,7.0003636726444745e-09,3.7026834813068954e-09,1.2376381547288637e-09,3.0209481096906577e-09
China,Activity,Manufacture of textiles (17),2.0984083534642315e-09,1.4738661255510367e-09,8.250000882563258e-10,2.803149123739643e-10,7.306903692678339e-10
China,Activity,Manufacture of tobacco products (16),4.271432082917172e-08,1.2852140322168243e-08,7.484240024270104e-09,2.092626640132605e-09,1.3941794497363298e-08
China,Activity,Manufacture of wearing apparel; dressing and dyeing of fur (18),1.2345780655158828e-09,4.6246053958286073e-10,2.554626850677255e-10,8.563686102916959e-11,4.159322527454126e-10
China,Activity,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",3.0957439965122024e-09,1.944756837313697e-09,1.7246405640408651e-09,5.93273887223135e-10,1.1799554025735335e-09
China,Activity,"Manure treatment (biogas), storage and land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Manure treatment (conventional), storage and land application",0.0,0.0,0.0,0.0,0.0
China,Activity,Meat animals nec,1.688334225799432e-09,7.303469170168672e-11,5.834330170455667e-11,1.6483168628834548e-11,5.55252955056986e-10
China,Activity,Mining of aluminium ores and concentrates,5.882998639987823e-09,3.4165021472059557e-09,2.217255738028558e-09,6.810193379912873e-10,1.9995855784116547e-09
China,Activity,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",1.534384649415172e-09,1.1843309620529909e-09,1.0492175678799778e-09,3.063842619373417e-10,5.564430940400339e-10
China,Activity,Mining of coal and lignite; extraction of peat (10),2.481769291105942e-07,3.113065527483511e-08,1.682947823348805e-08,5.074725406465073e-09,8.056163234210875e-08
China,Activity,Mining of copper ores and concentrates,1.130482752220381e-09,2.9293154789558e-09,1.3362892446996083e-09,4.0771832647500773e-10,3.907873028301592e-10
China,Activity,Mining of iron ores,3.349907487767722e-10,7.745474755324031e-10,3.8029799758901305e-10,1.1707750501618686e-10,1.1842251854523324e-10
China,Activity,"Mining of lead, zinc and tin ores and concentrates",2.358971613248125e-09,1.5695831183722247e-09,8.172306382969875e-10,2.5165272186254617e-10,7.878739003170529e-10
China,Activity,Mining of nickel ores and concentrates,3.1902617773493206e-09,4.443646821875334e-09,8.291012492276488e-09,1.4829544304478867e-09,1.1042392569435585e-09
China,Activity,Mining of other non-ferrous metal ores and concentrates,3.483131739613045e-09,3.659151985928343e-09,1.7730303290152428e-09,5.51208194243865e-10,1.1718361479100115e-09
China,Activity,Mining of precious metal ores and concentrates,4.166493190230678e-08,2.8216780081939836e-09,1.2934391876926483e-09,4.0140911246470073e-10,1.3461330468463976e-08
China,Activity,Mining of uranium and thorium ores (12),3.3125182300087437e-10,3.798905155096481e-10,1.9081570228270172e-10,6.506854928200739e-11,1.1635851838100637e-10
China,Activity,N-fertiliser,3.0570533372414226e-11,8.965999328901085e-12,5.204062992821448e-12,3.13379987060162e-12,1.022145784200593e-11
China,Activity,Other business activities (74),2.0651067970442776e-09,1.3842261773246713e-09,6.793758051486315e-10,2.1461874410195138e-10,6.889070767361354e-10
China,Activity,Other land transport,2.361803097375795e-09,8.861540677159453e-10,4.819955624415025e-10,1.5378724941399255e-10,7.906010769700026e-10
China,Activity,Other non-ferrous metal production,1.6063753844480395e-08,2.7791749835751297e-08,5.322463513835917e-08,9.458301773793614e-09,5.6569532317625086e-09
China,Activity,Other service activities (93),4.396697332209937e-10,5.595129909771457e-11,3.2830159358566704e-11,9.823379794359484e-12,1.4446741972317776e-10
