Activity to,Scenario,Year,Performance,Value
Production of photovoltaic plants,Constant,2011,Average,9.410219349851186
Production of photovoltaic plants,Constant,2011,Best,9.40828608744501
Production of photovoltaic plants,Constant,2011,Worst,9.41316331279204
Production of photovoltaic plants,Constant,2012,Average,8.470959168075943
Production of photovoltaic plants,Constant,2012,Best,8.468970856239826
Production of photovoltaic plants,Constant,2012,Worst,8.47405223264505
Production of photovoltaic plants,Constant,2013,Average,11.065446521108111
Production of photovoltaic plants,Constant,2013,Best,11.064309917330805
Production of photovoltaic plants,Constant,2013,Worst,11.06694875183468
Production of photovoltaic plants,Constant,2014,Average,12.547954811738224
Production of photovoltaic plants,Constant,2014,Best,12.547227888903038
Production of photovoltaic plants,Constant,2014,Worst,12.548629464488636
Production of photovoltaic plants,Constant,2015,Average,16.819740820899035
Production of photovoltaic plants,Constant,2015,Best,16.820327514847936
Production of photovoltaic plants,Constant,2015,Worst,16.81786575573884
Production of photovoltaic plants,Constant,2016,Average,18.031712220493116
Production of photovoltaic plants,Constant,2016,Best,18.03273366780484
Production of photovoltaic plants,Constant,2016,Worst,18.029051749157333
Production of photovoltaic plants,Constant,2017,Average,15.057536374434472
Production of photovoltaic plants,Constant,2017,Best,15.058058606744979
Production of photovoltaic plants,Constant,2017,Worst,15.055986366591837
Production of photovoltaic plants,Constant,2018,Average,17.54497133190813
Production of photovoltaic plants,Constant,2018,Best,17.545761756238225
Production of photovoltaic plants,Constant,2018,Worst,17.542664435015734
Production of photovoltaic plants,Constant,2019,Average,17.531716767063628
Production of photovoltaic plants,Constant,2019,Best,17.533383672586456
Production of photovoltaic plants,Constant,2019,Worst,17.528142182057564
