Activity to,Scenario,Year,Performance,Value
Production of photovoltaic plants,Constant,2011,Average,1.0244513474107864
Production of photovoltaic plants,Constant,2011,Best,1.0243943693585384
Production of photovoltaic plants,Constant,2011,Worst,1.0244969794980816
Production of photovoltaic plants,Constant,2012,Average,0.9304186557506018
Production of photovoltaic plants,Constant,2012,Best,0.9303292317222086
Production of photovoltaic plants,Constant,2012,Worst,0.9305267516879898
Production of photovoltaic plants,Constant,2013,Average,0.9817326311584675
Production of photovoltaic plants,Constant,2013,Best,0.9816908259427956
Production of photovoltaic plants,Constant,2013,Worst,0.9817579496427788
Production of photovoltaic plants,Constant,2014,Average,1.0834204905898974
Production of photovoltaic plants,Constant,2014,Best,1.0834263590672315
Production of photovoltaic plants,Constant,2014,Worst,1.0833522537527231
Production of photovoltaic plants,Constant,2015,Average,1.0978378082858555
Production of photovoltaic plants,Constant,2015,Best,1.0978225576214957
Production of photovoltaic plants,Constant,2015,Worst,1.0978005406152982
Production of photovoltaic plants,Constant,2016,Average,1.17689339913732
Production of photovoltaic plants,Constant,2016,Best,1.1769218679143962
Production of photovoltaic plants,Constant,2016,Worst,1.1767741484485115
Production of photovoltaic plants,Constant,2017,Average,1.1188019257372626
Production of photovoltaic plants,Constant,2017,Best,1.11885720281362
Production of photovoltaic plants,Constant,2017,Worst,1.1186479779893208
Production of photovoltaic plants,Constant,2018,Average,1.0955748883185508
Production of photovoltaic plants,Constant,2018,Best,1.0955452392390432
Production of photovoltaic plants,Constant,2018,Worst,1.095555712449959
Production of photovoltaic plants,Constant,2019,Average,1.0820337170824832
Production of photovoltaic plants,Constant,2019,Best,1.0820788556534509
Production of photovoltaic plants,Constant,2019,Worst,1.0819010365767856
