Activity to,Scenario,Year,Performance,Value
Production of photovoltaic plants,Constant,2011,Average,1.6506778835861595
Production of photovoltaic plants,Constant,2011,Best,2.105986113174815
Production of photovoltaic plants,Constant,2011,Worst,1.2366391314700442
Production of photovoltaic plants,Constant,2012,Average,1.8794341149740346
Production of photovoltaic plants,Constant,2012,Best,2.397893760101296
Production of photovoltaic plants,Constant,2012,Worst,1.4079567491665093
Production of photovoltaic plants,Constant,2013,Average,1.5381564675024377
Production of photovoltaic plants,Constant,2013,Best,1.9622739868316184
Production of photovoltaic plants,Constant,2013,Worst,1.1524992539557906
Production of photovoltaic plants,Constant,2014,Average,1.3916885511959816
Production of photovoltaic plants,Constant,2014,Best,1.77539207602916
Production of photovoltaic plants,Constant,2014,Worst,1.042790548325825
Production of photovoltaic plants,Constant,2015,Average,1.108594522363164
Production of photovoltaic plants,Constant,2015,Best,1.4141967388932462
Production of photovoltaic plants,Constant,2015,Worst,0.830725973293847
Production of photovoltaic plants,Constant,2016,Average,1.1745647141942441
Production of photovoltaic plants,Constant,2016,Best,1.4983259077528617
Production of photovoltaic plants,Constant,2016,Worst,0.8801888970802471
Production of photovoltaic plants,Constant,2017,Average,1.2712567639394674
Production of photovoltaic plants,Constant,2017,Best,1.6216655353516902
Production of photovoltaic plants,Constant,2017,Worst,0.9526497748180227
Production of photovoltaic plants,Constant,2018,Average,1.072834421542744
Production of photovoltaic plants,Constant,2018,Best,1.3686395256847719
Production of photovoltaic plants,Constant,2018,Worst,0.8038741709945398
Production of photovoltaic plants,Constant,2019,Average,1.083639453643266
Production of photovoltaic plants,Constant,2019,Best,1.3822715412580555
Production of photovoltaic plants,Constant,2019,Worst,0.8121166096830394
Production of onshore wind plants,Constant,2011,Average,11.580002819910266
Production of onshore wind plants,Constant,2011,Best,16.544216667902127
Production of onshore wind plants,Constant,2011,Worst,7.443211993502647
Production of onshore wind plants,Constant,2012,Average,11.885795432885008
Production of onshore wind plants,Constant,2012,Best,16.980996991000907
Production of onshore wind plants,Constant,2012,Worst,7.639841409964337
Production of onshore wind plants,Constant,2013,Average,12.597312769032257
Production of onshore wind plants,Constant,2013,Best,17.99767243030548
Production of onshore wind plants,Constant,2013,Worst,8.097077924335837
Production of onshore wind plants,Constant,2014,Average,13.095035866170834
Production of onshore wind plants,Constant,2014,Best,18.708791711883844
Production of onshore wind plants,Constant,2014,Worst,8.416976983153807
Production of onshore wind plants,Constant,2015,Average,13.178863977047634
Production of onshore wind plants,Constant,2015,Best,18.828565452404497
Production of onshore wind plants,Constant,2015,Worst,8.470863904323698
Production of onshore wind plants,Constant,2016,Average,15.497432072671437
Production of onshore wind plants,Constant,2016,Best,22.14120659392802
Production of onshore wind plants,Constant,2016,Worst,9.96106028868008
Production of onshore wind plants,Constant,2017,Average,15.643579614445885
Production of onshore wind plants,Constant,2017,Best,22.350033097096652
Production of onshore wind plants,Constant,2017,Worst,10.054982719532578
Production of onshore wind plants,Constant,2018,Average,13.523910557953815
Production of onshore wind plants,Constant,2018,Best,19.32158683311596
Production of onshore wind plants,Constant,2018,Worst,8.692604147475153
Production of onshore wind plants,Constant,2019,Average,15.579633584707267
Production of onshore wind plants,Constant,2019,Best,22.258732928161486
Production of onshore wind plants,Constant,2019,Worst,10.013847997081378
Production of offshore wind plants,Constant,2011,Average,7.077115144015478
Production of offshore wind plants,Constant,2011,Best,9.953173624540577
Production of offshore wind plants,Constant,2011,Worst,4.643549286390672
Production of offshore wind plants,Constant,2012,Average,7.346649126581203
Production of offshore wind plants,Constant,2012,Best,10.33219604996651
Production of offshore wind plants,Constant,2012,Worst,4.820435659993389
Production of offshore wind plants,Constant,2013,Average,7.683031433736296
Production of offshore wind plants,Constant,2013,Best,10.805368377763457
Production of offshore wind plants,Constant,2013,Worst,5.041082220222258
Production of offshore wind plants,Constant,2014,Average,7.908676284759294
Production of offshore wind plants,Constant,2014,Best,11.122728360683888
Production of offshore wind plants,Constant,2014,Worst,5.189125456490521
Production of offshore wind plants,Constant,2015,Average,8.178625676620733
Production of offshore wind plants,Constant,2015,Best,11.502417463117936
Production of offshore wind plants,Constant,2015,Worst,5.366230961324604
Production of offshore wind plants,Constant,2016,Average,9.689428941093526
Production of offshore wind plants,Constant,2016,Best,13.627285387221226
Production of offshore wind plants,Constant,2016,Worst,6.35745041250111
Production of offshore wind plants,Constant,2017,Average,9.383218190382832
Production of offshore wind plants,Constant,2017,Best,13.196612394629152
Production of offshore wind plants,Constant,2017,Worst,6.156556730676335
Production of offshore wind plants,Constant,2018,Average,8.27826133976249
Production of offshore wind plants,Constant,2018,Best,11.642610499911909
Production of offshore wind plants,Constant,2018,Worst,5.4315544858116676
Production of offshore wind plants,Constant,2019,Average,9.357079822525828
Production of offshore wind plants,Constant,2019,Best,13.159877349010246
Production of offshore wind plants,Constant,2019,Worst,6.139394481189286
