Activity to,Scenario,Year,Performance,Value
Production of onshore wind plants,Constant,2011,Average,2.3474235804266357
Production of onshore wind plants,Constant,2011,Best,2.3482786677786858
Production of onshore wind plants,Constant,2011,Worst,2.345899750069915
Production of onshore wind plants,Constant,2012,Average,2.344064142751853
Production of onshore wind plants,Constant,2012,Best,2.3449155941461846
Production of onshore wind plants,Constant,2012,Worst,2.3425418919391845
Production of onshore wind plants,Constant,2013,Average,2.3644470672070605
Production of onshore wind plants,Constant,2013,Best,2.3653611503176104
Production of onshore wind plants,Constant,2013,Worst,2.3628246447503414
Production of onshore wind plants,Constant,2014,Average,2.3337071508664926
Production of onshore wind plants,Constant,2014,Best,2.3346734637839943
Production of onshore wind plants,Constant,2014,Worst,2.3319997594507957
Production of onshore wind plants,Constant,2015,Average,2.4760083270196582
Production of onshore wind plants,Constant,2015,Best,2.477176040355896
Production of onshore wind plants,Constant,2015,Worst,2.4739574481057907
Production of onshore wind plants,Constant,2016,Average,2.391620264564874
Production of onshore wind plants,Constant,2016,Best,2.3927448886442573
Production of onshore wind plants,Constant,2016,Worst,2.389650907824631
Production of onshore wind plants,Constant,2017,Average,2.141357158212618
Production of onshore wind plants,Constant,2017,Best,2.1423080677925914
Production of onshore wind plants,Constant,2017,Worst,2.139697663617222
Production of onshore wind plants,Constant,2018,Average,2.435684997034195
Production of onshore wind plants,Constant,2018,Best,2.4369596530277735
Production of onshore wind plants,Constant,2018,Worst,2.4334643434493253
Production of onshore wind plants,Constant,2019,Average,2.1339786190922143
Production of onshore wind plants,Constant,2019,Best,2.134953833827792
Production of onshore wind plants,Constant,2019,Worst,2.132281527603137
