Activity to,Scenario,Year,Performance,Value
Production of photovoltaic plants,Constant,2011,Average,12.293416168929436
Production of photovoltaic plants,Constant,2011,Best,12.292732432302461
Production of photovoltaic plants,Constant,2011,Worst,12.29396375397698
Production of photovoltaic plants,Constant,2012,Average,11.165023869007221
Production of photovoltaic plants,Constant,2012,Best,11.163950780666504
Production of photovoltaic plants,Constant,2012,Worst,11.166321020255879
Production of photovoltaic plants,Constant,2013,Average,11.780791573901611
Production of photovoltaic plants,Constant,2013,Best,11.780289911313547
Production of photovoltaic plants,Constant,2013,Worst,11.781095395713347
Production of photovoltaic plants,Constant,2014,Average,13.001045887078769
Production of photovoltaic plants,Constant,2014,Best,13.001116308806777
Production of photovoltaic plants,Constant,2014,Worst,13.000227045032677
Production of photovoltaic plants,Constant,2015,Average,13.174053699430265
Production of photovoltaic plants,Constant,2015,Best,13.17387069145795
Production of photovoltaic plants,Constant,2015,Worst,13.173606487383578
Production of photovoltaic plants,Constant,2016,Average,14.12272078964784
Production of photovoltaic plants,Constant,2016,Best,14.123062414972756
Production of photovoltaic plants,Constant,2016,Worst,14.121289781382137
Production of photovoltaic plants,Constant,2017,Average,13.42562310884715
Production of photovoltaic plants,Constant,2017,Best,13.426286433763442
Production of photovoltaic plants,Constant,2017,Worst,13.42377573587185
Production of photovoltaic plants,Constant,2018,Average,13.146898659822607
Production of photovoltaic plants,Constant,2018,Best,13.146542870868519
Production of photovoltaic plants,Constant,2018,Worst,13.14666854939951
Production of photovoltaic plants,Constant,2019,Average,12.984404604989798
Production of photovoltaic plants,Constant,2019,Best,12.98494626784141
Production of photovoltaic plants,Constant,2019,Worst,12.982812438921428
Production of onshore wind plants,Constant,2011,Average,3.1251490945743066
Production of onshore wind plants,Constant,2011,Best,3.1268903609518564
Production of onshore wind plants,Constant,2011,Worst,3.122039648629924
Production of onshore wind plants,Constant,2012,Average,2.8973253552269878
Production of onshore wind plants,Constant,2012,Best,2.8988146190539097
Production of onshore wind plants,Constant,2012,Worst,2.8946601804249945
Production of onshore wind plants,Constant,2013,Average,3.0552539857613943
Production of onshore wind plants,Constant,2013,Best,3.056926697966055
Production of onshore wind plants,Constant,2013,Worst,3.0522652440272027
Production of onshore wind plants,Constant,2014,Average,3.0453633271726512
Production of onshore wind plants,Constant,2014,Best,3.047125674678868
Production of onshore wind plants,Constant,2014,Worst,3.0422228699289766
Production of onshore wind plants,Constant,2015,Average,2.96336901154843
Production of onshore wind plants,Constant,2015,Best,2.9650720015344634
Production of onshore wind plants,Constant,2015,Worst,2.9603325173191353
Production of onshore wind plants,Constant,2016,Average,3.0311970222331626
Production of onshore wind plants,Constant,2016,Best,3.033020310478404
Production of onshore wind plants,Constant,2016,Worst,3.027946851115416
Production of onshore wind plants,Constant,2017,Average,2.743460610600658
Production of onshore wind plants,Constant,2017,Best,2.7450724155277997
Production of onshore wind plants,Constant,2017,Worst,2.740604219498732
Production of onshore wind plants,Constant,2018,Average,3.043629535871731
Production of onshore wind plants,Constant,2018,Best,3.045574964541872
Production of onshore wind plants,Constant,2018,Worst,3.040169294108922
Production of onshore wind plants,Constant,2019,Average,2.8043002143620472
Production of onshore wind plants,Constant,2019,Best,2.8059387089838825
Production of onshore wind plants,Constant,2019,Worst,2.801387892120089
Production of offshore wind plants,Constant,2011,Average,7.000959940406055
Production of offshore wind plants,Constant,2011,Best,7.004857959197611
Production of offshore wind plants,Constant,2011,Worst,6.994000052580384
Production of offshore wind plants,Constant,2012,Average,6.4462762310977295
Production of offshore wind plants,Constant,2012,Best,6.44957404658892
Production of offshore wind plants,Constant,2012,Worst,6.44037522402188
Production of offshore wind plants,Constant,2013,Average,6.781722085769369
Production of offshore wind plants,Constant,2013,Best,6.785416838506497
Production of offshore wind plants,Constant,2013,Worst,6.775121184577486
Production of offshore wind plants,Constant,2014,Average,6.765314692397792
Production of offshore wind plants,Constant,2014,Best,6.769209172141395
Production of offshore wind plants,Constant,2014,Worst,6.758375123353522
Production of offshore wind plants,Constant,2015,Average,6.589401143138665
Production of offshore wind plants,Constant,2015,Best,6.593173262582918
Production of offshore wind plants,Constant,2015,Worst,6.582674888955765
Production of offshore wind plants,Constant,2016,Average,6.7646559286783985
Production of offshore wind plants,Constant,2016,Best,6.768717022959658
Production of offshore wind plants,Constant,2016,Worst,6.757418147350431
Production of offshore wind plants,Constant,2017,Average,6.389849173867812
Production of offshore wind plants,Constant,2017,Best,6.39361225384472
Production of offshore wind plants,Constant,2017,Worst,6.383181221515442
Production of offshore wind plants,Constant,2018,Average,6.938522115242884
Production of offshore wind plants,Constant,2018,Best,6.94294086848038
Production of offshore wind plants,Constant,2018,Worst,6.930660870988891
Production of offshore wind plants,Constant,2019,Average,6.425777944692524
Production of offshore wind plants,Constant,2019,Best,6.429536679295194
Production of offshore wind plants,Constant,2019,Worst,6.419098291778398
